r3k3/1p1n1p1p/Nb1Bp3/6r1/b5p1/4P3/PP3PPP/2RR1BK1 w - -,b2b3 a4b3 a2b3 b7a6 g2g3 d7e5 f1e2 h7h5 b3b4 f7f6,280
rnbqkbnr/pp4pp/2p5/3p1p2/3PpB2/P1N2P2/1PP1P1PP/R2QKBNR w KQkq -,g1h3 b8d7 e2e3 f8e7 f1e2 g8f6 e1h1 e8h8 f3e4 f5e4,-46
8/5k2/8/5P1K/8/8/8/8 w - -,,0
rn2kbnr/pp3ppp/2pqp3/5b2/2B5/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,f3h4 f5g6 h4g6 h7g6 c3e4 d6e5 f2f4 e5c7 d1f3 b8d7,53
8/8/2B5/2KN4/6k1/8/8/8 w - -,c5d6 g4f5 d5b4 f5f6 c6b5 f6f7 b5d3 f7e8 b4c6 e8f7,20000
6R1/8/8/8/7k/8/3K1p2/r7 w - -,g8h8 h4g5 h8g8 g5h5 g8h8 h5g6 h8f8 f2f1q f8f1 a1f1,-5331
7R/8/8/6k1/8/8/3K1p2/r7 w - -,h8g8 g5h5 g8f8 f2f1q f8f1 a1f1 d2d3 h5g5 d3d4 g5f5,-2649
rnbqk2r/ppp2ppp/8/2b1P3/4p3/P7/1PP2PPP/RNBQK1NR w KQkq -,d1h5 d8d4 h5h4 e4e3 h4d4 c5d4 f2e3 d4e5 g1f3 e5f6,-83
rnbk3r/ppp2ppp/8/2b1P3/4p3/P7/1PP2PPP/RNB1K1NR w KQ -,b1c3 c5d4 c1g5 d8e8 g1e2 d4e5 e1a1 b8c6 c3e4 c8f5,75
r1bqk2r/pppp1ppp/2n1pn2/8/1b2P3/2NPB3/PPP2PPP/R2QKBNR w KQkq -,g1f3 d7d5 e3d2 d5d4 c3e2 b4d2 d1d2 e6e5 h2h3 h7h6,-26
rnbq1rk1/pp2ppbp/2pp2p1/7n/3PP3/2N1B3/PPPQ1PPP/2KR1BNR w - -,f2f3 b7b5 g2g4 h5f6 h2h4 d8a5 c1b1 b5b4 c3e2 c6c5,164
