r1bqkb1r/2p2ppp/p1n2n2/1p1pp3/4P3/1B3N2/PPPP1PPP/RNBQ1RK1 w kq -,e4d5 c6d4 f3d4 e5d4 a2a4 d4d3 a4b5 f8d6 f1e1 e8f8,203
rnbqkbnr/ppp2ppp/4p3/8/4p3/P2P4/1PP2PPP/RNBQKBNR w KQkq -,c1f4 e4d3 d1d3 d8d3 f1d3 f8d6 f4g3 c8d7 b1c3 g8f6,-100
8/8/8/8/3N4/k1K5/2B5/8 w - -,c1f4 e4d3 d1d3 d8d3 f1d3 f8d6 f4g3 c8d7 b1c3 g8f6,Mate
rnb1kbnr/ppp2ppp/4p3/8/4P3/P7/1PP2PPP/RNBqKBNR w KQkq -,e1d1 g8f6 b1c3 b8d7 f2f3 f8c5 f1d3 e8h8 d1e2 d7e5,-36
r1bqkb1r/ppp3pp/2n1pn2/3p4/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -,c1g5 f8d6 g1f3 e8h8 g5h4 d8e8 f1b5 c8d7 e1h1 a7a6,-13
r5k1/6pp/p1b1pr2/q2p4/3P1B2/3B1QN1/PpP2P1P/1K5R w - -,g3h5 f6g6 d3g6 h7g6 f3g4 g6h5 g4e6 g8h7 h1g1 a8a7,980
8/5B2/8/8/3N4/k1K5/8/8 w - -,f3g4 f6f4 g4f4 c6b5 f4e3 b5d3 e3d3 a8c8 g3h5 a5c7,Mate
rn1qkbnr/pp3ppp/4p3/3p1b2/8/1B5P/PPPP1PP1/RNBQK1NR w KQkq -,g1e2 b8c6 e1h1 g8f6 d2d4 f8d6 c1e3 e8h8 b1d2 a8c8,-89
5b2/2k2p2/4qP2/3p4/R2P1p2/2p4P/2P3P1/7K w - -,g1e2 b8c6 e1h1 g8f6 d2d4 f8d6 c1e3 e8h8 b1d2 a8c8,Mate
r1bqk1nr/pppp1ppp/2n5/4p3/2P5/2bP1N2/PP2PPPP/R1BQKB1R w KQkq -,d1d2 c3d2 c1d2 d7d6 e1a1 g8e7 b2b4 e8h8 g2g3 c6b8,-1176
