8/8/8/2k5/8/5N2/3K4/5B2 w - -,d2d3 c5d5 f1h3 d5c5 f3d2 c5d6 d3d4 d6e7 d4e5 e7f7,7196
rnbqkbnr/pp3ppp/4p3/3pP3/2Pp4/2N5/PP3PPP/R1BQKBNR w KQkq -,c3b5 d5c4 f1c4 b8c6 g1f3 a7a6 b5d4 c6e5 c4b3 e5f3,-118
rnbqk2r/ppp4p/5ppb/3p4/3P4/6N1/PPP2PPP/R2QKBNR w KQkq -,f1e2 e8h8 g1f3 f6f5 e2d3 f5f4 g3e2 c8g4 c2c3 b8d7,-64
3r1b1r/pp3k1p/3p1np1/1Bp5/8/2Pp4/PP3PPP/RN1R2K1 w - -,b5d3 d6d5 c3c4 f8g7 b1c3 d5d4 c3e4 f6e4 d3e4 b7b6,24
r1bqkb1r/3nppp1/p2p1n1p/1p6/3NP2B/2N5/PPP1QPPP/R3KB1R w KQkq -,f2f4 g7g5 f4g5 h6g5 h4g5 c8b7 e1a1 e7e6 h2h4 f8e7,87
rnbqkb1r/ppp1p1pp/1n3p2/8/3PP3/5N2/PP3PPP/RNBQKB1R w KQkq -,d1b3 e7e5 d4e5 f6e5 f1b5 c7c6 b5e2 d8f6 c1g5 f6e6,203
rnbqkb1r/p1ppp2p/1p3np1/5p2/3P1P2/4PN2/PPP3PP/RNBQKB1R w KQkq -,c2c4 f8g7 b1c3 e8h8 f1e2 c7c5 c1d2 b8a6 e1h1 c8b7,2
8/1p6/1k6/8/1K6/8/8/8 w - -,c1d2 f8g7 c2c4 c7c5 b1c3 e8h8 f1e2 c8b7 e1h1 e7e6,Mate
r2qkbnr/pp1bpppp/3p4/8/2PQP3/8/PP3PPP/RNB1KB1R w KQkq -,c1e3 g8f6 f1e2 g7g6 f2f3 f8g7 e1h1 d7e6 b1c3 d8a5,105
r1bq1rk1/pp3ppp/2n2n2/4p3/1bP5/2NPB3/PP3PPP/R2QKBNR w KQ -,a1c1 f6g4 d1d2 f7f5 e3g5 g4f6 a2a3 b4c3 d2c3 h7h6,-106
r1bqkbnr/ppp2ppp/2n5/3p4/3Np3/2N1P3/PPPP1PPP/R1BQKB1R w KQkq -,f1e2 g8f6 e1h1 f8d6 d2d3 a7a6 d4c6 b7c6 d3e4 d5e4,-51
rnbqkbnr/pp4pp/2p2p2/3pN3/2PPp3/2N5/PP2PPPP/R1BQKB1R w KQkq -,e5d3 e4d3 d1d3 f8b4 d3g3 e8f7 e2e3 g8e7 f1d3 c8f5,-386
r1bqkbnr/1p2pppp/p1np4/8/2B1P3/5N2/PB3PPP/RN1Q1RK1 w kq -,b1d2 e7e6 d1e2 g8f6 f1d1 f8e7 e4e5 d6e5 f3e5 e8h8,-102
rnbqk2r/ppp2ppp/3b1n2/4p3/3p4/1P3NP1/PBPPPPBP/RN1QK2R w KQkq -,c2c3 c7c5 c3d4 c5d4 e2e3 b8c6 e1h1 e8h8 e3d4 e5d4,33
r1bq1rk1/pppp1ppp/5n2/2b1p3/4P3/1PNP3P/1PP2PP1/R1BQK1NR w KQ -,g1e2 d7d5 e1h1 h7h6 e4d5 f6d5 c3d5 d8d5 c1e3 c5d6,-35
rnbq1rk1/pp2bppp/3p4/3pP3/3P4/5N2/PP3PPP/RNBQ1RK1 w - -,h2h3 b8c6 c1e3 c8e6 b1c3 d8d7 a1c1 a8d8 e3f4 d6e5,-16
rnbqk2r/ppp2pbp/3p1pp1/8/2BPP3/8/PPP2PPP/RN1QK1NR w KQkq -,c2c3 d8e7 b1d2 f6f5 d1e2 f5e4 e2e4 e7e4 d2e4 e8h8,-76
rn1qkb1r/pp3ppp/2p1pn2/8/4B1b1/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,d2d4 f8e7 c1f4 e8h8 f1e1 f6e4 c3e4 b8d7 h2h3 g4h5,40
rnbqkb1r/pp2pp1p/2p2np1/3p4/3P4/4P1P1/PPP2PBP/RNBQK1NR w KQkq -,g1f3 f8g7 e1h1 e8h8 b2b3 c8f5 c2c4 b8d7 d1e2 f6e4,17
r1bqk1nr/pp1nppbp/3p2p1/2p5/2PP4/2N3P1/PP2PPBP/R1BQK1NR w KQkq -,g1f3 a7a6 e1h1 g8f6 e2e4 c5d4 f3d4 e8h8 h2h3 d8b6,108
rnbq1rk1/ppp2pbp/3p2p1/5p2/2BPP3/5N2/PPP2PPP/RN1Q1RK1 w - -,d1e2 f8e8 e4e5 b8c6 c4d5 c6d4 f3d4 c7c6 d5b3 d6e5,-195
rnb1kbnr/pp1q1ppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq -,g1f3 b7b6 h2h4 c8a6 f1a6 b8a6 d1e2 a6b8 h4h5 b8c6,95
rnbqkb1r/pp2pppp/3p1n2/8/3p4/5NP1/PPP1PPBP/RNBQK2R w KQkq -,c2c3 d4c3 b1c3 g7g6 h2h3 f8g7 e1h1 e8h8 e2e4 b8c6,-106
r1bqk2r/pppp1pp1/5n1p/2b1p3/2B1P3/P1NP1n1P/1PP2PP1/R1BQK2R w KQkq -,d1f3 d7d6 c1e3 c5e3 f3e3 c8e6 e1a1 e8h8 g2g3 f8e8,43
8/8/8/8/5B2/3K1B2/8/4k3 w - -,d1f3 d7d6 c1e3 c5e3 f3e3 c8e6 e1a1 e8h8 g2g3 f8e8,Mate
2b5/1pkn4/2p5/8/7B/8/8/3R2K1 w - -,,0
rn2kbnr/p2q1ppp/bp2p3/2ppP3/3P4/2P1BN2/PP3PPP/RN1QKB1R w KQkq -,f1a6 b8a6 h2h4 g8e7 h4h5 e7f5 d1e2 f5e3 f2e3 a6c7,76
rnb1kbnr/ppp1q1pp/3p4/5p2/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,f1c4 b8c6 e1h1 c6d4 f1e1 d4c6 e4f5 c6e5 c3d5 e7d7,520
rnbqkb1r/pp3ppp/4pn2/3p4/3p4/2P1PNP1/PP3P1P/RNBQKB1R w KQkq -,d1d4 b8c6 d4d1 e6e5 f1g2 c8f5 e1h1 d8c7 d1a4 f8e7,-182
r1bqkb1r/pp1n1ppp/3ppn2/8/2BQP3/2N2N2/PPP2PPP/R1B1K2R w KQkq -,e1h1 a7a6 a2a4 b7b6 f1d1 d8c7 c1f4 c8b7 e4e5 d6e5,56
r1bqk1nr/pp1nppbp/3p2p1/2p5/3PPP2/2N1B3/PPP3PP/R2QKBNR w KQkq -,d1d2 d8a5 g1f3 a7a6 e1a1 b7b5 d4c5 g7c3 d2c3 a5c3,128
r2qk2r/ppp2ppp/2p2n2/4p3/1b2P1b1/2N2N2/PPPPQPPP/R1B1K2R w KQkq -,e1h1 f6d7 h2h3 g4h5 a2a3 b4c5 b2b4 c5d4 c1b2 h5f3,-29
