8/1k1K4/2R5/8/8/8/8/8 w - -,e2e3 c7c5 b1d2 b8c6 c1b2 e7e6 f1e2 f8d6 f3h4 e8h8,Mate
rnb1kb1r/ppp1qppp/2N5/3p2n1/8/3P4/PPP1QPPP/RNB1KB1R w KQkq -,c6e7 f8e7 c1g5 c8e6 g5e7 e8e7 e2e5 b8d7 e5g7 c7c5,1228
rnbq1rk1/p1p1bppp/1p3n2/3p2B1/3P4/3B1N2/PPP2PPP/RN1Q1RK1 w - -,f3e5 h7h6 g5h4 c7c5 f1e1 c5d4 b1d2 c8b7 d1f3 b8d7,93
rn1qkb1r/ppp1pppp/5n2/3p4/1P6/3bP3/PBPP1PPP/RN1QK1NR w KQkq -,b1c3 d3g6 g1e2 e7e6 e1h1 f8e7 e2f4 e8h8 c3b5 a7a6,-938
r1bqk2r/ppp1bppp/2n2n2/4p3/3pP3/3P1N2/PPP1BPPP/RNBQK2R w KQkq -,c2c3 a7a5 c3d4 e5d4 c1f4 f6d7 b1a3 d7c5 e1h1 e8h8,-71
r1bqkb1r/ppp1pp2/2n4p/3p2p1/3Pn3/2P1PNB1/PP3PPP/RN1QKB1R w KQkq -,b1d2 e4g3 h2g3 g5g4 f3h4 e7e5 f1b5 f8g7 d4e5 g7e5,82
8/8/8/2Q5/4K3/8/2p5/1k6 w - -,,0
rn1qkb1r/pb2npp1/1p2p2p/2ppP1B1/3P4/2PB1N2/PP3PPP/RN1QK2R w KQkq -,g5d2 e7c6 h2h4 d8c8 h1h3 b7a6 d3f1 c5d4 c3d4 c6b4,54
r2qkb1r/pppbpppp/2n2n2/3p4/3P1B2/5N1P/PPP1PPP1/RN1QKB1R w KQkq -,e2e3 e7e6 b1d2 c6e7 c2c3 e7g6 f4h2 c7c5 f1d3 d8b6,58
r1bq1rk1/ppp2ppp/2nb1n2/3pp3/6P1/2PP3P/PP1NPPB1/R1BQK1NR w KQ -,d2b3 c8e6 g1f3 c6e7 f3h4 a7a5 a2a4 h7h6 e2e4 d5e4,-148
r2qkbnr/pp3ppp/2n1b3/8/3p4/5N2/PPPN1PPP/R1BQKB1R w KQkq -,f1d3 g8f6 e1h1 d8c7 f1e1 f8e7 d2b3 a8d8 d3b5 e8h8,73
rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P4/3B1N2/PPP2PPP/RNBQ1RK1 w kq -,f3g5 d8e7 c2c3 b8c6 g5f3 e7d8 f1e1 f8e7 d3c2 d8b6,141
