8/1k1K4/2R5/8/8/8/8/8 w - -,e2e3 c7c5 b1d2 b8c6 c1b2 e7e6 f1e2 f8d6 f3h4 e8h8,Mate
r2qk2r/ppp1bppp/2n1bn2/3p4/3P4/2NBPN2/PP3PPP/R1BQK2R w KQkq -,a2a3 e8h8 c1d2 e7d6 d1c2 g7g6 e1h1 e6g4 h2h3 g4f3,55
rnbqk2r/pp2bppp/4pn2/3p4/3P1P2/3BP3/PP4PP/RNBQK1NR w KQkq -,g1f3 f6e4 b1c3 f7f5 c1d2 b8c6 a2a3 c8d7 a1c1 a7a6,-5
rnbq1rk1/pp2bppp/4pn2/3p4/3P1P2/3BP3/PP1N2PP/R1BQK1NR w KQ -,d2f3 b7b5 g1e2 b5b4 e1h1 a7a5 e2g3 b8d7 a2a3 b4a3,-73
r1b2rk1/ppq2ppp/2n1pn2/2bp4/8/2PBPN2/PP1NQPPP/R1B2RK1 w - -,a2a3 a7a5 f1e1 b7b6 h2h3 c8b7 e3e4 f6h5 d2f1 c6e5,-21
r1bqkb1r/pp3ppp/2np1n2/4p3/3NP3/2N1B3/PPPQ1PPP/R3KB1R w KQkq -,d4b3 f8e7 f2f3 e8h8 e1a1 a7a5 f1b5 c6a7 e3a7 a8a7,168
r2qkb1r/ppp2pp1/2np1n1p/3Np3/2B1P1b1/5N2/PPPP1PPP/R1BQ1RK1 w kq -,h2h3 g4h5 c2c3 f6e4 f1e1 h5f3 d1f3 e4g5 f3e2 d8d7,93
r1b1k2r/ppp1qppp/2np1n2/2b1p3/2B1P3/P1NP1N2/1PP2PPP/R1BQK2R w KQkq -,c1g5 c8e6 c3d5 e6d5 c4d5 h7h6 d5c6 b7c6 g5f6 e7f6,78
r1bqkb1r/ppp2ppp/2n2n2/3p4/2B5/2N2Q2/PPPP1PPP/R1B1K1NR w KQkq -,c3d5 f8e7 d5f6 e7f6 f3e2 c6e7 g1f3 e8h8 e1h1 f8e8,85
r2qkbnr/pppn1ppp/3p4/8/3NP3/8/PPP2PPP/RNBQ1RK1 w kq -,c2c4 g7g6 f1e1 g8e7 c1g5 f8g7 b1c3 h7h6 g5h4 g6g5,89
5rk1/p4p1p/1pr1pp2/3qB3/3PR1P1/7P/PP3P2/6K1 w - -,e4e1 f6e5 d4e5 d5a2 e1e3 a2b2 e3g3 c6c1 g1g2 b2e5,-1166
r1b1k1nr/pppp1ppp/8/8/1b1nP2q/2N2Q2/PPP2PPP/R1B1KB1R w KQkq -,f3h3 h4h3 g2h3 b4c3 b2c3 d4e6 c1d2 b7b6 e1a1 c8b7,-937
r1bqk2r/ppp2ppp/2p5/2b5/2B1P1n1/2P5/PP1P1PPP/RNBQK2R w KQkq -,d2d4 c5e7 e4e5 e7g5 b1d2 e8h8 e1h1 c6c5 h2h3 g4h6,362
8/8/8/1B3k2/3K4/2N5/8/8 w - -,c3e2 f5g6 d4e5 g6f7 e2g1 f7g6 b5d3 g6f7 g1f3 f7g7,7807
8/3K4/4rk2/8/8/8/8/8 w - -,c3e2 f5g6 d4e5 g6f7 e2g1 f7g6 b5d3 g6f7 g1f3 f7g7,Mate
r2q1rk1/pppb1ppp/2nbpn2/3p4/3P4/2NBPNB1/PPP2PPP/R2QK2R w KQ -,a2a3 c6e7 g3e5 f6e8 d1e2 f7f5 c3b1 e7g6 h2h4 g6e5,54
rnbqr1k1/pppp1ppp/5n2/2b1p3/2B1P3/2N2N1P/PPPP1PP1/R1BQK2R w KQ -,a2a3 c7c6 d2d3 d7d5 c4a2 c5d4 e1h1 d4c3 b2c3 h7h6,-17
8/8/5K2/8/7Q/8/2k5/8 w - -,a2a3 c7c6 d2d3 d7d5 c4a2 c5d4 e1h1 d4c3 b2c3 h7h6,Mate
rn1qk1nr/pb1p1ppp/1p2p3/2p5/3PP3/P1bB1N2/1PP2PPP/R1BQK2R w KQkq -,f3d2 c3d4 e1h1 d4e5 d2c4 e5c7 e4e5 h7h5 c2c3 b8c6,-784
r1bqk1nr/3pppbp/p5p1/1p6/B2pP3/8/PPPPNPPP/R1BQ1RK1 w kq -,e2d4 b5a4 c2c3 d7d5 d2d3 d5e4 d3e4 d8d7 f1e1 e7e5,-410
rn1qkbnr/p1p1pppp/1p6/3p1b2/2PP4/1Q6/PP2PPPP/RNB1KBNR w KQkq -,c4d5 g8f6 f2f3 f5d7 e2e4 e7e6 d5e6 f7e6 g1h3 a7a5,257
r2qkb1r/ppp2ppp/2n1pn2/3p1b2/3P4/P1P1PN2/1P3PPP/RNBQKB1R w KQkq -,c3c4 d5c4 f1c4 f8d6 b1c3 e8h8 c4d3 f5d3 d1d3 f8e8,28
rn1qkb1r/p1p1pppp/1p3n2/3P1b2/3P4/1Q6/PP2PPPP/RNB1KBNR w KQkq -,f2f3 f5d7 e2e4 e7e6 d5e6 f7e6 g1h3 b8c6 c1e3 c6a5,265
8/8/8/8/3k4/1B2NK2/8/8 w - -,f3f4 d4c3 b3e6 c3d2 e3f5 d2c2 f4e4 c2c3 e4e3 c3c2,4771
rnb1kb1r/pp2pppp/1q6/3p4/3pnB2/4PN2/PPP2PPP/RNQ1KB1R w KQkq -,f1e2 b8c6 e3d4 e7e5 f4e5 c6e5 f3e5 b6d4 e2b5 e8e7,-114
r4rk1/ppqn1ppp/2pb1n2/3p2B1/3P2b1/2PB1N2/PP1N1PPP/R2QR1K1 w - -,d1c2 g4h5 g2g3 f8e8 f3h4 h7h6 g5e3 e8e6 d3f5 e6e7,14
r2qkb1r/pp1n1ppp/2p1p3/3n1b2/2BP4/2N1P3/PP2NPPP/R1BQK2R w KQkq -,e2g3 d7f6 c3d5 e6d5 g3f5 d5c4 e1h1 d8d5 f5g3 e8a8,63
8/8/8/8/3K4/k4N2/B7/8 w - -,c4b3 d8h4 e1h1 d5c3 e2c3 f8d6 g2g3 h4e7 g1g2 h7h6,Mate
rnbqk2r/ppp1bppp/4pn2/3p2B1/2P5/2NP4/PP2PPPP/R2QKBNR w KQkq -,g1f3 d5d4 c3b1 h7h6 g5f6 e7f6 g2g3 a7a5 f1g2 e8h8,-91
rnbqkbnr/1p3ppp/8/p1ppP3/3P4/8/PP3PPP/RNBQKBNR w KQkq -,g1f3 c5d4 f1b5 b8c6 f3d4 f8b4 b1c3 g8e7 c1g5 c8d7,71
rnbq1rk1/ppp2ppp/4pn2/3p4/3P4/4PNP1/PPP3PP/RN1QKB1R w KQ -,d1d2 f6e4 d2c1 c7c5 c2c3 b8c6 f1d3 d8b6 e1h1 e4f6,-122
rnbqk2r/pp3ppp/3bpn2/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c3b5 d6e7 c1f4 e8h8 f4c7 d8e8 c7g3 b8a6 c2c3 e8d8,84
rnbqkb1r/ppppp1pp/8/5p2/3PnP2/4P3/PPP3PP/RNBQKBNR w KQkq -,b1c3 d7d5 g1f3 g7g6 f3e5 b8d7 c3e4 f5e4 f1e2 f8g7,79
r1bqk2r/pp3ppp/2nbpn2/3p4/3P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,c1g5 a7a6 e1h1 e8h8 d1d2 c6b4 d3e2 b4c6 a2a3 h7h6,23
r1bqkbnr/2pp1ppp/p1n5/1p1B4/3pP3/5N2/PPP2PPP/RNBQK2R w KQkq -,f3d4 c8b7 e1h1 g8f6 a2a4 f8c5 d4f5 e8h8 c1g5 c5e7,169
r1bqkbnr/5ppp/p1ppp3/8/2B1P3/5Q2/PPP2PPP/RNB1K2R w KQkq -,b1c3 g8f6 c1g5 h7h6 g5e3 d8c7 e1a1 a8b8 c4b3 c6c5,59
r1bqkb1r/1pp1pp2/p1n2n1p/3p2p1/3P1B2/2PBP3/PP1N1PPP/R2QK1NR w KQkq -,g2g3 g5f4 e3f4 f8g7 d1e2 c8g4 g1f3 d8c8 e1a1 e8h8,-325
rnbqk1nr/pppp1ppp/3b4/4p3/8/P7/1BPPPPPP/RN1QKBNR w KQkq -,c2c4 g8f6 d1c2 d8e7 g1f3 e8h8 e2e3 c7c6 g2g4 d6c7,-151
r1bqkbnr/2pp1ppp/p1n5/1p6/3pP3/1B3N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 c8b7 c2c3 c6a5 b3c2 d4c3 b1c3 h7h6 b2b3 a8c8,163
r1bqkbnr/pp2pppp/8/n1pP4/8/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1b5 c8d7 d1e2 f7f6 c1f4 e8f7 e1a1 g7g6 h1e1 f8h6,618
r2qkbnr/pp2pppp/2n5/3p3b/3P4/4PN1P/PP3PP1/RNBQKB1R w KQkq -,b1c3 e7e6 f1e2 f8d6 f3e5 h5e2 e5c6 e2d1 c6d8 a8d8,-33
r1bqkbnr/2p2ppp/p1np4/1p2p3/3PP3/1B3N2/PPP2PPP/RNBQK2R w KQkq -,d4e5 c8e6 b3e6 f7e6 e5d6 c7d6 e1h1 g8f6 d1e2 f8e7,285
rnbqk1nr/pp3ppp/4p3/8/3PN3/8/PP1b1PPP/R2QKBNR w KQkq -,e1e2 d2a5 g2g3 g8e7 f1g2 e8h8 e2f1 b8c6 g1e2 a5b6,-655
r2qk2r/1pp2ppp/2npbn2/p1b1p3/P3P3/1BPP1N2/1P3PPP/RNBQK2R w KQkq -,h2h3 h7h6 b3e6 f7e6 e1h1 d8d7 c1e3 g7g5 d3d4 e5d4,-34
r1bqkbnr/p1p2ppp/2p1p3/3N4/3pP3/8/PPPP1PPP/R1BQK1NR w KQkq -,d5f4 e6e5 f4h5 g8f6 h5f6 d8f6 g1f3 a7a5 e1h1 f8d6,-61
r1bqk2r/pppn1pb1/3p1npp/4p1B1/2PPP3/2N2N2/PP2BPPP/R2QK2R w KQkq -,g5f6 d8f6 d4d5 h6h5 e1h1 e8h8 a2a3 g7h6 d1c2 f6e7,-35
rnbqkb1r/pp2pppp/5n2/2p1p3/2P5/5N2/PP1P1PPP/RNBQKB1R w KQkq -,b1c3 b8c6 d2d3 c8f5 g2g3 h7h6 d1e2 d8d6 c3b5 d6b8,-288
r1bqkb1r/2pp1ppp/p1n2n2/1p6/3pP3/1B3N2/PPP2PPP/RNBQ1RK1 w kq -,e4e5 f6g8 f1e1 c8b7 a2a4 h7h6 c2c3 g8e7 c3d4 c6a5,300
r1bqkb1r/pp1ppppp/2n2n2/8/2BQ4/2P2N2/PP3PPP/RNB1K2R w KQkq -,d4d1 d7d5 c4b5 c8d7 e1h1 a7a6 b5a4 d8c7 c1g5 e7e6,-242
r2qkb1r/pp3ppp/2np1n2/2p1p3/2P1P3/2NPBb1P/PP3PP1/R2QKB1R w KQkq -,d1a4 f3h5 g2g4 h5g6 h3h4 h7h6 f1e2 f8e7 e1a1 e8f8,-417
rnbqk1nr/p1p2ppp/4p3/1p6/2pP1B2/2P2N2/P3PPPP/R2QKB1R w KQkq -,d1b1 a7a6 a2a4 c7c6 e2e4 b8d7 f1e2 g8e7 e1h1 e8h8,51
8/8/8/7p/6p1/6pk/5KN1/8 w - -,e2e3 c7c6 a2a4 b8d7 f1e2 g8f6 d1b1 a7a6 e3e4 c8b7,Mate
r1bqk1nr/pp3ppp/2n5/1B1p4/1b1NP3/8/PP3PPP/RNBQK2R w KQkq -,e1e2 g8e7 c1e3 e8h8 a2a3 b4a5 b1c3 c8d7 d4b3 a5c3,-248
rnb1kbnr/pp1ppppp/8/q3P3/3p4/8/PPP2PPP/RNBQKBNR w KQkq -,b2b4 a5e5 d1e2 e5e2 g1e2 e7e5 c2c3 d4c3 e2c3 f8b4,-299
rnbqkbnr/pp3ppp/2p5/4p3/3pP3/5P2/PPPP2PP/RNBQKBNR w KQkq -,g2g3 f8b4 c2c3 b4a5 d2d3 c6c5 f1g2 b8c6 g1e2 h7h5,-111
r1bqk2r/pp1nbppp/2p1pn2/3p4/8/1P1PP1P1/PBP2PBP/RN1QK1NR w KQkq -,g1f3 e8h8 e1h1 b7b5 b1d2 a7a5 c2c4 c8b7 a2a3 d7c5,19
r1bqk2r/pp1n1ppp/2pbpn2/3pN3/3P4/6P1/PPP1PPBP/RNBQ1RK1 w kq -,f2f4 c6c5 e2e3 b7b5 b1c3 a7a6 d4c5 d6c5 e5d3 b5b4,47
r2qkbnr/1ppb1pp1/p1np3p/1B2p3/3PP3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,b5c4 b7b5 c4d3 g8f6 h2h3 f8e7 a2a3 e8h8 c1e3 f8e8,93
8/4k3/8/1Q1B4/3K4/8/8/8 w - -,b5c6 d7c6 f1e1 f8e7 b1d2 e5d4 f3d4 c6d7 d1b3 a8b8,Mate
8/8/8/8/3K1N2/8/5B2/1k6 w - -,b5c6 d7c6 f1e1 f8e7 b1d2 e5d4 f3d4 c6d7 d1b3 a8b8,Mate
r1bqkbnr/1p2ppp1/p1np3p/2p5/P1B1P3/2N2N2/1PPP1PPP/R1BQK2R w KQkq -,d2d4 c5d4 f3d4 e7e6 e1h1 g8f6 d4c6 b7c6 d1f3 d6d5,64
r1bq1rk1/ppp2pbp/2nppnp1/8/3PP3/2NBBN2/PPP2PPP/R2Q1RK1 w - -,d1d2 e6e5 h2h3 e5d4 f3d4 c6d4 e3d4 f8e8 f1e1 c8e6,86
r1bqk2r/pppnbppp/4pn2/3p4/8/1P1P2P1/PBP1PPBP/RN1QK1NR w KQkq -,e2e4 c7c5 e4e5 f6g8 d1g4 g7g6 g4e2 g8h6 f2f4 e8h8,55
8/8/8/4K1k1/8/5Q2/8/8 w - -,c2c4 a7a5 g1f3 a5a4 e1h1 e8h8 e2e3 a4a3 b2c3 e7d6,Mate
r1bqkb1r/pp3ppp/2n1p3/2pn4/3P4/4PN2/PP2BPPP/RNBQK2R w KQkq -,d4c5 f8c5 a2a3 e8h8 e1h1 c5b6 b2b4 e6e5 b4b5 e5e4,40
r1bqkb1r/pp1ppppp/5n2/2p5/2n1PQ2/3P4/PPP2PPP/RNB1K1NR w KQkq -,b2b4 g7g5 f4g3 f8g7 e4e5 f6e4 d3e4 g7e5 g3d3 e5a1,-351
r2q1rk1/pbpnbppp/1p2pn2/8/3PN3/3B1N2/PPP1QPPP/R1B1R1K1 w - -,c1f4 b7e4 d3e4 f6e4 e2e4 e7d6 f4d2 a7a5 c2c4 h7h6,55
rn1qkb1r/pp2pppp/2p2n2/3p4/Q1PP2b1/4P3/PP3PPP/RNB1KBNR w KQkq -,c4d5 f6d5 b1c3 e7e6 f2f3 d5b6 a4d1 g4h5 e3e4 b8d7,32
rnbqk2r/pppp2pp/5p1n/4p3/1bBPP3/5N2/PPP2PPP/RNBQK2R w KQkq -,c2c3 d7d5 c4d5 c7c6 d5b3 b4e7 c1h6 g7h6 h2h3 e8d7,630
r2qr3/p1pnbkpp/1p2pn2/8/3P4/3B1P2/PPP1QP1P/R1B1R1K1 w - -,e2e6 f7f8 d3c4 d7e5 e1e5 d8d5 c4d5 f6d5 e6d5 e7f6,1686
r2qkbnr/ppp2pp1/3pb2p/3Q4/2B1P3/8/PPP2PPP/RNB1K2R w KQkq -,c4b5 c7c6 b5c6 b7c6 d5c6 e6d7 c6a6 g8f6 b1c3 d8b6,-388
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/3P4/4PN1P/PPP1BPP1/RNBQK2R w KQkq -,c2c4 b8d7 b1c3 f6e4 c3e4 f5e4 c4c5 a7a5 e1h1 b7b6,-23
r1bqk2r/ppp2ppp/2n1p3/3n4/1bpP4/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,d1c2 b4e7 e2e4 d5b4 c2d1 e8h8 c1e3 b7b6 f3e1 c8a6,52
rnbqkb1r/pp1ppppp/5n2/8/3Q4/2P2N2/PP3PPP/RNB1KB1R w KQkq -,d4d1 b7b6 c3c4 g7g6 f1e2 c8b7 e1h1 f8g7 b1c3 b8a6,-187
r2qkbnr/ppp2ppp/3p4/3Pp3/1n2P1b1/P4N2/1PP2PPP/RNBQKB1R w KQkq -,a3b4 g8f6 f1b5 f6d7 h2h3 g4h5 b1c3 a7a6 b5d7 d8d7,622
rnbqk2r/pppp1ppp/8/4P2n/1b1P1p2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,g2g4 f4g3 f3g5 g7g6 h2g3 d7d5 d1f3 d8e7 g3g4 b8c6,357
r1bqk2r/p3bppp/2p1pn2/p2p4/3P1B2/P1N1P3/1PP1NPPP/R2QK2R w KQkq -,f4e5 e8h8 e1h1 f6d7 e5g3 c8a6 c3a4 a8c8 f1e1 c6c5,-55
rnbq1rk1/p4ppp/1ppbpn2/3p4/2PP4/1PN1PN2/PB3PPP/R2QKB1R w KQ -,f1d3 c8b7 e1h1 c6c5 c4d5 e6d5 a1c1 b8d7 c3e2 a7a6,33
rnbqk2r/pppp1ppp/8/4P2n/1b1P4/2N2Np1/PPP4P/R1BQKB1R w KQkq -,f3g5 g7g6 h2g3 d7d5 d1f3 f7f6 h1h5 d8e7 f1e2 f6e5,277
r1b1kb1r/ppp1pppp/2n2n2/3q4/3P4/5P2/PPP3PP/RNBQKBNR w KQkq -,b1a3 c8f5 g2g4 f5g4 c2c4 d5a5 d1d2 a5d2 c1d2 g4d7,-164
rn1q1rk1/ppp2ppp/3bbn2/3p4/3P4/2NB1N2/PPP1QPPP/R1B1K2R w KQ -,e2d1 e6g4 e1h1 c7c6 h2h3 g4h5 d3e2 b8d7 f3h4 g7g6,-66
rnbqkb1r/1pp2pp1/p3pn1p/3p4/3P4/1P1BPN2/P1P2PPP/RNBQK2R w KQkq -,b1d2 b7b6 c1b2 c8b7 f3e5 c7c5 e1h1 c5d4 b2d4 f8c5,61
r1bqk2r/ppp1bppp/2n2n2/3pp3/4P3/1B1P1N2/PPP2PPP/RNBQK2R w KQkq -,e4d5 f6d5 e1h1 c8g4 h2h3 g4h5 g2g4 h5g6 f1e1 f7f6,21
rnb1k2r/pp1p1ppp/4pn2/2q5/2P5/P1P5/3BPPPP/R2QKBNR w KQkq -,a1c1 e8h8 g1f3 b8c6 d1a4 b7b6 d2e3 c5a5 a4a5 c6a5,-194
rn1qk2r/pb1pbppp/4pn2/8/1p1P4/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,d4d5 b4c3 d5d6 e7f8 b2c3 b7e4 c1f4 g7g6 f3d4 f8g7,-426
rn1q1rk1/pb1pbppp/4pn2/8/Np1P4/5NP1/PP2PPBP/R1BQ1RK1 w - -,a4c5 b7d5 c1g5 d7d6 c5d3 a7a5 f3d2 d5g2 g1g2 d8b6,-48
rn1q1rk1/pp2nppp/2p1p3/3pPb2/1bPP4/2N2N2/PP1B1PPP/R2QKB1R w KQ -,d1a4 b4c3 d2c3 d5c4 a4c4 b7b5 c4b3 a7a5 f1e2 f5e4,-78
r1bqk1nr/ppp2pbp/2np2p1/8/2P1P3/5N2/PP3PPP/RNBQKB1R w KQkq -,f1d3 c8g4 e1h1 g8f6 b1c3 f6d7 d3e2 g4f3 e2f3 e8h8,-60
r1bqkbnr/pppp2pp/2n1pp2/8/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq -,c2c4 d7d5 e2e3 f8d6 d2d4 f6f5 a2a3 g8f6 c4c5 d6e7,129
rnbqk2r/ppp2ppp/3bpn2/8/8/2N2NP1/PPPPQP1P/R1B1KB1R w KQkq -,d2d4 b7b6 c1g5 c8b7 e1a1 h7h6 g5f6 d8f6 f1g2 e8h8,74
rn1qkb1r/ppp1pppp/1n6/3pP3/3P2b1/2P2N2/PP3PPP/RNBQKB1R w KQkq -,h2h3 g4f3 d1f3 e7e6 b2b4 a7a5 b4b5 c7c5 b5c6 b7c6,137
8/8/8/Q7/6K1/8/1k6/1q6 w - -,,0
rnbqkbnr/pp3pp1/3pp2p/8/2BpP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,f3d4 g8f6 c1e3 a7a6 f2f3 c8d7 a2a3 b7b5 c4a2 b8c6,81
rnbqk2r/pp3ppp/5n2/2b1p3/3p4/1BNP3P/PPP2PP1/R1BQK1NR w KQkq -,b3a4 b8c6 a4c6 b7c6 c3e2 e8h8 g1f3 e5e4 d3e4 f6e4,-205
r1bqkb1r/ppp2pp1/2n2n1p/3p4/3P1B2/4PN2/PP3PPP/RN1QKB1R w KQkq -,b1c3 f8d6 f4d6 d8d6 f1d3 c8g4 e1h1 e8h8 a1c1 a8e8,69
rn3rk1/pppqppbp/3p1np1/8/2PPP1b1/2N2NP1/PP3PBP/R1BQK2R w KQ -,h2h3 g4f3 g2f3 b8c6 d4d5 c6a5 d1e2 c7c6 a1b1 c6d5,93
r1bqkb1r/pppn1ppp/4pn2/6B1/2pP4/P1N5/1P2PPPP/R2QKBNR w KQkq -,d1a4 c7c5 d4c5 f8c5 e2e3 a7a6 f1c4 e8h8 a4c2 h7h6,-53
r2qkb1r/pp1npppp/2pp1n2/8/3P1Bb1/3BPN2/PPP2PPP/RN1QK2R w KQkq -,h2h3 g4f3 d1f3 e7e5 f4h2 g7g6 e1h1 f8g7 b1d2 e8h8,66
r1b1k2r/ppp2ppp/2p2q2/2b5/4P3/8/PPP1BPPP/RNBQK2R w KQkq -,e1h1 c8e6 b1c3 h7h5 g1h1 c5f2 c1e3 a8d8 e2d3 f2e3,509
rn1qk2r/pp1bbppp/3p1n2/1Bp5/3NPB2/2N5/PPP2PPP/R2QK2R w KQkq -,b5d7 d8d7 d4f5 b8c6 f5g7 e8d8 g7h5 h8g8 g2g3 g8g6,491
r1bqkb1r/ppp2ppp/2n5/1B1pN3/8/3P4/PPP3PP/RNBnR1K1 w kq -,e5f3 f8e7 b5c6 b7c6 e1d1 e8h8 c1e3 a8b8 b2b3 c6c5,-913
rn1q1rk1/ppp1bppp/3p1n2/5bN1/1PP1p3/2N1P3/PB1P1PPP/R2QKB1R w KQ -,f2f3 e4f3 g5f3 b8c6 a2a3 a7a5 b4b5 c6e5 f1e2 e5d3,-46
rnbq1rk1/pp2bppp/3p1n2/1Np5/4PB2/2N5/PPP2PPP/R2QKB1R w KQ -,f4d6 b8c6 d6e7 d8e7 d1d6 f8e8 e1a1 f6e4 c3e4 e7e4,286
rn1qkb1r/pp3pp1/4pnp1/2pp4/3P4/2N1PN1P/PPP2PP1/R1BQK2R w KQkq -,d4c5 b8d7 c5c6 b7c6 e1h1 d8c7 e3e4 f8b4 e4d5 c6d5,-77
rn2kb1r/pp2pppp/2pq1n2/1B3b2/3P4/2N2N2/PPP2PPP/R1BQK2R w KQkq -,b5d3 f5d3 d1d3 e7e6 f3e5 f8e7 c1f4 d6d8 e1a1 e8h8,56
r2qkb1r/ppp2ppp/2np4/8/3P2b1/2P2N2/P1P2PPP/R1BQKB1R w KQkq -,h2h3 g4d7 f1d3 f8e7 e1h1 e8h8 f1e1 a8c8 a2a4 b7b6,79
2rr2k1/1b2qppp/1p2p1n1/p1b5/2NN2n1/PP2P3/1B3PPP/2RRQBK1 w - -,d4b5 e7g5 h2h3 g4e5 d1d8 c8d8 c4e5 g6e5 b2e5 g5e5,-66
rnbqk2r/pp2bppp/4pn2/2pp4/3P1P2/2P1P3/PP1N2PP/R1BQKBNR w KQkq -,f1e2 e8h8 g1f3 b7b6 f3e5 d8c7 e1h1 c8a6 e2a6 b8a6,-61
rn1qkbnr/p2ppppp/b1p5/8/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,d1a4 e7e6 f1c4 a6c4 a4c4 d7d5 e4d5 c6d5 c4a4 b8d7,32
rn1q1rk1/ppp2ppp/3b1n2/3p4/3P2b1/3BPN2/PP3PPP/RNBQ1RK1 w - -,d1b3 g4f3 g2f3 b7b6 b3a4 c7c5 d4c5 b6c5 f1d1 b8d7,-51
rnbqkb1r/pp3ppp/2p2n2/1B1p4/3NP3/2N5/PPP2PPP/R1BQK2R w KQkq -,b5e2 d5e4 e1h1 f8e7 c1f4 e8h8 h2h3 d8b6 d1d2 b6b2,-62
r1bqk2r/ppp1bppp/2nppn2/8/3PPP2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,e4e5 f6d5 c3e4 d6e5 f4e5 f7f6 e5f6 d5f6 f1d3 f6e4,142
r2qkbnr/ppp2ppp/2np4/4p3/2B1P1b1/5N2/PPPPQPPP/RNB1K2R w KQkq -,d2d3 c6d4 e2d1 g4f3 g2f3 d8f6 f3f4 e5f4 c2c3 d4e6,-61
rnb1k2r/pp1pppbp/1q3np1/2p5/3P1B2/2P1P2P/PP3PP1/RN1QKBNR w KQkq -,d1d2 d7d6 f1d3 e8h8 g1f3 c5d4 c3d4 b8c6 b1c3 c6b4,-21
r1bqk1nr/pp3ppp/2n1p3/2bp4/3NP3/2P5/PP1N1PPP/R1BQKB1R w KQkq -,d4b3 c5b6 e4d5 e6d5 d2f3 g8f6 f1d3 d8d6 e1h1 e8h8,-40
5N2/2p5/5p1p/4r1k1/8/2PK4/5PPP/R7 w - -,f2f4 g5f4 f8g6 f4f5 g6e5 f5e5 a1a6 h6h5 a6c6 h5h4,7465
r1bqkb1r/ppp2ppp/2n5/3n4/2B5/5N2/PPPP1PPP/R1BQK2R w KQkq -,d1e2 f8e7 e1h1 e8h8 d2d4 e7f6 f1e1 c8f5 c2c3 c6e7,-677
r1b1kb1r/ppp2ppp/2n5/3q4/8/5N2/PPPP1PPP/R1BQK2R w KQkq -,d1e2 c8e6 e1h1 e8a8 d2d3 f8d6 h2h3 d5h5 f3d4 e6g4,-559
rnbqk2r/ppp2ppp/3p1n2/2b1p3/2P1P3/2N4N/PP1P1PPP/R1BQKB1R w KQkq -,f1d3 c8h3 g2h3 b8c6 d3e2 c6d4 d2d3 d8d7 e2f1 a7a5,-157
8/1k6/8/8/8/1KQ5/8/8 w - -,f1d3 c8h3 g2h3 b8c6 d3e2 c6d4 d2d3 d8d7 e2f1 a7a5,Mate
rn2kbnr/ppq2ppp/2pp4/3Pp3/2P1P1b1/5N2/PP3PPP/RNBQKB1R w KQkq -,h2h3 g4d7 b1c3 a7a5 a2a3 g8f6 g2g4 h7h6 f1d3 g7g6,96
r1bqk2r/ppp1bppp/2np4/4p3/2BPn3/5N1P/PPP2PP1/RNBQ1RK1 w kq -,d1e1 d6d5 d4e5 e8h8 c4d3 e4c5 d3b5 a7a6 b5c6 b7c6,-46
r1b1kb1r/pp3ppp/1qn1pn2/2pp4/3P1B2/1PP1P2P/P4PP1/RN1QKBNR w KQkq -,g1f3 f6e4 f1e2 c5d4 e3d4 c6e7 e1h1 e7g6 f4e3 f8e7,24
r3k2r/pppqbppp/2np1n2/4p3/4P1b1/2NP1NP1/PPP2PBP/R1BQ1RK1 w kq -,c1e3 e8h8 d1d2 a8e8 f3g5 g4h5 f2f3 d6d5 c3d5 f6d5,25
rnbq1rk1/pp1pppbp/2p2np1/8/2BP1B2/4PN2/PPP2PPP/RN1QK2R w KQ -,e1h1 a7a5 h2h3 b7b5 c4d3 a5a4 c2c3 d7d6 e3e4 b8d7,37
1r1qb1k1/p1rn2pp/1ppNpp2/P2nP3/1P1P4/Q4N2/5PPP/2RR1BK1 w - -,d1e1 e8g6 f1c4 f6e5 f3e5 d7e5 d4e5 b6a5 b4a5 d8g5,188
r1bqk2r/ppp1bppp/4pn2/3pn3/2PP4/2N1P3/PP3PPP/R1BQKB1R w KQkq -,b2b3 e5g6 c1b2 e8h8 f1e2 b7b6 e1h1 c8b7 d1c2 c7c6,-471
r1b1kb1r/pp1npppp/2p2n2/q2p4/3P1B2/3BPN2/PPP2PPP/RN1QK2R w KQkq -,d1d2 a5d2 b1d2 g7g6 h2h3 f8g7 a2a4 a7a5 e1h1 e8h8,89
2r1q1k1/p1rn3p/1pp1pp2/PP1n4/3P4/Q4N2/5PPP/2RR1BK1 w - -,c1c6 c7c6 b5c6 c8c6 a5b6 a7b6 f3d2 e8c8 a3g3 g8h8,112
