2b3k1/4q2p/3r2pQ/8/8/7R/6PP/5rK1 w - -,c1e3 c8b7 f1d3 f8g7 c2c4 g8e7 b1c3 e8h8 d4d5 b8a6,Mate
2b3k1/4q2p/6pQ/8/8/7R/6PP/3r1K2 w - -,c1e3 c8b7 f1d3 f8g7 c2c4 g8e7 b1c3 e8h8 d4d5 b8a6,Mate
rnbk1b1r/pp2pppp/8/8/4p3/2B5/PPP2PPP/R3KBNR w KQ -,e1a1 d8e8 g1e2 b8c6 e2d4 c8d7 f1b5 a7a6 b5c6 b7c6,42
rnbqk2r/ppppbppp/4pn2/8/2PP4/7P/PP2PPP1/RNBQKBNR w KQkq -,b1c3 d7d5 g1f3 e8h8 c4d5 e6d5 c1f4 c8f5 e2e3 c7c6,28
r1bq1rk1/ppp1bppp/2np1n2/4pPB1/4P3/3P1N2/PPP3PP/RN1QKB1R w KQ -,,0
r1bqk2r/ppp1bppp/2n2n2/4p1B1/4p3/3P1N2/PPP1BPPP/RN1Q1RK1 w kq -,f3e1 e8h8 b1c3 e4d3 e1d3 e5e4 d3c1 a7a5 c3b5 f6d5,-217
8/5k2/8/1B2K3/3B4/8/8/8 w - -,f3e1 e8h8 b1c3 e4d3 e1d3 e5e4 d3c1 a7a5 c3b5 f6d5,Mate
rn1qkb1r/pp1b1ppp/3p1n2/1BpPp3/4P3/5P2/PPP3PP/RNBQK1NR w KQkq -,a2a4 d7b5 a4b5 f8e7 g1h3 e8h8 e1h1 a7a6 g1h1 b8d7,164
rnb2rk1/pp2ppbp/5np1/2qp4/5B2/2N1P2P/PPPN1PP1/R2QKB1R w KQ -,f4e5 b8d7 d2b3 c5b6 e5h2 a7a5 a2a4 b6b4 d1d4 d7b6,-58
r1b1r1k1/ppq2ppp/2nbpn2/3pN3/3p1P2/1P1BP3/PBPN2PP/R2Q1RK1 w - -,d2f3 d4e3 d1e2 h7h6 f3d4 d6c5 d4c6 b7c6 f1f3 d5d4,-131
