3r2k1/1p6/2p3pp/R4p2/R3pP2/4Pn2/1P3PKP/5r2 w - -,c3e2 a5a4 b3a2 c6c5 d2d3 g8f6 c2c3 d4c3 b2c3 f8e7,Mate
r1bqkb1r/1p1npppp/p4n2/1Bpp4/P6N/4P3/1PPP1PPP/RNBQK2R w KQkq -,b5d7 c8d7 f2f4 b7b5 h4f3 g7g6 d2d3 f8g7 a4b5 a6b5,-79
r1b1k2r/p1p2p1p/1p3n2/2bp4/4P3/2N2P2/PPP3PP/R1B1KB1R w KQkq -,c1g5 c5e7 f1b5 c8d7 b5d7 e8d7 e1a1 c7c6 e4d5 f6d5,378
rnb3k1/pp1n4/4pp2/3pP3/5N2/2p5/PPP2PP1/R3K2R w KQ -,f4e6 c3b2 a1b1 b8c6 e6c7 a8b8 e5f6 d7f6 b1b2 b7b6,-26
r2qk1nr/pp1b1ppp/2n1p3/2bpP3/8/2NB1N2/PPP2PPP/R1BQ1RK1 w kq -,c3b5 a7a6 c1e3 c5f8 b5d6 f8d6 e5d6 g8f6 f1e1 d8b8,87
r2q1rk1/ppp2ppp/1bn5/3pPb2/3P4/2n1BN2/PP2BPPP/R2Q1RK1 w - -,d1e1 c3e2 e1e2 f7f6 a2a4 f6e5 d4e5 f5g4 a4a5 g4f3,-515
r2q1rkn/pp1bb1pp/2n1pp2/2ppP2P/3P4/2P2NP1/PP2BP2/RNBQR1K1 w - -,a2a4 c5d4 e5f6 e7f6 c3d4 d7e8 h5h6 g7g5 b1c3 h8f7,-29
r1bq1rk1/p4ppp/2pbpn2/1B1p4/5B2/2P1P3/PP1N1PPP/R2QK2R w KQ -,f4d6 d8d6 b5e2 a7a5 e1h1 e6e5 d1c2 f8d8 e3e4 c8e6,-38
r2qr1k1/pppn2bp/5np1/3p2BP/3p4/2N2P1B/PPPQ4/2K1R2R w - -,e1e8 d8e8 c3b5 d7e5 b5c7 e8c6 h3e6 g8h8 g5f6 c6c7,300
rn1q1rk1/1p2ppbp/1n1p2p1/pN6/P1PP4/5b2/1P2BPPP/R1BQ1RK1 w - -,e2f3 b8c6 b2b3 d6d5 c1f4 a8c8 c4c5 b6d7 d1d2 e7e6,45
6k1/1p6/2p3pp/R4p2/4pP2/4Pn2/1P3PKP/R2r1r2 w - -,e2f3 b8c6 b2b3 d6d5 c1f4 a8c8 c4c5 b6d7 d1d2 e7e6,Mate
3r2k1/1n2npbp/p3p1p1/1p6/4B3/4BN2/PP3PPP/3R2K1 w - -,e3d4 g7d4 d1d4 d8c8 g2g3 b7c5 e4c2 e7c6 d4d2 g8f8,-156
8/7k/p7/P5KP/3B4/5b2/5P2/8 w - -,h5h6 h7g8 g5f4 f3e2 d4e3 e2d1 f4e4 g8f7 e4e5 d1f3,638
rnb3k1/pp6/4pp2/3pn3/5N2/2P5/P1P2PP1/R3K2R w KQ -,e1a1 b8c6 c3c4 d5c4 h1h6 e5f7 h6f6 e6e5 f4e6 c8e6,-70
8/8/6p1/2k4p/4P1PP/2K5/8/8 w - -,e1a1 b8c6 c3c4 d5c4 h1h6 e5f7 h6f6 e6e5 f4e6 c8e6,Mate
6k1/1p6/2p3pp/R4p2/4pP2/4Pn2/1P3PKP/3r4 w - -,e1a1 b8c6 c3c4 d5c4 h1h6 e5f7 h6f6 e6e5 f4e6 c8e6,Mate
r2qr1k1/ppp2ppp/5n2/6B1/8/1PP2Q2/2P1bPPP/R2R2K1 w - -,d1d8 e2f3 d8a8 e8a8 g2f3 f6e8 c3c4 f7f6 g5e3 g8f7,-19
3r1k2/1pp2pbp/p2r2p1/3P4/8/2pK1B2/PP3PPP/2R1R3 w - -,b2c3 d6c6 c1c2 c6c5 a2a4 d8b8 e1b1 g7e5 h2h3 c5a5,-46
2rrnbk1/1q3pp1/p3p2p/4B3/PpN3QP/1P2P3/5PP1/2RR2K1 w - -,g1f1 d8d1 c1d1 f8e7 g4f4 e8f6 e5f6 e7f6 g2g3 c8c5,66
r3q1k1/pppn2bp/5np1/3p2BP/3p4/2N2P1B/PPPQ4/2K4R w - -,c3b5 d7e5 b5c7 e8c6 h3e6 g8h8 g5f6 c6c7 f6g7 c7g7,294
8/8/8/2k4p/4P2P/2K5/8/8 w - -,c3e2 f6h5 h1e1 d7e5 e2d4 h7h6 g5h4 e8a4 h3e6 g8h7,Mate
8/8/8/3R4/8/8/4rpk1/3K4 w - -,d1e2 f2f1q e2e3 f1c4 d5d2 g2g3 d2d3 c4c2 e3e4 g3g4,-268
