r1bqkb1r/1p3p1p/p1nppnp1/2p5/P1B1PP2/2NP1N2/1PP3PP/R1BQK2R w KQkq -,e1h1 f8g7 d1e1 e8h8 c4b3 b7b6 c1d2 c8b7 g1h1 d6d5,37
rnbq1rk1/p1pp1pp1/1p2pn1p/6B1/1bPPP3/2N5/PPQ2PPP/R3KBNR w KQ -,g5h4 c7c5 e4e5 g7g5 h4g3 c5d4 a2a3 d4c3 a3b4 c3b2,81
r1bqk1nr/pppp1pp1/2n4p/2b1p3/4P3/1B3N2/PPPP1PPP/RNBQK2R w KQkq -,f3e5 c5f2 e1f2 c6e5 h1f1 c7c5 d2d4 c5d4 d1d4 d7d6,131
r2qkbnr/pppb1ppp/2n1p3/1B1p4/3P4/P3P3/1PP2PPP/RNBQK1NR w KQkq -,b2b3 d8g5 b5f1 e6e5 c2c4 e5e4 c4d5 g5d5 g1e2 f8d6,29
r2qkbnr/pp3ppp/2n1p3/2ppP2b/3P4/2PB1N1P/PP3PP1/RNBQK2R w KQkq -,d3b5 d8b6 b5c6 b7c6 b1d2 a7a5 e1h1 c5d4 c3d4 a5a4,-61
rnbqkb1r/3ppp1p/5np1/1BpP4/8/4P3/PP3PPP/RNBQK1NR w KQkq -,a2a4 f8g7 g1e2 b8a6 e2c3 a6c7 b1a3 c7b5 a4b5 d7d6,128
rnbqk2r/pp2bppp/2p2n2/3pp3/2B1PP2/3P4/PPP1Q1PP/RNB1K1NR w KQkq -,d3d4 e5d4 e4e5 d5c4 e5f6 g7f6 g1f3 d4d3 c2d3 c4d3,-443
r1b1kbnr/ppp2p1p/2np1q2/6p1/2BPPp2/5N2/PPP3PP/RNBQ1RK1 w kq -,d1d3 f8g7 e4e5 d6e5 d4e5 f6e7 b1c3 c8e6 c4e6 f7e6,-103
rnbq1rk1/ppppppbp/5np1/1B6/3P4/2N1P3/PPP2PPP/R1BQK1NR w KQ -,b5d3 d7d5 g1f3 c8g4 e1h1 b8d7 e3e4 c7c5 e4e5 f6e8,-69
rnbq1rk1/ppp1bppp/3p1n2/4p3/2P1P3/2NP1N2/PP3PPP/R1BQKB1R w KQ -,d3d4 e5d4 f3d4 f8e8 f1e2 e7f8 f2f3 c7c6 c1g5 h7h6,49
r2qkbnr/1ppb1ppp/p1np4/1B2p3/4P3/3P1N1P/PPP2PP1/RNBQK2R w KQkq -,b5c4 b7b5 c4b3 c6a5 e1h1 g8f6 b1c3 f8e7 f3h2 e8h8,18
r2qkbnr/1pp2ppp/p1bp4/4p3/4P3/3P1N1P/PPP2PP1/RNBQK2R w KQkq -,,0
8/R7/2k5/5R2/8/4K3/8/8 w - -,b1c3 f7f5 d3d4 f5e4 f3e5 d6e5 d1h5 e8d7 h5f5 d7e8,Mate
8/8/1k6/5R2/8/4K3/8/8 w - -,b1c3 f7f5 d3d4 f5e4 f3e5 d6e5 d1h5 e8d7 h5f5 d7e8,Mate
rnbqkb1r/1p3p1p/p2ppnp1/8/3NP3/2N1BP2/PPP3PP/R2QKB1R w KQkq -,g2g4 b7b5 a2a3 c8b7 d1d2 b8d7 h2h4 d6d5 h4h5 g6g5,118
r1bqkb1r/ppp1pp1p/2n2np1/3p4/3P1P2/2P1P3/PP4PP/RNBQKBNR w KQkq -,f1d3 c8f5 g1f3 e7e6 e1h1 c6e7 c3c4 f8g7 f3e5 h7h5,-24
r1bqk2r/ppp1ppbp/2n3p1/3p4/3PnP2/2PBPN2/PP4PP/RNBQK2R w KQkq -,c3c4 c8f5 c4d5 d8d5 b1c3 e4c3 b2c3 e8h8 d1e2 f5d3,71
R7/1p2N3/1kp5/8/8/8/8/6K1 w - -,a8c8 b6c5 c8c7 c5b6 c7d7 b6a6 e7c8 c6c5 g1f2 a6b5,5970
r4rk1/pp4pp/2n1bn2/3p4/3P4/3B1N2/Pq3PPP/R2QR1K1 w - -,h2h3 f6e4 e1e2 b2a3 a1b1 e4c3 e2e3 c3d1 d3h7 g8h7,-354
r2qkb1r/pp2pp1p/2nPbnp1/8/2Q5/5N2/PPP2PPP/RNB1KB1R w KQkq -,c4f4 f8g7 b1c3 e8h8 f1e2 e7d6 e1h1 d6d5 c3b5 f8e8,-42
r1bqkb1r/ppp2p1p/3p2pn/4p3/2BnP3/3P4/PPP2PPP/RNBQK1NR w KQkq -,c2c3 d4e6 d3d4 f7f6 g1f3 f8g7 e1h1 e8h8 f1e1 h6f7,36
r1bqk2r/pp2bppp/2nppn2/2p5/4PP2/2PP1N2/PP2B1PP/RNBQK2R w KQkq -,e1h1 a8b8 a2a4 a7a6 b1a3 e8h8 a3c2 b7b5 a4b5 a6b5,17
rnbq1rk1/ppp1ppbp/5np1/8/2pP4/3BPN2/PP1N1PPP/R1BQK2R w KQ -,d3e2 b7b5 e1h1 a7a6 a2a4 c8b7 a4b5 a6b5 a1a8 b7a8,-191
r2qk2r/pbpnbppp/1p2pn2/3p4/3P1B2/3BPN2/PPPNQPPP/R3K2R w KQkq -,a2a4 f6h5 c2c3 c7c5 f3e5 h5f4 e3f4 e8h8 g2g3 d7f6,58
r1bqkb1r/ppp2p1p/3pn1pn/4p3/2B1P3/2PP4/PP3PPP/RNBQK1NR w KQkq -,c4b3 f8g7 g1f3 e8h8 d3d4 e5d4 c3d4 c7c5 d4c5 e6c5,-32
8/1R6/8/8/4k3/8/4K3/8 w - -,c4b3 f8g7 g1f3 e8h8 d3d4 e5d4 c3d4 c7c5 d4c5 e6c5,Mate
rn1qkbnr/pp3ppp/2p1p3/5b1P/8/5NN1/PPPP1PP1/R1BQKB1R w KQkq -,g3f5 e6f5 f1d3 g8h6 d3c4 b8d7 d2d4 h6g4 d1d3 d7f6,273
8/8/8/4k3/1R6/3K4/8/8 w - -,f3e5 b8d7 e5c4 g7g6 d2d4 g8f6 h5g6 f5g6 f1d3 h8g8,Mate
r2qkb1r/pp1bpppp/2np1n2/8/Q3P3/2P2N2/PP3PPP/RNB1KB1R w KQkq -,c1g5 e7e6 b1d2 f8e7 a4d1 d8c7 g5h4 a7a6 a2a4 h7h6,-33
rnbq1rk1/p3bppp/5n2/1p1p4/2pP4/1P3N2/P1P2PPP/RNBQRBK1 w - -,a2a4 b5b4 b3c4 d5c4 f1c4 b8c6 c1b2 c8f5 b1d2 a8c8,84
r2qkbnr/pp3ppp/2n1p3/2ppP2b/3P4/2P1BN1P/PP3PP1/RN1QKB1R w KQkq -,d4c5 h5f3 d1f3 a7a6 f3g3 g8e7 f1d3 d8c7 b1d2 c7e5,55
r1bqkb1r/pp2nppp/2np4/1Bp1p3/8/1P2PN2/PBPP1PPP/RN1QK2R w KQkq -,d2d4 c5d4 e3d4 e5e4 d4d5 a7a6 d5c6 a6b5 c6b7 c8b7,40
rnbqkb1r/ppp1pp1p/3p1np1/8/8/2N3P1/PPPPPPBP/R1BQK1NR w KQkq -,g1f3 f8g7 d2d4 e8h8 e1h1 d6d5 a2a4 c8f5 f1e1 b8c6,33
6Q1/8/8/8/2K5/8/7p/5k2 w - -,,0
8/8/6Q1/8/2K5/8/7p/5k2 w - -,,0
8/8/8/5Q2/2K5/8/7p/6k1 w - -,,0
8/8/8/8/2K3Q1/8/7p/5k2 w - -,,0
8/8/8/8/2K5/5Q2/7p/6k1 w - -,,0
8/8/8/8/2K5/6Q1/7p/7k w - -,,0
r1b1k1nr/ppp2ppp/2nb4/1B1pq3/3Np3/1P2P3/PBPP1PPP/RN1Q1RK1 w kq -,d1h5 e5h5 f2f4 g8e7 b2a3 e8h8 b5c6 b7c6 a3d6 c7d6,-1135
r1bqkbnr/pp4pp/2n2p2/2ppp3/3P1B2/2P1P3/PP1N1PPP/R2QKBNR w KQkq -,g1h3 c8h3 d4e5 h3e6 f1b5 d8b6 a2a4 a7a6 b5c6 b6c6,-468
8/8/8/8/2K5/7Q/7p/6k1 w - -,,0
r1bqkbnr/pp4pp/2n5/2ppp3/5B2/2P1P3/PP1N1PPP/R2QKBNR w KQkq -,e3e4 e5f4 d1b3 d5e4 e1a1 d8e7 g1f3 g8f6 f1b5 c8f5,-475
r1bq2nr/ppppkBpp/2n5/2b5/4P3/2p2N2/PP3PPP/RNBQK2R w KQ -,f7b3 d7d6 b1c3 c8g4 c1g5 g8f6 c3d5 e7e8 g5f6 g7f6,354
r2qkbnr/pp1n1ppp/3pp3/8/3NP3/8/PPP2PPP/RNBQK2R w KQkq -,d1e2 g8f6 e1h1 f8e7 c2c4 d8a5 f1d1 e8h8 b2b3 a8c8,38
r1bqkb1r/pp1n1ppp/2p1pn2/8/2pP1B2/2N2N2/PPQ1PPPP/R3KB1R w KQkq -,a1d1 b7b5 e2e4 c8b7 f1e2 f8e7 h2h4 a7a5 e1h1 h7h6,-118
r1b2rk1/pp1n1p1p/6p1/3pq3/3bP3/1P1B3P/P2N2PN/R2Q1R1K w - -,d2f3 e5g7 f3d4 g7d4 h2f3 d4e3 e4d5 d7f6 f1e1 e3f4,-1
r1bqkb1r/pp3ppp/2n2n2/2pp4/2B5/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,c4b5 f8d6 d1e2 c8e6 f3g5 d8e7 d2d4 c5d4 c3d4 e8h8,-82
