r1b1kbnr/pp2pppp/1qn5/3pP3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,a2a4 d4c3 b1c3 e7e6 f1b5 b6a5 e1h1 a7a6 b5d3 c8d7,-73
rn1qkb1r/ppp1p1pp/5n2/3p3b/3P4/3Q1P2/PPP1P3/RNB1KBNR w KQkq -,e2e4 b8c6 e4e5 h5g6 d3e3 f6g8 c2c3 e7e6 g1e2 d8d7,-104
rnbqkbnr/p2ppppp/1pp5/4P3/8/8/PPPP1PPP/RNBQKBNR w KQkq -,g1f3 e7e6 d2d4 d7d5 c2c4 c8a6 b2b3 f8b4 c1d2 b4d2,99
8/8/3k4/8/1N6/2KB4/8/8 w - -,c3d4 d6e6 b4d5 e6f7 d4e5 f7g7 d3c4 g7g6 c4b3 g6g7,7798
8/8/4k3/8/1N1K4/3B4/8/8 w - -,b4d5 e6f7 d5f4 f7g8 d3c4 g8h7 d4e5 h7h8 c4f1 h8h7,7798
rnbqk1nr/pp4pp/3bp3/2P2p2/2Pp4/8/PP2PPPP/R1BQKBNR w KQkq -,d1d4 d6c7 g1f3 g8f6 b2b4 d8e7 e2e3 e8h8 d4b2 a7a5,-577
rnb1k1nr/pp4pp/3qp3/5p2/2Pp4/8/PP2PPPP/R1BQKBNR w KQkq -,e2e3 b8c6 e3d4 d6d4 d1d4 c6d4 f1d3 g8f6 b2b3 b7b5,83
8/8/4k3/3N4/2B2K2/8/8/8 w - -,d5b4 e6f6 b4d3 f6g6 f4e5 g6g5 e5e6 g5g6 c4d5 g6g7,20000
8/5k2/8/3N4/2B1K3/8/8/8 w - -,e4f5 f7g7 d5f6 g7f8 f6h5 f8e7 f5e5 e7d7 e5d5 d7e7,143
r1b1kb1r/ppp2pp1/3p1q1p/4p3/2BnP3/2NP1N2/PPP2PPP/R2QK2R w KQkq -,a2a4 f6g6 e1f1 d4f3 d1f3 c7c6 f3g3 g6f6 g3f3 f6f3,-75
8/4k3/1Q3n2/8/3K4/8/8/8 w - -,a2a4 f6g6 e1f1 d4f3 d1f3 c7c6 f3g3 g6f6 g3f3 f6f3,Mate
8/3nk3/2Q5/8/3K4/8/8/8 w - -,a2a4 f6g6 e1f1 d4f3 d1f3 c7c6 f3g3 g6f6 g3f3 f6f3,Mate
rnbqkb1r/pp2pppp/2p2n2/3p4/4P1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -,f1h3 f6e4 c3e4 d5e4 h3g2 h7h5 g4h5 c8f5 g1e2 d8d7,-212
r1b1k2r/1pqnbppp/p2ppn2/6B1/3NPP2/2NB1Q2/PPP3PP/R3K2R w KQkq -,e1a1 h7h6 f3h3 d7b6 f4f5 e6e5 d4b3 c8d7 g5h4 d7c6,43
r1b1k2r/pp2ppbp/1qn2np1/2pp4/3P1B2/2PBPN2/PP1N1PPP/R2QK2R w KQkq -,d1b1 f6h5 f4g5 h7h6 g5h4 c5d4 c3d4 g6g5 h4g3 h5g3,-50
r3k2r/1bq1bppp/p2ppn2/1p6/3NPP2/2NB1Q2/PPP3PP/2KRR3 w kq -,e1f1 e8h8 g2g4 b5b4 c3e2 g7g6 g4g5 f6d7 h2h4 e6e5,-77
r1bqkb1r/pp2pp1p/2n2np1/3p4/4P3/2N1QN2/PPP2PPP/R1B1KB1R w KQkq -,e3f4 d5e4 c3e4 f6d5 f4d2 d5b4 d2e2 f8g7 c2c3 b4d5,-93
rn1qkb1r/pp1bpppp/8/1B1n4/3P4/8/PP3PPP/RNBQK1NR w KQkq -,b5d7 d8d7 g1f3 e7e6 e1h1 b8c6 f3e5 c6e5 d4e5 a8c8,-50
2K5/k7/1nQ5/8/8/8/8/8 w - -,b5d7 d8d7 g1f3 e7e6 e1h1 b8c6 f3e5 c6e5 d4e5 a8c8,Mate
rnbqkb1r/ppp2pp1/5p1p/8/8/8/PPPP1PPP/RNBQKB1R w KQkq -,f1c4 d8e7 c4e2 c7c5 e1h1 b8c6 e2c4 c8e6 f1e1 e8a8,-36
8/7k/5K2/5N2/8/5B2/8/8 w - -,f1c4 d8e7 c4e2 c7c5 e1h1 b8c6 e2c4 c8e6 f1e1 e8a8,Mate
rn1qk2r/ppp2ppp/5n2/3p1p2/1b1P1B2/2N1P3/PPP2PPP/R2QK1NR w KQkq -,d1d3 d8d7 g1f3 b8c6 e1h1 f6e4 c3e2 b4e7 h2h4 e8h8,59
r1bqk2r/ppp2ppp/1bnp4/4P3/2B1P1n1/2P2N2/PP3PPP/RNBQK2R w KQkq -,h1f1 g4e5 f3e5 c6e5 c1f4 e5c4 d1a4 c8d7 a4c4 d8h4,-219
r2qkbnr/pp3ppp/2n1p3/1B1pP3/3p2b1/2P2N2/PP3PPP/RNBQK2R w KQkq -,b1d2 g4f3 d2f3 d4c3 b5c6 b7c6 d1a4 d8d7 b2c3 g8e7,-137
5k2/8/7K/7P/8/8/8/8 w - -,,0
8/8/5k2/8/8/6K1/6P1/8 w - -,h6g6 f8g8 g6f6 g8h7 f6f5 h7h6 f5g4 h6h7,Mate
r1bqk2r/ppp2ppp/2p5/2b1P3/8/2N5/PPPPBnPP/R1BQK2R w KQkq -,e2c4 f2d1 e1d1 d8h4 c4e2 h4f2 g2g3 f2g2 h1e1 c5f2,-923
rn1qk2r/pbp2ppp/1p2pn2/3p4/1b1PP3/2NB1P2/PPPB2PP/R2QK1NR w KQkq -,e4e5 f6d7 f3f4 b4c3 d2c3 d8h4 g2g3 h4e7 c3d2 b7a6,95
