8/3R4/5K2/8/8/2k5/8/8 w - -,b5c6 b7c6 f1d1 c6c5 c2c3 f8e7 c3d4 c5d4 d1d4 e7f6,Mate
r3kb1r/ppq1pppp/2n2n2/2pp3b/3P4/2PBPN1P/PP1N1PP1/R1BQK2R w KQkq -,d1c2 e7e6 d4c5 a7a5 e1h1 f8c5 a1b1 a5a4 b2b4 a4b3,-47
r2qkb1r/ppp2ppp/3p1n2/4p3/3nP3/2NB1Q1P/PPPP1PP1/R1B2RK1 w kq -,f3e3 c7c6 c3e2 d4e6 d3c4 d8b6 d2d3 f8e7 f2f4 e5f4,43
rn1qkbnr/ppp1pppp/8/3p2B1/2PP4/8/PP2PPPP/Rb1QKBNR w KQkq -,e2e3 b1f5 d1b3 f7f6 g5h4 e7e6 b3b7 b8d7 c4c5 d8b8,-267
br1q1rk1/p3p1bp/6p1/1p4B1/2pPB3/P1n4P/2Q2PP1/1R1R1NK1 w - -,f1g3 a8e4 g3e4 c3b1 c2b1 f8f5 g5e3 d8d5 e4c3 d5d7,-643
rnbqk2r/1p3ppp/p1pb1n2/3p2B1/3P4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1d3 e8h8 e1h1 b8d7 h2h3 f8e8 f1e1 h7h6 g5h4 d6e7,54
r1bqk2r/1pp1ppbp/p1n2np1/8/2BP1B2/2N1PN2/PP3PPP/R2QK2R w KQkq -,h2h3 b7b5 c4e2 c8b7 e1h1 e8h8 f3d2 f6d7 d2b3 e7e5,126
rn1qkb1r/pp1b1ppp/4pn2/1B1P4/3QP3/8/PP3PPP/RNB1K1NR w KQkq -,b5c4 b7b5 c4b3 d8b6 c1e3 b6d4 e3d4 f6e4 g1e2 b8a6,83
6k1/pp5p/5rp1/2Pp2q1/8/4B1K1/PP2P2r/R1Q1R2B w - -,b5d7 d8d7 b1c3 b8c6 d4e3 c6b4 e3e2 e6d5 a2a3 d5d4,Mate
r1bqk2r/pp2ppbp/2np1np1/2p5/2P1P3/2NP3P/PP2NPP1/R1BQKB1R w KQkq -,a2a4 e8h8 g2g3 f6e8 f1g2 e8c7 e1h1 a8b8 c1e3 c7e6,-37
rnbqkb1r/ppp1pp2/8/3p2p1/3Pn2p/2P1P1B1/PP3PPP/RN1QKBNR w KQkq -,g3h4 g5h4 g1f3 c7c6 f1d3 c8f5 b1d2 e7e6 f3e5 e4d2,-708
k7/8/2KB4/8/8/4N3/8/8 w - -,g3h4 g5h4 h2h3 c7c6 g1f3 c8f5 b1d2 b8d7 d2e4 d5e4,Mate
rnbqk2r/pp2bp1p/2pp1np1/4p1B1/2B1P3/3P1Q2/PPP2PPP/RN2K1NR w KQkq -,b1d2 h7h6 g5h4 e8h8 h2h3 b8d7 g1e2 b7b5 c4b3 a7a5,-67
rnbqk2r/pp2nppp/3pp3/8/3P4/5N2/PPP2PPP/RN1QKB1R w KQkq -,f1d3 b7b6 e1h1 c8b7 b1d2 e8h8 f1e1 b8d7 d2e4 e7f5,16
