r2q1k1r/pp3pbp/2n2pp1/1BPp4/3P2b1/2N2N2/PP2QPPP/R3K2R w KQ -,e1a1 a7a6 b5c6 b7c6 c1b1 h7h5 h2h3 g4c8 f3e1 a6a5,-81
r1bqkb1r/pp2pppp/2n5/2pp2B1/2PPn3/2N2N2/PP2PPPP/R2QKB1R w KQkq -,c3e4 d5e4 d4d5 e4f3 d5c6 d8d1 a1d1 b7c6 g2f3 g7g6,50
5k2/2P1R1p1/1n3p1p/3Bp3/8/6P1/rp3P1P/6K1 w - -,c7c8r f8e7 d5a2 b6c8 g1f1 e7d6 f1e2 d6c5 e2d3 c5b4,-662
rnbqkb1r/pp3ppp/4p3/3n4/8/3P1N2/PP3PPP/RNBQKB1R w KQkq -,b1c3 f8e7 d3d4 e8h8 f1d3 b8c6 e1h1 b7b6 d3e4 d5c3,-21
r2qkb1r/pp3ppp/5n2/5bN1/2Pn4/2N1p3/PP1P1PPP/R1BQKB1R w KQkq -,d2d3 e3f2 e1f2 f8c5 g2g3 d4c2 f2g2 c2a1 b2b4 c5e7,-637
r2qkb1r/1b1n1pp1/p2ppn2/1p5p/3NP3/P1N1BP2/1PPQB1PP/R3K2R w KQkq -,e1a1 a8c8 c1b1 f8e7 h1g1 g7g6 e2d3 d7e5 e3g5 d8b6,27
r1bqk2r/p3ppbp/2p3pn/2ppP3/8/5N1P/PPPP1PP1/RNBQR1K1 w kq -,b1c3 e8h8 c3a4 c5c4 d2d3 c4d3 c2d3 f7f6 a4c5 d8b6,141
r1bqk2r/ppppbpp1/7p/4P1n1/2B3Q1/2N5/PPP2PPP/R1B1K2R w KQkq -,g4g3 d7d6 c1f4 d6e5 f4e5 e7f6 e5f6 d8f6 e1a1 g5e6,327
r2qkbnr/pp3ppp/3pb3/2p5/2BQP3/8/PPP2PPP/RNB2RK1 w kq -,d4d2 e6c4 f1d1 g8e7 b1c3 d8d7 d2d6 d7d6 d1d6 e7c6,-584
rnb1kb1r/pp3ppp/4p3/2pq2B1/3P4/3B1N2/PPP2PPP/R2QK2R w KQkq -,c2c4 d5d6 d4d5 h7h6 g5h4 f8e7 h4g3 d6b6 e1h1 e8h8,204
8/8/3k4/N6Q/8/4K3/8/8 w - -,d1e2 c5d4 e1h1 h7h6 g5f4 f8e7 d3e4 d5h5 a1d1 b8c6,Mate
r1bq1rk1/pppn1pbp/4pnp1/3p4/2PP4/P1NBPN2/1P3PPP/R1BQK2R w KQ -,,0
r1bk2nr/ppp2Bp1/3b3p/4p3/4P3/4B3/PPP2PPP/RN2K2R w KQ -,f2f3 d8e7 f7b3 g8f6 h2h4 f6h5 e1f2 c8e6 b1d2 b7b6,197
8/3k4/2R5/5R2/8/4K3/8/8 w - -,f7b3 g8f6 f2f3 d8e7 b1d2 g7g5 h2h3 b7b6 a2a4 c8e6,Mate
r1bqk2r/ppp1bpp1/2np1n1p/4p3/2B1P2B/P2P1N2/1PP2PPP/RN1QK2R w KQkq -,,0
