r4rk1/pp1n1ppp/2nqp3/3p3b/3P4/2PB1N1P/PP1NQPP1/R4RK1 w - -,e2e3 f7f6 d3c2 f8e8 a1e1 d7f8 f3h4 g7g5 g2g4 h5f7,16
r3k2r/1pq2pp1/p2pbn1p/2b1p3/4P3/2N1BPP1/PPPQ2BP/3R1RK1 w kq -,e3c5 c7c5 f1f2 a8d8 c3a4 c5c7 d2c3 c7c3 a4c3 e8e7,-18
r1b1qrk1/pppnppbp/3p1np1/8/2PPPB2/2N2N2/PP2BPPP/R2QK2R w KQ -,e1h1 e7e5 d4e5 d6e5 f4e3 f6g4 e3c1 b7b6 b2b4 c8b7,60
rn1qk2r/pp2bppp/2p1pn2/3p4/2PPb2N/2N1P3/PP1B1PPP/R2QKB1R w KQkq -,f2f3 e4g6 h4g6 h7g6 d1c2 d5c4 f1c4 f6d5 e1f2 b8d7,36
r2qkb1r/ppp2ppp/2n2p2/3p1b2/3P4/2N4P/PPP1PPP1/R2QKBNR w KQkq -,e2e3 c6e7 f1d3 c7c6 g1e2 f5d7 e1h1 g7g6 b2b3 e7g8,16
5rk1/1b1qb3/r5p1/p2p2B1/2pP3Q/2p1P3/PP4PP/R4RK1 w - -,b2b4 f8f1 a1f1 e7g5 h4g5 a6e6 b4a5 d7e7 g5h6 c3c2,-326
r2q1r2/p5kp/5n2/4Q2p/2B1b2B/8/P5PP/5R1K w - -,f1f4 e4g6 f4d4 d8b6 d4d7 g7h8 h2h3 a8e8 d7e7 e8e7,-305
rnbqkbnr/ppp1pp2/7P/3p4/8/8/PPPPP1PP/RNBQKBNR w KQkq -,d2d4 b8c6 g1f3 c8g4 b1c3 g8h6 c1f4 h6f5 d1d2 f8g7,48
r3k2r/1pq2pp1/p2pb2p/4p3/4PPn1/2N1Q1P1/PPP3BP/3R1RK1 w kq -,e3f3 c7c5 g1h1 g4e3 c3a4 c5a7 f4f5 e6d7 a4c3 e3d1,-150
r2q1rk1/2p2ppp/p3b3/1p1pn3/3Nn2b/1BP3P1/PP3P1P/RNBQR1K1 w - -,b3c2 e6g4 f2f3 g4h5 b1d2 c7c5 d2e4 d5e4 c2e4 c5d4,-94
8/3N4/8/3QK3/8/2k5/8/8 w - -,b3c2 e6g4 f2f3 g4h5 b1d2 c7c5 d2e4 d5e4 c2e4 c5d4,Mate
8/3N4/8/4K3/3Q4/8/2k5/8 w - -,b3c2 e6g4 f2f3 g4h5 b1d2 c7c5 d2e4 d5e4 c2e4 c5d4,Mate
8/8/8/4K3/3Q4/1N6/2k5/8 w - -,b3c2 e6g4 f2f3 g4h5 b1d2 c7c5 d2e4 d5e4 c2e4 c5d4,Mate
3r2k1/4qppp/1rp1n3/p3p3/2Q1P3/P7/1P2BPPP/1KR1R3 w - -,b1a1 e6d4 a1a2 d8b8 c1b1 e7g5 c4c3 g5g2 e2c4 a5a4,-288
4Q3/8/8/4K3/8/4k3/4n3/8 w - -,b1a1 e6d4 a1a2 d8b8 c1b1 e7g5 c4c3 g5g2 e2c4 a5a4,Mate
rnbqkb1r/pp3ppp/4pn2/3p4/3p4/4PN1P/PPPN1PP1/R1BQKB1R w KQkq -,e3d4 f8d6 c2c3 e8h8 f1d3 b7b6 d1e2 a7a5 a2a4 c8a6,12
rnbq1rk1/ppp2ppp/3p1n2/4p3/2PPP3/5N2/PPQN1PPP/R3KB1R w KQ -,a2a3 e5d4 f3d4 c7c5 d4e2 b8c6 g2g3 a8b8 f1g2 c8g4,-19
r1bqkb1r/pp3ppp/2n1pn2/3p4/3p4/2P1PN1P/PP1N1PP1/R1BQKB1R w KQkq -,e3d4 f8d6 f1d3 e8h8 e1h1 d8c7 f1e1 f8e8 d2f1 h7h6,1
5B2/1K6/8/1k6/3P4/1P6/2P5/8 w - -,e3d4 f8d6 f1d3 e8h8 e1h1 d8c7 f1e1 f8e8 d2f1 h7h6,Mate
r1bqkb1r/pp1p1p1p/2n1pnp1/8/2Pp4/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,c3b5 d4e3 c1e3 f8b4 b5c3 f6e4 d1d3 e4c3 b2c3 b4e7,-56
