3qn1k1/p1r2pp1/P5np/2Q1p3/4P3/5PBP/6P1/2R2BK1 w - -,c5a5 d8e7 c1c7 e8c7 f1c4 c7e6 c4e6 f7e6 g1h2 g8h7,201
r1bqk2r/pp1nbppp/2p1pn2/3p4/2PP4/4PNP1/PP1N1P1P/R1BQKB1R w KQkq -,f1g2 d5c4 d2c4 b7b5 c4e5 c8b7 b2b3 a7a5 e1h1 e8h8,24
r2qk2r/pp2bppp/2n1b3/2ppP3/8/2P1BN2/PPP1Q1PP/2KR1B1R w kq -,a2a3 h7h6 g2g4 g7g6 h2h4 d8a5 f1h3 e8a8 c1b1 a5b6,-31
r1bqk1nr/pppp1pp1/7p/2b1p3/4P3/1nN2N2/PPPP1PPP/R1BQ1RK1 w kq -,a2b3 d7d6 b3b4 c5b4 c3d5 b4a5 b2b4 c7c6 b4a5 c6d5,60
2kr1b1r/pp2nppp/2n1p3/1BPp4/2P5/4BN2/PP3PPP/2KR3R w - -,f3g5 c6e5 f2f4 e7f5 f4e5 f5e3 d1d3 f8c5 b2b4 c5e7,114
r1bq1rk1/pppnppbp/3p2p1/8/3PnB2/2P1PN2/PP2BPPP/RN1Q1RK1 w - -,e2d3 f7f5 d3e4 f5e4 f3d2 d7f6 d1b3 f8f7 c3c4 d8d7,15
rnbq1rk1/1p3pbp/p2p1np1/3pp3/2P1P3/2N1BP2/PP1Q2PP/2KR1BNR w - -,e3h6 d5d4 c3d5 f6d5 c4d5 f7f5 h2h4 d8c7 c1b1 g7h6,-199
3qn1k1/p3rpp1/P5np/4p3/4P3/4QPBP/6PK/2R2B2 w - -,c1b1 d8c8 e3c1 e7c7 c1b2 e8d6 b2b4 c8d8 b1d1 c7c6,178
8/2b2p2/4p1p1/7p/Bp1k1P1P/p5P1/P3KP2/8 w - -,a4b3 d4c3 b3a4 c3b2 a4b3 c7b6 e2e1 b2c3 e1e2 b6c5,-35
rnbq1rk1/5pb1/p2p1np1/1p1Pp2p/4P1P1/2N1BP2/PP1Q3P/2KR1BNR w - -,g4h5 f6h5 c1b1 d8a5 d1c1 b8d7 g1e2 d7f6 e2g3 c8d7,87
rnb2rk1/5pb1/p2p1np1/qp1Pp2p/4P1P1/2N1BP1P/PP1Q4/2KR1BNR w - -,c1b1 b8d7 a2a3 d7c5 g1e2 a8b8 g4g5 f6h7 e2c1 c8d7,73
r1bqk2r/pppp1ppp/5nn1/1BbPp3/4P3/5N2/PPP2PPP/RNBQ1RK1 w kq -,b5d3 e8h8 c2c4 d7d6 b1c3 a7a5 d3c2 d8e7 h2h3 c8d7,-3
1rbr2k1/4b1pp/pn3p2/4p3/B1P2n2/1N2BN2/PP3PPP/3R1K1R w - -,d1d4 b6a4 e3f4 e5f4 d4d8 e7d8 f3d4 c8d7 f1e2 d8b6,-459
8/8/5Q2/8/6K1/8/4k3/8 w - -,d1d4 b6a4 e3f4 e5f4 d4d8 e7d8 f3d4 c8d7 f1e2 d8b6,Mate
1rbb2k1/6pp/pn3p2/4p3/B1P2n2/1N2BN2/PP3PPP/5K1R w - -,b3c5 b6a4 c5a4 c8e6 f3d2 d8a5 e3f4 e5f4 f1e2 b8e8,-150
r1b2rk1/3n1pb1/p2p1np1/qp1Pp2p/4P1P1/2N1BP1P/PP1Q4/1K1R1BNR w - -,a2a3 d7c5 g1e2 a8b8 g4g5 f6d7 e2c1 g8h7 h3h4 f7f5,80
r2qkbnr/1pp1p3/p1n2p2/3p1bpp/3P4/2P1PNB1/PP1N1PPP/R2QKB1R w KQkq -,h2h3 e7e6 a2a3 f8d6 g3d6 d8d6 d2b3 g8e7 b3c5 b7b6,38
r1b2bkr/pp2n1p1/2p2q1p/3n4/2B2BP1/2N2Q2/PPP2P1P/2KRR3 w - -,c3d5 c6d5 d1d5 e7d5 g4g5 h6g5 f3d5 c8e6 e1e6 f6f4,525
8/5p2/4p1p1/b6p/Bp1k1P1P/p5P1/P3KP2/8 w - -,a4b3 d4c3 e2d1 a5c7 d1e2 c7b6 b3d1 b6c5 d1b3 c5d4,-43
r1b2bkr/pp4p1/5q1p/3p4/2B2BP1/5Q2/PPP2P1P/2K1R3 w - -,g4g5 h6g5 f3d5 c8e6 e1e6 f6f4 c1b1 f4f7 e6h6 h8h6,506
r2qkb1r/pppbnppp/2n1p3/3pP1B1/3P4/2P5/PP3PPP/RN1QKBNR w KQkq -,f1d3 h7h6 g5c1 c6a5 b1a3 e7f5 a3c2 c7c5 d3f5 e6f5,90
8/8/6k1/8/3Q4/8/8/2K5 w - -,h2h4 c6b8 g1f3 h7h6 g5d2 c7c5 d4c5 d8c7 b1a3 a7a6,Mate
r1b2rk1/5pb1/p2p1np1/qpnPp2p/4P1P1/2N1BP1P/PP1Q4/1KR2BNR w - -,h1h2 c8d7 c3d1 a5d2 h2d2 f8c8 d2c2 f6e8 b2b4 c5a4,62
r3qr2/2p3p1/p6k/1p4p1/3B4/3Q4/PP3PP1/3R2K1 w - -,d2e1 c8d7 h1h2 f8b8 h2d2 b8c8 d2c2 c8b8,Mate
r3k2r/p1p2p1p/b1p5/3qP1p1/7Q/1PB5/P4PPP/R3K2R w KQkq -,h4a4 a6b5 a4d4 e8a8 e1a1 d5d4 c3d4 h8e8 d4a7 d8d1,29
r4rk1/pppqb1pp/2n1b3/3p1p1Q/3P4/2PB3N/P1P3PP/R1B2RK1 w - -,h3f4 f8f6 f4e6 g7g6 h5f3 f6e6 a1b1 b7b6 g2g4 f5g4,16
r1b2bkr/pp4p1/5q2/3p2p1/2B2B2/5Q2/PPP2P1P/2K1R3 w - -,f3d5 c8e6 e1e6 f6f4 c1b1 f4f7 e6h6 h8h6 d5f7 g8h7,533
r4rk1/3b1pb1/p2p1np1/qpnPp2p/4P1P1/2N1BP1P/PP1QN3/1KR2B1R w - -,c3d1 a5d2 e3d2 a6a5 d2e3 f8c8 c1c2 g7f8 e2c1 h5h4,60
r1bqkbnr/pp3ppp/8/3p4/3pP3/3P4/PP1N1PPP/R1BQKB1R w KQkq -,d1a4 c8d7 a4d4 g8e7 f1e2 d7e6 e1h1 e7c6 d4c3 a8c8,86
1rbr2k1/1p1nb1pp/p4p2/2P5/B1P2p2/1N3N2/PP3PPP/R4K1R w - -,b3d4 d7c5 a4c2 c5e6 a1d1 g7g5 h2h3 e7c5 d4b3 d8d1,-95
r4bkr/pp4p1/4R3/3Q2p1/2B2q2/8/PPP2P1P/2K5 w - -,c1b1 f4f7 e6h6 h8h6 d5f7 g8h7 f7g8 h7g6 c4d3 g6f6,521
r1q1kb1r/pp3ppp/2n1pn2/3p3b/3P1B1N/1QP2P2/PP1N2PP/R3KB1R w KQkq -,g2g4 h5g6 h4g6 h7g6 h2h4 a7a6 f1d3 b7b5 b3c2 c8d7,39
r4bkr/pp3qp1/4R3/3Q2p1/2B5/8/PPP2P1P/1K6 w - -,e6h6 h8h6 d5f7 g8h7 f7g8 h7g6 c4d3 g6f6 g8d5 g5g4,535
r1b2rk1/1p2bppp/p1npp3/8/2P1qP2/N7/PP1BB1PP/R2Q1R1K w - -,a3c2 d6d5 c4d5 e4d5 e2f3 d5d8 c2e3 e7f6 f3c6 b7c6,-65
r1q1kb1r/pp3pp1/2n1pnp1/3p4/3P1BP1/1QP2P2/PP1N3P/R3KB1R w KQkq -,h2h4 a7a6 f1d3 c8d7 e1a1 e8a8 c1b1 f8d6 f4e3 d7c7,20
8/8/8/1k6/8/4K3/8/6R1 w - -,h2h3 a7a6 f1d3 b7b5 b3c2 c8d8 d2b3 f8d6 f4d6 d8d6,Mate
rn1qkb1r/pb2pppp/2p2n2/1p4B1/2pP4/P1N1P3/1P3PPP/R2QKBNR w KQkq -,f1e2 b8d7 e3e4 h7h6 g5h4 e7e5 g1f3 f8d6 d1c2 e5d4,-83
r4rk1/3b1pb1/p2p1np1/qpnPp3/4P1Pp/2N1BP1P/PP1QN3/1KR2BR1 w - -,c3d1 a5d2 e3d2 f6e8 b2b4 c5d3 c1c3 d3f4 d2e1 f7f5,95
r4bQ1/pp4p1/6kr/6p1/2B5/8/PPP2P1P/1K6 w - -,c4d3 g6f6 g8d5 a8e8 d5f3 f6e7 f3b7 e7f6 b7f3 f6e7,547
8/4P3/1k6/8/8/4K3/8/5r2 w - -,e7e8q f1e1 e3f4 e1e8 f4g5 b6c6 g5f6 c6c7 f6f5 c7d6,-471
8/8/5Q2/1k6/8/4K3/8/1B6 w - -,e7e8q f1e1 e3f4 e1e8 f4g5 b6c6 g5f6 c6c7 f6f5 c7d6,Mate
r1bqk2r/pp1p1ppp/2p2nn1/2bPp3/2P1P3/2NB1N2/PP3PPP/R1BQK2R w KQkq -,e1h1 a7a6 a2a3 d7d6 h2h3 c5a7 b2b4 c8d7 f1e1 c6d5,51
8/8/8/8/8/6k1/8/R3K2R w - -,c1e3 c5e3 f2e3 d7d6 h2h3 e8h8 e1h1 h7h6 d1e2 c8d7,Mate
r4b2/pp4p1/5k1r/3Q4/6p1/3B4/PPP2P1P/1K6 w - -,a2a4 a8e8 d5f5 f6e7 f5e4 h6e6 e4b7 e7f6 b7a7 g7g6,532
8/8/8/8/5k2/8/R7/4K2R w - -,a2a4 a8e8 d5f5 f6e7 f5e4 h6e6 e4b7 e7f6 b7a7 g7g6,Mate
8/8/8/8/6k1/7R/R7/4K3 w - -,a2a4 a8e8 d5f5 f6e7 f5e4 h6e6 e4b7 e7f6 b7a7 g7g6,Mate
r4rk1/pppqnpbp/2np2p1/3Np3/2P5/3PP1Pb/PP2NPBP/1RBQ1RK1 w - -,g2h3 d7h3 d5c7 a8c8 c7d5 e7d5 c4d5 c6b4 e2c3 h7h5,96
rn1qkbnr/ppp4p/5p2/3pp1p1/3P2b1/5NB1/PPP1PPPP/RN1QKB1R w KQkq -,d4e5 b8c6 h2h4 f8g7 e2e3 f6e5 b1c3 e5e4 c3d5 a8c8,94
r4rk1/ppp1npbp/2np2p1/3Np3/2P5/3PP1Pq/PP2NP1P/1RBQ1RK1 w - -,d5c7 a8c8 c7d5 e7d5 c4d5 c6b4 e2c3 f7f5 f2f3 f5f4,87
