7B/8/8/5K2/p1k5/1p6/8/8 w - -,c3b3 c5d4 h4g6 e4f5 g6f4 f5d7 b3a3 d4e4 a3b4 e4f3,Mate
r3r1k1/pppn1pp1/8/q2bP2Q/5P2/4B2P/PP4P1/1K1R3R w - -,a2a3 d7f8 e3d4 a8d8 f4f5 d5e4 b1a2 d8d4 d1d4 a5e5,-426
r2r4/1bp2k1p/p3pp2/1p5N/1Pn1P3/8/2B2PPP/R1B2RK1 w - -,c1e3 a6a5 b4a5 c4a5 a1c1 d8d7 h2h4 c7c5 e3c5 a8c8,338
2r5/2P3pp/1k3p2/Rb1p4/1N3P2/2P5/P5PP/6K1 w - -,a5b5 b6b5 b4d5 b5c5 c3c4 c5d6 g1f2 c8e8 f4f5 d6d7,196
rn2k2r/pp3pp1/2pbpn1p/q7/3P4/2NB3P/PPP2PP1/R1BQ1RK1 w kq -,d1e1 d6e7 f2f4 b8d7 c1d2 a5b6 c3e2 a7a5 e1g3 e8h8,47
r2qrbk1/1b3ppp/p2p1n2/1p6/4P2P/PBN1Q3/1PP2PP1/2KR3R w - -,f2f3 f6d7 h4h5 h7h6 c1b1 d7c5 b3a2 a8b8 g2g4 d8g5,-297
r1bqr1k1/ppp2pp1/2np3p/3np3/2B1P3/3PPN1P/PPP3P1/R2Q1RK1 w - -,c4d5 c8e6 c2c4 a7a5 a2a3 e6d5 c4d5 c6e7 f3d2 c7c6,15
r3k2r/1p1n1pp1/2p1pn1p/q6P/1b1P4/pP1Q1NN1/P1PB1PP1/1K1R3R w kq -,c2c3 b4d6 g3e4 f6e4 d3e4 e8h8 e4c2 d7f6 c3c4 d6b4,-9
2r3k1/2r1q1pp/p2pbpn1/Pp2n3/3BP3/2P3QP/2PNBRP1/5R1K w - -,,0
r2qk2r/pp1nbppp/2p2n2/4p2b/2BPP3/2P2N2/PP4PP/RNBQ1R1K w kq -,d1e1 h5f3 g2f3 d7b6 c4b3 e5d4 e4e5 f6d5 c3d4 d5c7,61
r2qk2r/ppp2ppp/2nbpn2/3p1b2/3P4/P3PP2/1PP1N1PP/R1BQKBNR w KQkq -,e2g3 f5g6 c2c4 d6g3 h2g3 d8d6 e1f2 d5c4 f1c4 e8a8,-32
2r3k1/3n1pp1/qp2p2p/8/3PPQPP/4RN2/5P2/6K1 w - -,,0
r1br2k1/1p3p1p/n1p3p1/p6q/P1Q1P3/2N3P1/1P3PBP/3R1RK1 w - -,d1d8 g8g7 c4d4 f7f6 d8c8 a8c8 d4d7 g7h6 d7c8 h5c5,1071
r1b1kb1r/pp1n1ppp/2p2n2/q3p3/3P4/2PBPN2/PP4PP/RNBQK2R w KQkq -,b1d2 a5c7 e3e4 b7b5 d1e2 a7a6 a2a4 a8b8 a4b5 c6b5,98
8/8/8/8/p3K3/B7/1pk5/8 w - -,b1d2 a5c7 e3e4 b7b5 d1e2 a7a6 a2a4 a8b8 a4b5 c6b5,Mate
3rr1k1/ppp1qppp/2n5/8/4n3/2PP1N1P/PP1KBPP1/R2Q3R w - -,d2c2 e4f2 d1d2 e7e2 h1e1 e2d2 f3d2 e8e1 a1e1 f2d3,-557
r7/pp3p2/2p1b2k/5p1p/2PP1n1P/3K1NR1/PP6/5R2 w - -,d3c2 e6c4 f3e5 f4e2 g3g5 e2d4 c2c3 c4f1 e5f7 h6h7,-21
8/8/4p3/3bR3/5K1p/8/7k/8 w - -,,0
r3k2r/1pqbbppp/p3p3/3n4/8/3B1N2/PPP1QPPP/2BR1RK1 w kq -,f3e5 d7a4 e2g4 a4c2 d3c2 c7e5 f1e1 h7h5 g4a4 b7b5,80
r2qk2r/pp1nbppp/2p2n2/4p3/2BPP3/2P2b2/PP4PP/RNB1QR1K w kq -,g2f3 e5d4 e4e5 f6d5 c3d4 d5c7 e1g3 g7g6 c4b3 d7b6,58
1k1r3r/p3qp2/1pQ3p1/P1b1p1Np/7P/P3B1P1/4PPB1/2R2RK1 w - -,g2f3 e5d4 e4e5 f6d5 c3d4 d5c7 e1g3 g7g6 c4b3 d7b6,Mate
3kr3/pp3p1p/2pB1p2/8/2n5/2P3PB/P4P1P/3R2K1 w - -,d6f4 d8e7 d1d7 e7f8 f4h6 f8g8 d7b7 f6f5 b7b1 c4b6,569
