r2qk2r/p2bbp2/2p1p2p/3pPnp1/6Q1/5NB1/PPP2PPP/RN3RK1 w kq -,h2h4 h6h5 g4a4 d8b6 g1h2 g5g4 f3g5 b6b2 b1d2 e7g5,-383
8/8/1p1npp2/k5p1/P2PP3/8/3K1N2/8 w - -,d2c2 a5a4 c2b2 b6b5 b2a2 b5b4 f2d3 d6e4 d3b2 a4b5,-653
1rb1r3/1pR1b2k/pN1p1Qp1/P2P2B1/4p1P1/8/1P2q1p1/6K1 w - -,e4e5 f6e5 d4e5 d6f7 f2e4 a5a4 e4d6 f7e5 d6e4 e5f7,Mate
8/8/kp1npp2/6p1/P2Pp3/5P2/3K1N2/8 w - -,f2g4 f6f5 g4e5 a6a5 d2e3 e4f3 e5f3 d6f7 d4d5 e6d5,-613
r2qkb1r/1p3ppp/p4n2/4p3/3N2b1/2N1BQ2/PPP2PPP/2KR3R w kq -,d4e2 g4f3 d1d8 a8d8 g2f3 f8e7 a2a4 d8d7 e2g3 f6d5,-311
1rb1r2k/1pR1bQ2/pN1p2p1/P2P2B1/4p1P1/8/1P2q1p1/6K1 w - -,d4e2 g4f3 d1d8 a8d8 g2f3 f8e7 a2a4 d8d7 e2g3 f6d5,Mate
8/5p2/B4k2/p2br3/p4K2/8/3R4/8 w - -,d2d1 a4a3 a6d3 a3a2 d3h7 a5a4 d1f1 a4a3 f4g4 f6e7,-602
r2qkb1r/1Q3ppp/p4n2/8/3p2b1/2N1B3/PPP2PPP/2KR3R w kq -,h2h3 d8c8 b7c8 g4c8 e3d4 c8e6 h1e1 e8a8 c3a4 f8d6,-223
8/8/1p1npp2/6p1/k2PP3/3K4/5N2/8 w - -,f2d1 b6b5 d1c3 a4b4 d3c2 b4c4 c3a2 d6e4 a2c1 c4d4,-669
8/8/1p1np3/4p1p1/k2P4/3K4/5N2/8 w - -,d3e3 b6b5 d4e5 d6f7 e3f3 f7e5 f3e4 e5f7 f2d3 a4a3,-766
8/5n2/1p2p3/4P1p1/k7/3K4/5N2/8 w - -,f2e4 f7e5 d3e3 e5f7 e4c3 a4b4 e3d4 b6b5 d4d3 f7d6,-692
r2q1rk1/pp3ppp/2nbbn2/3pp1B1/8/1B1P1N2/PPP2PPP/RN1QR1K1 w - -,c2c4 d5c4 b3c4 h7h6 c4e6 h6g5 e6b3 g5g4 f3g5 d6c5,-39
r2r2k1/1bq1bp1p/2p1pnpB/1p2N3/p2P4/2P2Q2/PPB2PPP/R3R1K1 w - -,h6g5 g8g7 f3h3 d8d5 e5f7 a8f8 f7e5 f6h5 g5e7 c7e7,280
r3k1nr/pp1b1ppp/2n1p3/qB2P3/1b2Q3/2N5/PPP2PPP/R1B1K1NR w KQkq -,g1e2 a5b5 a2a3 b4c3 e2c3 b5e5 c1f4 e5e4 c3e4 e6e5,-319
r1bqr1k1/2p2pb1/2pp1n1p/p5p1/2P1P3/2N2P2/PP2BBPP/R2Q1RK1 w - -,g1h1 f6h5 f2d4 g7e5 d4e5 d6e5 d1d8 e8d8 f1d1 d8d4,-18
8/p7/8/1P6/8/4K1k1/8/8 w - -,,0
