5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
r1b2rk1/ppp2ppp/8/8/4n2q/2PQB3/PP3PPP/RN2K2R w KQ -,b1d2 e4d2 d3d2 f8d8 d2c2 a7a5 e1h1 a5a4 a1d1 c8e6,-18
r4rk1/5p1p/4pbp1/p7/1p2R2P/3B1P2/PPP5/1K5R w - -,b1c1 f8d8 b2b3 h7h5 c1d2 a8c8 d2e2 g8g7 f3f4 d8d6,-241
r4rk1/4qpp1/2p1p2p/p1Np1b2/3P4/2P4P/PP3PP1/R2QR1K1 w - -,e1e3 f8e8 b2b4 a8a7 a2a3 e8a8 a1a2 e7g5 a3a4 f5e4,97
6k1/5pp1/N2p3p/2p1p3/P3Pn2/1r3P2/5P1P/4K3 w - -,a6c7 b3a3 c7e8 a3a1 e1d2 a1a4 d2c1 a4a1 c1b2 a1f1,-739
2rq1rk1/pp3ppp/4pn2/n2p4/3P4/2PB1bP1/PPQN1PP1/R3R1K1 w - -,e1e6 f3e4 d2e4 d5e4 e6e4 f6e4 d3e4 g7g6 a1d1 f8e8,-398
r3k2r/ppp2ppp/2nqb3/6B1/2BP4/2b2N2/P4PPP/R2QR1K1 w kq -,d4d5 c3e1 d1e1 h7h6 g5h4 d6b4 e1b4 c6b4 d5e6 f7e6,296
3r1rk1/pp1b2bp/nnpp1p2/3Ppp2/4P2Q/1P3P1N/P3K2P/2R3R1 w - -,d4d5 c3e1 d1e1 h7h6 g5h4 d6b4 e1b4 c6b4 d5e6 f7e6,Mate
3r2kr/Qp3p2/p1p1n1p1/4q1Pp/1P2b2P/P2P4/2P2P2/R3R1K1 w - -,a7e3 g8h7 d3e4 d8d7 a1d1 h8d8 d1d7 d8d7 e1f1 e6f4,-475
6k1/2p3p1/p2p4/1p1Pp3/PPPR2P1/1B1PK1q1/8/R2Q3r w - -,e3d2 h1d1 a1d1 g3f2 d2c1 f2d4 c1c2 b5a4 b3a4 d4g4,Mate
r5k1/ppp1n1p1/2bqpr1p/b3Np2/2BP1B2/2P2Q1P/PP3PP1/R3R1K1 w - -,e5c6 d6c6 f3c6 e7c6 e1e6 f6e6 c4e6 g8h8 h3h4 a8e8,371
1r2r1k1/p4p1p/2p3p1/3p4/8/6QP/qbPN1PP1/1R2RK2 w - -,g3c7 e8e1 b1e1 a2a6 f1g1 a6b6 c7d6 b8d8 d6e7 b2d4,-291
r3rbk1/1p1n1pp1/2p1bn1p/3pp3/p3P3/P2PBNNP/BqP1QPP1/R3R1K1 w - -,e1b1 b2a3 a2d5 a3a1 b1a1 c6d5 e4d5 f6d5 e3d2 b7b5,-143
r1bq1rk1/1p2ppbp/3p2p1/pNn5/2P1P3/2N1B3/PP2nPPP/R2Q1RK1 w - -,g1h1 e2c3 b5c3 g7c3 b2c3 c5e4 e3h6 e4c5 d1d2 f8e8,-537
bn3rk1/4ppbp/p2p1np1/P1pP2B1/4P3/2PB1N2/4NPPP/5RK1 w - -,f1b1 b8d7 f3d2 f8b8 d3a6 f6e4 b1b8 d7b8 d2e4 b8a6,101
r2qr1k1/1pp2p2/p2p2p1/2n3Pp/3QPP1P/2N5/PPP5/2KR3R w - -,e4e5 c5e6 d4e4 e6c5 e4f3 d8c8 c3d5 c5d7 h1g1 a8b8,250
5rk1/pp3p1p/4pp2/2b5/6P1/2Pr1N1P/PP3P2/R3R1K1 w - -,b2b4 c5b6 g1g2 f8c8 a1d1 c8c3 f3d2 g8g7 d2e4 d3d1,-192
r1b2rk1/pp2bppp/1q6/3pP3/4n3/BP6/2P2PPP/RN1QRBK1 w - -,e1e4 e7a3 d1d5 a3b2 a1a2 f8d8 d5c4 b2d4 c4e2 c8f5,-46
r4qk1/2pb3p/p1n1p1p1/1p1pP3/3P1r2/PQPB1N2/1P4PP/R4RK1 w - -,b3c2 f8g7 g2g3 f4f7 h2h4 c6e7 f3h2 e7f5 h2g4 f5g3,184
r4rk1/ppp2ppp/8/5b2/4n2q/2PQB3/PP1N1PPP/R3K2R w KQ -,e1h1 f8d8 d3c4 b7b5 c4c6 e4d2 e3d2 f5e4 d2g5 h4g4,-37
r1bqkb1r/ppp3pp/2n2n2/3p1P2/4p1P1/2P2N1P/PP1P1P2/RNBQKB1R w KQkq -,f3h2 d8e7 d2d4 e4d3 c1e3 h7h5 f1d3 h5g4 h2g4 c8d7,-100
1nq1r1k1/r2n3p/p5p1/1ppp2N1/3b4/8/PPB3PP/R1BQ1R1K w - -,f1f7 b8c6 f7h7 d7e5 h7h6 a7g7 h2h3 c6b4 c1f4 c8c6,-122
r4rk1/pp1q1ppp/8/3pP1BQ/3n4/8/P1P3PP/R4RK1 w - -,a1d1 d4e6 g5c1 d7a4 h5f3 a8c8 c1a3 e6d4 f3d3 f8d8,-63
6k1/1pr1n1pp/3Np3/p1q1Pp2/2P2P2/1P2r3/P2R2PP/2R1Q2K w - -,e1f2 b7b6 c1d1 e7c6 d6b5 c7c8 h2h3 g7g5 b5d4 e3e4,324
3r3k/ppp3p1/2n4p/b2B1p2/3P1B2/2P4P/PP3PP1/R5K1 w - -,d5c6 b7c6 a2a4 a7a6 b2b4 a5b4 c3b4 d8d4 f4e5 d4b4,444
4rrk1/p6p/3p1qp1/8/2P5/1P3NKP/P2Q4/5R2 w - -,a2a3 f6f5 g3g2 e8e5 d2d6 e5e2 g2g1 f5h3 d6f8 g8f8,-433
r2qk1nr/pp3pp1/2nbp2p/3p3b/B2P4/2P2N1P/PP3PP1/RNBQK2R w KQkq -,d1d3 d8a5 a4d1 g8f6 e1h1 h5g6 d3e2 e8h8 b1d2 a5c7,-82
rnbq1rk1/p3bppp/2pp1n2/8/PpNNP3/3B4/1PP2PPP/R1BQR1K1 w - -,c1f4 g7g6 d1f3 f6h5 f4h6 h5g7 a1d1 f8e8 e4e5 d6d5,203
8/8/1p1k2p1/1P3p1p/PK3P2/6P1/7P/8 w - -,a4a5 d6c7 a5b6 c7b6 b4c4 b6b7 c4c5 b7c7 b5b6 c7d7,1255
2b2rk1/1p1pppbp/5np1/r1P5/pn2P3/2N2BPq/P2N1P1P/R1BQ1RK1 w - -,e4e5 d7d5 e5f6 g7f6 a2a3 b4c6 c1b2 h3f5 c3a4 f6b2,178
2b2b1r/2Nn1kpp/p2p1n2/1p4B1/1q2PP2/8/P1P1Q1PP/R4RK1 w - -,c2c4 b4c5 g1h1 c5c7 g5f6 g7f6 e2h5 f7e7 c4b5 a6b5,-226
r4rk1/pp2bppp/1q6/3pP3/4n1b1/BP3Q2/2P2PPP/RN2RBK1 w - -,f3f4 e7g5 e1e4 g5f4 e4f4 f8c8 a3d6 g4e6 b1a3 a7a6,-277
r1q3k1/1b1rbppp/pp3n2/3p1B2/2pP1P2/2N1PQ2/PP1B2PP/2R2RK1 w - -,g2g4 f6e8 g4g5 e8d6 f5g4 c8d8 c3d5 d6e4 f3e4 d7d5,86
1r5k/p1p3p1/2p4p/b4p2/3P1B2/2P4P/PP3PP1/4R1K1 w - -,b2b4 a5b6 e1e7 a7a5 a2a3 h8g8 f4e5 g7g5 e7g7 g8f8,513
rnbqkb1r/pp3ppp/2p1p3/3pP3/6n1/3P1N2/PPP1BPPP/RNBQK2R w KQkq -,e1h1 c6c5 c2c3 b8c6 d3d4 h7h5 f1e1 c5d4 c3d4 f8e7,98
r4rk1/pR4pp/2np4/4p3/4qp2/2P3P1/P1P2P1P/2BQ1RK1 w - -,b7c7 a8c8 c7c8 f8c8 d1g4 c8e8 g4d7 e8f8 d7e6 g8h8,39
r3k2r/pppq1pp1/2nbpn2/7p/3P4/P1NQBN1P/1PP3P1/2KR3R w kq -,c1b1 e8a8 c3b5 f6d5 e3f2 a7a6 b5d6 d7d6 c2c4 d5e7,-11
6k1/8/5n1P/5P2/3r2PK/6R1/8/8 w - -,,0
3r2k1/pp3p1p/4pp2/2b5/6P1/2Pr1N1P/PP3PK1/R3R3 w - -,a2a4 a7a5 e1e4 d8d5 b2b4 a5b4 c3b4 c5d6 b4b5 b7b6,-17
8/5pk1/1p4p1/7p/1p1r4/1R6/2P1BP2/2K5 w - -,b3f3 d4d6 f3h3 d6d4 e2d3 d4f4 f2f3 h5h4 c1d2 g6g5,40
r2r2k1/4qpp1/1n5p/1pN5/1Ppp4/4P3/1Q3PPP/R3R1K1 w - -,e3d4 a8a1 b2a1 e7c7 c5e4 d8a8 a1b2 c7e7 e1e2 e7d7,-163
7k/4q1p1/1pp3p1/p3P2p/1P1P4/PB3Q2/5K2/8 w - -,b4a5 b6a5 f3c6 e7h4 f2e3 h4g3 c6f3 g3h2 e5e6 a5a4,468
r4rk1/ppp1qppp/8/5b2/4n3/2PQB1P1/PP1N1P1P/R3K2R w KQ -,d3d5 g7g6 d2f3 a8d8 d5e5 e7e5 f3e5 f8e8 e5f3 f5h3,-294
2b1qrk1/1pppbpp1/1r6/p3P1pP/3p1P2/3P4/PPPBB1Q1/2KR3R w - -,d1e1 d7d5 e5d6 e7d6 h1g1 e8b5 g2g5 b5g5 g1g5 d6b4,82
8/8/3k2p1/pP3p1p/1K3P2/6P1/7P/8 w - -,b4a5 d6c5 b5b6 c5c6 a5a6 c6d5 b6b7 d5e4 a6a5 e4f3,1302
1k1r3r/pp3pp1/4qn1p/2Pp2bP/2P5/Q3NP2/P2B2P1/3R1K1R w - -,f1f2 d5c4 h1e1 f6h5 e3f1 e6g6 d2g5 h6g5 a3a4 h5f4,-220
1k1r3r/pp3pp1/4p1p1/8/1n6/1P4PP/PBQP2B1/q2R1K2 w - -,c2c1 a1c1 b2c1 g6g5 c1a3 b4c6 b3b4 c6e7 b4b5 e7f5,-432
r7/P7/6kp/R7/1P1P2p1/2P3P1/5P2/5K2 w - -,c2c1 a1c1 b2c1 g6g5 c1a3 b4c6 b3b4 c6e7 b4b5 e7f5,Mate
2r1k3/p2b4/3P2pB/2pQp2p/4P2q/2P5/P3B1P1/6K1 w - -,c2c1 a1c1 b2c1 g6g5 c1a3 b4c6 b3b4 c6e7 b4b5 e7f5,Mate
1r2r1k1/p6p/2p2pp1/3p4/7P/6Q1/qbPN1PP1/1R2RK2 w - -,f1g1 a2a5 d2f3 b2e5 b1b8 e8b8 g3h3 a5c7 f3e5 f6e5,-39
1rbq2k1/2p2pp1/2p5/p2pP2p/3Pn1rN/6B1/PP3PPP/RNQ2RK1 w - -,h4f3 h5h4 h2h3 e4g3 f2g3 g4g3 g1h2 d8d7 f3g1 c6c5,304
4r1k1/2r1q2p/1bn2pp1/1p1p4/pP6/P2QPN1B/1B3KPP/2R1R3 w - -,c1c6 c7c6 d3d5 c6e6 b2d4 b6c7 d4c5 e7f7 h3e6 e8e6,539
r1bq1rk1/p4ppp/2p2n2/3pp3/Nb2P3/3BB3/PPP2PPP/R2Q1RK1 w - -,a2a3 b4e7 f2f3 d5e4 d3e4 f6e4 f3e4 d8a5 b2b3 f8d8,-22
3r1rk1/1R3p2/2pP1qpp/8/2R1Q3/6P1/2B2PKP/8 w - -,d6d7 f6e6 e4e6 f7e6 c4c6 g8f7 c2b3 f7g7 b3e6 g6g5,642
7k/4q1p1/2p3p1/p3P2p/3P4/PB3Q2/5K2/8 w - -,f3c6 e7h4 f2e3 h4g3 c6f3 g3e1 e3d3 e1c1 a3a4 h8h7,555
2Q5/8/8/2K5/8/4kb2/8/8 w - -,f3c6 e7h4 f2e3 h4g3 c6f3 g3e1 e3d3 e1c1 a3a4 h8h7,Mate
r1bq1r2/ppp2ppk/n3p3/3nP3/1b1P4/2N2N2/PPP3PP/R1BQK2R w KQ -,f3g5 h7g6 h2h4 f7f5 h4h5 g6h6 g5e6 h6h7 e6d8 d5c3,535
4rrk1/p6p/3pq1p1/3Q4/2P5/1P3NKP/P7/5R2 w - -,f3g5 e6d5 f1f8 g8f8 c4d5 e8e5 h3h4 f8g8 g3f4 e5d5,-656
r7/P7/7p/RP3k2/3P2p1/2P3P1/5P2/5K2 w - -,f3g5 e6d5 f1f8 g8f8 c4d5 e8e5 h3h4 f8g8 g3f4 e5d5,Mate
r1b2rk1/p2pnppp/2p5/q1p5/4PN2/1PNP4/P1P3PP/R2Q1RK1 w - -,d1e1 a5b4 g1h1 b4d4 c3e2 d4e5 e1a5 d7d6 a1e1 c8g4,61
4r2r/1n1b2k1/1ppb1pp1/p2pn1Pp/3N1N1P/3P2B1/PPP2PB1/2K1RR2 w - -,f1g1 b7d8 g5f6 g7f6 e1e2 e5f7 e2e3 d6c5 c2c3 f7h6,15
2b1qrk1/1ppp1pp1/1r6/p3P1PP/3p4/b2P4/PPPBB1Q1/2KR3R w - -,,0
r7/ppp1n1k1/3p1np1/8/4Pq2/1PN5/1PP1B1Q1/1K3R1r w - -,g2h1 f4e5 e2d3 a8f8 h1g2 a7a6 g2h3 f8h8 h3g2 b7b6,-18
rn1qk2r/pb1pppbp/5np1/2pP4/PpP5/1P3N2/3NPPPP/R1BQKB1R w KQkq -,c1b2 e7e6 e2e4 e8h8 e4e5 f6e8 d5e6 d7e6 h2h4 e8d6,30
r1bq1rk1/1p2ppbp/3p2p1/1Pn5/p3P3/2N1B3/PP2BPPP/R2Q1RK1 w - -,e3d4 g7d4 d1d4 e7e5 d4b4 a4a3 b2b3 c5e6 e2c4 e6d4,18
r4rk1/pp3ppp/8/3pP3/4n1bb/BP2R3/2P2PPP/RN3BK1 w - -,e3f3 g4f3 g2f3 h4f2 g1g2 f2d4 a1a2 e4g5 a3f8 a8f8,-186
rnb1k2r/pp2pnbp/6p1/8/3pq3/N1P1BN2/PP3PPP/R2QK2R w KQkq -,c3d4 c8g4 a3b5 e8h8 e1h1 b8c6 h2h3 g4f3 d1f3 e4f3,-414
r2qk1nr/pp1n1pp1/2p1p3/3pPb1p/Pb1P4/5N2/1PP1BPPP/RNBQ1RK1 w kq -,c2c3 b4e7 a4a5 g8h6 a5a6 b7b5 b1d2 g7g5 d2b3 g5g4,88
2r2r2/pb1nbpk1/2p1pp1p/8/qp1P3Q/3BP3/PP1N1PPP/2R2RK1 w - -,,0
1k1r3r/pp3pp1/4q2p/2Pn2bP/8/Q3NP2/P2B2P1/3R1K1R w - -,e3d5 d8d5 d1e1 e6c6 d2g5 h6g5 f1f2 h8d8 a3e3 f7f6,-146
1r4k1/p1pq3p/3br2B/8/3Q4/3B4/PP3P1P/5K2 w - -,d3f5 d7b5 f5d3 b5e5 d4e5 e6e5 h6e3 e5a5 d3c4 g8g7,-723
r1br2k1/1p2bppp/p4n2/1N2p3/2P5/6P1/PP3PBP/R1B2RK1 w - -,b5c3 c8e6 g2b7 e6c4 b7a8 c4f1 g1f1 d8a8 c1g5 h7h6,21
r2qk2r/pp3pp1/2nbpn1p/3p3b/B2P4/2P2N1P/PP3PP1/RNBQ1RK1 w kq -,d1d3 e8h8 b1d2 a7a6 f1e1 b7b5 a4d1 d8b6 a2a3 b6c7,-63
5rk1/3n1qp1/p2P1b1p/1p6/4R3/5Q2/PPP3PP/1K1R4 w - -,f3e3 f7g6 e3e2 g8h7 e4e3 f8d8 g2g3 d7c5 h2h4 c5a4,69
2b1nrk1/1p1pppbp/6pq/r1P1P3/pn4B1/2N3P1/P2N1P1P/R1BQ1RK1 w - -,d2c4 g6g5 c4a5 g7e5 c1d2 e8f6 g4f3 d7d5 c5d6 e7d6,397
r1bq1rk1/ppp2pp1/n3p3/3nP1N1/1b1P4/2N5/PPP3PP/R1BQK2R w KQ -,d1h5 d8g5 c1g5 f7f5 e5f6 d5f6 g5f6 f8f6 e1a1 c8d7,526
r1bqk2r/ppppnppp/5n2/2b5/2BPP3/5N2/PP3PPP/RNBQK2R w KQkq -,d4c5 f6e4 b1c3 e4c5 d1d4 d7d5 d4c5 d5c4 e1h1 d8d6,443
4rrk1/p6p/3p2p1/8/2P5/1P1Q1NKP/P3q3/5R2 w - -,d3d1 f8f3 f1f3 e2d1 g3g2 d1d4 f3f2 e8e3 a2a3 d4e4,-1192
8/8/8/7p/8/4k1K1/5R2/8 w - -,d3d1 f8f3 f1f3 e2d1 g3g2 d1d4 f3f2 e8e3 a2a3 d4e4,Mate
r4rk1/pp3ppp/8/3pP1b1/4n1b1/BP2R1P1/2P2P1P/RN3BK1 w - -,e3e1 f8c8 c2c4 e4d2 b1d2 g5d2 c4d5 d2e1 a1e1 a7a5,7
r1bq1rk1/p4ppp/2pb1n2/3pp3/N3P3/3BBP2/PPP3PP/R2Q1RK1 w - -,g1h1 d8e7 d1e1 c8e6 e1h4 h7h6 b2b3 f6d7 h4e7 d6e7,-9
r1bqkbnr/p1p2ppp/2np4/1p2p3/1P6/2P5/P1QPPPPP/RNB1KBNR w KQkq -,a2a4 b5a4 c2a4 c8b7 g2g3 a7a5 f1g2 d6d5 b4b5 c6b8,53
6k1/pR6/2p1b3/4P1B1/P3P1p1/5P2/5K2/3r4 w - -,f3f4 d1d4 f4f5 d4e4 f5e6 e4e5 b7b8 g8g7 e6e7 g7g6,529
5R2/8/2p2b2/1pP2k2/1P1p2p1/8/3B3r/4K3 w - -,d2c1 g4g3 c1f4 h2h1 e1e2 g3g2 f8g8 g2g1q g8g1 h1g1,-870
r3k2r/pppqbpp1/2n1pn2/6Bp/3P4/P1NQ1N1P/1PP3P1/2KR3R w kq -,g5f6 e7f6 d4d5 c6e5 f3e5 f6e5 h1e1 f7f6 d3c4 e8a8,-10
3r2k1/p2qbpp1/1p2pn2/3p1n1p/3P4/1P1QPPP1/P2BN1BP/2rR2K1 w - -,e2c3 c1d1 c3d1 d8c8 g2h3 f5h6 d1f2 d7d8 e3e4 g8h8,-527
r5k1/2pb1q1p/p1n1p1p1/1p1pP3/3P1r2/PQPB1N2/1P3RPP/R5K1 w - -,a1f1 f7g7 b3c2 c6e7 c2d2 a8f8 h2h4 d7e8 g2g3 f4f7,154
r2q1rk1/ppp2ppp/2npbn2/2b3B1/2BpP3/5N1P/PPPN1PP1/R2Q1RK1 w - -,c4d3 h7h6 g5h4 c6e5 f3e5 d6e5 f2f4 c5e7 f4f5 e6c8,-60
r3rbk1/1p1n1pp1/2p1bn1p/3pp3/p3P3/q2PBNNP/B1P1QPP1/RR4K1 w - -,a2d5 a3a1 b1a1 c6d5 c2c4 d5d4 e3c1 a4a3 g3f5 e8c8,-160
8/p1k5/7K/1pPn4/8/Pr1p1PP1/1P1R3P/8 w - -,h2h4 d5e3 g3g4 e3c4 d2d1 c4b2 d1d2 b2c4 d2d1 d3d2,-348
1r3k2/5p2/2ppb3/6Q1/pr2P2P/2N5/1PP5/1K6 w - -,g5f4 f8e7 f4g5 e7f8 g5g3 b4b2 b1c1 f8e7 g3g5 e7f8,1
3r2kr/Qpq2p2/p1p1n1p1/6Pp/1P2R2P/P2P4/2P2P2/R5K1 w - -,a7e3 g8h7 a1e1 d8e8 a3a4 c7d7 e3h3 h8f8 a4a5 h7g8,-408
r4rk1/pp1q1ppp/4n3/3pP1BQ/8/8/P1P3PP/3R1RK1 w - -,g5c1 d7c7 c1a3 f8d8 h5f3 d8d7 d1d5 e6d4 f3e4 c7c4,-82
5rk1/p6p/3p2p1/8/2P5/1P3NKP/P3r3/5R2 w - -,f1a1 e2e3 a1f1 h7h6 g3g2 e3d3 f1f2 a7a5 h3h4 g8g7,-648
r1bqkbnr/ppp2p1p/2np4/1B2p1p1/2P1P3/5N2/PP1P1PPP/RNBQK2R w KQkq -,h2h3 h7h6 b1c3 f8g7 d2d4 e5d4 f3d4 g8e7 e1h1 e8h8,36
r1bq1rk1/1p2ppbp/3p2p1/pnn5/2P1P3/2N1B3/PP2BPPP/R2Q1RK1 w - -,c3a4 c5a4 c4b5 a4c5 d1c2 b7b6 a1d1 c8b7 e3c5 a8c8,-510
1r4k1/p1pq3p/3br1bB/8/2BQ4/8/PP3P1P/5K2 w - -,c3a4 c5a4 c4b5 a4c5 d1c2 b7b6 a1d1 c8b7 e3c5 a8c8,Mate
r1r3k1/pp3ppp/8/3pP1b1/4n1b1/BP4P1/2P2P1P/RN2RBK1 w - -,c2c4 e4d2 b1d2 g5d2 c4d5 d2e1 a1e1 a7a5 e5e6 f7e6,7
r1bq1rk1/p1pp1ppp/2p2n2/2b5/4PP2/3P4/PPP3PP/RNBQKB1R w KQ -,e4e5 f6d5 d3d4 c5b6 c2c4 d5e7 c4c5 b6a5 c1d2 a5d2,69
1rr2n2/3kb1p1/4p2p/pp1pPp1P/b1qP4/P1PN1BP1/1Q1B1P2/1R2R1K1 w - -,f3e2 c4c6 g1h2 d7c7 b2a2 c6c4 a2a1 c4c6 e1c1 g7g5,125
3r1rk1/pp4b1/n1pp1pPp/3np3/7Q/1P3P1N/P3K2P/2R3R1 w - -,e2f2 d8d7 f2g2 a6c5 f3f4 c5e6 f4e5 d6e5 g2h1 f6f5,108
r1bqk2r/pp3pp1/1bn1p2p/3pPn2/1P1P4/P1N2N2/4BPPP/R1BQ1RK1 w kq -,c1e3 e8h8 g2g4 f5e3 f2e3 c8d7 c3a4 c6e7 e2d3 d7a4,54
r2qr1k1/1b3ppp/1pn5/3p1B2/2pPn3/P1B1PN1P/1P3PP1/2RQ1RK1 w - -,f1e1 b6b5 f5e4 e8e4 f3d2 e4e8 d2f1 c6e7 f1g3 a8a6,79
1r2r1k1/p6p/2p2pp1/3pb2P/8/6Q1/q1PN1PP1/1R2RK2 w - -,b1b8 a2a6 f1g1 e8b8 f2f4 e5d6 h5g6 a6b6 g1f1 b6b4,-66
r4rk1/5ppp/2p1p3/p1Np1bq1/3P4/2P4P/PP3PP1/R2QR1K1 w - -,e1e3 h7h5 a2a4 a8a7 a1a2 h5h4 b2b3 f8e8 a2b2 g5f4,75
8/8/3K4/8/5k2/5b1Q/8/8 w - -,e1e3 h7h5 a2a4 a8a7 a1a2 h5h4 b2b3 f8e8 a2b2 g5f4,Mate
3Q4/p7/6p1/2pQp2k/4Pq1p/2P5/P5P1/5B1K w - -,e1e3 h7h5 a2a4 a8a7 a1a2 h5h4 b2b3 f8e8 a2b2 g5f4,Mate
3r2k1/4qpp1/1n5p/1pN5/1PpP4/8/1Q3PPP/r3R1K1 w - -,b2a1 e7c7 g2g3 b6d5 a1a6 d8b8 a6a3 c7c6 h2h3 b8a8,-168
r4rk1/ppp3pp/2nqp3/6B1/2B5/5N2/P4PPP/R3Q1K1 w - -,e1e4 a8e8 g5e3 h7h6 h2h3 a7a5 a1e1 f8f6 c4d3 e8d8,345
r2q1rk1/p4ppp/2pbbn2/3pp3/N3P3/3BBP2/PPP3PP/R3QRK1 w - -,b2b3 f6h5 g1h1 h5f4 e3f4 e5f4 a1d1 f8e8 e1c3 d8c7,-13
r2Q4/pkp4p/1p6/8/3p4/8/PPP2PPP/6K1 w - -,d8d5 c7c6 d5d7 b7a6 d7d4 a8c8 d4d7 c8h8 h2h4 h7h5,809
8/8/6B1/5N2/8/3K1k2/8/8 w - -,f5e3 f3f4 d3d4 f4g5 g6f5 g5f6 d4e4 f6g7 e4e5 g7f7,9605
2r5/p5rk/4bp2/2B1p1p1/PP2Pn2/6R1/1KB2R1P/8 w - -,g3c3 g7c7 a4a5 c7d7 a5a6 h7g6 b2a3 f4h3 f2f1 d7c7,17
8/8/2p4q/1pP2k2/1P4pb/K7/8/6B1 w - -,c2b3 h7g6 h2h4 e6b3 b2b3 g7b7 c5e3 f4d3 f2f6 g6f6,Mate
8/1p1p4/2pB3K/2P1P3/p1Pp2k1/3P4/5P2/8 w - -,e5e6 d7e6 d6e5 g4f3 e5d4 e6e5 d4e5 f3e2 h6g6 e2d3,673
2b2b1r/2Nn1kpp/p4n2/1pq1p1B1/5P2/8/P1P2QPP/R4RK1 w - -,g1h1 e5e4 f2c5 f8c5 f4f5 h7h6 g5f4 d7b6 f1d1 e4e3,-413
5k2/3b1Ppp/p1q5/3pQ2P/8/3P4/p2r4/5RK1 w - -,g1h1 e5e4 f2c5 f8c5 f4f5 h7h6 g5f4 d7b6 f1d1 e4e3,Mate
r3rbk1/1p1n1pp1/2p1bn1p/3Bp3/p3P3/3PBNNP/2P1QPP1/qR4K1 w - -,b1a1 c6d5 e4d5 f6d5 e3c1 b7b5 c2c4 d5c7 c4b5 c7b5,-162
r1b2rk1/ppp2pp1/n3p3/3nP1qQ/1b1P4/2N5/PPP3PP/R1B1K2R w KQ -,c1g5 f7f5 e5f6 d5f6 g5f6 f8f6 e1a1 c8d7 h1f1 d7e8,506
rn2kbnr/pp1bpppp/8/1Bq5/8/2N5/PPP2PPP/R1BQK1NR w KQkq -,d1f3 c5c8 c1f4 b8c6 e1a1 d7g4 f3e3 g4d1 c3d5 g8f6,84
2r1b1k1/qpr1npp1/4p2p/pP1pP3/N2n4/P4N2/3QBPPP/2R2RK1 w - -,c1d1 d4b5 d2d3 b5c3 a4c3 c7c3 d3d2 c3a3 d1c1 c8c1,-410
8/8/8/7p/4k3/5RK1/8/8 w - -,c1d1 d4b5 d2d3 b5c3 a4c3 c7c3 d3d2 c3a3 d1c1 c8c1,Mate
r2qkbnr/pbppn1pp/1p6/3Ppp2/4P3/2PB1P2/PP4PP/RNBQK1NR w KQkq -,h2h4 f5f4 h4h5 e7c8 g1e2 d8f6 g2g3 g7g5 h5g6 f4g3,50
rn2kbnr/pp1q1ppp/4p3/4P3/2pp1P2/8/PPPP2PP/RNBQK1NR w KQkq -,g1f3 b8c6 e1h1 d4d3 b1c3 g8h6 b2b3 c4b3 c2b3 f8e7,-58
rn1qk2r/ppp1bppp/4pn2/7b/2PP4/2N2N1P/PP2BPP1/R1BQK2R w KQkq -,d1b3 b8d7 b3b7 e8h8 e1h1 c7c5 f1d1 c5d4 f3d4 a8b8,137
r1bqk2r/pp2npp1/1b2p2p/3pP3/1P1P4/P1N1PN2/4B1PP/R2Q1RK1 w kq -,e2d3 e8h8 g2g4 c8d7 g4g5 a8c8 a1c1 h6h5 f3h4 g7g6,131
1k1rr3/pp3pp1/4q2p/2Pn2bP/8/Q3NP2/P2B1KP1/3R3R w - -,d2c1 g5e3 c1e3 d5e3 d1d8 e8d8 a3e3 e6a2 f2g3 a2e6,-149
5rk1/p6p/3p2p1/8/P1P5/1P2rNKP/8/5R2 w - -,h3h4 e3b3 a4a5 b3c3 a5a6 c3c4 f3d2 c4c3 f1f3 f8f3,-760
1rbq2k1/2p2pp1/2p5/p2pP2p/3P2rN/6nP/PP3PP1/RNQ2RK1 w - -,c1c2 d8h4 f2g3 g4g3 b1c3 c8h3 f1f2 h4d4 g1f1 d4g4,-475
8/p1k5/7K/1pP5/5nP1/Pr1p1P2/1P1R3P/8 w - -,g4g5 c7c6 g5g6 f4g6 h6g6 c6c5 f3f4 c5d4 f4f5 d4e3,9
r2q1rk1/pp3pp1/2nbpn1p/3p3b/B2P4/2P2N1P/PP3PP1/RNBQR1K1 w - -,b1d2 a7a6 d1e2 d8c7 e2f1 f8e8 a2a3 f6d7 a4d1 h5g6,-88
8/6k1/1p4p1/5p1p/1p1r4/5R2/2P1BP2/2K5 w - -,e2d3 d4g4 c1d2 h5h4 d2e2 g7f6 f3e3 g4g1 f2f4 g1b1,28
r2qk2r/pb1nbppp/1p1ppn2/2p5/1PPP4/2N2NP1/P3PPBP/R1BQ1RK1 w kq -,b4c5 b6c5 d4d5 e6d5 c4d5 a8b8 f1e1 e8h8 a2a4 f8e8,65
5rk1/2pb1q1p/p1n1p1p1/1p1pP3/3P1r2/PQPB1N2/1P3RPP/5RK1 w - -,f3g5 f4f2 g5f7 f2f1 d3f1 g8f7 f1d3 f7g7 a3a4 c6e7,311
8/1p6/2p1p2K/2P1B3/2Pp2k1/p2P4/5P2/8 w - -,h6g6 g4f3 e5d4 e6e5 d4e5 f3e2 g6f6 e2f2 f6e6 f2e2,734
