5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
8/8/8/5RKp/8/4kp2/8/8 w - -,g5h4 e3e2 f5e5 e2f2 h4h3 h5h4 h3h2 f2f1 e5e4 f3f2,9605
r1b2rk1/ppp1n1pp/2n1p3/b2q1p2/3P4/2PB1N2/PP1N1PPP/R1BQR1K1 w - -,d3c4 d5d6 b2b4 b7b5 c4b5 a5b6 a2a4 a7a6 b5f1 e7g6,375
r4rk1/pb1R1pp1/1bp2n1B/4p3/8/PBN2p2/1PP2PPP/5RK1 w - -,d7b7 g7h6 g2f3 b6d4 f1d1 a7a5 b7c7 d4c3 b2c3 a5a4,126
r4rk1/4npbp/2n3p1/ppB5/4P1b1/P4NP1/3R1PBP/1N1R2K1 w - -,d1e1 a8c8 f3g5 h7h6 h2h3 g4h5 g5f3 h5f3 c5e7 c6e7,-64
r2q1rk1/pbpnppbp/1p1p2p1/8/2PP3N/1Pn3P1/PB2PPBP/R2Q1RK1 w - -,b2c3 b7g2 h4g2 c7c6 e2e4 b6b5 c4b5 c6b5 g2e3 d7f6,14
5rk1/p2b4/2pb4/8/P2PP3/4B3/8/1R2K3 w - -,e1d1 f8f7 d1d2 a7a5 b1b6 f7f3 b6b7 d6b4 d2e2 d7g4,-246
rnb2rk1/p1p2ppp/1p1qpn2/3p4/3P4/P1N1PN2/1PP2PPP/R2QKB1R w KQ -,f3e5 c7c5 f2f4 c8b7 g2g4 b8c6 f1d3 a8c8 g4g5 f6e4,-10
r3rbk1/1pqn1pp1/2p1bn1p/3pp3/p3P3/P2P1NNP/BPP1QPP1/R1BR2K1 w - -,d1e1 b7b5 c1d2 a8b8 d2c3 d5e4 d3e4 e6a2 a1a2 c6c5,-66
r2q1rk1/p1pnppbp/1p1p2p1/8/2PP3N/1PB3P1/P3PPbP/R2Q1RK1 w - -,h4g2 c7c6 d1d3 f8e8 e2e4 e7e5 d4d5 d7c5 d3e2 c6d5,17
3q1b1R/1r1k1r2/p1p1bnQ1/1pB1pp2/4P3/P2B1p2/1PP5/1K4R1 w - -,d3b5 b7b5 g1d1 f6d5 e4d5 c6d5 c5f8 f7f8 g6g7 d8e7,-587
