2b5/1pp2p1k/r2p3b/p2Pp1r1/B1P1Pn1p/P3NR1P/1P4PN/4R2K w - -,e1f1 f4h5 h2g4 c8g4 e3g4 h5g3 h1g1 g3f1 g1f1 a6a8,-100
rnbqkbnr/1pppppp1/8/p6p/8/1P3N2/P1PPPPPP/RNBQKB1R w KQkq -,e2e4 a5a4 b1c3 a4b3 c2b3 e7e6 c1b2 d7d5 d1c2 c7c6,75
8/7p/5p2/p3p3/K5kP/8/8/8 w - -,b1c3 e7e6 e2e4 d7d5 e4e5 b7b6 d2d4 f8b4 d1d2 c8a6,Mate
r1B2r1k/pp4pp/2n5/3p4/1q1PnP2/3Q1NP1/PP2N2P/R3K2R w KQ -,e1d1 e4f2 d1c2 f2d3 c2d3 a8c8 h1c1 b4b2 d3e3 f8e8,-670
2b5/8/pk6/1p1p2p1/2pP2P1/P4K2/1P1Bp3/8 w - -,f3e2 c8g4 e2e1 b5b4 d2b4 g4h5 e1d2 b6b5 b4d6 b5a4,-12
8/8/pk6/1p1p2p1/2pP2b1/P7/1P1BK3/8 w - -,e2f2 b5b4 d2b4 b6b5 f2g3 g4h5 b4c3 b5a4 g3f2 a4b3,-336
r3k2r/1b2bpp1/pq2p3/1p1pP2p/1n1P1BnP/2N2NP1/PP2QP2/RB3RK1 w kq -,a2a4 a8c8 f4g5 e7g5 h4g5 g7g6 a4a5 b6c7 e2d2 c7e7,129
8/8/8/1N6/1K6/8/2B5/k7 w - -,a2a4 a8c8 f4g5 e7g5 h4g5 g7g6 a4a5 b6c7 e2d2 c7e7,Mate
r1b1kb1r/pp2pp1p/2np2p1/3n4/3P4/1PP2NB1/P4PPP/RN2KB1R w KQkq -,f1e2 f8g7 e1h1 c8f5 e2c4 d5b6 c4e2 e8h8 a2a4 g7h6,-38
rnb1k1nr/ppp2pp1/7p/2p5/4q3/3N4/PPPP1PPP/R1BQKB1R w KQkq -,d1e2 e4e2 f1e2 b8d7 b2b3 g8f6 c1b2 e8h8 e1a1 b7b6,96
3k4/pp1n4/4p3/3p3p/5p2/3N4/PP1K4/8 w - -,b2b4 e6e5 d2e1 b7b6 d3f2 d8e7 f2d3 e7d6 e1f1 d5d4,-595
r1b1k1nr/5ppp/1pPqp3/1B1pn3/1b6/4B3/P2N1PPP/R2QK1NR w KQkq -,a2a4 e5c4 g1f3 c4e3 f2e3 g8e7 e1h1 e8h8 a1c1 b4c5,-355
3k4/pp1n4/4p2p/3p4/8/3N1p2/PP1K4/8 w - -,d3f4 d8e7 d2e3 d7e5 f4h5 e5c4 e3f3 c4b2 h5f4 b2c4,-635
8/8/1k6/pp1p2p1/2pP2b1/P7/1P1B4/4K3 w - -,,0
3k4/pp1n4/7p/3pp3/5p2/3N4/PP1K4/8 w - -,d2e2 d8e7 d3f2 d7f6 a2a4 e7e6 a4a5 h6h5 f2d1 e5e4,-601
8/8/1k6/p2p2B1/1ppP2b1/P7/1P6/4K3 w - -,e1d2 b6b5 g5e7 c4c3 b2c3 b4a3 d2c2 b5a4 c3c4 g4d1,-9
8/8/7k/4K3/8/3B4/5N2/8 w - -,e1d2 b6b5 g5e7 c4c3 b2c3 b4a3 d2c2 b5a4 c3c4 g4d1,Mate
r1b1k2r/p2pppbp/2n3p1/qp1B4/3PP3/2P5/P2BNPPP/R2QK2R w KQkq -,h2h4 e7e6 d5c6 d7c6 h4h5 e6e5 c3c4 a5d8 d4d5 c6d5,93
8/8/5K2/7k/8/3B4/5N2/8 w - -,e1h1 e8h8 h2h4 e7e6 d5b3 c8a6 e4e5 b5b4 c3c4 a5b6,Mate
8/8/8/7k/8/6P1/5PKP/8 w - -,g2f3 h5g5 h2h4 g5g6 g3g4 g6h7 h4h5 h7g7 h5h6 g7g6,1346
rnbq1rk1/ppp1ppb1/3p1np1/7p/3PP2P/1PN5/PBP2PP1/R2QKBNR w KQ -,,0
