3rrbk1/5R2/3p3p/2p1pQ2/2P1P1n1/3P4/6P1/6K1 w - -,c1d1 b5c4 e1f1 f2g3 c3c1 g3g2 c1c2 c8h8 e2d3 g2c2,Mate
r3k2r/pbp1qp2/1pnppn1p/6p1/P1PP4/2P1P1B1/3N1PPP/R2QKB1R w KQkq -,f1d3 c6a5 e3e4 e8a8 d1e2 f6d7 f2f3 h6h5 e1h1 h5h4,-14
rnb1kb1r/1p3ppp/p2ppn2/8/3NP3/P1N1BP2/1qP3PP/R2QKB1R w KQkq -,c3a4 b2a1 d1a1 b8d7 c2c4 f8e7 f1e2 b7b5 c4b5 a6b5,480
3b1rk1/pp1n2pp/q7/8/b1p1PP2/2P1B3/P2RN2P/1Q3BK1 w - -,e4e5 d7b6 b1b4 f8e8 e2g3 d8c7 g3f5 a4c6 f5e7 g8h8,136
1r6/3b1pkp/2p2qp1/8/1P1p1P2/P7/3Q2PP/4RBK1 w - -,e1e5 f6d6 e5e4 c6c5 b4c5 d6c5 d2d4 c5d4 e4d4 d7c6,26
r4rk1/pp2ppb1/2p2np1/3pBq1p/3P1Q1P/2N1PP2/PPP3P1/R3K2R w KQ -,f4f5 g6f5 c3e2 f6d7 e5g7 g8g7 a2a4 e7e6 h1h3 g7h6,29
2rq1rk1/pp4b1/6pp/3ppP2/2b1P3/2N1QR1P/PP1B2P1/R5K1 w - -,,0
7r/2k3pp/R1p2p2/2b5/P7/3p3P/5PP1/R5K1 w - -,g2g3 c7b7 a6a5 b7b6 a5c5 b6c5 g1f1 h8e8 a1e1 e8e1,-448
rn2k2r/1bqp1ppp/p3pn2/1pb5/3NP3/2N1B3/PPP1BPPP/R2QR1K1 w kq -,d4b5 a6b5 c3b5 c7b6 e3c5 b6c5 b5d6 e8e7 d6b7 c5e5,214
8/8/8/5qpk/1K6/8/8/4Q3 w - -,e1h1 h5g6 h1c6 g6g7 c6c7 f5f7 c7d6 f7f2 d6e5 f2f6,-32
2r5/p3p1k1/3p1pp1/2q1n3/2P1P3/2Q2P2/4B3/3KR3 w - -,e1f1 e5c4 d1e1 c4e3 c3c5 c8c5 f1f2 c5c2 f3f4 c2b2,-568
r1bqkb1r/pp2pppp/2n5/3p2B1/3Pn3/1QN5/PP2PPPP/R3KBNR w KQkq -,g5e3 e7e6 g1f3 c8d7 f3e5 a8c8 e5c6 d7c6 g2g3 e4d6,-94
r1bqkb1r/ppp2ppp/2n5/3p4/3Pp1n1/4P3/PPPN1PPP/RNBQKB1R w KQkq -,d1e2 f8d6 b1c3 c6b4 d2b3 g4h2 h1h2 d6h2 a2a3 b4c6,-110
1kr4r/pp6/1q2p1Rp/3pPn2/3N1P2/2Q5/PPP5/2KR4 w - -,c3d3 f5d4 d3d4 b6a6 c1b1 h6h5 d4d2 c8c6 g6f6 h5h4,4
