3rrbk1/5R2/3p3p/2p1pQ2/2P1P1n1/3P4/6P1/6K1 w - -,c1d1 b5c4 e1f1 f2g3 c3c1 g3g2 c1c2 c8h8 e2d3 g2c2,Mate
r3kb1r/pppn1ppp/3qpn2/5b2/2BP4/2P2P2/PP1NN1PP/R1BQK2R w KQkq -,e2g3 f5g6 d2e4 d6b6 e1h1 h7h5 e4f6 d7f6 f3f4 e8a8,26
r4rk1/pp2ppb1/2p2n2/3pBp1p/3P3P/2N1PP2/PPP3P1/R3K2R w KQ -,c3e2 f6d7 e5g7 g8g7 a2a4 e7e6 h1h3 g7h6 h3g3 f8g8,35
8/8/1p6/2n3p1/n1K5/4N3/8/6k1 w - -,c3e2 f6d7 e5g7 g8g7 a2a4 e7e6 h1h3 g7h6 h3g3 f8g8,Mate
8/8/5k2/6p1/5K1P/4R3/r7/8 w - -,,0
r4qk1/pppb4/2np1Q2/1BbN4/4r3/8/PPP2PPP/R4RK1 w - -,f6g6 g8h8 g6e4 f8h6 e4f4 h6f4 d5f4 d7f5 b5d3 f5d7,448
2rr1k2/1pq1np2/p3p2p/4P3/P4Pp1/2PB2P1/1P1Q2PK/3RR3 w - -,f4f5 e7f5 d2f4 c7e7 d3f5 e6f5 f4h6 f8g8 d1d8 c8d8,254
8/8/7p/6p1/bpp1kp2/8/4K3/8 w - -,f4f5 e7f5 d2f4 c7e7 d3f5 e6f5 f4h6 f8g8 d1d8 c8d8,Mate
8/8/6k1/5qp1/1K6/8/8/7Q w - -,h1c6 g6g7 c6c7 f5f7 c7e5 f7f6 e5e4 f6d6 b4b5 g7f6,-30
r3kb1r/pp2pppp/6q1/3P1b2/1pP3n1/1N3Q2/PB3PPP/R3KB1R w KQkq -,f1e2 e8a8 a2a3 e7e6 c4c5 g4f6 d5d6 f5e4 f3f4 f6d5,113
rnq1kbnr/1p5p/p3ppp1/8/2B5/2P1BN2/PP2QPPP/R3K2R w KQkq -,e3f4 b8c6 c4e6 c8d8 e1h1 f8d6 e6g8 d8e7 e2e7 e8e7,645
1r5r/2Nk1pbp/b2p4/4p3/3nB3/N7/PP1K1PPP/R6R w - -,c7a6 b8b2 a3c2 g7h6 d2c3 b2c2 e4c2 h8c8 c3d3 c8c2,18
8/7K/1r5P/5k2/8/8/8/6R1 w - -,,0
6r1/1p1r1p1k/6p1/p2p3p/3R4/2P3PP/PP3PK1/7R w - -,h1d1 b7b6 d4d5 d7e7 d5d6 g8b8 d6d7 e7d7 d1d7 h7g7,213
4qk2/p2r1p2/7p/3n4/3B2Q1/4PP1P/6P1/6K1 w - -,g4g7 f8e7 g7e5 e7d8 e5b8 d8e7 d4c5 e7f6 b8e8 d5b6,868
7k/pbr1q1pp/1p6/2p1P3/2B1p3/2P2r1P/PP4P1/R2Q1RK1 w - -,d1d6 b6b5 a1d1 g7g6 g2f3 b5c4 f3e4 b7e4 d6f6 e7f6,464
8/3r2kp/p1K2p2/P1P5/4P2p/8/8/8 w - -,c6b6 h4h3 c5c6 d7d2 c6c7 d2c2 b6b7 h3h2 c7c8q c2c8,-9605
8/8/6k1/6P1/5K2/4R3/r7/8 w - -,,0
2r1r1k1/pp1nqppp/2p3n1/3p1B2/3P4/2N1PP2/PPQ3PP/4RR1K w - -,e3e4 d5e4 f3e4 c8d8 c2f2 d7f8 e1d1 f7f6 f5g4 a7a5,54
r4rk1/pq1pbppp/1pn1pn2/8/2PNP3/2N2PP1/PP2Q1KP/R1B2R2 w - -,f1d1 c6d4 d1d4 d7d6 c1e3 a7a6 h2h4 a8c8 a1d1 f8d8,26
3r1rk1/1pq2ppp/p3bn2/2p5/Pn1P1P2/3BP1N1/6PP/1RBQ1RK1 w - -,d3e2 a6a5 c1a3 c5d4 e3d4 c7b6 a3b4 a5b4 a4a5 b6d6,-62
rnb1k2r/pp2np1p/4p1p1/3pP2P/q2p2Q1/P1P5/2PB1PP1/R3KBNR w KQkq -,g4d4 a4c2 f1d3 c2b2 a1b1 b2a3 g1f3 g6h5 e1h1 b8c6,119
8/8/2Q2qk1/6p1/1K6/8/8/8 w - -,c6e4 f6f5 e4c6 g6g7 c6c7 f5f7 c7e5 f7f6 e5e4 f6d6,-28
r3k1nr/1pq2ppp/p1np4/1B1P3b/8/B4N1P/P4PP1/R2Q1RK1 w kq -,d5c6 a6b5 f1e1 g8e7 a3d6 h5f3 g2f3 e8h8 d6c7 e7c6,624
7r/3k1pbp/N2p4/4p3/3nB3/N7/Pr1K1PPP/R6R w - -,d2d3 b2b6 h1b1 b6a6 b1b7 d7d8 a3c2 d6d5 e4d5 e5e4,9
3r3k/5Q1p/3q2p1/8/2B3P1/1P1p3P/P1b2P2/5RK1 w - -,,0
8/5k2/4R3/6P1/5K2/8/r7/8 w - -,,0
r1b1kb1r/pp3ppp/2n1p3/3q4/8/1P2Q3/P1P2PPP/R1B1KBNR w KQkq -,c1d2 f8c5 e3f4 e8h8 g1f3 e6e5 f1c4 e5f4 c4d5 f8e8,-77
r2qk2r/pp3ppp/2pp1n2/2b1pPB1/2BnP1b1/2NP1N2/PPP3PP/R2QK2R w KQkq -,a2a3 d6d5 c4a2 e8h8 h1f1 h7h6 g5h4 c5e7 h4g3 f6h5,-269
2rq1rk1/pp4b1/6pp/3bpP2/8/2N1QR1P/PP1B2P1/R5K1 w - -,f3g3 g6g5 h3h4 f8f5 h4g5 f5g5 c3d5 d8d5 g3g5 h6g5,10
8/8/p6p/3Kp1p1/5k2/5P1P/P4P2/8 w - -,a2a3 f4f3 d5e5 f3f2 a3a4 f2g3 e5d6 g3h3 d6c7 g5g4,-1035
rnbqk2r/p2nbppp/1p2p3/2ppP3/P2P1P2/2N2N2/1PP3PP/R1BQKB1R w KQkq -,c1e3 b8c6 f1b5 d7b8 h2h4 a7a6 b5d3 c5d4 f3d4 c6d4,24
r1bqk2r/ppp1bppp/2n5/3p4/3Pp1n1/2N1P3/PPPN1PPP/R1BQKB1R w KQkq -,f1b5 e8h8 b5e2 h7h5 d2b3 g7g6 h2h3 g4h6 e1h1 h6f5,-98
rnb1k2r/pp2np1p/4p1p1/3pP2P/3Q4/P1P5/2qB1PP1/R3KBNR w KQkq -,f1d3 c2b2 a1b1 b2a3 g1f3 g6h5 e1h1 b8c6 d4h4 e7g6,147
2r5/p3p1k1/3p1pp1/2q5/2n1PP2/2Q5/4B3/3KR3 w - -,e2c4 c5c4 c3c4 c8c4 d1d2 a7a5 f4f5 g6f5 e4f5 g7f8,-617
r2qk2r/1b1nppb1/p2p1np1/7p/1p1NPP2/2NBB3/PPPQ2PP/1K1R3R w kq -,c3d5 f6d5 e4d5 b7d5 f4f5 g6f5 d4f5 g7e5 e3d4 d8a5,16
8/P5p1/2R1pk1p/1N6/3Pp2P/1q4P1/4BK2/8 w - -,c3d5 f6d5 e4d5 b7d5 f4f5 g6f5 d4f5 g7e5 e3d4 d8a5,Mate
8/8/5q2/6pk/1K6/8/2Q5/8 w - -,c2h2 h5g6 h2c2 g6f7 b4c5 f7e6 c5b6 e6d5 b6b7 f6e7,-30
7r/3k1pbp/Nr1p4/4p3/3nB3/N2K4/P4PPP/R6R w - -,h1b1 b6a6 b1b7 d7d8 a3c4 f7f5 b7g7 f5e4 d3e4 d4e6,5
r4rk1/1pp2p2/p1npbqp1/7n/4P3/2N1QP2/PPP1B2P/1K1R2NR w - -,d1f1 f6f4 e3f2 c6e5 e2d3 c7c5 g1e2 f4h6 e2c1 h5f4,9
2r2rk1/pp4b1/6pp/3qpP2/8/4QR1P/PP1B2P1/R5K1 w - -,d2c3 g6f5 e3a7 f5f4 a7f2 f8f5 a1e1 d5a2 f3d3 f5g5,-19
r4r2/pp1nppk1/2p5/3p1p1p/3P3P/4PP2/PPP1N1P1/R3K2R w KQ -,a2a4 e7e6 h1h3 f8g8 h3g3 g7h6 g3g8 a8g8 g2g3 a7a5,32
3r4/1p1r1p1k/6p1/p2p3p/3R4/2P3PP/PP3PK1/3R4 w - -,c3c4 d8c8 b2b3 a5a4 d4d5 d7c7 d5d7 h7g7 d7c7 c8c7,225
8/8/1p6/2n3p1/n1K3N1/8/6k1/8 w - -,c3c4 d8c8 b2b3 a5a4 d4d5 d7c7 d5d7 h7g7 d7c7 c8c7,Mate
2rr1k2/1pq2p2/p3p2p/4Pn2/P5p1/2PB2P1/1P1Q2PK/3RR3 w - -,d2f4 c7e7 d3f5 e6f5 d1d8 c8d8 f4h6 f8g8 e5e6 f7e6,274
3r4/8/7p/1p1k2p1/4N3/pPP2P2/P1K3PP/8 w - -,b3b4 d5c6 h2h3 c6d5 e4d2 d8e8 d2e4 d5e5 c2b3 e8d8,-70
8/8/7p/6p1/bpp2p2/5k2/3K4/8 w - -,b3b4 d5c6 h2h3 c6d5 e4d2 d8e8 d2e4 d5e5 c2b3 e8d8,Mate
nbnrkqbr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/NBNRKQBR w KQkq -,f1b5 f8d6 f2f4 d6g6 b5e5 c8e7 e5g5 g6e4 c1e2 e4g6,67
1r6/7p/3R1Qpk/5b2/1q3P2/8/6PP/5BK1 w - -,d6c6 b8c8 c6c8 f5c8 h2h3 c8f5 f6e5 b4b6 g1h2 b6e6,22
8/8/5q2/6p1/1K4k1/8/7Q/8 w - -,h2g2 g4h5 g2h3 h5g6 h3d3 f6f5 d3d6 g6h5 d6h2 h5g4,-27
r3kb1r/ppp2ppp/1n1qpn2/5b2/2BP4/1NP2P2/PP2N1PP/R1BQK2R w KQkq -,c4d3 f5d3 d1d3 d6d7 e1h1 c7c5 d3c2 d7a4 c2d2 c5d4,-30
8/3p4/1p1kp3/1P4P1/P1n1KN2/6P1/8/8 w - -,g5g6 d6e7 f4h5 d7d5 e4d4 c4d2 h5f4 d2b3 d4e5 b3c5,461
7r/2k2pbp/1r1p4/4p3/3nB3/N2K4/P4PPP/R6R w - -,a1b1 h8b8 b1b6 b8b6 h1c1 c7d7 c1b1 b6b1 a3b1 f7f5,9
r1q1kbnr/7p/p1n1ppp1/1p6/8/1BP1BN2/PP2QPPP/2KR3R w kq -,e3f4 e8f7 h1e1 f7g7 b3e6 c8e8 d1d7 f8e7 e2e4 a8c8,609
8/8/5q2/6p1/1K3k2/8/6Q1/8 w - -,g2f2 f4e5 f2e2 e5f5 e2c2 f5g4 c2g2 g4h5 g2h3 h5g6,-27
5r2/8/7p/1p1k2p1/1P2N3/p1P2P2/P1K3PP/8 w - -,h2h3 d5e5 c2b3 f8d8 b3a3 d8d1 a3b3 d1b1 b3c2 b1g1,-59
rnb1k2r/pp2np1p/4p1p1/3pP2P/3Q4/P1PB4/1q1B1PP1/R3K1NR w KQkq -,a1b1 b2a3 g1f3 b7b6 e1h1 g6h5 d4h4 b8c6 h4f6 h8f8,143
r2qr1k1/pp1b1pp1/2p2nnp/3p1P2/Pb1NP1P1/1PN4P/2P5/R1BQRBK1 w - -,e1e3 g6e5 c3a2 b4c5 a2c3 d5e4 g1g2 e5f3 d4f3 c5e3,-264
r2qk2r/1b1nppb1/p2p2p1/3n3p/1p1NPP2/3BB3/PPPQ2PP/1K1R3R w kq -,,0
r1r3k1/p4pp1/n4b1p/1p1p4/2pP4/P3PNP1/1P1K1PBP/2R4R w - -,,0
rnb1k2r/pp1pbppp/4p3/q1pP4/8/2N5/PPPQ1PPP/R3KBNR w KQkq -,g1f3 e8h8 h2h4 d7d6 f3g5 e6d5 d2d5 b8d7 e1a1 d7f6,-65
7r/3k1pbp/1r1p4/4p3/3nB3/N2K4/P4PPP/R1R5 w - -,a1b1 b6b8 b1b8 h8b8 c1b1 b8b1 a3b1 f7f5 e4d5 e5e4,8
r1b1r1k1/1p3p1p/p2p2p1/2pP3P/P3P3/2NBB2q/1P1Q1P1b/R4R1K w - -,f2f3 h2f4 h1g1 f4e3 d2e3 h3g3 g1h1 e8e5 e3h6 c8h3,-655
Q7/6p1/2R1pk1p/1N6/3P3P/1q2p1P1/4BK2/8 w - -,f2f3 h2f4 h1g1 f4e3 d2e3 h3g3 g1h1 e8e5 e3h6 c8h3,Mate
8/8/1p6/2n3p1/n1K5/4N1k1/8/8 w - -,f2f3 h2f4 h1g1 f4e3 d2e3 h3g3 g1h1 e8e5 e3h6 c8h3,Mate
3r4/6pp/1kp2p2/R1b5/P5P1/3p3P/5P2/3R2K1 w - -,a5a8 d8a8 d1d3 a8a4 d3d8 b6b5 g1g2 h7h6 g2g3 c5b6,-606
r1b1kb1r/pp3ppp/2n1p3/q7/8/1P2Q3/PBP2PPP/R3KBNR w KQkq -,e1e2 e6e5 a2a3 f8c5 b3b4 c5e3 b4a5 e3c5 g1f3 f7f6,-181
2rr2k1/pp3pbp/2n3p1/4p3/1q6/1P4P1/PBQ1PPBP/2R2RK1 w - -,f1d1 d8d1 c1d1 h7h5 h2h3 b4e7 e2e3 c8c7 d1c1 g8h7,84
r2qk2r/3nppb1/p2p2p1/3b3p/1p1N1P2/3BB3/PPPQ2PP/1K1R3R w kq -,f4f5 g6f5 d4f5 g7e5 e3d4 d8a5 b2b3 e5d4 f5d4 a5c5,12
rnb1kb1r/pp1p1ppp/4p3/q1pP4/8/2N5/PPPn1PPP/R2QKBNR w KQkq -,d1d2 f8e7 g1f3 e8h8 h2h4 d7d6 f3g5 e6d5 d2d5 b8d7,-64
2r2rk1/pppb1pp1/2np1n1p/1N6/4P3/P2PPNP1/1PP1B2P/R3K2R w KQ -,b5c3 c6e5 f3e5 d6e5 c3d5 f6d5 e4d5 c7c6 d5c6 c8c6,159
r4k2/pppb2q1/2np1NQ1/1Bb5/4r3/8/PPP2PPP/R4RK1 w - -,f6h7 f8g8 h7f6 g8f8 f6d7 g7d7 g6e4 d6d5 e4h4 d7g7,584
8/8/p3K3/4p1pp/5k2/5P1P/P4P2/8 w - -,e6e7 f4f3 e7f6 f3f2 f6e5 h5h4 e5f5 f2g3 f5g5 a6a5,-736
5r2/8/pk4p1/4R1Pp/5K1P/8/8/8 w - -,f4e4 f8c8 e5e6 c8c6 e4d5 c6e6 d5e6 a6a5 e6f6 a5a4,-3
1kr5/2r2qpp/3N1N2/8/8/8/PP4Q1/1K6 w - -,f6d7 f7d7 g2f1 c7c1 f1c1 c8c1 b1c1 d7c7 c1d2 c7d6,Mate
8/3p4/1p1kp3/nP4P1/P2K1N2/6P1/8/8 w - -,f4d3 d6e7 d3e5 a5b3 d4c4 b3c1 g5g6 d7d5 c4b4 e7f6,584
8/8/7p/8/bpp2pp1/5k2/8/2K5 w - -,f4h5 a5b3 d4c4 b3d2 c4b4 d6e7 g5g6 d7d5 g6g7 e7f7,Mate
r1b1k2r/p1p1qppp/2pb1n2/3pP3/5Q2/2N2P2/PPP3PP/R1B1KB1R w KQkq -,e1d1 d6e5 f4h4 e7d6 f1d3 e8h8 h1e1 a8b8 a2a3 f8e8,-251
8/k1r3p1/1p1n1p2/3Pp2p/2P1P3/5KP1/BR2N2P/3b4 w - -,h2h3 d6c4 a2c4 c7c4 b2d2 d1a4 g3g4 h5h4 f3e3 a7b7,-224
r5r1/pp1n1pk1/2p1p3/P2p1p1p/3P3P/4PP2/1PP1N1P1/R3K2R w KQ -,e1f2 c6c5 a1a4 g8c8 c2c3 a8b8 e2f4 g7h6 h1c1 a7a6,30
2rq1rk1/1b2bpp1/p3p2p/1pn4n/5B2/4PN2/PPBNQPPP/2R2RK1 w - -,a2a3 h5f4 e3f4 c5a4 c2a4 b5a4 d2c4 c8c5 c1c3 d8c7,-61
r1bqkbnr/pp1p1pp1/2n5/2pNp2p/4P3/3P4/PPP2PPP/R1BQKBNR w KQkq -,g1f3 d7d6 c2c3 c6e7 d5e3 g8f6 f3g5 e7c6 d1b3 d8c7,74
8/1Nn1k3/p1pn2p1/3p1p2/PP3P2/2K2BP1/8/8 w - -,b7a5 e7d7 c3d4 c7e6 d4e5 d6c4 a5c4 d5c4 f3e2 c4c3,-9
3b1rk1/pp1b2pp/q7/8/2p1PP2/2P1B3/P3N2P/1Q3BK1 w - -,g1h1 d8c7 b1d1 d7c6 f1g2 a6a4 d1d2 a4b5 d2e1 b5h5,-291
2r1r1k1/pp1bppbp/3p1np1/q7/2nNPP2/1BN1B2P/PPPQ2P1/3RR1K1 w - -,d2f2 c4b2 e3d2 c8c3 d1b1 b2a4 e4e5 d6e5 f4e5 f6d5,-279
8/8/8/6p1/1K1q1k2/8/4Q3/8 w - -,d2f2 c4b2 e3d2 c8c3 d1b1 b2a4 e4e5 d6e5 f4e5 f6d5,Mate
r1q1kbnr/7p/p4pp1/1p2p3/3B4/1BP5/PP2QPPP/2KR3R w kq -,d4e5 f8e7 h1e1 e8f8 e2f3 f8g7 e5d4 c8f8 b3g8 g7g8,652
4r1k1/pp1bppbp/3p1np1/q7/2rNPP2/2N1B2P/PPPQ2P1/3RR1K1 w - -,e3f2 e8c8 e4e5 f6e8 a2a3 e7e6 d2d3 a5a6 c3e4 d6e5,52
2rr1k2/1p2qp2/p3p2p/4Pn2/P4Qp1/2PB2P1/1P4PK/3RR3 w - -,d3f5 e6f5 f4h6 f8g8 d1d8 c8d8 e5e6 f7e6 e1e6 e7h7,321
8/3p4/1p1kp3/1P4P1/P2K1N2/6P1/3n4/8 w - -,g5g6 d6e7 f4h5 d7d5 g6g7 e7f7 h5f6 f7g7 f6d5 e6d5,557
8/8/p4K2/4p1p1/5k1p/5P1P/P4P2/8 w - -,f6e7 f4f3 e7e6 f3f2 e6f5 e5e4 f5e4 f2g3 e4f5 g3h3,-3576
3rk3/b2b1ppp/p3pn2/1p2N3/8/BP2PB2/P1r2PPP/R4RK1 w - -,f1c1 d8c8 f3b7 c2c1 a1c1 c8c1 a3c1 a6a5 c1b2 a7b8,43
r3r1k1/pR2b1pp/3pPn2/3Pp3/8/q1N5/P2BQPPP/5RK1 w - -,f1b1 a8c8 b1b3 a3a5 e2d3 e5e4 c3e4 a5a2 e4c3 a2a1,360
2nk4/p3b3/4p3/8/Q7/2P5/Pr3PPP/5K2 w - -,a4a5 c8b6 g2g3 d8c8 h2h4 b6d7 a5a6 c8d8 a6e6 e7c5,251
6k1/7R/6p1/5r1p/8/6PP/5PK1/8 w - -,h7d7 f5g5 d7c7 g8f8 c7a7 f8g8 a7d7 g8f8 d7c7 g5a5,5
2r5/8/pk4p1/4R1Pp/4K2P/8/8/8 w - -,e4d5 c8c5 d5d6 c5e5 d6e5 a6a5 e5f6 a5a4 f6g6 a4a3,-3
1kr4r/pp6/1q2p1Rp/3pP3/3n1P2/3Q4/PPP5/2KR4 w - -,d3d4 b6a6 c1b1 h6h5 b2b3 h5h4 d4f2 c8c6 f4f5 e6f5,4
r5r1/1bp2pk1/pb1p1q2/1p1Bn3/3pP3/2P2Q1P/PP1N1PP1/R3R1K1 w - -,f3f6 g7f6 d5b7 a8a7 b7d5 c7c6 d5b3 e5d3 e1f1 d3f4,-122
r1b1k2r/p1p1qppp/2p2n2/3pb3/5Q2/2NB1P2/PPP3PP/R1B1K2R w KQkq -,c3d5 c6d5 f4e3 e8h8 e1h1 c7c5 c2c3 f8e8 g1h1 c5c4,-517
r1b1r1k1/1p3p1p/p2p2p1/2pP3P/P3Pb2/2NBBP1q/1P1Q4/R4R1K w - -,h1g1 f4e3 d2e3 h3g3 g1h1 e8e5 e3h6 c8h3 f1g1 g3f3,-660
r3k2r/1bp1qp2/1pnppn2/p5p1/P1PP3p/1NP1PP2/5BPP/R2QKB1R w KQkq -,d1c2 e8a8 e3e4 g5g4 e1a1 h4h3 c1b2 c6b8 c4c5 d6c5,-34
3r3k/5Q2/3q2pp/8/6P1/1P1b3P/P4P2/3R2K1 w - -,,0
rnb2rk1/pp3p2/1q5p/2pp2pQ/3P4/3BP2P/P3nPPB/R3K2R w KQ -,d3e2 c5d4 h3h4 d4e3 h4g5 e3f2 e1f1 c8f5 g5h6 b6e6,-18
1kr4r/pp6/q3p1Rp/3pP3/3Q1P2/8/PPP5/2KR4 w - -,c1b1 h6h5 d4d2 c8c6 f4f5 e6f5 g6g5 a6b6 g5f5 h5h4,5
2r5/8/3p1k1p/p2Bpq1P/1bP3p1/8/1PQ2PK1/3R4 w - -,c2f5 f6f5 f2f3 g4f3 g2f3 b4c5 d1f1 c8b8 f3g3 f5g5,-115
r1q1k1nr/4b2p/pB3pp1/1p2p3/8/1BP5/PP2QPPP/2KR3R w kq -,f2f4 a8b8 b6a5 e8f8 f4e5 f8g7 h1f1 f6f5 c1b1 h7h5,486
r1r3k1/p4pp1/n6p/1p1pb3/2pP4/P3P1P1/1P1K1PBP/2R4R w - -,g2d5 a8b8 d4e5 c8d8 e3e4 a6c7 d2c2 c7d5 e4d5 d8d5,9
8/8/1p6/2nN2p1/n1K5/5k2/8/8 w - -,g2d5 a8b8 d4e5 c8d8 e3e4 a6c7 d2c2 c7d5 e4d5 d8d5,Mate
r5r1/1bp2p2/pb1p1k2/1p1Bn3/3pP3/2P4P/PP1N1PP1/R3R1K1 w - -,d5b7 a8a7 b7d5 c7c6 d5b3 e5d3 e1b1 d3f4 e4e5 d6e5,-137
r2qr1k1/p2b1pbp/1pn1p1p1/3p4/N2P4/1P2PNP1/P3BPP1/2RQ1RK1 w - -,a2a3 e8e7 a4b2 a8c8 d1d2 d7e8 b3b4 c6b8 g3g4 h7h6,-31
8/8/7p/8/bpp2p2/5k2/6p1/2K5 w - -,a2a3 e8e7 a4b2 a8c8 d1d2 d7e8 b3b4 c6b8 g3g4 h7h6,Mate
nbnrkqbr/pp1p1ppp/2p5/1Q2p3/4P3/8/PPPP1PPP/NBNRK1BR w KQkq -,b5b7 c8b6 f2f3 f7f5 c1b3 f5e4 f3e4 a8c7 e1d1 c7e6,97
r5k1/pppb2q1/2np2Q1/1BbN4/4r3/8/PPP2PPP/R4RK1 w - -,d5f6 g8f8 f6d7 g7d7 g6e4 a8e8 e4h4 d7e7 h4e7 e8e7,584
r1bq1r2/pppnppkp/3p1np1/8/3P4/2P2P2/PP1QP1PP/RN2KBNR w KQ -,e2e4 e7e5 c3c4 c7c6 b1c3 a8b8 h2h4 h7h5 g1h3 d8a5,4
2r1k3/b2b1ppp/p3pn2/1p2N3/8/BP2PB2/P1r2PPP/R1R3K1 w - -,f3b7 c2c1 a1c1 c8c1 a3c1 a6a5 c1b2 a7b6 g1f1 e8e7,39
3r4/6pp/2p2p2/8/P2k2P1/3p3P/5P2/3R1K2 w - -,g4g5 f6g5 h3h4 d4c3 h4g5 d3d2 f1e2 d8e8 e2f3 c3c2,-714
2kr3r/1bp1qp2/1pnppn2/p5p1/P1PP3p/1NP1PP2/4BBPP/R2QK2R w KQ -,d1c2 g5g4 e3e4 h4h3 g2g3 d8g8 e1h1 g4f3 e2f3 f6g4,-54
r2qk2r/1b2ppb1/p2p1np1/1pn4p/3NPP2/2NBB3/PPPQ2PP/1K1R3R w kq -,h1f1 b5b4 c3e2 f6e4 d2b4 d8d7 f4f5 e8h8 f5g6 f7g6,-60
8/8/pk4p1/2rKR1Pp/7P/8/8/8 w - -,,0
rnb2rk1/pp3p2/1q5p/3p2pQ/3p4/4P2P/P3BPPB/R3K2R w KQ -,e1h1 b6g6 h5g6 f7g6 a1b1 f8f7 e3d4 b8c6 f1d1 c8f5,-16
8/8/5q2/4k1p1/1K6/8/5Q2/8 w - -,f2c5 e5e6 c5c6 e6f7 c6d5 f7g6 d5e4 f6f5 e4c6 g6g7,-30
2n5/p2kb3/4p3/8/2Q5/2P5/Pr3PPP/5K2 w - -,c4a4 d7c7 a4c4 c7d7 h2h4 b2b1 f1e2 b1b2 e2f3 c8b6,233
r2qk2r/ppp2ppp/2nbbn2/3p4/2PPp3/4P3/PP1N1PPP/RNBQKB1R w KQkq -,c4d5 e6d5 b1c3 d8e7 a2a3 e7e6 d1c2 e8h8 c3d5 e6d5,29
Q7/3q2p1/2R1pk1p/1N6/3P3P/4pBP1/6K1/8 w - -,f1e2 d5c4 b1c3 e8h8 d2c4 c6b4 a2a3 b4d5 c1d2 c7c6,Mate
r1b1r1k1/1p3p1p/p2p2p1/2pP3P/P3Pb2/2NBBPq1/1P1Q4/R4RK1 w - -,d2g2 f4e3 g1h1 g3h4 g2h2 h4h2 h1h2 e8e5 f1e1 e3f4,-383
2kr1b1r/pppq1ppp/1n2pn2/8/3P1B2/1NPQ1P2/PP2N1PP/R3K2R w KQ -,c3c4 d7a4 a1c1 f8b4 e1f2 h8e8 c4c5 b6d5 f4e5 f6h5,65
r2qkb1r/ppp1pp1p/2n2np1/3p1b2/3P1P2/P1N2N2/1PP1P1PP/R1BQKB1R w KQkq -,b2b3 e7e6 e2e3 c6e7 c1b2 f8g7 f1e2 e8h8 f3e5 h7h5,-24
r2qk2r/1b2ppb1/p2p1np1/2n2P1p/1p1NP3/2NBB3/PPPQ2PP/1K1R3R w kq -,c3e2 f6e4 d2b4 a8b8 f5g6 f7g6 h1f1 b7d5 b4a3 d8c8,-8
r5k1/ppq2p1p/n1b1PQp1/8/2B1N3/P7/2R2P1P/3rK3 w - -,e1e2 c6e4 e6f7 g8f8 c2c3 c7d6 f6g5 d6d2 g5d2 d1d2,-508
7K/6R1/1r5P/8/5k2/8/8/8 w - -,,0
8/8/1p6/1KnN4/n5p1/5k2/8/8 w - -,h8h7 f4f5 g7g8 b6b7 h7h8 f5f6 g8g7 b7b6 h8g8 b6d6,Mate
1kr5/5qpp/5N2/8/8/8/PP4Q1/1K6 w - -,g2g5 g7f6 g5e3 c8c7 a2a3 b8c8 b1a1 f7c4 e3e8 c8b7,-520
2r2rk1/pp4b1/6pp/4pP2/8/1q3R1P/PP1B2P1/R5K1 w - -,d2c3 b3b6 g1h1 g6f5 a1d1 c8d8 d1e1 g8h8 f3e3 f8e8,-698
8/6k1/5R2/6P1/5K2/8/r7/8 w - -,,0
r1b1r1k1/1p3p1p/p2p2p1/2pP3P/P3P3/2NBbPq1/1P4Q1/R4RK1 w - -,g1h1 g3h4 g2h2 h4h2 h1h2 e8e5 c3e2 e5h5 h2g3 f7f5,-361
8/8/4kq2/2Q3p1/1K6/8/8/8 w - -,c5c4 e6f5 c4c2 f5g4 c2g2 g4h5 g2h1 h5g6 h1e4 f6f5,-30
r2q2k1/pp3p1p/n1b1PQp1/8/2B1N3/P7/2R2P1P/3K4 w - -,d1e1 d8f6 e4f6 g8g7 f6h7 a6c5 h7g5 f7f6 g5h3 a8h8,-120
6k1/7R/8/5rpp/8/6PP/5PK1/8 w - -,h7h5 g8f8 h3h4 f5c5 h5g5 c5c3 g3g4 f8e7 h4h5 e7f6,689
2kr3r/1bp1qp2/1pnppn2/p7/P1PP2pp/1NP1PP2/4BBPP/RQ2K2R w KQ -,h2h3 g4g3 f2g1 f6h5 b1b2 c6b8 c4c5 d6c5 d4c5 e6e5,-103
8/3pk3/1p2p1P1/1P6/P2K1N2/6P1/3n4/8 w - -,f4h5 d7d5 g6g7 e7f7 h5f6 f7g7 f6d5 e6d5 d4d5 d2b1,538
r2qk2r/pp2ppbp/5np1/3N4/3PP3/5N2/PP3PPP/R2QK2R w KQkq -,d5f6 g7f6 d1a4 d8d7 a4d7 e8d7 a1c1 h8d8 e1e2 e7e6,207
rnbq1r2/ppp2pkp/3p1np1/4p3/3P4/2P2P2/PP1QP1PP/RN2KBNR w KQ -,e2e4 d8e7 g1e2 d6d5 d4e5 e7e5 e4d5 f6d5 b1a3 c8e6,-35
2r3k1/pp1bppbp/3p1np1/q7/2rNPP2/2N4P/PPPQ1BP1/3RR1K1 w - -,e4e5 f6e8 d4b3 a5a6 c3d5 g7f8 d5b4 a6a4 c2c3 e7e6,72
8/4p1k1/3p1q2/2pP3p/8/4Q2P/6PK/8 w - -,e3g3 g7f7 g3d3 f6f4 h2h1 f7f6 d3d1 f4f5 h1g1 f6g6,-412
