rn1qkbnr/pbppppp1/1p5p/8/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,c2c4 c7c5 b1c3 g8f6 e1h1 e7e6 f1e1 b8c6 e2e4 e6e5,83
r1bqk2r/pppnbpp1/2n1p2p/3pP1B1/3P3P/2N2N2/PPP2PP1/R2QKB1R w KQkq -,g5f4 c6b8 h1h3 c7c5 h3g3 g7g6 d4c5 d7c5 d1d2 a7a6,89
r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/2P5/PP2BPPP/RNBQK1NR w KQkq -,d4c5 f8c5 g1f3 e8h8 e1h1 f8e8 b1d2 c5b6 d2b3 d8e7,-103
rnbqk2r/1p2bppp/p2ppn2/2p5/2B1P3/2NPBN2/PPP2PPP/R2QK2R w KQkq -,e3d2 b7b5 c4b3 d6d5 e4d5 e6d5 a2a4 b5b4 c3e2 b8c6,-93
4k3/8/3KB3/2N5/8/8/8/8 w - -,e3d2 b7b5 c4b3 d6d5 e4d5 e6d5 a2a4 b5b4 c3e2 b8c6,Mate
rnb1kb1r/pp1p1ppp/1q2pn2/2pP2B1/4P3/8/PPP2PPP/RN1QKBNR w KQkq -,g5f6 g7f6 b1d2 e6d5 e4d5 b6b2 f1d3 f6f5 g1e2 b2f6,143
8/3p4/3p4/3k1P2/3Pp3/8/8/2K5 w - -,f1d3 e6d5 g5f6 b6f6 b1c3 d5d4 c3d5 f6d8 f2f4 d7d6,Mate
rnb2rk1/pp2np1p/2p2q1b/8/2BPPN2/2P2Q2/PP4PP/R1B2RK1 w - -,f4d5 e7d5 f3f6 d5f6 c1h6 b8d7 f1f3 f6e4 a1f1 d7f6,757
rnb1k2r/pppp1ppp/5q2/2b1p3/2B1P1n1/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,b1c3 c7c6 h2h3 g4f2 f1f2 c5f2 g1f2 h7h6 d3d4 d7d6,272
r1bqkb1r/pppp1ppp/2n1pn2/8/4P3/5Q1N/PPPP1PPP/RNB1KB1R w KQkq -,f1d3 d7d5 b1c3 f8e7 e1h1 e8h8 f3e2 e7d6 c3b5 h7h6,-172
