rn1qk2r/pp2bppp/2p1pn2/3p1b2/8/1P1P1NP1/P1P1PPBP/RNBQ1RK1 w kq -,c1b2 e8h8 b1d2 f5g6 f1e1 a7a5 a2a4 f6d7 e2e4 b8a6,33
rnbqk1nr/1ppp1ppp/p7/2b1p3/P3P3/2N5/1PPP1PPP/R1BQKBNR w KQkq -,g1f3 d7d6 f1c4 g8f6 d2d3 e8h8 e1h1 c7c6 c4a2 h7h6,25
r1bqk1nr/1ppp1ppp/p1n5/2b1p3/P3P3/2N2N2/1PPP1PPP/R1BQKB1R w KQkq -,f3e5 c6e5 d2d4 c5d6 d4e5 d6e5 f2f4 e5c3 b2c3 d7d6,76
r2qkb1r/ppp2ppp/2npbn2/8/2B1P3/4QN2/PPP2PPP/RNB1K2R w KQkq -,b1d2 e6c4 d2c4 d8e7 e1h1 f6e4 f1e1 d6d5 c4d2 f7f5,-52
3k4/8/7R/8/8/4K3/8/8 w - -,b1d2 e6c4 d2c4 d8e7 e1h1 f6e4 f1e1 d6d5 c4d2 f7f5,Mate
rn2kb1r/ppp1pppp/3q1n2/8/8/2NP1b1P/PPP2PP1/R1BQKB1R w KQkq -,c1f4 d6f4 d1f3 f4f3 g2f3 c7c6 c3e4 g7g6 e4f6 e7f6,-891
rnb1kbnr/pp3ppp/1qp5/4p3/3PP3/8/PPP1N1PP/RNBQKB1R w KQkq -,d1d2 g8f6 d4e5 f6g4 e2d4 f8c5 c2c3 g4e5 b2b4 c5e7,-88
rnbqkb1r/pp3pp1/3ppn1p/2p3N1/2B1P3/8/PPPPQPPP/RNB1K2R w KQkq -,g5f7 e8f7 d2d3 b8c6 c2c3 c6a5 c4b5 c8d7 b5d7 d8d7,-543
r3kbnr/pp1b1ppp/1qn1p3/3pP3/3P4/1P2B3/P4PPP/RN1QKBNR w KQkq -,f1e2 g8h6 a2a3 h6f5 g1f3 f7f6 e5f6 g7f6 b1c3 f5e3,-94
r1bq1rk1/ppp1ppbp/2n2np1/3p2B1/3P4/2PBPN2/PP3PPP/RN1QK2R w KQ -,b1d2 f8e8 e1h1 e7e5 d3b5 e5e4 b5c6 b7c6 f3e5 d8d6,56
r1bq1rk1/1pp2ppp/2np1n2/p1b1p3/P1B1P3/2NP1N2/1PP2PPP/R1BQ1RK1 w - -,d1e2 c8e6 c1g5 e6c4 d3c4 c6b4 c3d5 b4d5 c4d5 h7h6,-8
r1bqk2r/pppnbppp/4pn2/6B1/2pP4/3BPN2/PP3PPP/RN1QK2R w KQkq -,d3f1 b7b5 a2a4 c7c6 b1c3 f6d5 g5e7 d8e7 d1c2 d5c3,-186
rnbqk1nr/pp3ppp/2pp4/2b5/2BNP3/8/PPP2PPP/RNBQK2R w KQkq -,d4b3 c5b6 c1f4 b6c7 b1c3 g8f6 d1d2 c8e6 c4e2 e8h8,86
rnb1kbnr/pppp1ppp/8/4pP2/7q/8/PPPPP1PP/RNBQKBNR w KQkq -,g2g3 h4d8 e2e4 d7d5 d2d3 d5e4 d3e4 d8d1 e1d1 g7g6,-66
rnb1k1nr/pppp1ppp/8/8/1b6/3N4/PPPPqPPP/RNB1KB1R w KQkq -,f1e2 b4e7 b1c3 g8f6 b2b3 d7d5 c1b2 c7c6 e1a1 b8a6,59
r2qkb1r/pppnpppp/5n2/3p3b/3P4/4PN1P/PPP1BPP1/RNBQK2R w KQkq -,c2c4 e7e6 e1h1 f8e7 c4c5 c7c6 b1d2 d8c7 b2b4 e8h8,36
rn2kb1r/pp1q1ppp/3p1n2/2p1p3/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,d2d3 f8e7 c1g5 f6g8 g5e3 g8f6 f3d2 b8c6 e3g5 e8h8,50
r1b1k2r/pppp1ppp/2n2q2/4p3/1b2P3/5N2/PPPP1PPP/R1BQKB1R w KQkq -,c2c3 b4e7 d2d4 e5d4 c3d4 e8h8 f1e2 d7d5 e4e5 f6e6,36
r4rk1/ppp2pbp/2n1b1p1/1B1n2B1/1q1PN3/5N2/PP3PPP/R2QR1K1 w - -,d1d3 c6d4 f3d4 b4d4 d3d4 g7d4 b5c4 c7c6 a1d1 d4b2,-134
rnb1k1nr/pppp1ppp/5q2/4p3/1bB1P3/5N2/P1PP1PPP/RNBQK2R w KQkq -,h2h4 b8c6 e1h1 b4a5 d2d4 d7d6 c2c3 c8g4 d4d5 g4f3,-83
r1bqkb1r/ppp1pp1p/2n5/3p2p1/3Pn2B/3Q1P2/PPP1P1PP/RN2KBNR w KQkq -,f3e4 d5e4 d3e4 d8d4 e4d4 c6d4 b1a3 g5h4 c2c3 d4f5,-198
