rnbq1rk1/1p2ppbp/2p2np1/p7/P1pP4/N4NP1/1P2PPBP/R1BQ1RK1 w - -,a3c4 f6e4 b2b3 b8a6 f3e5 e4d6 e2e3 a6b4 c1a3 d6c4,39
rn1q1rk1/1p2ppbp/2p1bnp1/p7/P1NP4/5NP1/1P2PPBP/R1BQ1RK1 w - -,d1c2 f6e8 e2e4 b8a6 c1d2 a6b4 d2b4 a5b4 f1d1 e8d6,38
2k1q3/ppp5/3b1pp1/n2p4/3P1P1p/1PP1rQ1P/P3N1P1/3KRR2 w - -,f3d5 a5c6 e2c1 d6a3 e1e3 e8e3 d1c2 a3c1 f1c1 e3e2,284
r1b2r2/ppq3p1/6k1/2bp4/3nN3/8/PPQ2PPP/RNB2RK1 w - -,c2d1 d5e4 d1d2 f8h8 d2g5 g6f7 c1f4 d4e2 g1h1 c7f4,-657
4k3/1R6/8/1p6/8/6q1/1PP5/1K1R4 w - -,c2d1 d5e4 d1d2 f8h8 d2g5 g6f7 c1f4 d4e2 g1h1 c7f4,Mate
8/8/8/4k3/6Q1/8/5K2/8 w - -,c2d1 d5e4 d1d2 f8h8 d2g5 g6f7 c1f4 d4e2 g1h1 c7f4,Mate
r1bqk2r/ppp2p2/2np3p/2b1p1p1/2B1P1n1/2NP1N1P/PPP2P2/R1BQ1RK1 w kq -,c3a4 g4f2 f1f2 c5f2 g1f2 c8h3 a4c3 g5g4 c3d5 g4f3,-187
b2q1rk1/4nppp/4pn2/3pN1N1/1b3P2/1P1BP3/1B2Q1PP/5R1K w - -,e5g4 e7g6 b2f6 g7f6 g4h6 g8g7 h6f7 d8e7 e2h5 f6g5,163
rn1qkb1r/p3pppp/2p5/1p3b2/3P4/1QP2N2/P3PPPP/R1B1KB1R w KQkq -,a2a4 b5a4 b3b7 b8d7 b7c6 f5c2 e2e3 a8c8 c6a6 g7g6,177
5rk1/5qp1/2n1pB2/1p1pP2Q/n1pP4/2P3P1/1P3PK1/7R w - -,f3g5 f5g6 a2a4 b5b4 b3b4 b8d7 b4c4 a8c8 g2g3 e7e6,Mate
rn1qk1nr/pbpp1pbp/1p2p1p1/8/3P4/1P3N2/PBPNPPPP/R2QKB1R w KQkq -,e2e4 d7d6 f1d3 b8d7 e1h1 g8f6 f1e1 e8h8 e4e5 f6d5,43
r2qkb1r/pp2pppp/2n2n2/1Bpp4/6b1/1P2PN2/P1PP1PPP/RNBQ1RK1 w kq -,,0
r1bqk2r/ppp2p2/2np3p/2bBp3/4P1p1/3P1N1P/PPP2PP1/R1BQ1RK1 w kq -,f3h2 g4h3 d1h5 d8f6 g2h3 c6e7 d5b3 h8g8 g1h1 e7g6,-81
r1bqk2r/ppp2p2/2np3p/2bBp3/4P3/3P3p/PPP2PPN/R1BQ1RK1 w kq -,d1h5 d8f6 g2h3 c6e7 d5b3 a7a5 g1h1 e7g6 c2c3 a5a4,-83
8/8/1P1k4/5p2/P2p2p1/6P1/3K4/8 w - -,,0
r1bqk1nr/1p2pp1p/p1np2pb/8/4P3/4QN1P/PPP1BPP1/RNB1K2R w KQkq -,e3c3 d8a5 c3a5 c6a5 c1h6 g8h6 b1c3 c8e6 e1a1 a5c6,64
5rk1/6q1/2n1ppQ1/1p1pP3/n1pP4/2P3P1/1P3PK1/7R w - -,g6c2 f6e5 c2e2 c6e7 g2g1 e5e4 e2h5 e7g6 h5g4 g6f4,-584
8/8/2rk4/8/5K2/8/8/8 w - -,g6c2 f6e5 c2e2 c6e7 g2g1 e5e4 e2h5 e7g6 h5g4 g6f4,Mate
6k1/2n2p2/3p3p/p2P2pN/2P3P1/P2n3P/3N2K1/8 w - -,h5g3 g8h7 g3f5 h7g6 f5d6 d3f4 g2g3 h6h5 d2b3 c7a6,259
8/8/2K5/5k2/8/3r4/1Q6/8 w - -,b2e2 d3d4 c6c5 d4e4 e2c2 f5e5 c2f2 e4f4 f2e2 e5f5,224
2rq1rk1/1b2bppp/ppn1p3/8/2PP4/3B1N2/PB2QPPP/3RR1K1 w - -,d4d5 e6d5 c4d5 c6b4 e2e7 d8e7 e1e7 b7d5 a2a3 d5f3,424
rnbq1rk1/ppppnpb1/4p1pp/6B1/3PP3/2PB1N2/PP3PPP/RN1QK2R w KQ -,g5e3 d7d5 e4e5 e7f5 d3f5 e6f5 h2h4 f7f6 d1d2 g8h7,46
8/5p2/3k3p/6pN/3N2P1/5K1n/8/8 w - -,d4f5 d6e5 f5h6 f7f6 f3g2 h3f4 h5f4 e5f4 g2f2 f4e4,1280
6k1/5pp1/3N4/1pK1P3/2p5/2P1q3/8/8 w - -,f3e2 d6e5 e2e3 f7f6 d4f5 h3f4 f5h6 f4d5 e3f2 d5c3,Mate
8/8/2K5/8/3rk3/1Q6/8/8 w - -,c6c5 d4d2 b3c3 d2d3 c3b2 d3e3 c5c4 e4f3 b2c2 e3e4,205
6k1/5pp1/3N4/1p2q3/1Kp5/2P5/8/8 w - -,d6b5 e5e2 b4c5 e2d3 c5c6 g8h7 b5d6 d3c3 d6f7 c3e3,-1080
r5nr/ppp2kqp/1bnp4/4p1B1/3PPPb1/2P5/PP4PP/RN3RK1 w - -,f4e5 f7e8 g5f6 g8f6 e5f6 g7g5 f6f7 e8e7 g1h1 g4h3,-1105
