r1bq1rk1/ppp2ppp/1n1bpn2/3p4/3P4/2PBPNB1/PP3PPP/RN1QK2R w KQ -,b1d2 c7c5 a2a4 d8c7 f3e5 c5c4 d3c2 b6d7 f2f4 b7b5,93
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/1P6/PBP1PPPP/RN1QKBNR w KQkq -,g1f3 c7c5 e2e3 c5d4 e3d4 f8e7 f1d3 b8c6 e1h1 e8h8,32
rn1qkb1r/pp2pppp/5n2/3p4/6b1/3B1N2/PPPP1PPP/RNBQK2R w KQkq -,d3b5 b8c6 d2d4 e7e6 e1h1 f8d6 b5e2 e8h8 h2h3 g4h5,-96
r1bqk2r/pp2npbp/2n1p1p1/2pp4/2PP4/2N1P1P1/PP2NPBP/R1BQK2R w KQkq -,c4d5 e7d5 d4c5 d8a5 e1h1 e8h8 c3e4 b7b6 c1d2 a5a6,130
rn1q1rk1/ppp2ppp/4bn2/8/1b1PP3/2N2N2/PP3PPP/R1BQKB1R w KQ -,f1d3 c7c5 d4d5 e6g4 h2h3 g4f3 g2f3 b8d7 e1h1 f8e8,207
r1b1kbnr/1p1p1ppp/p1n1pq2/8/3NP3/1P6/PBP2PPP/RN1QKB1R w KQkq -,d1d3 f8c5 c2c3 d7d5 b1d2 g8e7 g2g3 e8h8 f1g2 c8d7,-72
r3rnk1/1pp1qpp1/p1n4p/3RpQ2/4P3/1BP5/PP3PPP/R1B3K1 w - -,c1e3 g7g6 f5f3 g8g7 a1d1 a8d8 e3c5 e7f6 f3f6 g7f6,210
r2qkbnr/ppp2ppp/2n5/3ppb2/8/3PPN2/PPP1BPPP/RNBQK2R w KQkq -,b1c3 g8f6 e1h1 f8e7 a2a3 a7a6 b2b4 e8h8 c1b2 f8e8,-59
r3kbnr/pp2pppp/2n5/q2pP3/3P2b1/5N2/PP3PPP/RNBQKB1R w KQkq -,b2b4 a5b4 c1d2 g4f3 d1f3 b4d4 d2c3 d4c5 e5e6 f7e6,-188
r1bqk2r/pp1p1ppp/2p2n2/2b1p3/4P3/2NB1Q2/PPPP1PPP/R1B2RK1 w kq -,a2a3 e8h8 d3c4 d7d6 c4a2 h7h6 d2d3 b7b5 h2h3 a7a5,-36
rnbq1rk1/pp2ppbp/5np1/3p4/2PP4/2N1BN2/PP3PPP/R2QKB1R w KQ -,c4c5 f6g4 e3g5 h7h6 g5h4 g4f6 h4f6 g7f6 h2h3 b7b6,-47
r1bqk2r/ppp2ppp/2n2n2/2b1p3/4p3/2PP1N1P/PPQ2PP1/RNB1KB1R w KQkq -,f3d2 e4e3 f2e3 c5e3 d2f3 e3c1 c2c1 e8h8 b1d2 a7a5,-297
