4rrk1/5ppp/p1p5/1p6/3P1bb1/1BP4q/PPQN1P1P/R1B2RK1 w - -,a2a3 b4a6 a1b1 b8b1 h1b1 a6c5 b1b8 g8f7 e6c5 e7c5,Mate
r1bq1rk1/1p3pbp/p4np1/2pp1nB1/P3P3/1BN2P2/1PPQ2PP/R4RK1 w - -,e4e5 d5d4 e5f6 g7f6 g5f6 d8f6 c3e4 f6e5 f1e1 f5e3,-77
q1r4R/5k2/Prp1p1p1/3pBpP1/2pP1P2/1PP1P3/5K2/8 w - -,,0
1r3rk1/pp1bpp1p/3p1np1/q1p5/3nP3/2NP2PP/PPPQNPB1/R3K2R w KQ -,a2a3 f8c8 f2f4 b7b5 e1h1 a5c7 c3d1 a7a5 d1e3 d7c6,-2
r5r1/pp6/3R1Q2/8/4k1q1/8/PPP2PPP/6K1 w - -,a2a3 f8c8 f2f4 b7b5 e1h1 a5c7 c3d1 a7a5 d1e3 d7c6,Mate
6k1/1Q4pp/p7/1p1PqpP1/1P6/7P/5PBK/8 w - -,h2g1 g8f8 d5d6 e5d6 g2d5 d6e7 b7c8 e7e8 c8f5 f8e7,857
r1kr4/pp3ppp/2p3b1/4P3/4PP2/1P6/1P1bB1PP/2KR3R w - -,c1b1 d2f4 e5e6 f7e6 h1f1 d8d1 e2d1 f4d6 d1c2 c8c7,-569
r2q1rk1/pp3pb1/2n1b1pp/2pnp3/8/3PNNP1/PPP1QPBP/R1B1R1K1 w - -,e3d5 e6d5 c2c4 d5e6 c1e3 d8d6 f3d2 f7f5 g2c6 d6c6,-57
r2rb1k1/1p2npbp/5np1/q2P4/p4P2/N1N1BB1P/PP4P1/2RQ1RK1 w - -,a3c4 a5b4 d1e2 b7b5 c4b6 a8b8 e2f2 e7f5 a2a3 b4d6,92
2rq1rk1/1p2bpp1/p1n2n1p/2pp4/P5b1/2NP1NB1/BPP2PPP/R2QR1K1 w - -,c3b1 d8b6 b1c3 f8d8 a4a5 b6b4 h2h3 g4h5 a2b3 c5c4,-107
rnbqk2r/pp3ppp/2pbpn2/3pN3/4P3/2NB4/PPPP1PPP/R1BQK2R w KQkq -,f2f4 e8h8 d1f3 d6e5 f4e5 f6d7 f3g3 d8c7 e4d5 c7e5,-54
2r3k1/5ppp/8/2r1p3/8/4QPK1/6PP/2Rq4 w - -,e3c5 d1c1 c5e5 c1c3 e5f4 c3e1 g3h3 e1e6 g2g4 h7h5,-653
r2r2k1/p3pp1p/2p3p1/q7/4n1BP/2P1B3/P1P3P1/2KRQ2R w - -,d1d8 a8d8 e3d4 a5a3 c1d1 e4c3 d1d2 d8d4 d2e3 d4g4,Mate
r3kb1r/1p1n1ppp/p2p1n2/q3pP2/4P3/1PN1B3/P1P1Q1PP/R3KB1R w KQkq -,e2d3 f6e4 d3e4 a5c3 e1f2 c3c8 e4c4 d7f6 c4c8 a8c8,-194
1r4k1/p1pq2pp/2nbp3/8/2NpP3/7P/PP2QPP1/R1B2nK1 w - -,,0
2r5/5p1k/4b1pp/pp1p1p2/3PnP2/2P1R3/B1P1K1PP/8 w - -,e3e4 f5e4 e2d2 a5a4 h2h3 e4e3 d2d3 e6f5 d3e2 c8c3,-734
1r2r1k1/3bbpp1/2p1p2n/P2P3p/N2P4/P2B1N2/2qB1PPP/R1R3K1 w - -,c1c2 e6d5 d2h6 g7h6 a4b6 d7e6 h2h3 g8g7 c2c6 e7d8,611
rn1qk2r/pbpp3p/1p1bp3/5pp1/2PPn3/P2BPN2/1P2NPPP/R1BQ1RK1 w kq -,f3d2 e4d2 c1d2 d8f6 b2b4 f6h6 e2g3 b8c6 c4c5 d6g3,174
rnbq1rk1/pp3ppp/2pb1n2/3p4/2PPp3/P1N1P3/1P1N1PPP/R1BQKB1R w KQ -,f1e2 f8e8 e1h1 b8d7 f2f3 e4f3 d2f3 f6e4 c4d5 e4c3,-62
2r3k1/ppr2pp1/6p1/3R4/2P5/8/P4PPP/R5K1 w - -,h2h4 c7c4 g2g3 f7f6 g1g2 c4c5 d5d3 c8c7 a1d1 b7b6,-50
6k1/pp3ppp/8/4p3/4PnP1/1BP2P2/P7/2K5 w - -,c1c2 g7g6 c2d1 g8g7 d1e1 h7h5 e1f2 g7f6 a2a4 b7b6,-467
8/8/6p1/P6p/4k2P/2r5/1K6/8 w - -,c1c2 g7g6 c2d1 g8g7 d1e1 h7h5 e1f2 g7f6 a2a4 b7b6,Mate
4k3/1Q6/1p2r1pp/1Pp5/2P3KP/6P1/8/8 w - -,b7g7 e6e4 g4f3 e4e7 g7g6 e8d7 g6b6 d7c8 b6h6 e7c7,839
r1bqk2r/pp1n1ppp/2pbpn2/3pN3/4PP2/2NB4/PPPP2PP/R1BQK2R w KQkq -,e5d7 f6d7 e4e5 d6e7 d3e2 c6c5 d2d4 c5d4 d1d4 e8h8,-8
2r5/5p1k/4b1pp/p2p1p2/2pPnP2/4R3/B1P1K1PP/8 w - -,g2g3 a5a4 e3a3 g6g5 e2e3 e6d7 f4g5 h6g5 h2h4 h7g6,-693
2r3k1/pp3pp1/6p1/3R4/2r5/6P1/P4P1P/R5K1 w - -,g1g2 f7f6 a2a4 c4c5 d5d3 b7b6 h2h4 g8f8 a1e1 c8e8,-55
r1bqk2r/pp1n1ppp/2pbp3/3p4/4PP2/2NB4/PPPP2PP/R1BQK2R w KQkq -,e4e5 d6e7 d3e2 c6c5 d2d4 c5d4 d1d4 e8h8 c1e3 a7a6,-10
r2q1rk1/pp3pb1/2n3pp/2pbp3/8/3P1NP1/PPP1QPBP/R1B1R1K1 w - -,c1e3 d8d6 c2c4 d5e6 f3d2 f7f5 g2c6 d6c6 d3d4 c5d4,-50
8/8/5k2/4n3/3B4/8/8/7K w - -,,0
3r1rk1/pppq2pp/1bp1np2/4p3/4P2N/1P1PB1P1/1PP1QP1P/R4RK1 w - -,h4f3 a7a6 e3d2 d8e8 d2c3 g7g6 g1h1 b6c5 a1e1 c5d4,14
r1b2rk1/p1q2ppp/1p2p3/2b1P3/6Q1/2PB4/P2B1PPP/R4RK1 w - -,g4h4 g7g6 d2g5 c8b7 f1e1 f8c8 a1d1 c5f8 e1e3 f8g7,91
r1b3k1/ppp3pp/n3pb2/1N1pN2P/3P4/3BP3/PPP3rP/2KR3R w - -,h5h6 f6e5 d4e5 c8d7 d1g1 g2g1 h1g1 g7g6 h2h4 a6b4,22
5rk1/p1pq2pp/2nbp3/8/2NpP3/7P/PP3PP1/R1B2QK1 w - -,c1d2 d6g3 d2e1 c6e5 f2f3 g3f4 c4e5 f4e5 f1c4 h7h6,12
r3k1nr/pbp2ppp/2pb4/3q4/Q3p1N1/2P5/PP1P1PPP/RNB1K2R w KQkq -,h2h4 g8e7 g4e3 d5d3 a4c4 e8h8 c4d3 e4d3 b1a3 f7f5,-198
2kr4/pp1n1p2/1q2p3/3pP3/8/4nN1Q/PPPN1brP/R1BK1R2 w - -,d1e2 f2h4 h3g2 e3g2 f3h4 g2h4 a2a4 d8g8 a1a3 g8g2,-1046
r1bqkb1r/ppp2ppp/8/3pB3/1P4n1/P7/2PPPPPP/RN1QKB1R w KQkq -,e5d4 f8d6 e2e3 e8h8 b1c3 c7c6 g2g3 a7a5 h2h3 g4e5,58
rnb1kbnr/ppq3pp/4p3/3pPp2/3p4/5NQ1/PPP2PPP/RNB1KB1R w KQkq -,f3d4 b8c6 d4c6 b7c6 b1d2 g8e7 f1e2 e7g6 e2h5 c8a6,51
r1b1k2r/p4ppp/4p3/q1npP3/5P2/1pP2Q1P/P5P1/R3KB1R w KQkq -,f4f5 e6f5 f1e2 b3b2 a1b1 a8b8 e1h1 e8h8 g2g4 f5f4,-620
r1bq1rk1/1p3pb1/p4npp/2ppPnB1/P7/1BN2P2/1PPQ2PP/R4RK1 w - -,e5f6 g7h8 c3d5 h6g5 d2g5 c8e6 d5e7 f5e7 f6e7 d8d4,-78
r1b2rk1/1pqn1pbp/p1pp1np1/4p3/2PPPB2/2N2N1P/PPQ1BPP1/R4RK1 w - -,d4e5 d7e5 c4c5 f6e8 c5d6 c7d6 f3e5 g7e5 f4h6 e8g7,100
rnbqkbnr/pp3ppp/2p5/3p4/2Pp4/2N2P2/PP2P1PP/R1BQKBNR w KQkq -,d1d4 g8f6 c1g5 f8e7 c4d5 c6d5 e2e3 b8c6 d4d2 e8h8,-49
r3k1r1/ppQ5/8/3R4/6q1/8/PPP2PPP/6K1 w - -,d1d4 g8f6 c1g5 f8e7 c4d5 c6d5 e2e3 b8c6 d4d2 e8h8,Mate
r2q2k1/ppp2pp1/5R2/4r2p/4P1bQ/2PB2N1/P1P3PP/R6K w - -,a1f1 g7g5 h4g4 h5g4 f6f7 b7b5 g3h5 e5e6 f7f5 d8e7,29
r1bqk2r/ppp2ppp/3b4/3p4/1P4n1/P5B1/2PPPPPP/RN1QKB1R w KQkq -,g3d6 d8d6 b1c3 d5d4 c3e4 d6e5 e4c5 g4h2 c2c3 d4c3,-4
4k3/6Q1/1p4pp/1Pp5/2P1r1KP/6P1/8/8 w - -,g4f3 e4e6 f3f4 e8d8 g7h6 d8e8 h6h8 e8f7 f4g5 f7e7,856
r1bq1rk1/1p1nppbp/2np2p1/8/p1P1P3/2N1B3/PP1NBPPP/2RQ1RK1 w - -,d2b1 d7c5 f2f3 c6b4 d1d2 d8a5 c1d1 c8d7 g1h1 b4c6,52
r1b2rk1/p1q2p1p/1p2p1p1/2b1P3/7Q/2PB4/P2B1PPP/R4RK1 w - -,d2g5 c8b7 f1e1 f8e8 g5f6 c5f8 a1c1 c7c6 d3e4 c6c7,94
1r6/5p1k/4b1pp/p2p1p2/2pPnP2/2P1R3/B3K1PP/8 w - -,e2f1 a5a4 e3e2 a4a3 e2e1 e4c3 e1e3 c3a2 e3a3 b8b2,-999
8/8/6B1/4k3/1pnp4/8/PP2K2P/8 w - -,g6c2 c4e3 c2d3 e3g2 e2d2 g2f4 d3c4 f4g2 c4e2 g2f4,429
r3k1nr/pbp3pp/2pb4/4q3/Q3pp2/2P1N1P1/PP1P1P1P/RNB2RK1 w kq -,e3g4 e5f5 d2d3 f5g4 b1d2 e8a8 d2e4 g8f6 e4d6 d8d6,-366
r3k2r/pp2qpnp/1np3p1/3p1b2/3P3P/2NBP3/PPQ1NPP1/1K1R3R w kq -,d3f5 g7f5 g2g4 f5d6 e2f4 d6e4 c3e4 e7e4 b2b3 e8a8,36
r1bqk2r/p1p2ppp/2p5/2b1p3/4Pn2/3PBN2/PPP1Q1PP/RN2K2R w KQkq -,,0
6k1/pp3ppp/2n5/5q2/Q7/P2rB3/1P3PPP/3R2K1 w - -,,0
r1b2rk1/1pqn1pbp/p1p2np1/4p3/2P1PB2/2N2N1P/PPQ1BPP1/R4RK1 w - -,f4e3 b7b6 c3a4 c6c5 a4c3 a6a5 c3d5 f6d5 c4d5 d7f6,89
r4rk1/pBp1bppp/8/3p4/Q2P2q1/2P5/PP1B1P1P/R4RK1 w - -,,0
r3k1nr/pbp3pp/2pb4/5q2/Q1N1pp2/2P3P1/PP1P1P1P/RNB2RK1 w kq -,a4b3 e8a8 d2d3 f4f3 c4e3 f5h3 b3c4 d8e8 b1d2 g8h6,-299
5rk1/p1pq2pp/2n1p3/8/2NpP3/6bP/PP1B1PP1/R4QK1 w - -,d2e1 c6e5 f2f3 g3f4 c4e5 f4e5 f1c4 h7h6 a1d1 f8b8,8
r3kb1r/pp2pppp/2n2n2/q1ppPN2/2P2P2/1P6/P2P2PP/RNBQ1RK1 w kq -,e5f6 g7f6 c4d5 c6d4 f5e3 h7h5 c1b2 h5h4 h2h3 e8a8,433
4r1k1/3bbpp1/2p1p2n/P2P3p/N2P4/Pr1B1N2/2RB1PPP/R5K1 w - -,d5e6 d7e6 c2c3 b3b8 a1e1 e6d5 a4b6 d5f3 g2f3 h6g4,611
5r1k/p2B3p/1p4b1/8/4Rp2/P1P1pP2/4P2P/6RK w - -,e4d4 a7a6 g1g4 g6c2 d7e6 b6b5 d4f4 f8e8 e6d7 e8b8,892
rnbqk2r/pp3ppp/2p2b2/3p4/2PQ4/2N2P2/PP2P1PP/R3KBNR w KQkq -,d4d2 d5c4 d2d8 e8d8 e2e3 b7b5 g1e2 d8c7 a2a4 b5b4,-223
r1bq1rk1/1p2ppbp/2np2p1/2n5/N1P1P3/4B3/PP1NBPPP/2RQ1RK1 w - -,b2b3 c5a4 b3a4 c6d4 e2d3 c8d7 a4a5 d8a5 d2b3 d4b3,-43
r1bqkbnr/1p3ppp/p2pp3/8/2BnPP2/2N5/PPP3PP/R1BQK2R w KQkq -,d1d3 d4c6 c4b3 d8c7 d3g3 g8f6 f4f5 c8d7 c1e3 c6a5,-360
r3k2r/pp2qp1p/1np3p1/3p1n2/3P3P/2N1P3/PPQ1NPP1/1K1R3R w kq -,g2g4 f5h4 e3e4 d5e4 c2e4 g6g5 e2g3 h7h6 f2f4 f7f6,24
1rr3k1/4p2p/2p2pp1/1n6/8/1P2P1P1/5PBP/R1R3K1 w - -,g2c6 b5d6 c6d5 g8g7 c1c8 b8c8 b3b4 f6f5 a1b1 d6b5,108
r1bq1rkb/1p3p2/p4Ppp/2pp1nB1/P7/1BN2P2/1PPQ2PP/R4RK1 w - -,g5f4 c5c4 b3a2 c8e6 g2g4 f5h4 f4h6 d8f6 d2f4 f8d8,-136
2kr4/pp1n1p2/1q2p3/3pP3/7b/4nN1Q/PPPNK1rP/R1B2R2 w - -,h3g2 e3g2 f3h4 g2h4 a2a4 d8g8 a1a3 g8g2 e2d1 b6d4,-1043
r1bqkb1r/pp1npp1p/2p2np1/8/2BPN3/8/PPP1QPPP/R1B1K1NR w KQkq -,h3g2 e3g2 f3h4 g2h4 a2a4 d8g8 a1a3 g8g2 e2d1 b6d4,Mate
r3k1nr/pbp3pp/2pb4/N4q2/Q3p3/2P2pP1/PP1P1P1P/RNB2RK1 w kq -,d2d3 g8f6 b1d2 f5h3 a4e4 f6e4 d2f3 b7a6 f1e1 a6d3,-692
2k2r2/pp4pp/2p5/6b1/2PBP1Nq/1P3B2/n2PK2P/2RQ2NR w - -,c1a1 f8f3 e2f3 h7h5 g4f2 g5f6 d4e3 f6a1 d1a1 h4f6,966
r1bqk2r/pp2nppp/2nb4/3pp3/2P5/P2P1N2/1P2BPPP/RNBQK2R w KQkq -,c4d5 e7d5 e1h1 e8h8 b1c3 d5c3 b2c3 d8c7 f1e1 c8f5,-57
r3kbnr/ppp1pppp/2n5/4q3/8/2N3P1/PP1PPP1P/R1BQK1NR w KQkq -,d1b3 e8a8 b3f7 g8h6 f7f4 e5h5 f4f3 h5e8 f3e4 e7e5,96
rn1qk2r/pp3ppp/2p1bb2/3p4/2P5/2N1QP2/PP2P1PP/R3KBNR w KQkq -,e3d2 d5c4 d2d8 e8d8 e2e3 d8c7 e1a1 b8a6 c3e4 f6e7,-281
2r3k1/pprR1pp1/6p1/8/8/6P1/P4P1P/R5K1 w - -,d7d4 g6g5 g1g2 c7c4 d4d7 c8c7 a1d1 b7b6 d7c7 c4c7,-63
r4rk1/ppp1bppp/2n5/1B1p1q2/Q2P2b1/2P2N2/PP1B1PPP/R4RK1 w - -,a4d1 g4f3 d1f3 f5f3 g2f3 e7d6 f3f4 c6e7 g1g2 c7c6,-21
rn1qk1nr/1bppppb1/1p4pp/p7/4P3/3P1N1P/PPP1BPP1/RNBQ1RK1 w kq -,b1c3 e7e6 c1e3 g8e7 d1d2 d7d5 e4d5 e7d5 c3d5 d8d5,57
r1b1k1nr/pppp1ppp/5q2/b3n3/4P3/1QPB1N2/P4PPP/RNB2RK1 w kq -,f3e5 f6e5 b1d2 g8e7 d2c4 e5c3 b3b1 c3b4 b1c2 b4c3,109
8/5k2/1p2r1pQ/1Pp5/2P4P/6PK/8/8 w - -,h6h7 f7f6 h7c7 e6e5 c7b6 f6f5 b6c7 f5e6 b5b6 e5e3,978
r3k2r/pp2qp1p/1np3p1/3p4/3P2Pn/2N1P3/PPQ1NP2/1K1R3R w kq -,e2g3 e8a8 h1h3 c8b8 d1h1 h4f3 h3h7 h8h7 h1h7 b6c4,-82
r1b2rk1/1p2ppbp/1qnp2p1/2n5/2P1P3/2N1B3/PP1NBPPP/2RQ1RK1 w - -,d2b3 g7c3 c1c3 a8a2 d1b1 a2a6 b1c2 c8e6 h2h4 a6a2,25
5rk1/p1pq2pp/4p3/4b3/3pP3/7P/PP3PP1/R3BQK1 w - -,f1d3 d7f7 b2b4 f7f4 g2g3 f4f3 a1d1 c7c6 d1d2 a7a5,28
2r2rk1/2qbbppp/1n1p4/pp2P2n/4P3/BP1B1N1P/P4PP1/R2QRNK1 w - -,d3b5 d7b5 e5d6 f8d8 d6c7 d8d1 a1d1 e7a3 d1d8 a3f8,459
5k2/1Q4pp/p7/1p1PqpP1/1P6/7P/5PB1/6K1 w - -,d5d6 e5d6 g2d5 d6e7 b7c8 e7e8 c8f5 f8e7 f5e5 e7d8,896
6k1/pp3ppp/2n5/8/Q1q5/P2rB3/1P3PPP/3R2K1 w - -,a4c4 d3d1 c4f1 d1f1 g1f1 f7f6 f1e2 b7b5 e2f3 g8f7,7
r1b1kb1r/ppq3pp/2n1p1n1/3pPp2/3p4/2PB1NQ1/PP3PPP/RNB2RK1 w kq -,c3d4 c6b4 d3b5 c8d7 b5d7 e8d7 b1c3 a8c8 f1d1 c7c4,114
r1bq1rkb/1p3p2/p4Ppp/3p1n2/P1p2B2/1BN2P2/1PPQ2PP/R4RK1 w - -,g2g4 c4b3 g4f5 d5d4 c3e4 c8f5 c2b3 h8f6 f4h6 f8e8,-133
2r2k2/pprR1pp1/6p1/8/8/6P1/P4P1P/3R2K1 w - -,d1d4 f7f6 h2h4 f8e8 d7d5 c7c4 d4d3 b7b6 d3e3 e8f8,-46
2rq1rk1/1p2bp2/p1n2n1p/2pp2p1/P5bB/2NP1N2/BPP2PPP/R2QR1K1 w - -,e1e7 g4f3 d1f3 d8e7 h4g3 f8e8 f3d1 c6b4 a2b3 c5c4,-282
r4rk1/ppp1bppp/2B5/3p1q2/Q2P4/2P2b2/PP1B1PPP/R4RK1 w - -,g1h1 b7c6 g2f3 f5f3 h1g1 a8e8 a1e1 f3g4 g1h1 e7d6,-283
rn1qk2r/pb2bppp/1p2pn2/2pp4/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 w kq -,d4c5 b6c5 c4d5 e6d5 e2e3 e8h8 b1c3 f8e8 c1b2 b8d7,28
rnbqkb1r/p1pp2pp/1p2pn2/5p2/2P5/2N1PP2/PP1P2PP/R1BQKBNR w KQkq -,d2d4 d7d5 c4d5 f6d5 f1d3 f8d6 g1e2 e8h8 e1h1 d5c3,34
r1b2r2/p4p1k/1pn2qpp/3p4/5B2/6Q1/PPB2PPP/R3R1K1 w - -,f4d2 c8d7 h2h4 f6b2 a1c1 a8e8 g3d6 e8e1 c1e1 f8d8,17
7k/p2B1r1p/1p4b1/8/3R1p2/P1P1pP2/4P2P/6RK w - -,g1g4 f7g7 g4f4 h7h5 d4d6 h8h7 f4f6 g7e7 f6g6 e7d7,919
8/8/6p1/P2k3p/7P/2K5/8/8 w - -,g1g2 f7e7 g2g4 h8g7 g4f4 e7e5 d7h3 a7a5 d4d7 g7h6,Mate
5k2/1R6/p7/8/P7/1PP2KpP/r4b2/8 w - -,b7c7 f2e1 c7c4 f8f7 h3h4 f7g6 c4g4 g6h5 g4e4 e1f2,-286
r3k2r/pp2qp1p/1np3p1/8/3Pp1Pn/2N5/PPQ1NP2/1K1R3R w kq -,a2a3 h4f3 c2e4 e7e4 c3e4 e8h8 e4d6 a8d8 d6b7 d8d7,-68
2r2rk1/2q1bppp/1n1p4/pb2P2n/4P3/BP3N1P/P4PP1/R2QRNK1 w - -,e5d6 f8d8 d6c7 d8d1 a1d1 e7a3 d1d8 a3f8 f3d4 b5d7,463
rn1qk2r/pb1pbppp/1p2pn2/8/2Pp4/1P3NP1/P3PPBP/RNBQ1RK1 w kq -,d1d4 b8c6 d4f4 d7d5 b1c3 d5c4 f3e5 d8c8 e5c4 e8h8,47
3r1rk1/ppp2ppp/q7/3Pp3/8/P1B5/1P2nPPP/R2Q1RK1 w - -,d1e2 a6e2 f1e1 e2b5 e1e5 f7f6 e5e7 d8d5 a1e1 f8d8,-562
r4r1k/pbp3pp/1p1b3N/5p2/2B4q/P3PP2/1P3P1P/2RQK2n w - -,e1d2 h1f2 d1e2 g7h6 c1f1 f2h3 d2c1 a8e8 c1b1 h3g5,-974
r4rk1/ppp1bppp/2B5/3p4/Q2P4/2P2q2/PP1B1P1P/R4RK1 w - -,c6d7 a8d8 a1e1 e7d6 d2c1 f3h5 h2h3 f7f5 d7e6 g8h8,167
6k1/pp3ppp/2n5/8/Q3q3/P2rB3/1P3PPP/3R2K1 w - -,b2b4 b7b5 a4c2 d3e3 c2c1 e3e2 h2h3 h7h6 g1f1 e2c2,-473
rn1qk2r/pp3ppp/2p1pnb1/3p4/1bP4N/1PN1P3/PB1P1PPP/R2QKB1R w KQkq -,f1e2 d5d4 e3d4 d8d4 h4f3 d4d8 e1h1 b8d7 a2a3 b4d6,32
rn5K/kPR2PP1/1R6/8/1P6/8/5prp/5B1Q w - -,h4g6 h7g6 a2a3 b4a5 d1c2 b8d7 g2g3 e8h8 f1e2 e6e5,Mate
rn1qk2r/pp3ppp/4bb2/3p4/8/2N1QP2/PP2P1PP/R3KBNR w KQkq -,e3d2 d5d4 c3e4 f6e7 a2a3 b8c6 g1h3 c6a5 d2d3 e6c4,-291
r1b1kb1r/p1p3pp/2P2n2/4ppN1/2P5/8/PPP2PPP/RNBqK2R w KQkq -,e1d1 e5e4 b1c3 h7h6 c3b5 h6g5 b5c7 e8f7 c7a8 f8d6,54
2rq1rk1/1p3p2/p1nb1n1p/2pp2p1/P5b1/2NP1NB1/BPP2PPP/R2QR1K1 w - -,h2h3 g4h5 g3d6 d8d6 g2g4 h5g6 d1d2 d5d4 c3e2 f6d5,-96
rn3rk1/1pq1ppbp/2p1b1p1/p2nP3/P7/1BN2N2/1PP1QPPP/R1B2RK1 w - -,f1d1 f8d8 c1e3 b8a6 c3d5 e6d5 b3d5 d8d5 d1d5 c6d5,59
2rr2k1/2q1bppp/1n1P4/pb5n/4P3/BP3N1P/P4PP1/R2QRNK1 w - -,d6c7 d8d1 a1d1 e7a3 d1d8 a3f8 f3d4 b5d7 e1c1 h5f4,479
8/8/5Pk1/3K1nPp/8/8/8/8 w - -,f3h4 e7d6 a3d6 c7d6 d1h5 d6c5 h5c5 c8c5 a1d1 d8d1,Mate
1r4k1/q3ppbp/3p2p1/2pP1b2/8/P1N2P2/PQ1KN1PP/R6R w - -,b2b3 b8b3 a2b3 c5c4 b3c4 g7c3 d2c3 a7e3 c3b4 e3e2,-495
rn1q1rk1/pb1pbppp/1p2pn2/8/2PQ4/1P3NP1/P3PPBP/RNB2RK1 w - -,b1c3 d7d5 f3e5 b8d7 c1b2 e7c5 d4f4 d7e5 f4e5 a8b8,50
r1b1k2r/ppppnppp/2n2q2/b7/4P3/1QPB1N2/P4PPP/RNB2RK1 w kq -,c1g5 f6d6 f1d1 c6e5 b1d2 e7c6 f3e5 d6e5 d2f3 e5c3,-26
r4rk1/p1p2ppp/2Qb4/3p1q2/3P4/2P2P2/PP1B1P1P/R4RK1 w - -,b2b3 f5f3 a1e1 a8b8 d2c1 d6h2 g1h2 f3h5 h2g3 b8b6,-211
r1b2rk1/1p2pp1p/2np2p1/q1n5/2P1P3/2P1B3/P2NBPPP/1R1Q1RK1 w - -,d1c1 c6e5 b1a1 a5a3 f2f4 a3c1 f1c1 e5d7 e4e5 d6e5,22
1r3rk1/4qpbp/p2pb1p1/1p2p2P/4P3/2P1N1P1/PP3P2/R2QKB1R w KQ -,f1h3 f7f5 h5g6 h7g6 d1c2 e7g5 a1d1 b8d8 a2a4 f8f7,35
r1bq1rkb/1p3p2/p4Ppp/3p1n2/P4BP1/1pN2P2/1PPQ3P/R4RK1 w - -,g4f5 c8f5 c2b3 d8f6 c3d5 f6d4 f1f2 a8d8 d5e7 g8h7,-108
2r4k/5qp1/p2p1R1p/8/8/7P/P5P1/7K w - -,f6f7 h8h7 f7e7 c8c5 a2a4 a6a5 h1g1 c5d5 e7a7 h7g6,-57
r4rk1/pBp2ppp/3b4/3p4/Q2P4/2P2q2/PP1B1P1P/R4RK1 w - -,a4d1 f3h3 f2f4 a8b8 b7d5 b8b2 f1f2 c7c5 d1f3 h3f3,387
rn1qk2r/pbpp2pp/1p2pn2/5p2/1bPP4/2N1PP2/PP2N1PP/R1BQKB1R w KQkq -,c1d2 b8c6 a2a3 b4d6 d1c2 e8h8 e1a1 a7a6 c1b1 c6a5,42
rn1qk2r/pp3pp1/2p1pnp1/3p4/1bP5/1PN1P3/PB1P1PPP/R2QKB1R w KQkq -,a2a3 b4a5 d1c2 b8d7 g2g3 e8h8 f1e2 e6e5 b3b4 a5b6,35
rn2k2r/pp1q1ppp/2pbpn2/3p4/3P4/2N1PN2/PPP2PPP/R1BQ1RK1 w kq -,d1e2 d6b4 c1d2 e8h8 a2a3 b4c3 d2c3 a7a5 f1c1 d7e7,29
8/8/5Pk1/4K1Pp/8/6n1/8/8 w - -,d1e2 d6b4 c1d2 e8h8 a2a3 b4c3 d2c3 a7a5 f1c1 d7e7,Mate
r3kb1r/ppqb2pp/4p1n1/3pPp2/1n5P/2NB1NQ1/PP3PP1/R1B1R1K1 w kq -,d3b1 c7c4 h4h5 g6e7 e1d1 e7c6 a2a3 b4a6 c1f4 a6c5,128
1r4k1/q3ppbp/3p2p1/3P1b2/2p5/P1N2P2/P2KN1PP/R1Q4R w - -,d2d1 a7f2 h1e1 f5d3 a1b1 d3b1 c3b1 f2g2 a3a4 h7h5,-167
1rr3k1/4p2p/2p1bpp1/2N5/8/n3P1P1/P1R2PBP/R5K1 w - -,c2c3 b8b1 a1b1 a3b1 c3c2 b1a3 c2d2 e6f7 d2d7 c8b8,29
2k2r1r/1pp5/pP2qp2/n2p4/P2P4/2P1P1PN/4Qn2/1R2R1K1 w - -,e2f2 e6h3 f2g2 f8g8 g2h3 h8h3 g1f2 h3g3 b1b4 a5c4,-571
r3k2r/pp3p1p/1np3p1/8/3Pq1Pn/2N5/PP2NP2/1K1R3R w kq -,d1d3 e4h1 e2c1 h1g2 d3e3 e8f8 e3d3 g2f2 b2b3 f2f4,-1043
8/p2B1rkp/1p4b1/8/3R1p2/P1P1pP2/4P2P/3R3K w - -,d7b5 g7h6 a3a4 f7f5 b5d7 f5f7 d1g1 h6g7 d7b5 f7c7,858
1Q6/5ppk/4p2p/3p4/1P1P4/6PP/5PK1/2q5 w - -,b8f8 c1b1 f8c5 b1e4 g2f1 h7g8 b4b5 e4d3 f1e1 d3b1,21
8/1n6/8/8/2k5/8/8/1R5K w - -,b8d6 c1b1 d6c5 b1e4 g2f1 e4b1 f1e2 b1b2 e2e3 h7g8,Mate
r2q1rkb/1p3p2/p4Ppp/3p1b2/P4B2/1pN2P2/1PPQ3P/R4RK1 w - -,c2b3 d5d4 c3e4 h8f6 f4h6 f8e8 e4f6 d8f6 f1e1 e8c8,-118
r2qkb1r/pppbpp2/2n2n1p/1B1pB1p1/3P4/4PN2/PPPN1PPP/R2QK2R w KQkq -,e5g3 e7e6 c2c4 d5c4 e1h1 f8d6 a1c1 d8e7 a2a3 a7a6,96
rn1qk2r/pp2bpp1/2p1pnp1/3p4/2P5/PPN1P3/1B1P1PPP/R2QKB1R w KQkq -,d2d4 b8d7 d1c2 e7d6 g2g3 e8h8 f1g2 a8c8 e1h1 e6e5,40
2rq1rk1/1p3p2/p1n4p/2pB2p1/P5b1/3P1Nb1/1PP2PPP/R2QR1K1 w - -,c2c4 g3b8 h2h3 g4h5 h3h4 g5h4 d1b3 h5f3 g2f3 d8d6,-407
