r2qk2r/1p2bppp/pn1pb3/4p1Pn/4P3/1NN1BP2/PPPQ3P/R3KB1R w KQkq -,e1a1 e8h8 h1g1 a8c8 c1b1 d8c7 d2f2 b6c4 f1c4 e6c4,61
r2q1rk1/1p2bppp/pn1pb3/4p1Pn/4P3/1NN1BP2/PPPQ3P/2KR1B1R w - -,c1b1 a8c8 h1g1 d8c7 h2h4 g7g6 d2f2 b6c4 f1c4 e6c4,65
2rq1rk1/1p2bppp/pn1pb3/4p1Pn/4P3/1NN1BP2/PPPQ3P/1K1R1B1R w - -,h1g1 d8c7 h2h4 g7g6 d2f2 e7d8 g1h1 b6c4 f1c4 e6c4,68
r1bqk1nr/pppp1ppp/2n5/2b1p3/2P5/1P2P3/P2P1PPP/RNBQKBNR w KQkq -,c1b2 g8f6 g1f3 d7d6 b1c3 e8h8 f1e2 c5b4 e1h1 b4c3,71
r1bqk1nr/1pp2ppp/p1np4/2b1p3/2P5/1PN1P3/PB1P1PPP/R2QKBNR w KQkq -,h2h3 g8f6 d1c2 c6b4 c2b1 b4c6 g1f3 e8h8 f1d3 c6e7,69
r1bqk2r/pp1pbppp/2n2n2/4p1B1/2BpP3/5N2/PPP2PPP/RN1Q1RK1 w kq -,d1d3 e8h8 g5f6 e7f6 f1d1 d7d6 c2c3 c8e6 c4d5 d8b6,-150
rnbqkb1r/pp2pppp/2p2n2/3p4/3P4/2P2P2/PP2P1PP/RNBQKBNR w KQkq -,e2e3 d8c7 f1d3 e7e5 e3e4 b8d7 g1e2 f8d6 c1g5 e8h8,-87
r1bqk1nr/pppp1ppp/2n1p3/8/4P3/P1b2N2/1PPP1PPP/R1BQKB1R w KQkq -,f1e2 c3f6 d2d4 d7d6 e1h1 e6e5 d4d5 c6e7 c2c4 c7c5,-665
2kr4/8/3p4/8/2B2B2/8/8/6K1 w - -,f4d6 c8d7 d6e5 d7c6 g1f2 c6c5 c4b3 d8e8 e5g7 e8b8,-14
rnbqkb1r/ppp2ppp/5n2/3pN3/3P4/5Q2/PPP2PPP/RNB1KB1R w KQkq -,h2h3 f8e7 c1f4 e8h8 b1c3 c8e6 f1d3 c7c5 d4c5 b8c6,48
rnbqk1nr/pp2ppbp/6p1/3p4/3P4/4BN2/PPP2PPP/RN1QKB1R w KQkq -,c2c3 b8c6 f1d3 g8h6 e1h1 e8h8 f1e1 h6g4 e3f4 f8e8,65
r2qkbnr/ppp3pp/2n1b3/3pp3/8/2P1P1B1/PP3PPP/RN1QKBNR w KQkq -,f1b5 e5e4 g1e2 h7h5 c3c4 h5h4 g3f4 g8f6 b1c3 a7a6,98
rnb1kbnr/pp2pppp/1qpp4/8/3P1B2/2N5/PPP1PPPP/R2QKBNR w KQkq -,a1b1 g8f6 g1f3 c8g4 e2e3 b8d7 f1e2 f6h5 f4g5 h7h6,31
r1b2rk1/1pqp1p1p/p3nBpQ/4p3/4P3/1N4P1/PbP2PBP/R4RK1 w - -,b3d2 c7d8 f6d8 e6d8 a1b1 b2a3 h6e3 a3d6 d2c4 d6c7,774
rnbqkbnr/pp2ppp1/2pp3p/8/3P1B2/2P5/PP2PPPP/RN1QKBNR w KQkq -,e2e4 g8f6 b1d2 b8d7 g1f3 g7g5 f4g3 f6h5 d2c4 d7f6,94
r1b1kb1r/p2npppp/1qp2n2/1p4B1/P1pP4/2N1PN2/1P3PPP/R2QKB1R w KQkq -,a4a5 b6c7 g5f4 c7d8 g2g3 e7e6 f1g2 f8b4 e1h1 e8h8,-123
rnbqkbnr/pp3ppp/2p5/3p4/4p3/1PN1P3/PBPP1PPP/R2QKBNR w KQkq -,d2d3 e4d3 d1d3 g8f6 e1a1 f8e7 e3e4 d5e4 c3e4 d8d3,72
r2qkb1r/ppp2ppp/2n1b3/4p3/2p5/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,d1e2 d8f6 d2d3 c4d3 e2d3 f6f5 d3f5 e6f5 f3e5 c6e5,-353
rnbqkb1r/pp3ppp/1n2p3/2pPN3/2P5/8/PP3PPP/RNBQKB1R w KQkq -,b1c3 f8d6 e5f3 e6d5 c4d5 e8h8 c1g5 d6e7 d1d2 e7g5,33
rnbq1rk1/p1pp1ppp/1p2p3/8/2PPn3/P1Q2N2/1P2PPPP/R1B1KB1R w KQ -,c3b4 c7c5 b4b3 c8b7 e2e3 d7d5 b3c2 c5d4 e3d4 d5c4,-87
rnb1qrk1/ppp1p1bp/3p1np1/5p2/2PP4/2N3PN/PP2PPBP/R1BQ1RK1 w - -,c3d5 f6d5 c4d5 b8d7 h3f4 d7f6 d1c2 c8d7 c2c7 e8c8,109
rnbqk2r/pp1p1ppp/4pn2/8/1PP5/2p1P3/1P3PPP/R1BQKBNR w KQkq -,b2b3 e8h8 g1e2 d8c7 e2c3 d7d5 c1b2 d5c4 b3c4 b8c6,82
rn2k1nr/pp2ppbp/1qpp2p1/8/2PPP3/2N1Bb2/PP1Q1PPP/R3KB1R w KQkq -,h2h4 f3g4 f2f3 g4d7 h4h5 g6g5 h5h6 g7h6 e1a1 b8a6,-225
3r3r/4Rp1p/pk1qBQp1/Np1b4/8/P4PP1/1PP4P/1K6 w - -,b2b4 d5c6 f6f7 d6d1 b1b2 d1f3 e7c7 h8f8 f7g7 f3f6,801
8/6kp/8/6N1/8/8/6R1/7K w - -,f6d4 d6c5 d4c5 b6c5 e6d5 c5d5 e7f7 d8f8 f7d7 d5e6,Mate
r1bqkbnr/p3pppp/2p5/3p4/8/8/PPPP1PPP/RNBQKB1R w KQkq -,f1e2 e7e5 d2d4 e5e4 e1h1 f8d6 f2f3 e4f3 f1f3 g8e7,-99
8/7N/8/4k3/8/8/7R/7K w - -,b2b3 e7e5 c2c4 f8d6 c4d5 c6d5 f1b5 c8d7 b5d7 d8d7,Mate
r1bqk1nr/pppp1ppp/2n5/2b1p3/8/3PPN2/PPP2PPP/RNBQKB1R w KQkq -,d3d4 e5d4 e3d4 c5b6 c2c3 g8f6 f1d3 d8e7 d3e2 e8h8,83
r2qkb1r/pp2nppp/2n1p3/2ppP3/5Pb1/2P2N2/PP1PB1PP/RNBQK2R w KQkq -,b2b3 h7h5 e1h1 e7f5 f1f2 d5d4 f3g5 c5c4 b3c4 d4c3,-125
rnbq1rk1/pp3ppp/2p2n2/3p2B1/1b1P4/2N1P3/PPQ2PPP/R3KBNR w KQ -,f1d3 h7h6 g5h4 b4e7 g1f3 c8e6 h2h3 b8d7 e1h1 f8e8,61
r2qkb1r/ppp2ppp/2np1n2/4p3/2PP2b1/4PN2/PP2BPPP/RNBQK2R w KQkq -,h2h3 g4f5 b1c3 f6e4 c3e4 f5e4 b2b4 f8e7 e1h1 e5d4,91
rnb1kbnr/pppp1ppp/5q2/4p3/8/5P2/PPPPPKPP/RNBQ1BNR w kq -,g2g3 d7d5 e2e3 b8c6 b1c3 c8e6 f1h3 f8d6 h3e6 f7e6,-164
rnb1kb1r/ppp1qppp/8/3pP3/4n3/2N2QP1/PPPP3P/R1B1KBNR w KQkq -,d2d4 c8e6 c3e4 d5e4 f3e4 b8c6 f1g2 e8a8 c2c3 f7f6,162
rn1qkb1r/pp2pppp/5n2/2p5/2PP2b1/5N2/PP2BPPP/RNBQK2R w KQkq -,h2h3 g4f3 e2f3 b8c6 d4d5 c6d4 e1h1 g7g6 c1e3 f8g7,154
2b1k1r1/1p1p1pPp/4pQ2/qp6/5P2/6P1/rPP1B2P/1K1R3R w - -,f6e6 f7e6 e2h5 e8d8 c2c3 a5a4 b1c1 a4b3 c1d2 a2b2,-7576
3r3r/1R3p1p/Q5p1/1p6/2q5/1kP2PPB/7P/1K6 w - -,f6e6 f7e6 e2h5 e8d8 c2c3 a5a4 b1c1 a4b3 c1d2 a2b2,Mate
r1bqk1nr/pppp1ppp/2n1p3/2b5/2B1P3/P7/1PPP1PPP/RNBQK1NR w KQkq -,g1f3 d7d5 e4d5 e6d5 c4e2 c6d4 f3d4 c5d4 e1h1 g8f6,-9
rnbqkbnr/1p3p1p/p2p4/4pPP1/8/2N1B3/PPP2P1P/R2QKB1R w KQkq -,d1f3 g8e7 c3e4 d8a5 b2b4 a5c7 e1a1 e7g8 h1g1 b8c6,184
