8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
8/1p3pk1/2p2np1/p3rb1p/P1B2N1P/1P3P2/2P3P1/2KR4 w - -,,0
3kr3/3q1p2/p5p1/1b1p4/3N1QP1/P7/1P3KP1/4R3 w - -,f4b8 d7c8 b8d6 b5d7 d6f6 d8c7 e1c1 c7b7 c1c8 b7c8,698
5r1k/1p4pp/p4p2/8/1P1R4/3Q2Pq/P3PP2/2r3K1 w - -,d3d1 c1d1 d4d1 h3g4 d1e1 g4b4 g1f1 f8e8 f2f3 h7h6,-950
r3k1nr/pp3ppp/2nqp3/3p4/3P4/3Q1N1P/PPP2PP1/RN3RK1 w kq -,,0
r2q1rk1/pp2ppbp/2n3p1/2p1P3/2BP4/2PQ1R2/P1P3PP/R1B3K1 w - -,c1g5 c5d4 f3f7 f8f7 c4f7 g8h8 c3d4 d8d4 d3d4 c6d4,32
8/6R1/2p3p1/2k5/pr6/1B4PP/2P2KP1/8 w - -,b3a4 b4a4 g7g6 a4a2 g6e6 a2c2 e6e2 c2c4 g3g4 c4b4,556
r1b1kb1r/pp3ppp/n4n2/1N2p3/8/2P1B3/PP3PPP/RN1K1B1R w kq -,e3a7 c8e6 b1d2 e8a8 d1c1 f8c5 f1c4 h8e8 a7c5 a6c5,62
r3kb1r/p2n1pp1/2p1b1n1/q3p1Pp/2p5/N4N1P/PQ1PPPB1/R1B2RK1 w kq -,g1h1 a8b8 b2c3 f8b4 c3e3 e8h8 a3c2 b4d6 d2d4 e6d5,-380
Bn3rk1/p2q1ppp/b4b2/2p5/3p1B2/3Q2P1/PP2PP1P/R4RK1 w - -,d3f3 d7c8 b2b4 f8e8 a8e4 c8e6 b4c5 e6e4 f3e4 e8e4,145
8/1p1n1pk1/2p3p1/p3rb1p/P1B2N1P/1P3P2/1KP3P1/3R4 w - -,,0
1Qqkr3/5p2/p5p1/1b1p4/3N2P1/P7/1P3KP1/4R3 w - -,b8d6 c8d7 d6b6 d8c8 d4b5 e8e1 b5d6 d7d6 b6d6 e1e6,727
r3r1k1/ppp2ppp/3p1qn1/3P4/1b2Pn2/2N2PBP/PP1QBP2/R4K1R w - -,d2c2 c7c6 h3h4 h7h5 d5c6 b7c6 a1d1 d6d5 e2d3 b4c3,-177
k7/P3Rp2/8/2r1KP2/6p1/6P1/8/8 w - -,e5f6 c5c6 f6g7 f7f6 e7f7 c6c5 g7g6 c5c3 g6f6 c3c8,800
3r2k1/3n2q1/6pp/p1pRr3/P7/1P5P/2PQ2PK/3R4 w - -,d2a5 g7e7 a5c7 e5d5 d1d5 g8f7 a4a5 e7e6 d5d1 f7e7,111
r3kb1r/p2n1pp1/2p1b1n1/q3p1Pp/1pP5/N4N1P/PQ1PPPB1/R1B2RK1 w kq -,b2c2 b4a3 d2d4 f8b4 a1b1 e8h8 d4e5 b4c5 f3d2 c5b6,-396
2rqkr2/p2bppbp/2B3p1/3QP3/8/2N5/PPP3PP/R1B2RK1 w - -,c6d7 d8d7 c1f4 d7d5 c3d5 c8c2 a1d1 g6g5 f4g5 g7e5,577
8/7p/1PR5/3rpk2/8/5KP1/3b3P/8 w - -,c6c8 d5b5 c8f8 f5e6 f8e8 e6d7 e8b8 d2a5 b6b7 a5c7,-377
2b2rk1/1pNp1ppp/1p6/4n3/r7/3B4/PPP2PPP/R4RK1 w - -,d3b5 a4h4 a1d1 d7d6 c7d5 c8e6 b2b3 e6d5 d1d5 h4h6,265
3kr3/3q1p2/p2Q2p1/1b1p4/3N2P1/P7/1P3KP1/4R3 w - -,d6b6 d8c8 d4b5 e8e1 b5d6 d7d6 b6d6 e1e6 d6f8 c8d7,732
k1r5/P3Rp2/5K2/5P2/6p1/6P1/8/8 w - -,e7f7 c8g8 f6e5 g8c8 e5f4 c8c4 f4g5 c4c5 g5g6 c5c8,804
r1q1kb1r/p2b1ppp/Q4n2/3pp3/8/6P1/PP2PPBP/RNB2RK1 w kq -,a6f6 g7f6 g2d5 f6f5 b1c3 a8b8 c1e3 c8a6 f1d1 f5f4,-406
rnbqkb1r/p1p2ppp/5n2/1p1p4/3Pp3/4P1P1/PPP1NPBP/RNBQK2R w KQkq -,f2f3 e4f3 g2f3 f8b4 b1d2 f6g4 c2c3 g4e3 d1b3 b4e7,-43
r3r1k1/1p1bppb1/p1np1np1/q7/3NP1P1/2N1BP2/PPPQ4/2KR1B1R w - -,d4b3 a5c7 e3h6 g7h8 d2h2 d7e6 h6f8 f6h5 g4h5 g6g5,298
r3kb1r/pp3ppp/2n1pn2/3p4/3P1B2/2PQ1N1P/Pq1N1PP1/R4RK1 w kq -,f1b1 b2a3 b1b7 a3a4 c3c4 f8e7 c4c5 e8h8 f4h2 f8c8,103
r1bqkb1r/1ppn1p1p/3p1np1/1P2p3/p1P5/P3PN2/1B1P1PPP/RN1QKB1R w KQkq -,b1c3 d7b6 d2d4 e5d4 f3d4 f8g7 f1e2 f6d7 e1h1 e8h8,4
2k1r3/3q1p2/pQ4p1/1b1p4/3N2P1/P7/1P3KP1/4R3 w - -,d4b5 e8e1 b5d6 d7d6 b6d6 e1e6 d6f8 c8c7 f8f7 c7d6,739
3rrqk1/p4pnp/4pQpB/1b2P3/1p1p1RP1/1B1P3P/P1P5/5RK1 w - -,h6g7 f8g7 f6g7 g8g7 f4f7 g7h8 f7a7 d8a8 a7a8 e8a8,390
k7/P4R2/5K2/5P2/6p1/6P1/8/2r5 w - -,f6g5 c1c3 f7f8 a8a7 g5g4 c3c4 g4g5 c4c7 f8f6 a7b8,941
rnbqkb1r/p1p2ppp/5n2/1p1p4/3P4/4PpP1/PPP1N1BP/RNBQK2R w KQkq -,g2f3 f8b4 c2c3 b4d6 a2a4 b5b4 c3b4 d6b4 b1c3 e8h8,-44
k7/P4R2/8/5PK1/2r3p1/6P1/8/8 w - -,f7e7 c4d4 e7e6 d4d5 g5g4 d5d4 g4g5 d4d5 e6e8 a8a7,941
8/np6/p1p1p2k/P1PpP1p1/1P1Pp2p/2B1P2P/5KP1/8 w - -,c3d2 h6g7 d2c1 g7h7 c1d2 a7b5 f2f1 b5a3 f1e2 h7g7,-21
r3kb1r/pp3ppp/2n1pn2/3p4/3P1B2/q1PQ1N1P/P2N1PP1/RR4K1 w kq -,b1b7 a3a4 c3c4 a4a6 a1b1 c6d8 b7b3 f8e7 c4c5 a6d3,110
2b2rk1/1pNp1ppp/1p4n1/1B6/5Pr1/8/PPP3PP/R4RK1 w - -,g2g3 g6e7 a1e1 e7c6 c7d5 h7h5 b5d3 d7d6 a2a3 f8d8,384
r1b2rk1/5ppp/p2qp3/2np4/N7/3B4/PPPQ1PPP/R4RK1 w - -,a4c5 d6c5 b2b4 c5c7 a2a4 e6e5 f1c1 f8d8 c2c3 c8b7,30
r1bq1rk1/p3bppp/1n6/1p1p4/2pPPB2/5N2/PPB2PPP/R2Q1RK1 w - -,d1b1 b5b4 e4e5 g7g6 f4h6 f8e8 b1c1 c8g4 f1e1 g4f3,14
8/1p1b1pk1/2p3p1/p3r2p/P1B2N1P/1P3P2/1KP3P1/8 w - -,f4d3 e5e8 d3c5 d7c8 b2c3 e8e1 c5e4 e1d1 b3b4 b7b6,-574
5k1r/ppq2pp1/3Np2p/n2rP3/2pP4/PbP1B3/4QPPP/1R2RK2 w - -,f2f4 c7d7 b1b2 a5c6 f4f5 e6f5 e2f3 c6e7 e3f2 d7c6,189
8/7p/5pk1/p7/6PP/2B1RP1K/1p6/1r6 w - -,c3b2 b1b2 e3e6 b2b3 h3g2 b3b2 g2g3 h7h6 e6a6 b2b5,1
rnbqk2r/p1p2ppp/5n2/1p1p4/1b1P4/4PBP1/PPP1N2P/RNBQK2R w KQkq -,b1c3 e8h8 e1h1 b4c3 e2c3 b5b4 c3e2 c8h3 f1e1 b8c6,-43
r1q1kb1r/p4ppp/4bn2/3p4/4p3/6P1/PP2PPBP/RNBQ1RK1 w kq -,c1f4 c8d7 b1c3 h7h5 d1a4 d7a4 c3a4 f8e7 f1c1 h5h4,19
2k5/5p2/pQ1q2p1/3p4/6P1/P7/1P3KP1/4r3 w - -,b6d6 e1e8 d6a6 c8d7 a6b7 d7e6 a3a4 f7f6 b7c6 e6f7,742
rn2kb1r/pp2ppp1/2p2n1p/q6b/8/1BNP1N1P/PPP2PP1/R1BQK2R w KQkq -,c1d2 a5c7 g2g4 h5g6 f3h4 g6h7 f2f4 e7e6 d1f3 b8a6,70
k1r5/P3R3/8/5PK1/6p1/6P1/8/8 w - -,e7e6 a8b7 f5f6 b7a7 g5g4 c8g8 g4f4 a7b7 g3g4 g8d8,1128
r1b1r1k1/ppq2pbp/2n3p1/2pnp1B1/2N5/3P1NP1/PPP2PBP/R2QR1K1 w - -,d1d2 c8e6 g5h6 f7f6 h6g7 g8g7 c2c3 a8d8 h2h4 b7b5,-67
2k5/5p2/p2Qr1p1/3p4/6P1/P7/1P3KP1/8 w - -,d6f8 c8d7 f8f7 d7d6 f7g7 a6a5 g7a7 g6g5 a7a6 d6d7,741
3rr1k1/p4pqp/4pQp1/1b2P3/1p1p1RP1/1B1P3P/P1P5/5RK1 w - -,f6g7 g8g7 f4f7 g7h8 f7a7 d8a8 a7a8 e8a8 f1f4 a8d8,422
8/np6/p1p1p3/P1PpP1pk/1P1Pp2p/4P2P/1B3KP1/8 w - -,b2c1 g5g4 c1d2 a7b5 f2e1 b5c7 e1e2 h5g5 e2f2 c7e8,-28
8/1p1b1pk1/2p3p1/p6p/P1B4P/1P1NrP2/1KP3P1/8 w - -,b2c3 d7f5 c3d2 e3e8 d3b2 g7f6 c4f1 f5e6 g2g3 f6e7,-582
k7/P3R3/5P2/2r3K1/6p1/6P1/8/8 w - -,g5g6 c5g5 g6f7 g5c5 e7e8 a8a7 f7g6 c5c6 g6g5 c6c5,1128
r3k2r/pp2bppp/1qn1pn2/3p4/3P1B2/2PQ1N1P/PP1N1PP1/R4RK1 w kq -,f1c1 e8h8 a2a4 f8c8 d3e2 h7h6 f3e1 b6d8 e1d3 e7d6,-11
r1b2rk1/5ppp/p3p3/2qp4/8/3B4/PPPQ1PPP/R4RK1 w - -,b2b4 c5c7 a2a4 f8d8 c2c3 c8b7 f1c1 e6e5 d2e1 c7e7,28
2b2rk1/1pN1nppp/1p1p4/8/5Pr1/6P1/PPP1B2P/R4RK1 w - -,e2g4 c8g4 a1e1 e7f5 c2c3 h7h5 e1e8 f8e8 c7e8 g8f8,441
k7/P3R3/5PK1/6r1/6p1/6P1/8/8 w - -,g6f7 g5c5 e7e8 a8a7 f7g6 c5c6 g6f5 c6c3 f5g4 c3c4,1128
7r/p3pk2/2ppbpp1/4n2r/N3P3/1P4KP/P1P3B1/3R1R2 w - -,f1g1 e6h3 g3f2 g6g5 a4b2 h3g2 g1g2 h5h4 f2e3 h4f4,-534
6B1/8/2p3R1/2k5/p7/4K1PP/6r1/8 w - -,h3h4 g2h2 e3f4 c5b5 g6g7 c6c5 g7b7 b5a5 f4g5 h2g2,544
rn2kb1r/pp2ppp1/2p2nbp/q7/6P1/1BNP1N1P/PPP2P2/R1BQK2R w KQkq -,d1e2 b8d7 c1d2 a5c7 e1a1 e7e6 h3h4 e8a8 h4h5 g6h7,71
2b1k1r1/5p1p/3p4/pN1PpP2/8/P4P2/1P2RKPP/2b5 w - -,e2c2 e8e7 f5f6 e7f6 b5d6 g8d8 d6e4 f6g7 c2c1 c8b7,282
1r1r1k2/1bpn1ppp/p7/Pn2p3/R3P2P/2P1NN2/2B2PP1/3R2K1 w - -,,0
5rk1/2p1n1p1/p1r1pp1p/3q4/3Pb3/1R2PNP1/P3BPP1/2Q2RK1 w - -,c1a1 e7c8 f1c1 c8d6 c1c6 d5c6 b3c3 c6b7 a1c1 f8c8,86
3rr2k/p4R1p/4p1p1/1b2P3/1p1p2P1/1B1P3P/P1P5/5RK1 w - -,f7a7 d8a8 a7a8 e8a8 f1f4 a8d8 b3e6 b5a4 e6c4 g6g5,425
r3r1k1/ppp2ppp/3p1qn1/3P4/4P2P/2b2PB1/PP2QP2/R4K1R w - -,a2a4 c3b2 a1b1 b2e5 h4h5 g6f4 e2d1 a8b8 h5h6 g7g5,-446
r3r1k1/1p1bppb1/p1Np2pB/8/4n1P1/2q2P2/PPPQ4/2KR1B1R w - -,c6e5 c3d2 h6d2 g7e5 f3e4 d7g4 d1e1 e8c8 f1d3 g4e6,-330
r2qkb1r/pp1nnppp/2p1p1b1/3pP3/3P1P2/2NB1N2/PPP3PP/R1BQK2R w KQkq -,e1h1 g6d3 d1d3 c6c5 b2b4 c5d4 c3b5 e7c6 f4f5 d8b6,29
8/1p3pk1/2p3p1/p4b1p/P1B4P/1PKNrP2/2P3P1/8 w - -,c3d2 e3e8 d3b2 g7f6 c4f1 f5e6 g2g3 f6e5 f1c4 e5d6,-587
r3r1k1/ppp2ppp/3p2n1/3P4/4P2P/2q2PB1/P3QP2/R4K1R w - -,a1e1 g6e5 f1g2 e5d3 e1d1 d3c5 d1c1 c3d4 h1d1 d4f6,-80
rnb1kb1r/1pq2ppp/p3pn2/3p4/3NP3/3BB2P/PPP2PP1/RN1QK2R w KQkq -,d1f3 d5e4 d3e4 e6e5 d4b3 f6e4 f3e4 c8e6 b1c3 f7f5,-46
k7/8/p7/8/B7/8/8/KR6 w - -,d1f3 d5e4 d3e4 e6e5 d4b3 f6e4 f3e4 c8e6 b1c3 f7f5,Mate
r2q1rk1/p3bppp/1n6/1p1p3b/2pPPB2/4QN2/PPB2PPP/R4RK1 w - -,a2a4 b6a4 f3e5 a4b6 e5c6 d8d7 c6e7 d7e7 e4d5 e7e3,-7
6B1/8/2p3R1/2k5/p7/6PP/2r2KP1/8 w - -,f2e3 c2g2 h3h4 g2h2 e3f4 c5b5 g6g7 c6c5 g7b7 b5a5,553
rn2kb1r/pp3pp1/2p1pnbp/q7/6P1/1BNP1N1P/PPP1QP2/R1B1K2R w KQkq -,f3e5 f8b4 e5g6 b4c3 b2c3 a5c3 e1f1 f7g6 e2e6 e8d8,236
r1b2rk1/2q2ppp/p3p3/3p4/1P6/3B4/P1PQ1PPP/R4RK1 w - -,f1c1 f8d8 a2a4 c8b7 c2c3 e6e5 d3f1 a8c8 a4a5 d8d6,27
r4rk1/pp2bppp/2n1pn2/3p4/1P1P1B2/q1PQ1N1P/P2N1PP1/3R1RK1 w - -,d2b1 a3a4 d1d2 b7b5 d2b2 a7a5 b4a5 a8a5 b1d2 f8a8,-77
1k1r3r/pp2qpp1/1np1b2p/3p3n/3P4/2NBP3/PPQ2PPP/1KNR3R w - -,c1b3 h5f6 h1e1 f6e8 b3c5 e8d6 f2f3 e7f6 d3f1 d6f5,13
8/7p/5pk1/p7/6PP/4RP1K/1r6/8 w - -,,0
1k1r3r/pp2qpp1/1np1bn1p/3p4/3P4/1NNBP3/PPQ2PPP/1K1R3R w - -,h1e1 f6e8 b3c5 e8d6 f2f3 e7f6 b1a1 e6c8 c5b3 d6f5,15
8/k7/p7/8/B7/8/K7/1R6 w - -,h2h4 f6e8 b3c5 e8d6 d1c1 e7f6 h4h5 e6c8 b1a1 c8f5,Mate
k7/P3RK2/5P2/r7/6p1/6P1/8/8 w - -,e7e8 a8a7 f7g6 a5a6 g6g7 a6a2 f6f7 a2f2 g7g6 f2f7,1549
r3r1k1/ppp2ppp/3p2n1/q2P4/4P2P/5PB1/P3QPK1/R6R w - -,h4h5 g6e7 e2b2 h7h6 a1b1 b7b6 g3h4 g8h7 b1c1 a8c8,42
8/1p2rpk1/2p3p1/p4b1p/P1B4P/1P1N1P2/2PK2P1/8 w - -,g2g3 g7f8 d3b2 e7d7 d2c3 f8e8 c4f1 e8d8 b2c4 d7d1,-576
8/1k6/p7/8/B7/1K6/8/1R6 w - -,g2g3 g7f8 d3b2 e7d7 d2c3 f8e8 c4f1 e8d8 b2c4 d7d1,Mate
3r1rk1/ppp2ppp/2nq4/8/3P1n1Q/5N2/PP2BPPP/2R2RK1 w - -,e2b5 c6d4 f3d4 d6d4 g2g3 f4e6 h4e7 d4b2 b5d7 b2a2,-192
4r1k1/ppq2ppp/3p4/2p1p3/2Pn4/P7/1PbN1PPP/1RBBK2R w - -,f2f3 c2d3 e1f2 e5e4 d2e4 d3b1 e4c3 b1d3 d1a4 e8e6,-610
r4rk1/pp2bppp/4pn2/3p4/1n1P1B2/q1PQ1N1P/P2N1PP1/R4RK1 w - -,d3e2 a3c3 a1b1 a7a5 f4e5 f8c8 f1c1 c3c1 b1c1 c8c1,-248
r2qk2r/pp1bbppp/2n1pn2/2pp4/Q1PP4/2N1PNP1/PP3P1P/R1B1KB1R w KQkq -,a4d1 e8h8 c4d5 f6d5 f1e2 c5d4 e3d4 e7f6 e1h1 d8b6,-62
6B1/8/2p3R1/2k5/8/p4KPP/2r3P1/8 w - -,h3h4 c5b5 h4h5 a3a2 g8a2 c2a2 h5h6 a2a1 g3g4 c6c5,574
8/2k5/p7/8/B1K5/8/8/1R6 w - -,h3h4 c5b5 h4h5 a3a2 g8a2 c2a2 h5h6 a2a1 g3g4 c6c5,Mate
7r/p3pk2/2ppbp2/4n1pr/N3P3/1P4KP/P1P3B1/3R3R w - -,a4c3 h5h4 c3e2 c6c5 e2c1 e5g6 c1d3 h8c8 d1c1 a7a5,-386
8/7p/5pk1/pr6/6PP/R4P1K/8/8 w - -,,0
3k4/8/p7/2K5/B7/8/8/1R6 w - -,a3a4 h7h5 a4a3 b5c5 h3g3 g6g7 a3a4 h5g4 f3g4 c5b5,Mate
3r1rk1/ppp2ppp/3q4/8/2Bn1n1Q/5N2/PP3PPP/2R2RK1 w - -,g1h1 d4f3 g2f3 f8e8 f1g1 f4g6 h4g5 d6f4 g5f4 g6f4,-300
r3r1k1/ppp2ppp/3p4/q2Pn2P/4P3/5PB1/P3QPK1/R6R w - -,a1b1 a8b8 h5h6 e8e7 f3f4 e5d7 f2f3 f7f5 g3h4 d7f6,52
3r4/2R4p/1P1P1nkb/2B1p3/4P3/5pP1/7P/5K2 w - -,b6b7 d8b8 c5a7 b8b7 c7b7 f6e4 d6d7 h6g5 b7b4 g6f5,583
6k1/5p1p/p5p1/1pn5/3NP3/1P6/5PPP/5K2 w - -,f2f3 a6a5 f1e2 a5a4 e2d2 a4b3 d4b5 g8g7 d2c3 g7f6,-6
rn1qkb1r/pb1ppppp/1p1p1n2/8/8/5N2/PPP1PPPP/RNBQKB1R w KQkq -,c1g5 e7e6 c2c4 h7h6 g5f6 d8f6 b1c3 d6d5 c4d5 f8b4,-160
r3r1k1/pppn1ppp/3p4/q2P3P/4PP2/6B1/P3QPK1/R6R w - -,e2f3 h7h6 a1c1 e8e7 g3h4 f7f6 h1e1 a8e8 f3c3 a5b5,-75
2k5/1N3R2/p1p3p1/5b2/1p1p3p/1P1P4/r1P1K1PP/8 w - -,e2d1 a2a1 d1e2 f5g4 e2f2 a1c1 b7d6 c8b8 f7b7 b8a8,-267
8/7p/5p2/pr4kP/6P1/R4P1K/8/8 w - -,,0
5k2/1p2rp2/2p3p1/p4b1p/P1B4P/1P1N1PP1/2PK4/8 w - -,c2c3 e7e8 b3b4 e8a8 c4b3 f7f6 d3f4 f8g7 d2c1 a8e8,-539
r4rk1/pp2bppp/2n1pn2/3p4/1P1P1B2/2PQ1N1P/q4PP1/1N1R1RK1 w - -,d3b5 c6d8 b1d2 a8c8 d1a1 a2b2 f1b1 b2c3 a1a7 f6h5,-86
8/8/5p2/3Bb3/pp2P3/k7/P1P4p/7K w - -,h1g2 a3b2 g2h1 b2c2 d5g8 c2b2 h1g2 b4b3 g8b3 a4b3,-982
8/np6/p1p1p3/P1PpP2k/1P1Pp1pp/2B1P2P/5KP1/8 w - -,c3e1 a7b5 f2f1 h5g5 f1e2 b5a3 e1d2 g5g6 e2d1 a3b5,-28
4r1k1/ppq2ppp/3p4/2p1p3/2P5/P7/1PnN1PPP/1RB1K2R w - -,e1e2 c7d7 f2f3 e5e4 f3e4 d7g4 e2f2 f7f5 h1f1 f5e4,-609
3r1rk1/ppp2ppp/8/8/2Bq1n1Q/8/PP3PPP/2R2RK1 w - -,g1h1 c7c6 g2g3 f4d3 h4d4 d8d4 c4d3 d4d3 b2b4 f8d8,-176
7r/p3pk2/3pbp2/2p3pr/N1P1P3/1P1n2KP/P5B1/5R1R w - -,f1f3 d3f4 f3e3 e6h3 g2f3 h3g4 h1h5 g4h5 f3g2 f4g2,-474
1k6/5R2/p1pN2p1/5b2/1p1p3p/1P1P4/r1P1K1PP/8 w - -,f7f8 b8c7 d6f5 g6f5 f8f7 c7b6 e2d2 a6a5 f7f8 b6c7,-68
r1b1k2r/1pq2ppp/p1p1pn2/8/2P5/2bB1Q2/PP3PPP/R1B1R1K1 w kq -,b2c3 e8h8 c1f4 c7e7 a1d1 f8d8 c4c5 f6e8 f3h3 g7g6,116
r4rk1/pp2bppp/2n1pn2/3p4/1P1P1B2/q1PQ1N1P/3N1PP1/3R1RK1 w - -,d1a1 c6b4 d3b5 a3c3 f1c1 c3b2 c1b1 b2c2 b5b7 b4d3,-100
k7/1R6/p1pN2p1/5b2/1p1p3p/1P1P4/r1P1K1PP/8 w - -,b7b4 a2c2 e2f3 c6c5 b4a4 f5d3 b3b4 c5c4 b4b5 c4c3,-338
rnbqkb1r/pppp2pp/8/4p3/2P3n1/8/PPQPPP2/RNB1KBNR w KQkq -,h1h7 d8f6 g1f3 h8h7 c2h7 d7d6 d2d3 f6f5 h7h4 b8a6,50
r1b4r/pp1pkppp/2nN1n2/2q5/4P3/2N5/PP2B1PP/R2QK2R w KQ -,c3b5 c5b4 d1d2 b4d2 e1d2 a7a6 d6f5 e7f8 b5d6 g7g6,23
3r1rk1/ppp2ppp/6n1/8/2Bq3Q/6P1/PP3P1P/2R2RK1 w - -,c4f7 f8f7 h4d4 d8d4 a2a4 g6f8 f1e1 d4d8 a4a5 h7h6,-436
4rk2/1p3p2/2p3p1/p4b1p/P1B4P/1PPN1PP1/3K4/8 w - -,d3c5 b7b6 c5d3 f8g7 b3b4 e8a8 d3b2 g7f6 d2e3 f6e7,-563
8/7p/5p2/1r4kP/p5P1/4RP1K/8/8 w - -,h3g3 b5a5 e3a3 f6f5 g3h3 a5a8 h3g3 h7h6 g3h3 g5f6,-13
8/np6/p1p1p3/P1PpP2k/1P1Pp2p/4P1pP/1B3KP1/8 w - -,f2g1 a7b5 g1f1 b5c7 f1e2 c7a8 e2d1 h5g6 b2c3 g6g7,-28
r4rk1/pp2bppp/4pn2/3pn3/1P1P1B2/q1PQ3P/3N1PP1/3R1RK1 w - -,d3e3 e5c4 d2c4 d5c4 d4d5 a3a6 d5d6 e7d8 f4e5 a6c6,-436
r1b2rk1/1pq2ppp/p1p1pn2/8/1bP5/2NB1Q2/PP3PPP/R1B1R1K1 w - -,c1g5 f6e8 a1d1 f7f6 g5d2 b4e7 d2e3 e6e5 c3a4 f6f5,32
rnbqk2r/pp2npbp/4p1p1/2p1P3/2PP4/5N2/PP4PP/RNBQKB1R w KQkq -,d4c5 d8d1 e1d1 b8d7 c1f4 h7h6 d1c2 d7c5 b1c3 g6g5,-52
r2qkb1r/pp1nnp1p/2p1p1p1/3pP3/3P1P2/2NQ1N2/PPP3PP/R1B2RK1 w kq -,c3e2 c6c5 c1d2 h7h5 c2c3 a7a6 f3g5 e7f5 e2g3 h5h4,26
5rk1/ppp2ppp/6n1/8/2Br4/6P1/PP3P1P/2R2RK1 w - -,c1c3 c7c6 f1e1 f8d8 c4f1 g8f8 c3e3 d4d7 h2h4 g6e7,-128
r3r1k1/pppn1ppp/3p3P/3q4/4PP2/6B1/P3QPK1/R6R w - -,g2f3 d5c6 a1c1 d7c5 f4f5 e8e7 h1h4 a8e8 h6g7 c6d7,-169
r4rk1/pp2bppp/4p3/3pP3/1P2nB2/q1PQ3P/3N1PP1/3R1RK1 w - -,d2b1 a3a4 b1d2 e4d2 f4d2 a4c6 f2f4 g7g6 d1a1 c6c7,-128
8/8/5p2/4b3/ppB1P3/8/PkP4p/7K w - -,h1g2 b2c2 c4b5 c2b2 b5a4 b2a2 a4c6 a2a3 c6d5 b4b3,-1357
2n5/1p6/p1p1p3/P1PpP2k/1P1Pp2p/4P1pP/1B4P1/6K1 w - -,g1f1 c8e7 f1e1 h5g5 b2c1 e7g6 c1d2 g6h8 e1e2 g5g6,-18
6B1/8/2p3R1/2k5/7P/5KP1/p1r3P1/8 w - -,g8a2 c2a2 h4h5 c5d5 h5h6 a2a1 f3f4 c6c5 g3g4 a1f1,612
4k2r/p3p3/3p1p2/2p1nPp1/N1P2r2/1P4KP/P5B1/7R w - -,h1e1 f4f5 a4c3 e5d3 e1e3 d3f4 g2c6 e8f7 h3h4 h8h4,-506
r4rk1/pp2bppp/4p3/4P3/1P2pB2/q1PQ3P/5PP1/3R1RK1 w - -,d3d4 a8d8 d4c4 d8c8 c4e4 a3c3 e4b7 c8c7 f4d2 c3c4,-50
rnb3kr/pp2pp1p/6p1/1B1q1N2/8/8/PPP3PP/R2Q1RK1 w - -,d3d4 a8d8 d4c4 d8c8 c4e4 a3c3 e4b7 c8c7 f4d2 c3c4,Mate
3r2k1/ppp2ppp/6n1/8/2Br4/6P1/PP3P1P/2R1R1K1 w - -,c4f1 c7c6 e1e3 g8f8 c1e1 d4d7 h2h4 g6e7 f1h3 d7c7,-132
3r1k2/1p3p2/2p3p1/p1N2b1p/P1B4P/1PP2PP1/3K4/8 w - -,d2e3 b7b6 c5d3 d8e8 e3d2 f8g7 b3b4 e8a8 d3b2 g7f6,-551
8/1p2n3/p1p1p3/P1PpP2k/1P1Pp2p/4P1pP/1B4P1/5K2 w - -,f1e1 h5g5 b2c1 e7f5 e1f1 g5h6 c1d2 h6g7 f1e1 g7f7,-18
rn1qkb1r/pbp2ppp/1p2pn2/8/8/2N2N2/PPP1PPPP/R1BQKB1R w KQkq -,f3e5 d8d1 c3d1 b8d7 e5d7 f6d7 f2f3 f8b4 c2c3 b4d6,-53
4k3/p3p3/3p1p2/2p1nPp1/N1P2r1r/1P4KP/P5B1/5R2 w - -,f1e1 f4f5 g2b7 h4d4 e1e2 e7e6 g3g2 e8f7 a4c3 e5d3,-515
r1b2rk1/1pq1bppp/p1p1pn2/6B1/2P5/2NB1Q2/PP3PPP/R3R1K1 w - -,f3h3 h7h6 g5h6 f8d8 d3c2 d8d4 h6g5 e6e5 h3g3 c8e6,33
r5k1/pppn1ppp/3p3P/3P4/5P2/6B1/P3rPK1/R6R w - -,a1d1 e2a2 d1c1 d7c5 h6g7 g8g7 c1e1 a2d2 h1h5 h7h6,-259
r3r1k1/1p1bpp2/p1Np2pb/8/4n1P1/2Q2P2/PPP5/2KR1B1R w - -,c3e3 h6e3 c1b1 e4f2 c6b4 f2h1 b4d5 e3c5 b2b4 d7c6,-607
3r2k1/pp3ppp/2p3n1/8/1PBr4/6P1/P4P1P/2R1R1K1 w - -,c1c3 g8f8 b4b5 c6c5 a2a4 g6e7 a4a5 e7d5 c4d5 d8d5,-155
1rbnk2r/2Q4p/p2p1p1b/1q2pP2/1p5P/1N3B2/PPP5/2KR2R1 w - -,c1b1 b5b6 c7c4 c8f5 c4f1 f5e6 b3d2 d6d5 d2b3 d5d4,-382
8/8/2p3R1/2k5/7P/5KP1/r5P1/8 w - -,h4h5 c5d5 h5h6 a2a7 g6g7 a7a1 g3g4 d5e5 g4g5 a1h1,622
r1b2r2/p3pk1p/2p3p1/3nnq2/1Q6/5P1N/1PP3P1/1NKR1B1R w - -,b4d4 f7g8 b1c3 f5f6 h3f2 d5c3 d4c3 e5f7 d1d3 g8g7,32
