8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
r7/pp1b1pk1/1np2np1/4r2p/4NN1P/3B1P2/PPP3P1/2KR3R w - -,,0
2b1k1r1/5p1p/1p1p3b/p2Ppp2/1r2P3/2N2P2/PP2RKPP/2NR4 w - -,e4f5 c8f5 c1d3 f5d3 d1d3 f7f5 c3d1 e8d7 e2c2 g8c8,-18
r1bqr1k1/1pp2pbp/5np1/p3n3/1P1N4/2N2B2/PBP2PPP/1R1Q1RK1 w - -,b4a5 a8a5 d4b3 e5f3 d1f3 a5f5 f3d3 d8d3 c2d3 b7b6,-100
k7/P4R2/8/3K1P2/6p1/2r3P1/8/8 w - -,d5e6 c3c6 e6e5 c6e6 e5f4 e6e4 f4g5 e4e3 f7g7 e3g3,803
8/5R2/p1pN2p1/2k2b2/1p1p3p/1P1P4/r1P1K1PP/8 w - -,g2g4 f5g4 e2e1 c5d6 f7f4 g4e6 e1d1 a2a1 d1e2 c6c5,-541
1q2r1k1/5pp1/p4n2/1b1p4/3N2P1/P3BP2/1P3KP1/2Q4R w - -,c1d2 f6d7 d2c2 d7f8 h1h5 b5c4 c2c3 f8e6 b2b3 e6d4,206
2bqr1k1/1pp2pbp/5np1/r3n3/3N4/2N2B2/PBP2PPP/1R1Q1RK1 w - -,d4b3 e5f3 d1f3 a5f5 f3d3 d8d3 c2d3 b7b6 f1e1 e8d8,-106
1k6/1b3pp1/1r4qp/Q2nn3/N3P3/7P/1P4P1/1K2RB2 w - -,b1c1 b6c6 c1b1 c6d6 a4c5 e5c6 a5a3 d5b4 a3a4 b7c8,-214
rn1qkbnr/pp2pppp/8/3pP3/1p6/5b1P/P1PP1PP1/RNBQKB1R w KQkq -,b1c3 f3d1 f1b5 b8c6 b5c6 b7c6 c3d1 e7e6 e1h1 c6c5,-747
8/1p3R1p/2pk2p1/p7/8/1B4PP/PrP2KP1/8 w - -,a2a4 c6c5 f7f4 b2b1 f2e2 b1g1 f4f2 b7b5 a4b5 c5c4,470
r3n3/pp1b1pk1/1npN2p1/4r2p/5N1P/3B1P2/PPP3P1/2KR3R w - -,,0
8/7p/5pk1/B7/6PP/4RP1K/1p6/1r6 w - -,,0
8/2Rr3p/1P3nkb/2BPp3/4P3/5pP1/7P/5K2 w - -,c7d7 f6d7 b6b7 h6d2 c5a7 d2c3 b7b8q d7b8 a7b8 c3d4,543
r1b2rk1/3n1ppp/p2qp3/2pp4/N2P4/3B4/PPPQ1PPP/R4RK1 w - -,a4c5 d7c5 d4c5 d6c5 b2b4 c5c7 f1c1 f8d8 c2c3 c8b7,29
2bqr1k1/1pp2pbp/5np1/r7/8/1NN2n2/PBP2PPP/1R1Q1RK1 w - -,d1f3 a5f5 f3d3 d8d3 c2d3 b7b6 f1e1 e8d8 c3e4 f6e4,-107
3r1rk1/ppp2ppp/2nq4/3n4/3PQ3/5N2/PP2BPPP/2R2RK1 w - -,e2d1 d6f4 d1c2 f4e4 c2e4 f8e8 f1e1 c6e7 e4c2 c7c6,-22
r3r1k1/ppq2ppp/2np4/1Qp1p3/2P5/P7/1PbNBPPP/1RB1K2R w - -,b2b4 a7a6 b5c6 c7c6 b1b2 c2a4 h2h4 c5b4 b2b4 h7h6,-526
k7/P3R3/8/3K1P2/6p1/3r2P1/8/8 w - -,d5e6 d3d6 e6e5 d6d5 e5e4 d5d4 e4e3 d4d3 e3f4 d3f3,468
8/8/1p5k/pP1Pp2b/P3Pprp/5R2/4Q3/2q2K1R w - -,e2e1 c1c4 e1e2 c4e2 f1e2 g4g2 e2d3 h5f3 h1h4 h6g7,-815
2bqr1k1/1pp2pbp/5np1/5r2/8/1NN2Q2/PBP2PPP/1R3RK1 w - -,f3d3 d8d3 c2d3 b7b6 f1e1 e8d8 c3e4 f6e4 d3e4 f5b5,-119
8/5R2/p1p5/2k2p2/1p1p3p/1P1P4/r1P1K1PP/8 w - -,e2f3 a2c2 f7f5 c5b6 g2g4 h4g3 h2g3 c2c3 f3e4 c3b3,-340
k7/P3R3/8/2Kr1P2/6p1/6P1/8/8 w - -,c5c6 d5c5 c6d7 c5d5 d7e8 d5d8 e8f7 d8f8 f7e6 f8f6,468
1k6/1b3pp1/1q5p/Q2nn3/4P3/7P/1P4P1/1K2RB2 w - -,b2b4 d5c3 b1c1 b6d4 a5c5 d4c5 b4c5 b8c7 c1d2 c3e4,-210
2b2rk1/1pNp1ppp/1pn5/r3P3/8/1P1B4/P1P2PPP/R3K2R w KQ -,e1a1 c6e5 d3b5 a5a2 c1b1 a2a7 d1d6 e5g6 b1b2 g6h4,263
r3n3/pp1b1pk1/2p3p1/4r2p/2n2N1P/3B1P2/PPP3P1/2KR3R w - -,,0
1k6/1b3pp1/1n5p/4n3/4P3/7P/1P4P1/1K2RB2 w - -,h3h4 e5g6 g2g3 g6e5 b1c2 b8c7 b2b3 b6c8 c2c3 c8d6,-47
4r1k1/3q1p2/p4npB/1b1p4/3N2P1/P4P2/1P3KP1/2Q4R w - -,h6g7 f6g4 f3g4 g8g7 c1h6 g7f6 h6f4 f6e7 h1e1 b5e2,641
2b1r1k1/1pp2pbp/5np1/5r2/8/1NNq4/PBP2PPP/1R3RK1 w - -,c2d3 b7b6 f1e1 e8d8 c3e4 f6e8 f2f3 c8a6 b2g7 e8g7,-103
r3r1k1/ppq2ppp/3p4/1Qp1p3/2Pn4/P7/1PbN1PPP/1RBBK2R w - -,b5a4 c2a4 d1a4 b7b5 c4b5 c7a5 a4d1 a5b5 d2f1 b5d3,-610
2k1r3/p1p3pp/1pn5/2p5/P5q1/6P1/1B1r1P1P/4R1K1 w - -,b5a4 c2a4 d1a4 b7b5 c4b5 c7a5 a4d1 a5b5 d2f1 b5d3,Mate
r2qkbnr/pp2pppp/2p5/3n1b2/B7/5N2/PPPP1PPP/RNBQ1RK1 w kq -,d2d4 e7e6 c2c4 d5b6 a4b3 g8f6 b1c3 h7h6 h2h3 f8b4,63
8/8/p1pk4/5R2/1p1p3p/1P1P4/r1P1K1PP/8 w - -,f5f4 a2c2 e2d1 c2b2 f4d4 d6c5 d4h4 b2b3 h4c4 c5b5,-225
8/7p/5pk1/8/6PP/2B1RP1K/1p6/7r w - -,h3g3 b2b1q e3e6 b1g1 g3f4 g1c1 e6e3 h1h4 f4e4 c1c2,-892
r1b1r1k1/pp2ppbp/2np1np1/q7/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R w - -,d4b3 a5c7 h2h4 c6e5 f1e2 c8e6 h4h5 e5c4 e2c4 e6c4,151
8/7R/2p3p1/ppk5/P7/1B4PP/1rP2KP1/8 w - -,h7h4 b2b1 h4g4 b1a1 h3h4 c5b6 f2e2 b6c7 a4b5 c6b5,564
r3n3/pp3pk1/2p3p1/4rb1p/2B2N1P/5P2/PPP3P1/2KR3R w - -,,0
8/8/1p5k/pP1Pp2b/P3Pprp/5R2/4q3/5K1R w - -,f1e2 g4g2 e2d3 h5f3 d3c3 h6g5 d5d6 f3g4 h1d1 g2g3,-783
8/8/1p5k/pP1Pp2b/P3Pp1p/5R2/4K1r1/7R w - -,e2f1 h5f3 h1h4 h6g5 h4h8 g2d2 h8d8 f3g4 d5d6 f4f3,-1048
r7/pp3pk1/2p2np1/4rb1p/P1B2N1P/5P2/1PP3P1/2KR3R w - -,,0
8/8/7k/4Q3/7B/8/8/6K1 w - -,h1e1 a8e8 e1e5 e8e5 d1d8 e5e8 d8d1,Mate
k7/p7/8/8/8/1B6/8/KR6 w - -,h1e1 a8e8 e1e5 e8e5 d1d8 e5e8 d8d1,Mate
8/2Rr3p/1P4kb/2BPp3/4n3/5pP1/5K1P/8 w - -,f2g1 d7d5 c7c6 g6f5 h2h4 d5c5 c6c7 f5g6 g3g4 h6e3,-966
r2qkbnr/pp3ppp/2p1p3/3n1b2/B7/5N2/PPPP1PPP/RNBQR1K1 w kq -,d2d4 f8b4 c2c3 b4a5 c1g5 g8f6 b1d2 h7h6 g5h4 e8h8,54
r3r1k1/p2b1pnp/4pqpB/4P3/1p1p2P1/1B1P3P/P1P5/1R3RK1 w - -,h6d2 f6e5 d2f4 e5f6 f4g3 f6e7 g3e5 a7a5 a2a4 e7h4,-677
4R3/p7/5pk1/4p3/3pn1K1/8/r7/8 w - -,e8g8 g6f7 g8d8 f7e6 d8e8 e6d5 e8d8 e4d6 d8f8 d5e6,Mate
r1bq3r/pp2bk1p/3p1ppQ/8/8/2N5/P3BPPP/R2R2K1 w - -,e2c4 c8e6 c4e6 f7e6 d1e1 e6f7 c3d5 e7f8 h6h3 a8c8,469
1kbrr3/pp3pp1/1np2n1p/2Np4/3P4/2NBPPqP/PPQ3P1/1K1RR3 w - -,a2a4 b6c4 e3e4 b7b6 c5b3 f6h5 b3c1 f7f5 e4e5 g7g5,21
r3kb1r/p2n1pp1/2p1b1n1/q5Pp/2p1p3/5N1P/PQ1PPPB1/RNB2RK1 w kq -,f3e5 d7e5 b1c3 g6h4 g2e4 f8d6 f2f4 e8h8 b2c2 e6h3,-559
8/2Rr3p/1P4kb/2nPp3/8/5KP1/7P/8 w - -,c7c5 h6d2 h2h4 d7b7 c5c6 g6h5 d5d6 d2a5 c6c5 a5b6,5
4r3/pp3pk1/2p2np1/4rb1p/P1B2N1P/5P2/1PP3P1/2KRR3 w - -,,0
