R7/7K/8/8/8/8/2k5/8 w - -,e1f1 e8f8 f1f7 f8f7 d1f1 b5d4 b3f7 g8h7 e2d4 a4d4,Mate
r1b1kb1r/2qp1ppp/p1n1pn2/1pp5/2B1P3/2NP1NP1/PPP1QP1P/R1B1K2R w KQkq -,c4b3 c8b7 a2a4 b5b4 c3d1 c6a5 c1f4 d7d6 f3d2 h7h6,-75
r1bq1rk1/bp1p1ppp/p1n1p3/8/1P1PP3/3B4/P2PNPPP/R1BQ1RK1 w - -,a2a3 c6d4 c1b2 d4c6 g1h1 d7d5 f2f4 d5e4 d3e4 c6d4,33
5rk1/1p3nb1/2p4p/qn4p1/r2PP3/1Q4BP/1P2N1P1/3R1RK1 w - -,f1f7 f8f7 d1f1 g7f6 f1f6 a4a1 e2c1 a5a2 b3a2 a1a2,321
r2qkb1r/ppp2pp1/2n1pnp1/3p4/3P4/2P1P3/PP2BPPP/RNBQK2R w KQkq -,d1b3 a8b8 b1d2 d8d7 a2a3 a7a6 c3c4 c6a5 b3c3 a5c4,17
k7/P4p2/4r1pp/8/3K3P/R4PP1/8/8 w - -,a3a4 e6d6 d4e5 d6e6 e5d5 e6b6 g3g4 b6f6 f3f4 f6b6,400
rn2kb1r/ppqnpppb/2p5/5PPp/2B5/2NP4/PPPBQ2P/R3K1NR w KQkq -,c4f7 e8f7 g5g6 h7g6 f5g6 f7e8 g1f3 c6c5 e1a1 c7b6,444
rn3b1r/ppqnpkpb/2p5/5PPp/8/2NP4/PPPBQ2P/R3K1NR w KQ -,g5g6 f7e8 g6h7 c7e5 c3e4 e5b2 a1d1 e8d8 g1f3 d8c8,410
r2qk2r/pp3ppp/2n1bn2/2bp4/8/P1NB1N2/1PP2PPP/R1BQK2R w KQkq -,e1h1 a7a6 h2h3 h7h6 c3e2 c5a7 b2b4 e8h8 c1b2 f8e8,20
6k1/1p3rb1/2p4p/qn4p1/r2PP3/1Q4BP/1P2N1P1/3R2K1 w - -,d1f1 a4a1 b3f7 g8h8 g3e5 a1f1 g1f1 g7e5 f7f8 h8h7,337
r1b1k2r/ppp2ppp/2nb1nq1/3p4/3NP3/2P1BP2/PP1QB1PP/RN3RK1 w kq -,e3f4 d6c5 f4e3 c5d6 e4d5 c6d4 d2d4 g6h5 g2g3 h5d5,20
r1b1kb1r/1p3ppp/p1n2n2/3q4/8/3B1N2/PP3PPP/RNBQK2R w KQkq -,,0
rnbq1rk1/pp4pp/2p1pn2/3pNp2/1bPP1B2/4P3/PP1N1PPP/R2QKB1R w KQ -,a2a3 b4a5 b2b4 a5c7 d2f3 b8d7 f1d3 a7a5 e1h1 a5b4,78
