r1bqkb1r/pp1p1ppp/2n1p1n1/2p5/4P3/2P2NP1/PP1PQP1P/RNB1KB1R w KQkq -,h2h4 d7d5 h4h5 g6e7 e4d5 e6d5 d2d4 c5d4 f3d4 c6d4,52
8/pp3pk1/2p5/8/8/2P5/PP5P/6K1 w - -,g1g2 g7h6 g2f3 h6g5 f3e4 a7a5 a2a4 b7b5 b2b3 g5g4,267
8/k1p2pp1/1p2b3/P7/8/4KP2/1PP3P1/8 w - -,a5b6 a7b6 e3d4 f7f6 g2g3 b6b5 d4d3 b5c5 d3e4 c5c4,-558
rnbqk2r/pp2bppp/2p1pn2/3p4/3P1B2/2NQ4/PPP1PPPP/2KR1BNR w kq -,e2e4 d5e4 c3e4 f6e4 d3e4 d8d5 e4e5 e8h8 e5c7 f8e8,25
r2qkbnr/pp1b1pp1/2n1p2p/3pP3/2pP4/2PB1N2/PP3PPP/RNBQ1RK1 w kq -,d3c2 b7b5 b2b3 g8e7 h2h4 e7f5 h4h5 f8e7 b1d2 c4b3,73
3r4/4qk1p/pnbr1p2/1pp2p2/4P3/1P1R1PQ1/P1P3PP/3R2K1 w - -,d1e1 d6d3 c2d3 f5e4 f3e4 d8g8 g3h4 b6d7 h4h7 f7f8,-563
rn1qkb1r/pp3ppp/2p2n2/4p3/6b1/3P1NN1/PPP2PPP/R1BQKB1R w KQkq -,f1e2 b8d7 e1h1 f8e7 h2h3 g4f3 e2f3 e8h8 g3f5 f8e8,43
6r1/p1Q5/k2P4/8/8/8/8/6K1 w - -,f1e2 b8d7 e1h1 f8e7 h2h3 g4f3 e2f3 e8h8 g3f5 f8e8,Mate
3q1rk1/pp1nbppp/2rp1n2/4p3/4P1P1/1NNQBP2/PP5P/2KR3R w - -,c1b1 b7b6 h2h4 d7c5 b3c5 b6c5 h4h5 f6e8 h5h6 g7g6,59
8/3k1B2/8/4K3/1N6/8/8/8 w - -,h1g1 f6e8 g4g5 e8c7 h2h4 d8c8 c1b1 d7c5 b3c5 d6c5,Mate
4rk2/1p4q1/3p1Bp1/p1pP1p2/P1P5/1PK5/7R/8 w - -,f6g7 f8g7 h2f2 g7f6 f2h2 g6g5 h2h6 f6e5 c3d3 e5f4,-682
4r1k1/1Rp3p1/8/5p2/8/1P1PnNb1/1PPB1p2/5K2 w - -,d2e3 e8e3 f3d2 e3e1 f1g2 e1g1 g2f3 g7g5 b7b4 g5g4,Mate
6k1/1Rp3p1/8/5p2/8/1P1PrNb1/1PP2p2/5K2 w - -,f1g2 e3f3 g2f3 f2f1q f3g3 f5f4 g3g4 f4f3 b7b4 f3f2,Mate
2kr1b1r/ppp2ppp/2n1pn2/3q4/3P2b1/2P1BN2/PP1N1PPP/R2QKB1R w KQ -,f1e2 h7h6 h2h3 g4f5 e1h1 g7g5 b2b4 g5g4 h3g4 f6g4,141
8/3rqk1p/pnbR1p2/1pp2p2/4P3/1P3PQ1/P1P3PP/3R2K1 w - -,e4f5 c5c4 g1f2 c4b3 a2b3 c6d5 d6d7 e7d7 g3h3 f7e8,171
