rnb1kb1r/ppp2ppp/5q2/3pN3/3Pn3/3B4/PPP2PPP/RNBQ1RK1 w kq -,c2c4 f8e7 f2f3 e4d6 b1c3 c7c6 c4d5 e8h8 g2g4 g7g6,377
rn1qkb1r/ppp2ppp/4pn2/3p4/3Pb2N/4P3/PPPN1PPP/R1BQKB1R w KQkq -,c2c3 f8d6 h4f3 e4g6 c3c4 c7c6 f1e2 b8d7 f3h4 g6e4,-19
rn2kb1r/ppp1pppp/5n2/q7/3P4/2N5/PPP1bPPP/R1BQK1NR w KQkq -,d1d2 e2a6 g1f3 e7e6 a2a3 a5f5 b2b4 f5g4 b4b5 g4g2,-896
r1bq1rk1/pp1p1ppp/2n1pn2/2b3B1/2P5/2N1P3/PP3PPP/R2QKBNR w KQ -,a2a3 c5e7 f1e2 h7h6 g5h4 d7d5 c4d5 f6d5 h4e7 d8e7,-4
rnbqkb1r/ppp2p1p/8/2npP1p1/5p2/1B1P1N2/PPP3PP/RNBQK2R w KQkq -,e1h1 b8c6 b1c3 c5b3 a2b3 c8g4 d3d4 f8e7 c3e2 d8d7,-289
r2qk1nr/pbppbppp/1pn1p3/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,d4d5 c6b8 f1e2 e7c5 e1h1 g8e7 e2d3 c5b4 d3c2 e7g6,247
r1bqk1nr/1pp2pp1/1pnp3p/4p3/4P3/3P1N2/PPP1BPPP/R1BQK2R w KQkq -,e1h1 g8f6 c2c3 e8h8 h2h3 b6b5 a2a3 f8e8 d1c2 b5b4,30
rnb1kb1r/pp2pppp/8/3qp3/3P4/8/PP3PPP/R1BQKBNR w KQkq -,c1e3 e5d4 e3d4 b8c6 d4e3 c8e6 d1d5 e6d5 g1e2 e7e5,-195
3q3k/4bQ2/4p2p/ppp1P3/8/2PP4/PP4PP/6K1 w - -,f7e6 e7g5 e6f5 d8d5 g2g3 g5e7 h2h4 a5a4 a2a3 h8g7,-87
r1bqkb1r/pp1ppppp/2n2n2/2p5/2B5/P2P1N2/1PP2PPP/RNBQK2R w KQkq -,e1h1 e7e6 c4b5 d8c7 f1e1 b7b6 b5c6 c7c6 f3e5 c6c7,-212
rnbqk2r/pp3ppp/3ppb2/2pP4/2P5/5N2/PP2PPPP/RN1QKB1R w KQkq -,d1d2 e6d5 c4d5 e8h8 e2e3 a7a6 a2a4 c8f5 b1c3 b8d7,-97
rn1qk1nr/ppp2ppp/3b4/5b2/8/5N2/PPPPP1PP/RNBQKB1R w KQkq -,b1c3 g8f6 d2d3 b8c6 e2e4 d8e7 f1e2 f5e6 e1h1 f6g4,153
rnb1k1nr/ppp2ppp/3q4/3p4/3Pp3/P1P5/1P2PPPP/RN1QKBNR w KQkq -,d1d2 g8f6 e2e3 c7c5 d4c5 d6c5 g1e2 b8c6 e2d4 c6e5,-46
2bq1r2/p4pp1/1p4k1/3pP1N1/3Q3P/8/Pn3PP1/4R1K1 w - -,e1e3 f7f6 e5e6 d8d6 e3g3 d6g3 f2g3 f6g5 d4d5 g5h4,580
rnbqk2r/pp4pp/3bpn2/3p1p2/3P4/P1N1PN2/1P3PPP/R1BQKB1R w KQkq -,f3e5 b8c6 f2f4 c8d7 f1e2 a8c8 c1d2 c6a5 e2h5 g7g6,12
r1bqkb1r/pp3ppp/2n2n2/2p1p3/8/5NP1/PPPP1PBP/RNBQK2R w KQkq -,b1c3 e5e4 f3g5 c8g4 f2f3 e4f3 g5f3 d8e7 c3e2 e7d7,-155
r2qk2r/ppp2ppp/2nb1n2/4p3/4P1b1/2P2N2/PP1NBPPP/R1BQK2R w KQkq -,e1h1 a7a5 e2b5 e8h8 f1e1 h7h6 h2h3 g4e6 a2a4 c6e7,58
r1bqkb1r/pp2pp1p/2np2p1/2p5/4P1n1/2NPBN2/PPPQ1PPP/R3KB1R w KQkq -,d3d4 c5d4 e3d4 f8h6 d2d3 c6d4 f3d4 c8d7 f1e2 g4e5,-112
rnbqk1nr/pp4pp/2pb1p2/3pp1B1/8/3P1NP1/PPP1PPBP/RN1QK2R w KQkq -,g5c1 c8g4 e1h1 g8e7 e2e4 e8h8 b1d2 a7a5 d3d4 a5a4,-78
r1bqk2r/1pp2ppp/p1np1n2/2b3B1/2BpP3/2P2N2/PP3PPP/RN1QK2R w KQkq -,g5h4 c8g4 c4e2 h7h6 c3d4 g4f3 d4c5 f3e2 d1e2 d6c5,-157
r1b1kb1r/2qp1ppp/p3pn2/1p6/2nNPP2/2N1B1Q1/PPP3PP/2KR1B1R w kq -,f1c4 c7c4 e4e5 f6d5 c3d5 c4d5 f4f5 d5a2 f5e6 d7e6,396
