rqb3nr/p4pkp/4p1p1/1NQ5/1P6/8/P1P2PPP/3RR1K1 w - -,d1d8 g8f6 d8h8 f6d7 c5c3 e6e5 h8e8 b8b5 e8e5 d7e5,504
r4rk1/2qnbppp/p1b1p3/3pP3/Np1B2PP/4QP2/PPP5/1K1R1B1R w - -,f1d3 c6a4 h4h5 e7c5 d4c5 c7c5 e3e2 a4b5 f3f4 b5d3,-327
rn2kb1r/p3qppp/5n2/1p1pp1B1/4P3/1QN5/PPP2PPP/R3K2R w KQkq -,a1d1 b8d7 c3d5 e7c5 e1h1 a8c8 g5f6 d7f6 b3g3 c5d6,-180
r1b1k2r/1p2pp2/p2p1n1b/2q1n3/3NP3/2N3P1/PPP1Q2P/R3KBBR w KQkq -,f1g2 c8g4 d4b3 c5c7 e2f1 b7b5 a2a3 a8c8 h2h3 g4e6,-89
rnbqk2r/pp2bppp/3p1n2/2p1p3/2B1P3/1PNP4/P1P2PPP/R1BQK1NR w KQkq -,g1e2 e8h8 e1h1 b8c6 f2f4 a7a6 a2a4 c8g4 h2h3 g4e2,39
r1bqk2r/1pp1bppp/p3pn2/3pB3/3P4/4P3/PPPN1PPP/R2QKB1R w KQkq -,f1e2 e8h8 e1h1 f6d7 e5g3 c7c5 d4c5 d7c5 c2c4 d5d4,23
r2qkbnr/pp2pppp/2n5/2pp4/3P4/1P2Pb2/PBP2PPP/RN1QKB1R w KQkq -,,0
r2qkb1r/pp2pppp/2n2n2/2pp4/3P4/1P2PQ2/PBP2PPP/RN2KB1R w KQkq -,d4c5 e7e6 b1d2 f8c5 f1b5 e8h8 e1h1 c5d6 b5c6 b7c6,8
r3r1k1/1bqnbp1p/pppp1np1/4p3/P2PP3/2N1BN1P/BPP2PP1/R2QR1K1 w - -,f3g5 e8f8 d4e5 d6e5 g5f3 f8e8 d1e2 b6b5 e1d1 a8d8,76
r1b1kb1r/ppppqp2/2n2npp/4p1N1/2B1P3/2NP4/PPP2PPP/R1BQK2R w KQkq -,c4f7 e8d8 f7c4 h6g5 c1g5 e7g7 c3d5 f8e7 d5e7 c6e7,-58
r2qkbnr/ppp2pp1/2n1p2p/3p3b/2PP1B2/4PN1P/PP3PP1/RN1QKB1R w KQkq -,c4d5 e6d5 b1c3 f8b4 f1e2 g8f6 d1b3 e8h8 e1h1 b4c3,86
6k1/pb3pbp/1p4p1/2p5/6N1/2P4P/PPQr2P1/4qBK1 w - -,b1d2 d5c4 f1c4 f8d6 f4d6 c7d6 d4d5 e6d5 c4d5 g8e7,Mate
rnb1kb1r/ppp1qppp/5n2/8/3p4/3p1N2/PPPN1PPP/R1BQR1K1 w kq -,f3d4 c8e6 d1f3 c7c5 d4e6 f7e6 f3h3 e7d7 d2c4 b8c6,-344
1r3rk1/1bq1bppp/pN2p3/2npP3/1p1B2PP/4QP2/PPP5/1K1R1B1R w - -,h4h5 c7b6 g4g5 b6c6 g5g6 h7h6 g6f7 f8f7 h1g1 g8h8,-260
r1b2rk1/ppqn1ppp/2pbpn2/8/3P4/2N2BN1/PPP2PPP/R1BQ1RK1 w - -,f1e1 a7a5 d1e2 a5a4 c1d2 e6e5 d4d5 c6d5 f3d5 f6d5,21
6k1/6pp/3q1p2/3rp3/P1Qb4/4B1P1/5P1P/3R2K1 w - -,e3d4 g8f8 a4a5 e5d4 a5a6 d6c5 c4c5 d5c5 d1a1 c5c8,465
rnbq1rk1/pp2bppp/3p1n2/2p1p3/2B1P3/1PNP4/P1P1NPPP/R1BQK2R w KQ -,e1h1 b8c6 f2f4 a7a6 a2a4 c8g4 h2h3 g4e2 d1e2 e5f4,37
6k1/6pp/3q1p2/3r4/P1Qp4/6P1/5P1P/3R2K1 w - -,d1d4 d6e6 d4d5 f6f5 d5d8 g8f7 d8d7 f7f6 c4d4 f6g6,1275
rr4k1/5pp1/5n1p/p2p1b2/2p2N2/Q3PB2/Pq3PPP/3R1RK1 w - -,a3b2 b8b2 f4d5 f6d5 d1d5 f5e6 d5c5 a8c8 c5c8 e6c8,-203
r1b1kb1r/pp3ppp/1qn1p3/2ppP3/3P4/2P1nN2/PP2BPPP/RN1Q1RK1 w kq -,d1e1 e3f1 e2f1 b6b2 b1d2 b2c3 f1b5 f8e7 d4c5 c3c5,-542
r1b2rk1/p1q3n1/1p1pp2p/n1p2p2/2PPPPp1/P1PB4/2Q1NBPP/3R1RK1 w - -,e2g3 c7f7 f1e1 c8a6 c2a4 a6c8 e4e5 c8d7 a4c2 f7e8,74
r2qkbnr/pp1npppp/8/3p1bB1/3P4/5N2/PP2PPPP/RN1QKB1R w KQkq -,b1c3 g8f6 a1c1 e7e6 f3h4 f5e4 f2f3 e4g6 h4g6 h7g6,30
rn1qkbnr/2pppppp/p7/8/1p1PbP2/8/PPP1N1PP/R1BQKBNR w KQkq -,a2a3 e7e6 e2g3 e4b7 g1f3 c7c5 f1d3 g8f6 f4f5 c5d4,-104
rnbq1rk1/1p2bppp/p3pn2/2pp4/P2P1B2/3BPN2/1PPN1PPP/R2QK2R w KQ -,d4c5 e7c5 e1h1 b8c6 c2c3 c5d6 f4g5 d6e7 f1e1 h7h6,8
