r1br2k1/pp3pp1/5b1p/q7/1n6/2N1PN2/PPQ1BPPP/R3K2R w KQ -,c2d1 d8d1 a1d1 b4c2 e1f1 c8e6 h2h4 a8d8 d1d8 a5d8,-529
r2qk1nr/ppp1ppbp/2np2p1/8/2PPP1b1/2N1BN2/PP3PPP/R2QKB1R w KQkq -,f1e2 e7e5 d4e5 d6e5 d1b3 g4f3 e2f3 g8e7 b3b7 e8h8,73
rnbqk2r/ppp1ppbp/5np1/8/4p3/2NP1N2/PPP1BPPP/R1BQK2R w KQkq -,f3d2 e4d3 e2d3 b8c6 d2f3 e8h8 e1h1 c6b4 c1f4 c7c6,-157
q2rk3/4bp2/2b1p2r/p1p1P2p/P2p2pP/1P1N2PQ/2PN1P1K/R4R2 w - -,f2f3 g4h3 h2h3 e8f8 h3h2 c6d5 f1f2 a8a6 d3f4 d5b7,-1038
r1bqk1nr/pp1pppbp/2n3p1/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq -,d1e2 g8f6 e1h1 d7d5 e4d5 f6d5 f1d1 d5b6 c4b3 c8f5,-119
r1bqk2r/p1p2pbp/1np3p1/4p3/2PP4/4B3/PP2BPPP/RN1QK2R w KQkq -,e3d2 e5d4 d2b4 a8b8 e1h1 b6c4 f1e1 b8b4 e2c4 e8f8,-146
r1bqk1nr/pp1p1pbp/2n1p1p1/6N1/2BpP3/8/PPP2PPP/RNBQK2R w KQkq -,c4b3 g8f6 c2c3 h7h6 g5f3 f6e4 c3d4 e8h8 e1h1 d7d5,-167
3r2k1/1p3p1p/2rNp1p1/p1P1P2n/P2R4/1P3P2/6PP/1R5K w - -,b3b4 g8f8 g2g4 h5g7 b4a5 g7e8 b1b7 c6c5 a5a6 c5e5,398
r2qk2r/pbpp1ppp/1pn1pn2/6B1/2PP4/2P2NP1/P3PP1P/R2QKB1R w KQkq -,f1g2 c6a5 c4c5 h7h6 g5f6 d8f6 d1a4 b7c6 a4b4 e8h8,-31
r3k2r/ppp1qppp/2pb1n2/4p3/4P1b1/3P1N2/PPPN1PPP/R1BQ1RK1 w kq -,d2c4 f6d7 h2h3 g4h5 c4e3 f7f6 e3f5 e7f7 c1e3 a7a5,25
r1bqk1nr/ppp2ppp/2np4/2b5/3NPB2/2P5/PP3PPP/RN1QKB1R w KQkq -,d4c6 b7c6 b1d2 g8e7 b2b4 c5b6 a2a4 e7g6 f4g3 a7a5,22
2r2bk1/p2n1pp1/1r5p/8/qppNP1PB/2P4P/P2QRP2/4R1K1 w - -,d2d1 b4b3 e2d2 d7c5 d4f5 b3b2 d1a4 c5a4 e1b1 a4c3,-261
r2qkb1r/ppp2ppp/3p1n2/4p3/2n1PPb1/2NP1N2/PPP3PP/R1BQ1RK1 w kq -,d3c4 e5f4 c1f4 f8e7 d1d3 e8h8 f3d4 f8e8 h2h3 g4h5,24
r1bqkb1r/1p1p1ppp/p1n1pn2/1B6/Q3P3/2N2N2/PP3PPP/R1B1K2R w KQkq -,e4e5 f6d5 c3d5 e6d5 e1h1 d8b6 b5d3 d7d6 e5d6 f8d6,46
r1bqk2r/pppp1ppp/5n2/3P4/3pP3/8/PP3PPP/RNBQKB1R w KQkq -,d1d4 e8h8 b1c3 c7c5 d4c5 b7b5 c5d4 b5b4 d4b4 d7d6,537
rnbqkb1r/pp3ppp/4pn2/3p4/3p4/2PBP3/PPQ2PPP/RNB1K1NR w KQkq -,e3d4 f8d6 g1f3 b8c6 e1h1 h7h6 f1e1 e8h8 h2h3 f6d7,9
r2qr1k1/b1p2pp1/2np1n1p/1Q6/1P2P3/2p2N1P/1B1N1PP1/R3R1K1 w - -,b5c6 c3b2 a1b1 f6h5 b1b2 h5f4 c6c3 d6d5 e4e5 e8e6,-139
r2qk2r/ppp2ppp/2pb1n2/4p3/4P3/3P1b2/PPPN1PPP/R1BQ1RK1 w kq -,d1f3 e8h8 d2c4 f6d7 c1e3 a7a5 a2a4 d7b6 c4d6 c7d6,56
1k6/7R/K7/1P6/8/8/8/1r6 w - -,a6b6 b8c8 h7h8 c8d7 h8b8 d7d6 b8d8 d6e5 b6a6 b1h1,525
r1bqk2r/p1pp1ppp/1np5/4P3/1bP5/1P6/P4PPP/RNBQKB1R w KQkq -,d1d2 b4d2 b1d2 e8h8 f1d3 f8e8 d2f3 d7d6 d3e4 c8b7,-538
r3r1k1/1bqnbppp/pp1ppn2/8/2PNP3/1PN1Q1P1/PB3PBP/R2R2K1 w - -,h2h3 e7f8 d1e1 a8c8 a1d1 b7a8 e1e2 h7h6 g1h2 d7e5,36
rnbqk2r/1pp3p1/p2bpn1p/3pNp2/3P1B2/3BP3/PPPN1PPP/R2QK2R w KQkq -,e5g6 h8g8 c2c4 b8c6 e1h1 e8f7 g6e5 d6e5 d4e5 d5c4,129
