r1bqk1nr/pppp2pp/2n5/1BP2P2/8/2P5/PP3PpP/RNBQK2R w KQkq -,h1f1 g2f1r b5f1 g8f6 d1e2 c6e7 c1g5 e8h8 b1d2 d7d5,-700
rnbq1rk1/ppp1ppbp/6p1/8/3Pp3/3B1N1P/PPP2PP1/R1BQK2R w KQ -,c1f4 e4d3 d1d3 c7c5 d4d5 e7e5 f4g5 e5e4 d3e4 c8f5,-869
r1bqkb1r/pp4pp/2n2n2/3ppp2/8/2N1P1P1/PP1PNPBP/R1BQK2R w KQkq -,d2d3 c8e6 e1h1 d8d7 a2a3 h7h5 h2h4 f8d6 c3b5 d6b8,-83
rnbqk1nr/pp3ppp/2pb4/3N4/3P4/8/PPP2PPP/R1BQKBNR w KQkq -,d5e3 g8f6 g1f3 e8h8 f1d3 c6c5 d4d5 b8d7 e1h1 f8e8,136
r2qkb1r/ppp1pppp/1nn5/8/2BP2b1/2N2N2/PPP2PPP/R1BQK2R w KQkq -,c4f7 e8f7 f3g5 f7g8 d1g4 c6d4 g4e4 e7e5 c1e3 h7h6,237
r2qkbnr/pppn1ppp/4p3/3P4/Q1p1P1b1/2N2N2/PP3PPP/R1B1KB1R w KQkq -,f3e5 g8f6 c1g5 f8e7 g5f6 e7f6 e5g4 f6c3 b2c3 e6d5,308
rn1qkb1r/ppp2ppp/5n2/3pp3/6b1/1P2PQ2/PBPP1PPP/RN2KBNR w KQkq -,f1e2 g4f3 g1f3 e5e4 f3e5 f8d6 e1h1 e8h8 f2f4 e4f3,-807
r1bqkb1r/pppn1ppp/4pn2/2Pp4/3P4/5N2/PP2PPPP/RNBQKB1R w KQkq -,c1g5 b7b6 c5c6 d7b8 b1d2 b8c6 f3e5 c8d7 e5d7 d8d7,-23
8/6k1/4B3/8/8/4K2Q/8/8 w - -,c1g5 b7b6 c5c6 d7b8 b1d2 b8c6 f3e5 c8d7 e5d7 d8d7,Mate
8/8/4Bk2/7Q/8/4K3/8/8 w - -,c1g5 b7b6 c5c6 d7b8 b1d2 b8c6 f3e5 c8d7 e5d7 d8d7,Mate
r1bqkb1r/pppnnppp/3pp3/8/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 e7g6 d3d4 f8e7 c4d3 c7c5 c2c3 e8h8 f1e1 b7b6,65
rnbqk2r/ppp1ppbp/1n4p1/8/2QP4/2N2NP1/PP2PP1P/R1B1KB1R w KQkq -,c4b4 b8c6 b4a3 c6d4 f3d4 d8d4 f1g2 d4d6 a3a5 c7c6,-155
rnbqk1nr/pp3ppp/4p3/2pp4/1b1PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,e4d5 e6d5 d4c5 b8c6 f1b5 g8f6 d1d4 d8a5 b5c6 b7c6,90
rn2kb1r/pp3ppp/2p1pn2/q7/3P2b1/2N2N2/PPP1BPPP/R1BQK2R w KQkq -,h2h3 g4h5 f3e5 h5e2 d1e2 b8d7 e1h1 f8b4 e5d7 f6d7,37
8/8/1k6/8/4BK2/Q7/8/8 w - -,c1f4 f8a3 d1b1 a3e7 h2h3 g4h5 e1h1 b8d7 a2a3 e8h8,Mate
8/8/8/2k5/4BK2/1Q6/8/8 w - -,c1f4 f8a3 d1b1 a3e7 h2h3 g4h5 e1h1 b8d7 a2a3 e8h8,Mate
8/8/8/8/3QBK2/1k6/8/8 w - -,c1f4 f8a3 d1b1 a3e7 h2h3 g4h5 e1h1 b8d7 a2a3 e8h8,Mate
8/8/3K4/6k1/2B5/1N6/8/8 w - -,d6e6 g5h6 e6f6 h6h7 b3d4 h7h6 d4c2 h6h5 c2a1 h5g4,5031
rn2kbnr/pp1b1ppp/8/4p3/2BNP3/8/PP3PPP/RNB1K2R w KQkq -,d4b5 d7b5 c4b5 b8d7 b1c3 f8c5 e1e2 g8e7 h1d1 e8a8,74
rnbqk1nr/ppp1bppp/3p4/8/2BPPp2/8/PPP3PP/RNBQK1NR w KQkq -,c1f4 g8f6 b1c3 e8h8 d1e2 c7c6 g1f3 b8a6 c4a6 b7a6,62
rnb1kb1r/ppq2ppp/4pn2/2p1N3/2B5/2N5/PPPP1PPP/R1BQK2R w KQkq -,d2d4 a7a6 e5g4 f6g4 d1g4 c5d4 g4d4 b8c6 d4h4 b7b5,-64
r1b1kb1r/ppppqppp/2n2n2/8/4PB2/2N2N2/PPP2PPP/R2QKB1R w KQkq -,f1b5 a7a6 b5a4 d7d6 e1h1 c8d7 f1e1 c6e5 c3d5 f6d5,303
8/8/5kB1/2Q5/4K3/8/8/8 w - -,f1e2 d7d6 e1h1 g7g6 e2b5 f8g7 b5c6 b7c6 e4e5 d6e5,Mate
rnbqkb1r/pp1p2pp/4p3/2pnP3/8/8/PPP2PPP/RNBQKBNR w KQkq -,f1d3 g7g6 g1f3 b7b5 d3e4 c8b7 c1g5 f8e7 g5h6 c5c4,215
r1bqkb1r/pp2pp1p/2p2np1/2p5/4P3/5N1P/PPPP1PP1/RNBQK2R w KQkq -,e1h1 f6e4 f1e1 e4d6 d2d4 d6b5 d4c5 d8d1 e1d1 f8g7,-90
rn1qk2r/pbpp1ppp/1p2pn2/8/2P5/2P2NP1/P2PPPBP/R1BQK2R w KQkq -,d2d3 c7c5 e1h1 d7d6 e2e4 b8c6 f1e1 h7h6 a1b1 d8c7,47
rnb1kb1r/ppp2ppp/8/3q4/5p2/3P4/PPP3PP/R1BQKBNR w KQkq -,g1e2 g7g5 e2c3 d5e6 f1e2 f8g7 c3e4 h7h6 c2c3 b8d7,-193
rnb1k2r/ppp2ppp/3b4/3q4/5B2/3P4/PPP3PP/R2QKBNR w KQkq -,d1c1 e8h8 f4d6 d5d6 f1e2 f8e8 c1d2 b8c6 g1f3 c8g4,-184
8/3K4/k6r/8/4Q3/8/8/8 w - -,d1c1 e8h8 f4d6 d5d6 f1e2 f8e8 c1d2 b8c6 g1f3 c8g4,Mate
8/2K5/7r/k7/4Q3/8/8/8 w - -,d1c1 e8h8 f4d6 d5d6 f1e2 f8e8 c1d2 b8c6 g1f3 c8g4,Mate
r1bqkb1r/1p3pp1/p1n1pn1p/2pp4/P2P1B2/2P1PN2/1P1N1PPP/R2QKB1R w KQkq -,f1d3 f8d6 f4g3 d6g3 h2g3 d8b6 d1c2 e8h8 a4a5 b6a7,50
r1bqkb1r/pp3ppp/2n1p3/3pPn2/3p2Q1/3B1N2/PPP2PPP/RNB2RK1 w kq -,f1d1 d8b6 b1d2 f5e3 f2e3 d4e3 g1h1 e3d2 c1d2 h7h6,-37
rnbqkbnr/ppp1p1pp/5p2/8/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -,f1c4 e7e6 d1h5 g7g6 h5e2 b8c6 g1f3 f8b4 e1h1 b4c3,292
8/2K5/7r/8/5Q2/2k5/8/8 w - -,a2a3 e7e6 f1c4 g8e7 g1f3 e7d5 e1h1 f8e7 f1e1 b8c6,Mate
8/2K5/8/8/5Q2/8/2k5/8 w - -,a2a3 e7e6 f1c4 g8e7 g1f3 e7d5 e1h1 f8e7 f1e1 b8c6,Mate
rnbq1rk1/ppp1npbp/3p2p1/8/3NP3/2N1B3/PPPQ1PPP/R3KB1R w KQ -,e1a1 b8c6 f2f3 d6d5 d4c6 b7c6 e3h6 c8e6 h6g7 g8g7,237
r1bq1rk1/1ppp2pp/2n2n2/p1b1pp2/2P5/P1N1P1P1/1P1PNPBP/R1BQK2R w KQ -,d2d4 c5a7 c3d5 d7d6 e1h1 e5e4 d5f6 d8f6 c1d2 c6e7,112
r1bqkb1r/pp3ppp/2nppn2/2p3B1/2B1P3/P2P4/1PP2PPP/RN1QK1NR w KQkq -,g1e2 f8e7 c4a2 b7b5 e1h1 e8h8 b1d2 c8b7 f1e1 h7h6,-62
rn1q1rk1/pbp1bppp/1p2p3/3n4/8/2N2NP1/PP1PPPBP/R1BQR1K1 w - -,e2e4 d5c3 b2c3 c7c5 d2d4 c5d4 c3d4 b8d7 c1b2 a8c8,40
8/8/8/2k5/2N5/3K4/7B/8 w - -,h2g1 c5b4 g1d4 b4a4 c4e3 a4b5 d3e4 b5a5 d4c3 a5a6,15414
r1bqkb1r/pp1npp1p/2p3p1/3n4/3P4/3B1N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 f8g7 f1e1 e8h8 d3f1 c6c5 c2c4 d5f6 d4d5 b7b5,79
rn1qkbnr/pp3ppp/2p1p3/3p1b2/8/4PN2/PPPPBPPP/RNBQ1RK1 w kq -,a2a3 h7h6 b2b4 g8f6 c1b2 f8e7 c2c4 d5c4 e2c4 b7b5,-11
8/8/4N2k/5K2/8/8/8/4B3 w - -,a2a3 h7h6 b2b4 g8f6 c1b2 f8e7 c2c4 d5c4 e2c4 b7b5,Mate
8/8/6K1/3k4/4nQ2/8/8/8 w - -,a2a3 h7h6 b2b4 g8f6 c1b2 f8e7 c2c4 d5c4 e2c4 b7b5,Mate
