3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
4k3/p1R2p1p/1p1Q2pP/3b1q2/3P4/8/5PP1/4rBK1 w - -,d6b4 e1f1 g1f1 f5d3 f1e1 d3e4 e1d1 e4d3 b4d2 d3b1,392
r3kb1r/pp2pppp/1n1p4/3P1q2/1nP5/2N2N2/PP3PPP/R1BQK2R w KQkq -,e1h1 f5d3 b2b3 d3c3 c1d2 c3d3 d2b4 d3d1 a1d1 a7a5,120
r4rk1/1n3pbp/p5p1/1p1p4/1P1Bq3/3Q3P/P1P1N1P1/R4RK1 w - -,d4g7 g8g7 e2f4 b7d6 f4d5 a8c8 f1e1 e4d3 c2d3 c8c2,-33
rn1q1rk1/pbp1bppp/1p6/3p4/3P1N2/P3P3/1P1B1PPP/R2QKB1R w KQ -,f1d3 b8d7 b2b4 d7f6 e1h1 f8e8 a3a4 e7d6 a1c1 f6e4,25
4r3/1P6/3k4/3p4/1Rp3P1/2P5/3K4/8 w - -,f1e2 e7d6 b2b4 b8d7 e1h1 d7f6 a3a4 d8e7 a4a5 a8e8,Mate
rnbqkb1r/3n1p2/p5p1/1p2pN2/3pP2p/2PB1P2/PP4PP/RNBQ1RK1 w kq -,h2h3 d7c5 c3d4 c5d3 b1c3 g6f5 d1d3 d8d4 d3d4 e5d4,-262
8/5ppk/5Pb1/p3P2p/4r3/p4RB1/6P1/7K w - -,f3f2 e4a4 f2a2 g6f5 f6g7 f5e6 a2a1 h7g7 h1g1 a3a2,-493
r3k2r/1q2bp2/p1p1p3/1p1bP2p/PP1P2p1/3BB3/4QPPP/RR4K1 w kq -,e3d2 e8d7 a1a3 h5h4 d3e4 h4h3 e4d5 c6d5 b1a1 h8g8,64
8/8/6b1/8/8/8/5Q2/3k1K2 w - -,e2d1 e8d7 d3e2 h8b8 d1c2 b8h8 e3d2 b7b6 c2c3 b6b7,Mate
8/R7/6pk/4K2p/1r6/1N6/8/8 w - -,b3d2 h6g5 d2e4 g5g4 e4f6 g4h4 f6e4 b4b8 a7a4 h4g4,-12
