3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
2r2rk1/p3qppp/1N2p3/8/QP1R4/2P5/P4PPP/3R2K1 w - -,b6c8 f8c8 a4a7 e7f8 b4b5 h7h5 b5b6 g8h7 b6b7 c8b8,830
r1b2rk1/ppq2ppp/2pbp3/3p4/2PPn3/2N1P2P/PP1NBPP1/R2Q1RK1 w - -,c3e4 d5e4 d2e4 d6e7 e4c3 e6e5 d4d5 c8f5 e3e4 f5g6,120
4r2r/pp1k1p1p/4bp2/1Nbp4/8/2P2N1P/PP3PP1/R3K2R w KQ -,e1h1 h8g8 g1h2 c5b6 a1d1 a7a6 b5d4 d7c8 f1e1 e6d7,58
8/2p4p/2k3p1/p3B3/2p2PPK/P1P1R2P/3r4/1b6 w - -,e5d4 d2a2 e3e5 a2a3 h4g5 a3a2 g5f6 a5a4 e5c5 c6d6,70
rnbqkb1r/ppp2pp1/3p1n1p/8/8/2N2N1P/PPPP1PP1/R1BQKB1R w KQkq -,d2d4 f8e7 f1d3 e8h8 e1h1 f8e8 f1e1 e7f8 e1e8 d8e8,56
8/8/8/8/8/8/k1bQK3/8 w - -,d2d4 f8e7 f1d3 e8h8 e1h1 f8e8 f1e1 e7f8 e1e8 d8e8,Mate
r1bqkb1r/pp3p1p/2n2pp1/3p4/3P4/1P4P1/P1P2P1P/RN1QKBNR w KQkq -,c2c3 h7h5 d1e2 c6e7 g1f3 f8h6 f1g2 e8h8 e1h1 e7f5,-102
r2qk1nr/1p2ppbp/p1np2p1/8/3PP3/5P2/PP3P1P/RNBQRBK1 w kq -,d4d5 c6b8 a2a4 g8f6 a4a5 e8h8 b1d2 b8d7 d2c4 f6h5,96
rn1q1rk1/pbp1bppp/1p6/3p4/3P4/P1N1P3/1P1B1PPP/R2QKB1R w KQ -,d1f3 c7c5 d4c5 e7f6 c5b6 b8d7 b6a7 a8a7 f3g3 d7c5,18
8/2p4p/2k3p1/p3B1K1/2p2PP1/P1P1R2P/r7/1b6 w - -,f4f5 g6f5 g4f5 h7h6 g5g4 a2a3 e3f3 b1e4 f3f1 e4d5,67
8/p2k2p1/3p4/2r1ppp1/4n3/1P6/P1R2PPP/2R2K2 w - -,f2f3 c5c2 c1c2 e4c5 c2c4 a7a6 g2g3 c5e6 c4a4 e6c7,218
r5k1/1b3ppp/p4r2/1pp5/4P3/2N2P2/PPP2KPP/R2R4 w - -,a2a4 b5b4 c3d5 f6h6 d1d2 g8f8 a1d1 b7c6 d5b6 a8e8,326
r1b1k2r/p3pp1p/3p1np1/q1pP4/Np2PP1Q/1P2n3/P1P3PP/R3KBNR w KQkq -,h4f2 e3f1 f2f1 f6e4 a4b2 e4c3 b2c4 a5a6 f1f2 c3d5,-266
r4rk1/1bq1bppp/pp2p3/2n1P3/P2Nn3/2N1BBQ1/1PP3PP/R4RK1 w - -,g3h3 c7e5 c3e4 c5e4 c2c3 a8d8 a1e1 f7f5 f3e4 b7e4,-171
rnb3k1/pp1q1p1p/2p2ppQ/8/4r1P1/5P2/PPP1N3/R3KB1R w KQ -,f3e4 d7g4 h6h7 g8f8 e1a1 g4g5 c1b1 b8d7 f1h3 g5h5,710
8/5p2/3p1kp1/3P4/1r3Pp1/3R1K1P/8/8 w - -,f3e2 b4e4 e2d2 g4h3 d3h3 e4f4 h3a3 f6e5 a3a8 g6g5,-619
8/8/8/8/8/1k2K3/2bQ4/8 w - -,f3g2 g4h3 d3h3 b4f4 h3e3 f4f5 e3a3 f5d5 a3a7 g6g5,Mate
8/6kP/8/8/4B2K/8/8/8 w - -,e4d3 g7h8 h4g4 h8g7 d3g6 g7h8 g4f4 h8g7 g6f5 g7h8,14
8/1k3p1P/1P2pP2/K2pP3/3P4/8/6p1/8 w - -,a5b4 g2g1q h7h8q g1d4 b4a3 d4c5 a3b3 c5b6 b3c2 b6c5,-361
r3q1k1/1ppb3p/p2p4/3N4/4n1pP/3Q2P1/PPP3N1/R5K1 w - -,a1e1 d7f5 d5f6 e4f6 e1e8 a8e8 d3f5 g8f7 h4h5 c7c5,482
rnb3k1/pp3p1p/2p2ppQ/8/4P1q1/8/PPP1N3/R3KB1R w KQ -,h6h7 g8f8 e1a1 g4g5 c1b1 b8d7 f1h3 g5h5 h7h5 g6h5,730
8/2p5/2k4p/p3BPK1/2p5/P1P1R2P/r7/1b6 w - -,g5g4 a2a3 e3f3 b1e4 f3f2 e4d5 g4h5 a3a1 f5f6 d5f7,71
r2qk1nr/1p2ppbp/p2p2p1/3P4/3nP3/5P2/PP3P1P/RNBQRBK1 w kq -,b1a3 b7b5 f3f4 e7e5 f4e5 d6e5 a3c2 d4c2 d1c2 a8c8,102
7Q/1k3p2/1P2pP2/K2pP3/3P4/8/8/6q1 w - -,,0
rn1q1rk1/pb2bppp/1p6/2pp4/3P4/P1N1P1P1/1P1B1P1P/R2QKB1R w KQ -,d1a4 b7c6 a4c2 f8e8 f1d3 g7g6 e1h1 b8d7 d3b5 c6b5,-35
rnbqkb1r/ppp2pp1/5n1p/3p4/3P4/2N2N1P/PPP2PP1/R1BQKB1R w KQkq -,f1d3 f8b4 e1h1 e8h8 f1e1 b8d7 a2a3 b4c3 b2c3 f8e8,56
8/5p2/3p1k2/3P2p1/1r3PP1/3R1K2/8/8 w - -,f3g2 b4f4 g2g3 f6e5 d3d2 f7f6 d2d3 e5e4 d3d1 f4f3,-490
6k1/5p2/pp2b2p/2B3p1/2p5/PrP2R1P/5PPK/8 w - -,c5d4 b6b5 d4c5 f7f5 f3e3 g8f7 c5b4 b3b2 f2f3 f7f6,-82
1k4r1/pPq2p2/4p2p/2P1n1r1/5p2/P2B3P/4QPP1/R3R1K1 w - -,d3e4 f7f5 e4f3 e5f3 e2f3 e6e5 f3d5 g5g2 g1h1 e5e4,-46
rnb2k2/pp3p1Q/2p2pp1/8/4P1q1/8/PPP1N3/R3KB1R w KQ -,e1a1 g4g5 c1b1 b8d7 f1h3 g5h5 h7h5 g6h5 h3d7 c8d7,743
3r2k1/Bp3ppp/4p3/8/2n5/2P2PPb/PP5P/RB4K1 w - -,,0
rbbqk2r/pp1p1ppp/7n/2p1p1N1/2BnP3/8/PPP2PPP/RNBQ1RK1 w kq -,b1c3 d7d6 a2a4 e8h8 c3d5 c8g4 f2f3 g4d7 f3f4 e5f4,96
4r2r/pp1k1p1p/4bp2/1N1p4/8/2P2N1P/PP3bP1/2KR3R w - -,a2a4 h8g8 g2g4 h7h5 g4h5 g8h8 d1d3 h8h5 f3d4,-142
2rr2k1/4bp1p/p2p2p1/4p3/2q1P3/2NQ4/P4PPP/2R2RK1 w - -,d3c4 c8c4 c3d5 c4c1 d5e7 g8f8 e7g6 h7g6 f1c1 d6d5,-7
4k3/8/R7/6B1/4BK2/2P5/P1P3PP/8 w - -,d3c4 c8c4 c3d5 c4c1 d5e7 g8f8 e7g6 h7g6 f1c1 d6d5,Mate
7k/7P/8/5B2/7K/8/8/8 w - -,f5g6 h8g7 h4g3 g7h8 g3f2 h8g7 f2e2 g7h8 g6f5 h8g7,14
4k3/p1R2p1p/1p4pP/3b4/1Q1P4/8/5PP1/1q2rBK1 w - -,c7e7 e1e7 b4b1 f7f5 b1c1 a7a6 c1c8 e8f7 f2f4 d5a2,657
8/5Q2/p2kp1r1/3n4/7P/8/PP2q3/K3R3 w - -,f7f8 d6d7 e1b1 g6f6 f8g7 d7d6 g7g3 f6f4 a2a3 d6d7,-207
r1b1k2r/p3pp1p/3p1np1/q1pP4/Np2PP2/1P6/P1P2QPP/R3KnNR w KQkq -,f2f1 f6e4 a4b2 e4c3 b2c4 a5a6 g1e2 c3d5 f1f2 d5b6,-246
8/6kP/6B1/8/7K/8/8/8 w - -,g6e4 g7h8 h4g3 h8g7 e4f5 g7h8 g3f4 h8g7 f4e3 g7h8,14
r1b1k2r/2qnbpp1/2n1p2p/pQ1pP3/Pp1P4/1Pp1BN1P/N1P1BPP1/R4RK1 w kq -,a2c1 c8a6 b5a6 a8a6 e2a6 f7f5 e5f6 g7f6 c1e2 e7d6,-161
r1bqkb1r/3n1p2/p1n5/1p2pP2/3P3p/3B1P2/PP4PP/RNBQ1RK1 w kq -,a2a4 c6d4 d3e4 a8b8 a4b5 f8c5 g1h1 a6b5 c1e3 d4f5,-246
r1bq1rk1/ppp2pb1/n3pnpp/3p2B1/2PP4/2N2NP1/PP2PPBP/R2Q1RK1 w - -,g5f4 d8e7 f4e5 f8d8 d1b3 c7c6 c4c5 b7b6 c5b6 a7b6,61
rn1q1rk1/pb2bppp/1p6/3p4/3p4/P1N1P1P1/1P1B1PBP/R2QK2R w KQ -,c3b1 d4e3 d2e3 d8d7 e1h1 f8d8 f1e1 b8c6 e3f4 d5d4,-155
r5k1/5ppp/p1r5/2pR4/Pp2P3/5P2/1PP2KPP/R7 w - -,a1d1 g7g6 h2h4 a8e8 g2g4 g8f8 c2c4 b4c3 b2c3 e8b8,386
r1b1k2r/p3pp1p/3p2p1/q1pP4/Np2nP2/1P6/P1P3PP/R3KQNR w KQkq -,a4b2 e4c3 b2c4 a5c7 c4e3 e8h8 f1d3 e7e6 g1e2 c3d5,-242
rnbqk2r/1p3ppp/p2bpn2/2p1N1B1/8/2NP4/PPP2PPP/R2QKB1R w KQkq -,d3d4 e8h8 d1d3 d6e7 d4c5 d8c7 e5c4 b8d7 d3g3 c7g3,7
6k1/Bp3ppp/4p3/8/2n1B3/2P2PPb/PP1r3P/R5K1 w - -,,0
8/4Pk1p/2r3p1/8/8/5N2/2B2P1P/b5K1 w - -,,0
8/2p5/2k5/p3BP1p/2p3K1/P1P1R2P/r7/1b6 w - -,g4g5 a2g2 e3g3 g2e2 e5f4 c6d7 g5f6 e2f2 g3g7 d7c6,182
6k1/1p6/p3b2p/2B2pp1/2p5/PrP2R1P/5PPK/8 w - -,f3e3 g8f7 c5b4 b7b6 a3a4 a6a5 b4f8 f5f4 e3e1 f7f8,-176
3r2k1/4bp1p/p2p2p1/3Np3/4P3/8/P4PPP/2r2RK1 w - -,d5e7 g8f8 e7g6 h7g6 f1c1 d6d5 e4d5 d8d5 h2h4 d5a5,-10
r1bk1b1r/ppp1q1pp/3p4/4p3/1n1n4/1B1P3N/PPP2PPP/RNBQ1RK1 w - -,c1g5 d4b3 g5e7 f8e7 a2b3 c8h3 g2h3 h8f8 b1c3 d6d5,524
2r2rk1/p4pBn/1p2p3/6q1/7b/P1N2P2/1Pn2P1P/R3R1QK w - -,g7h6 c2e1 h6g5 e1f3 g5h4 f3g1 a1g1 g8h8 g1d1 c8c4,-261
4r2r/1p1k1p1p/p3bp2/1N1p4/3N4/2P4P/PP3bP1/2KR3R w - -,b5a3 e8g8 g2g4 h7h5 g4h5 h8h5 a3c2 f2g3 d4e2 g3d6,-175
r1b1kbnr/pppp3p/2n2qp1/4pP2/6P1/5Q2/PPPP1P1P/RNB1KBNR w KQkq -,g1e2 h7h5 g4g5 f6g5 f1h3 d7d5 d2d3 g5f6 b1c3 g8e7,-39
1r3rk1/4pp1p/3p2p1/4b3/q7/5Q2/PP3PPP/R1B2RK1 w - -,h2h3 e5b2 c1b2 b8b2 f1e1 e7e6 e1e4 a4a5 a2a4 d6d5,-141
3r1k2/4Np1p/p2p2p1/4p3/4P3/8/P4PPP/2r2RK1 w - -,e7g6 h7g6 f1c1 d6d5 e4d5 d8d5 h2h4 d5a5 f2f3 a5a2,-6
2r1r1k1/p2Nqppp/4p3/8/QP1R4/2P5/P4PPP/3R2K1 w - -,d4d3 f7f5 d7c5 e6e5 d3d7 e7f6 a4b3 g8h8 b3f7 f6f7,581
8/5Q2/p2kp1r1/3n4/7P/8/PP6/1K2q3 w - -,g2g3 e7g5 d7c5 e6e5 d4d5 g5g6 a4d7 g6h5 h2h3 f7f5,Mate
8/6R1/6p1/4K1k1/1r1N3p/8/8/8 w - -,d4f3 g5h6 g7g8 b4b5 e5f4 h6h7 g8a8 h7g7 a8a6 b5b4,-9
7k/7P/8/8/8/6K1/8/1B6 w - -,b1e4 h8g7 g3f2 g7h8 f2e3 h8g7 e3d4 g7h8 e4b1 h8g7,14
r1bq1rk1/ppppbpp1/2n2n1p/3Bp3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w - -,d5c6 b7c6 f3e5 f8e8 b1c3 e7b4 c1f4 c8b7 d1f3 d7d5,89
6k1/BB3ppp/4p3/8/2n5/2P2PPb/PP4rP/R5K1 w - -,,0
r1b1r1k1/ppqn1pp1/2pb1p2/8/3P3p/2PB2NP/PPQ2PP1/R1B2RK1 w - -,g3f5 d7f8 f5h4 c6c5 c1e3 c5d4 e3d4 c8d7 f1e1 d6h2,86
8/2p5/2k5/p4PKp/2p1bB2/P1P3RP/5r2/8 w - -,f5f6 e4d5 g3e3 a5a4 e3e7 f2f3 e7c7 c6b6 c7d7 d5g8,295
r5k1/1r3pp1/2n2qp1/3p4/5P2/PN5P/1P1QR3/1K1R4 w - -,b3c5 b7b5 c5d7 f6d6 d2d3 b5b7 d7e5 c6e7 b1a2 a8a4,-39
7Q/6K1/8/2kb4/8/8/pp6/3Q4 w - -,b3c5 b7b5 c5d7 f6d6 d2d3 b5b7 d7e5 c6e7 b1a2 a8a4,Mate
r3k2r/2qnbpp1/b1n1p2p/pQ1pP3/Pp1P4/1Pp1BN1P/2P1BPP1/R1N2RK1 w kq -,c1d3 a6b5 a4b5 c6a7 d3c5 c7b6 c5d7 e8d7 a1a2 a7b5,-525
3r1k2/5p2/p2p2p1/4p3/4P3/8/P4PPP/2r2RK1 w - -,f1c1 d6d5 e4d5 d8d5 h2h4 d5a5 f2f3 a5a2 c1c5 e5e4,-6
8/4k1pK/7p/7P/8/8/8/8 w - -,,0
rnb1kbnr/pppp3p/5qp1/4pP2/8/5Q2/PPPP1PPP/RNB1KBNR w KQkq -,b1c3 b8c6 c3d5 f6d6 f5g6 h7g6 c2c3 f8g7 f1c4 c6d8,88
8/6R1/6pk/4K3/1r5p/5N2/8/8 w - -,,0
r5k1/5pp1/p1r4p/2pR4/Pp2P3/5P2/1PP2KPP/3R4 w - -,h2h4 g7g6 f2e3 a8a7 d5d6 a7c7 c2c4 b4c3 b2c3 h6h5,403
2kr3r/1q2bp2/p1p1p3/1p2P3/PP1Pb3/4B1pP/1R2B1P1/R4QK1 w - -,a4b5 c6b5 b2a2 e7b4 a2a6 b4c3 a6a7 e4g2 f1g2 b7g2,311
8/1r6/5p2/2pk3p/p4K2/PPR3P1/7P/8 w - -,g3g4 a4b3 g4h5 c5c4 c3c1 b3b2 c1d1 d5c5 f4f5 c4c3,-636
4rnk1/2q1rpp1/ppPp1b1p/3P3P/5P2/1P2B1P1/P2Q2B1/3RR1K1 w - -,e3f2 b6b5 e1e7 e8e7 g2f3 g7g5 h5g6 f8g6 g1g2 e7e8,396
r2qkb1r/pp3p1p/2n1bpp1/2pp4/3P4/1PP1P1P1/P4P1P/RN1QKBNR w KQkq -,g1e2 h7h5 f1g2 h5h4 e1h1 d8d7 e2f4 g6g5 f4e6 f7e6,-79
r1b1kb1r/p4ppp/p1p1p3/3p4/3P1B2/2q1P3/P1PN1PPP/R2QK2R w KQkq -,a1c1 f8e7 e1h1 a6a5 d2b1 c3c4 b1d2 c4a4 d2b3 c8a6,-51
r1bqkb1r/3n1p2/p7/1p1PpP2/3n3p/3B1P2/PP4PP/RNBQ1RK1 w kq -,d1e1 h4h3 g2g4 c8b7 b1c3 d8b6 c1e3 e8a8 d3e4 c8b8,-260
r3r1k1/ppp2ppp/3b4/3p4/1n1PqN2/1Q2B3/PPP2PPP/2R1R1K1 w - -,f4h5 e4g6 h5f4 g6f5 c2c3 g7g5 f4h5 b4d3 b3c2 f5g6,-46
6k1/BB3ppp/4p3/8/2n5/2P2PPb/Pr5P/R4K2 w - -,f1e1 b2b7 a7d4 e6e5 d4g1 b7b2 a2a4 e5e4 a1d1 h7h5,-502
rn1q1rk1/pb3ppp/1p3b2/3p4/3P4/P1N3P1/1P1B1PBP/R2QK2R w KQ -,d2e3 b8a6 e1h1 a6c7 h2h4 f8e8 a1c1 b7a6 f1e1 d8d7,57
r1b1k2r/ppp3pp/1n1b4/3pq3/8/3BN3/PPP2PPP/R1BQ1RK1 w kq -,f2f4 e5e7 a2a4 e8h8 a4a5 d5d4 a5b6 d4e3 d1h5 g7g6,79
6R1/7k/6p1/4K3/1r5p/5N2/8/8 w - -,,0
r4r2/p2bppkp/2pp2p1/8/2P5/1P5P/P2NK1B1/R6R w - -,e2f2 a7a5 a1e1 f8e8 e1e3 a8b8 h1d1 g7f8 f2g1 a5a4,57
rnbqk2r/ppp2ppp/4pn2/8/2p5/3P1NP1/PPQbPPBP/R1B1K2R w KQkq -,e1d1 d2c1 a1c1 c4d3 c2d3 d8e7 f3e5 c7c6 c1c4 b8d7,-506
8/3k4/p3p1r1/3n4/7P/8/PP6/K3Rq2 w - -,e1f1 g6h6 f1h1 e6e5 a1b1 h6h5 b1c2 e5e4 b2b4 d7e6,-435
6k1/1p3p1p/p1q1p1p1/8/3Q4/P1r3P1/1P3P1P/6K1 w - -,f2f3 c3f3 d4d2 g8g7 b2b4 f3a3 d2b2 c6c3 b2a3 c3a3,-989
8/5p2/6b1/B6k/7p/8/6P1/6K1 w - -,g1h1 g6e4 h1h2 e4g2 h2g2 h5g4 a5d8 h4h3 g2h2 g4f3,-6
rnbqk2r/ppp2ppp/4pn2/8/1bp5/3P1NP1/PPQ1PPBP/RNB1K2R w KQkq -,e1f1 c4d3 e2d3 b4e7 f1g1 e8h8 b1c3 b8c6 c2e2 b7b6,-169
1rbq1rk1/2p1pp2/p2p1bp1/7p/1npPP1PP/4BP2/PP1QN3/2KR1B1R w - -,b2b3 c7c5 g4h5 d8a5 a2a4 b4d3 c1c2 a5b6 d2c3 b6b3,-395
8/2p2b2/2k2P2/p7/2p2B1K/P1P1R2P/3r4/8 w - -,h4g5 d2g2 f4g3 g2a2 e3e7 f7g8 e7g7 g8e6 g7c7 c6d5,408
r1bq1rk1/ppp2pb1/n3pnpp/8/2pP1B2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,d1c1 g8h7 f4e5 a6b4 f3d2 f6g4 e5g7 h7g7 a2a3 b4c6,87
rnbqk2r/ppp2ppp/4pn2/2b5/2p5/3P1NP1/PP2PPBP/RNBQK2R w KQkq -,a2a3 c4d3 e2d3 a7a5 e1h1 b8c6 d1c2 c5a7 b1d2 e8h8,-93
5k2/p1q2pp1/7r/2p5/3n2Q1/8/Pr3PPP/1R2RNK1 w - -,b1b2 f7f5 g4d1 h6h4 b2d2 c7c6 d2d4 c5d4 f1d2 h4g4,527
Q1b2rk1/1p3nbp/1q3pp1/1Pn1p3/1pPp4/3P1NP1/P4PBP/RN3RK1 w - -,f3d2 c8f5 g2b7 f8a8 b7a8 f5d3 f1e1 g7f8 d2b3 b6a7,-444
4rnk1/2q2pp1/ppPp1b1p/3P3P/5P2/1P4P1/P2Q1BB1/3Rr1K1 w - -,d1e1 e8e1 d2e1 b6b5 g2f3 g7g5 f4g5 f6g5 g1g2 c7d8,431
R7/8/6pk/4K3/1r5p/5N2/8/8 w - -,,0
8/2prRb2/2k2P2/p7/2p2B1K/P1P4P/8/8 w - -,e7d7 c6d7 h4g5 f7e8 h3h4 d7e6 f4c7 a5a4 c7d8 e8c6,434
Q7/8/8/8/2p3K1/2pk4/4R3/8 w - -,e7e3 c6b5 h4g5 b5a4 h3h4 d7d1 g5h6 d1f1 f4g5 a4a3,Mate
2kr3r/1q2bp2/p3p3/1p2P3/1P1Pb3/4B1pP/1R2B1P1/R4QK1 w - -,b2a2 e7b4 a2a6 b4c3 a6a7 e4g2 f1g2 b7g2 g1g2 c3a1,371
r3kb1r/1p2pppp/pnnp4/5q2/2PP4/P1N2N2/1P3PPP/R1BQK2R w KQkq -,d1b3 f5e6 e1d1 b6c4 d4d5 c4a5 b3b6 e6d7 d5c6 a5c6,262
r1b1r1k1/ppqn1p2/2pb1p2/5Np1/3P3p/2PB3P/PPQ2PP1/R1B2RK1 w - -,f2f4 d7f8 f5h6 g8g7 f4g5 f6f5 c2f2 f8g6 h6f5 c8f5,403
6k1/BB3ppp/4p3/8/2n5/2P2PPb/Pr5P/R6K w - -,,0
r1bqk2r/3n1p2/p7/1pbPpP2/3nB2p/5P2/PP4PP/RNBQ1RK1 w kq -,g1f2 d4c2 f2e2 c2a1 d5d6 a8b8 b1c3 b8b6 e4d5 b6d6,-474
r2q1rk1/pb2bppp/1pn5/3p4/3P4/P1N3P1/1P1B1PBP/R2QK2R w KQ -,d2e3 c6a5 e1h1 d8d7 d1d3 f8e8 h2h4 b7c6 g1h2 a5c4,17
r3k2r/p3pp1p/b2p2p1/q1pP4/Np2nP2/1P4P1/P1P4P/R3KQNR w KQkq -,f1f3 e4f6 g1e2 c5c4 e2d4 a5d5 f3d5 f6d5 e1a1 c4b3,-300
6k1/8/7P/7K/8/8/2B5/8 w - -,h6h7 g8g7 h5h4 g7h8 c2f5 h8g7 f5b1 g7h8 h4g3 h8g7,37
4r2r/1p1k3p/p3pp2/1N1p4/8/2P4P/PP3bP1/2KR3R w - -,b5d4 e8g8 g2g4 h7h5 h1f1 f2h4 f1g1 h5g4 h3g4 h4f2,-263
8/5p2/3p1k2/3P1Pp1/5rP1/3R1K2/8/8 w - -,f3g2 f4g4 g2f3 f6f5 d3d2 f7f6 d2d1 g4f4 f3g2 f4e4,-679
8/2pkPb2/8/p5K1/2p2B2/P1P4P/8/8 w - -,g5f6 f7e8 f4e3 d7d6 h3h4 d6d5 f6g5 d5e6 e3c5 e6f7,371
rn1qkb1r/pp3ppp/8/2pp4/6b1/N1P2N2/PP1P1PPP/R1BQK2R w KQkq -,e1h1 f8e7 d2d4 c5d4 a3b5 d4c3 b5c3 g4e6 d1b3 d8d7,-22
7k/8/7P/7K/8/1B6/8/8 w - -,b3a2 h8h7 a2c4 h7h8 c4d3 h8g8 d3b1 g8h8 h6h7 h8g7,14
8/3knQ2/p3p2r/8/7P/8/PP2q3/KR6 w - -,f7f4 e7f5 f4b8 h6h4 b1c1 d7e7 b8c7 e7e8 c7b8 e8f7,-295
3q1rk1/pr2bppp/1p2pn2/2p5/2PP4/1P4P1/PB2NP1P/R2Q1RK1 w - -,d4c5 b7d7 d1e1 e7c5 e2c3 e6e5 a1d1 f8e8 c3e4 f6e4,-45
r3k2r/p3pp1p/b2p1np1/q1pP4/Np3P2/1P3QP1/P1P4P/R3K1NR w KQkq -,g1e2 a6b7 e1a1 c5c4 h1e1 e8h8 e2d4 b7d5 f3e3 a8e8,-315
r1b1r2k/ppp2pp1/3q3p/4b3/3BB3/P2Q4/1PP2PPP/R4RK1 w - -,c2c3 e5h2 g1h1 d6f4 g2g3 f4e4 d3e4 e8e4 h1h2 e4e8,-80
r3r1k1/ppp2ppp/8/3p4/1n1Pqb2/1Q2B1P1/PPP2P1P/2R1R1K1 w - -,e3f4 e4e1 c1e1 e8e1 g1g2 a7a5 a2a3 c7c6 a3b4 a5a4,322
4k3/p3rp1p/1p4pP/3b4/1Q1P4/8/5PP1/1q3BK1 w - -,b4b5 b1b5 f1b5 e8d8 f2f4 f7f6 g1f2 d8c7 b5e2 e7e8,-647
3rr1k1/1b2qp1p/p2ppbp1/2p2P2/1nP1P1P1/1PN4Q/P2B2BP/4RR1K w - -,c3d5 e6d5 e4d5 e7f8 f5g6 f7g6 g4g5 b7c8 h3h4 e8e1,200
r3kb1r/pp1n1ppb/2p1p2p/4P2P/2B4q/6N1/PPP1QPP1/R1B2RK1 w kq -,,0
r3r1k1/pp3pbp/1npp1n2/6p1/2P1P1bq/1PN1B1NP/P1Q2PB1/R4RK1 w - -,h3g4 f6g4 f1e1 h7h5 g3f5 h4h2 g1f1 h5h4 f5g7 h4h3,191
4r2r/1p1k3p/p3pp2/3p4/3b4/2P4P/PP4P1/2KR3R w - -,d1d4 e8g8 d4b4 b7b5 h1f1 d7e7 g2g4 h7h5 a2a4 g8b8,-188
5nk1/2q2pp1/ppPp1b1p/3P3P/5P2/1P4P1/P2Q1BB1/4r1K1 w - -,d2e1 b6b5 g2f3 g7g6 g1g2 g8g7 e1e2 c7b8 f3g4 a6a5,439
r3kbnr/1p3ppp/p1npp3/2p5/3PP2q/2P2P2/PP3P1P/RNBQRBK1 w kq -,d4d5 c6e5 c1e3 g7g5 b1d2 g8f6 d1b3 e8a8 d5e6 d6d5,25
4k3/2p1Pb2/5K2/p7/2p2B2/P1P4P/8/8 w - -,a3a4 c7c6 f4c7 f7h5 h3h4 h5d1 c7d8 d1a4 h4h5 a4c2,1317
3rr1kb/1b2qp1p/p2pp1p1/2p2PP1/1nP1P3/1PN4Q/P2B2BP/4RR1K w - -,f5f6 e7f8 e1d1 d8d7 f1f4 h7h5 f4h4 d6d5 c4d5 e8d8,248
6k1/B4ppp/2B1p3/4n3/8/2P2PPb/Pr5P/R6K w - -,c6e4 h3g2 h1g1 e5f3 e4f3 g2f3 a7f2 f3e2 a2a4 b2c2,-46
1r3k1r/1p1nqpp1/2ppbn2/1P1Bp1Bp/p3P2Q/2PP4/P1K3PP/3N1R1R w - -,g5f6 d7f6 d5e6 e7e6 f1f6 e6f6 h4f6 g7f6 d1e3 h8g8,-227
8/3kn1Q1/p3p3/8/7r/8/PP2q3/KR6 w - -,g7g3 h4h2 g3b3 d7e8 a2a3 e8f7 b1d1 h2f2 a1a2 e7d5,-338
r3r1k1/pp3pbp/1npp4/6p1/2P1P1n1/1PN1B1N1/P1Q2PBq/R3R1K1 w - -,g1f1 h7h5 g3f5 h5h4 f5g7 h4h3 g2f3 g4e3 e1e3 g8g7,191
2r3k1/1R3pbp/p5p1/4pn2/4r3/4B3/PPN2PPP/5RK1 w - -,c2a3 f5e3 f2e3 f7f5 g1f2 g7f8 f1d1 e4b4 b7b4 f8b4,-85
rn2k1nr/p3bpp1/1p2p3/3pPqBp/7P/1Q3N2/PP3PP1/RN3RK1 w kq -,b1c3 b8d7 c3b5 e8f8 b3c3 d7c5 f1d1 c5e4 c3c6 a8d8,229
r1bqk2r/pp1nppb1/3p1npp/2pP4/4PB2/2N5/PPPQ1PPP/R3KBNR w KQkq -,f1e2 b7b5 e2b5 a8b8 f2f3 d8a5 b5d7 f6d7 c3d1 a5d2,22
r3kb1r/1p2pp1p/pnnp2p1/5q2/2PP4/PPN2N2/5PPP/R1BQK2R w KQkq -,a3a4 f8g7 e1h1 e8h8 h2h3 a8c8 c1e3 b6a8 a1c1 c6b4,78
3qbr2/R5pk/5p2/2p2p1n/3p1P2/3P1Q1P/6R1/7K w - -,h2h3 d6d5 c4c5 b6d7 e1h1 d7f6 b3b4 f8g7 c1e3 e8h8,Mate
r3kb1r/1p1qnppp/p3p3/3pPb2/3N1P2/2P1B3/PP4PP/RN1QK2R w KQkq -,h2h3 f5g6 b1d2 e7c6 e1h1 f8e7 a2a4 c6d4 e3d4 a6a5,-7
4k3/2p1P3/5K2/p6b/P1p2B2/2P4P/8/8 w - -,f4c7 h5d1 h3h4 d1a4 h4h5 e8d7 c7a5 d7d6 h5h6 d6d5,9605
r1b1r2k/ppp2pp1/3q3p/8/3bB3/P2Q2P1/1PP2P1P/R4RK1 w - -,a1d1 d4b2 d3b3 d6f6 e4g2 c8e6 b3b7 b2d4 a3a4 a8d8,-511
2r2rk1/p3qppp/4p3/2N5/QP1R4/2P5/P4PPP/3R2K1 w - -,a4d7 e7f6 c5e4 f6h4 e4d6 c8d8 d7a7 h4g5 d4d2 g5d2,606
