r1bqk2r/ppp2pb1/2np3p/6p1/3NP1n1/2N3B1/PPPQ1PPP/R3KB1R w KQkq -,f1b5 c8d7 b5c6 b7c6 e1a1 g4e5 f2f4 g5f4 g3f4 e5g6,71
r2qkb1r/pppn1ppp/4pn2/8/2pP1B2/3QPN2/PP3PPP/RN2K2R w KQkq -,d3c3 b7b5 e1h1 f8e7 b2b3 f6d5 c3c2 c7c5 b3c4 b5c4,-106
r1b1kb1r/ppp1p1p1/2nq1p2/3p3p/3P4/4P1PP/PPP2KP1/RN1Q1BNR w kq -,b1a3 a7a6 c2c4 e7e5 c4d5 d6d5 d4e5 d5e5 a3c4 e5e6,-113
rnbqk1nr/pp2bpp1/2pp3p/4p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,d2d4 b8d7 e1h1 g8f6 e2e4 a7a6 a2a4 a6a5 d1c2 e8h8,83
r1bqkbnr/pp3ppp/8/2Ppn3/8/4B3/PP3PPP/RN1QKBNR w KQkq -,g1f3 e5c6 f1b5 f8e7 e1h1 g8f6 b1c3 e8h8 h2h3 c8e6,103
rn2k2r/ppp1np1p/5p2/2b1p3/2B1P1b1/5N2/PPPP1PPP/R1B1K2R w KQkq -,h2h3 g4e6 c4e6 f7e6 e1e2 b8d7 d2d3 e7g6 c1d2 c5d6,-352
r4rk1/1bq1bppp/p7/2p5/N3p3/1P6/PBP1QPPP/3RR1K1 w - -,e2g4 g7g6 d1d7 c7c8 a4b6 c8c6 b6d5 c6d5 d7d5 b7d5,503
rn2kb1r/pppb1ppp/3qpn2/1B6/8/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,d2d4 c7c5 d4c5 d6d1 f1d1 f8c5 f3e5 e8e7 b5e2 h8d8,42
rn2kbnr/ppq1pppp/2p5/5b2/3PN3/3B4/PPP2PPP/R1BQK1NR w KQkq -,g2g3 e7e6 d1e2 b8d7 c1f4 c7a5 f4d2 a5d8 e1a1 g8f6,66
rnbqr1k1/pp2ppbp/2p2np1/3p4/5P2/3P1NP1/PPP1P1BP/RNB1QRK1 w - -,e2e4 d5e4 d3e4 e7e5 f3e5 b8d7 e5d7 c8d7 e4e5 d7f5,83
8/2N5/1k1K4/8/2B5/8/8/8 w - -,e2e4 d5e4 d3e4 e7e5 f3e5 b8d7 e5d7 c8d7 e4e5 d7f5,Mate
rnbqkb1r/ppp1pppp/8/8/3N4/5n2/PPPP1PPP/R1BQKB1R w KQkq -,e1e2 f3d4 e2e1 d8d6 d2d3 e7e5 c2c3 d4e6 f1e2 b8c6,-718
