rn1qkb1r/pp2ppp1/2p2np1/3p4/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq -,d1b3 d8b6 b3b6 a7b6 c4d5 c6d5 c1d2 e7e6 e2e3 b8c6,57
r3kbnr/pp3ppp/2n1p3/3q4/3p2b1/2P2N2/PP2BPPP/RNBQ1RK1 w kq -,c3d4 g8f6 b1c3 d5a5 c1e3 f8b4 h2h3 g4h5 d1b3 e8h8,43
8/8/8/6k1/3K4/8/4B3/6N1 w - -,d4e5 g5g6 e2c4 g6g7 e5f5 g7h8 g1e2 h8g7 e2c1 g7h8,7400
8/8/5k2/4N3/4K3/8/8/3B4 w - -,d1e2 f6g5 e2c4 g5f6 e4f4 f6g7 f4g5 g7h7 g5f6 h7h8,15414
3q1k2/pp1bb1r1/1n2p1Qp/1B1pP3/1B6/2R5/PP3PPP/6K1 w - -,g6h6 f8g8 c3h3 e7h4 h3h4 d8h4 h6h4 d7b5 h4f6 b6d7,898
r1bqkbnr/ppp3pp/2nP4/4pp2/8/5N2/PPPP1PPP/RNBQKB1R w KQkq -,d2d4 f8d6 f3e5 c6e5 d4e5 d6e5 d1d8 e8d8 b1d2 c8d7,66
8/8/3k4/4N3/5K2/5B2/8/8 w - -,e5d3 d6e6 f4g5 e6f7 f3d5 f7g7 d5e6 g7h7 g5f6 h7h8,8048
rn1qkb1r/1pp1pppp/p4n2/5b2/2BP4/4PN2/PP3PPP/RNBQK2R w KQkq -,d1b3 e7e6 b3b7 f5e4 b7b3 e4f3 g2f3 c7c5 b1c3 c5d4,137
rnbqkbnr/1pppppp1/p6p/8/2B5/4P3/PPPP1PPP/RNBQK1NR w KQkq -,e3e4 e7e6 d1e2 b7b5 c4b3 c8b7 g1f3 c7c5 c2c3 g8f6,-21
r1bqk1nr/pppp1ppp/8/2b5/4P3/5Q2/PPPP2PP/RNB1KB1R w KQkq -,f1e2 d8h4 g2g3 h4e7 d2d3 c7c6 c1d2 g8f6 d2g5 d7d5,45
r1bqk2r/2pp1ppp/p1p2n2/4N3/4P3/2b5/PPPP1PPP/R1BQ1RK1 w kq -,e5f3 c3b4 e4e5 f6d5 c2c4 d5b6 d1c2 b4e7 f1e1 e8h8,-298
r1bqkb1r/pp2nppp/4p3/2pp4/2BnP3/2N5/PPPPNPPP/R1BQ1RK1 w kq -,e2d4 c5d4 c4b5 c8d7 b5d7 d8d7 c3e2 d5e4 d2d3 e4d3,-147
rnbqkb1r/ppp3pp/5n2/3p1PN1/2BPp3/8/PPP2PPP/RNBQK2R w KQkq -,f2f3 h7h6 g5e6 c8e6 f5e6 d5c4 f3e4 b8c6 d4d5 c6e5,-141
rnbqkb1r/p3pppp/3p4/1ppP4/4nB2/5N2/PPP1PPPP/RN1QKB1R w KQkq -,b1d2 e4d2 f4d2 e7e5 d5e6 c8e6 e2e4 a7a6 f3g5 b8c6,95
rnbqk1nr/ppppbppp/4p3/8/P6P/8/1PPPPPP1/RNBQKBNR w KQkq -,d2d4 g8f6 g1f3 e8h8 e2e3 d7d5 b2b3 c7c5 f1d3 b8c6,-73
rnbq1rk1/ppp2pbp/5np1/4p3/2PPP3/2N5/PP2B1PP/R1BQK1NR w KQ -,g1f3 e5d4 d1d4 d8d4 f3d4 f6e4 c3e4 g7d4 c1g5 d4b2,-389
rn1qk2r/pp3ppp/2pbpnb1/3p4/2PP3N/2N1P3/PP2BPPP/R1BQK2R w KQkq -,g2g3 b8d7 e1h1 e8h8 c1d2 d5c4 h4g6 h7g6 e2c4 e6e5,56
r1bqkb1r/pp3ppp/2n1pn2/2pp4/8/1PN3P1/PBPPPPBP/R2QK1NR w KQkq -,a2a3 f8e7 d2d3 e8h8 e2e3 e6e5 g1f3 c8e6 e1h1 h7h6,-118
r1bqk2r/pp2bppp/2n1pn2/2pp4/8/1PN2NP1/PBPPPPBP/R2QK2R w KQkq -,e1h1 e6e5 e2e3 e8h8 d2d3 c8e6 a2a3 d5d4 e3d4 c5d4,-88
r1bq1rk1/pp2bppp/2n1pn2/2pp4/8/1PN2NP1/PBPPPPBP/R2Q1RK1 w - -,e2e3 e6e5 c3e2 d8c7 d2d4 c5d4 e3d4 e5e4 f3e5 e7d6,-75
r1bqk1nr/ppppbppp/2n5/4P3/3P1p2/5N2/PPP3PP/RNBQKB1R w KQkq -,c1f4 g7g5 f4e3 g5g4 f3d2 d7d6 e5d6 d8d6 b1c3 c8f5,101
r1bqk1nr/ppp1bppp/2np4/4P3/3P1B2/5N2/PPP3PP/RN1QKB1R w KQkq -,f1b5 g7g5 f4g3 a7a6 b5c6 b7c6 b1c3 h7h5 d1e2 d6d5,146
