r1bqkb1r/ppp2ppp/2n1p3/3p4/3P1P2/2P2N2/PP3PPP/RN1QKB1R w KQkq -,f1d3 c6b8 e1h1 c7c5 d4c5 f8c5 b1d2 e8h8 g2g3 b8c6,69
3qrk1b/p1r2p2/1p2p1p1/nPNbN3/3P4/P6R/5PPP/R5K1 w - -,h3h8 f8e7 h8e8 e7e8 c5a6 c7c3 a1f1 c3a3 a6b4 d5e4,-1146
r1bq1rk1/pppp1ppp/5n2/2bNp3/2BnP3/3P1N2/PPP2PPP/R1BQK2R w KQ -,c1g5 d4f3 g2f3 c5e7 d5e7 d8e7 h1g1 d7d6 d1d2 c8e6,157
r1bqkb1r/p1pp1ppp/2pn4/4p3/8/5N2/PPPP1PPP/RNBQ1RK1 w kq -,f1e1 f7f6 d2d4 e5e4 b1c3 f6f5 f3e5 g7g6 f2f3 f8g7,-52
r1bqkb1r/ppp2ppp/3p1n2/2nPp3/4P3/3B1N2/PPP2PPP/RNBQK2R w KQkq -,b1d2 a7a5 e1h1 f8e7 b2b3 c7c6 d5c6 b7c6 c1a3 c5d3,-51
r1bqkb1r/pp3ppp/2np1n2/2pNp3/4P3/6P1/PPPP1PBP/R1BQK1NR w KQkq -,d2d3 f6d5 e4d5 c6e7 c2c4 g7g6 b2b4 c5b4 d1a4 c8d7,49
rnbqkbnr/ppp2ppp/3p4/4p3/3P4/4B3/PPP1PPPP/RN1QKBNR w KQkq -,d4e5 d6e5 d1d8 e8d8 b1c3 f8d6 g1f3 g8f6 h2h3 h7h6,59
r2qkb1r/pb2pppp/1pnp1n2/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -,e2e3 e7e6 d2d4 d6d5 c4d5 e6d5 f3e5 f8e7 e5g4 c5d4,104
r1b1kbnr/ppp3pp/2n2p2/4P3/5P2/8/PPP3PP/RNBK1BNR w kq -,h2h3 c8f5 g1f3 e8a8 c1d2 f8c5 f1c4 f6e5 f4e5 g8e7,-73
r3kbnr/ppp3pp/2n2p2/4P3/5Pb1/5N2/PPP3PP/RNBK1B1R w kq -,c2c3 e8a8 b1d2 f6e5 f4e5 g8e7 h2h3 g4e6 f1b5 e7f5,-89
r1bqkb1r/pp3ppp/2pp1n2/2nPp3/4P3/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,c1e3 c5d3 c2d3 c6d5 e4d5 f8e7 h2h3 h7h6 a1c1 c8f5,-39
rnbqk2r/pp2bp1p/2p2np1/3p2B1/3P4/2N1P3/PPQ2PPP/R3KBNR w KQkq -,f1d3 b8d7 g1f3 d7f8 g5h4 f8e6 a1b1 a7a5 a2a3 e8h8,51
r1bqk2r/ppp1bppp/3p1n2/2nPp3/2P1P3/3B1N2/PP3PPP/RNBQK2R w KQkq -,b2b4 c5d3 d1d3 f6h5 e1h1 e8h8 b1c3 f7f5 a2a4 d8e8,-87
rnbqkb1r/ppp2ppp/8/4P3/4P1n1/3B4/PP3PPP/RNBQK1NR w KQkq -,d3b5 c7c6 d1d8 e8d8 b5e2 f8c5 c1g5 d8c7 g5h4 g4e5,62
rnbqk2r/pp3ppp/4pn2/3p4/1bPp4/2N1PN2/PPQ2PPP/R1B1KB1R w KQkq -,a2a3 b4c3 b2c3 d4e3 c1e3 b8d7 e3f4 d7c5 f1e2 e8h8,-128
r1bqkb1r/ppp2pp1/2n2n1p/4p3/2BP4/5N2/PP3PPP/RNBQK2R w KQkq -,c4b5 f8b4 c1d2 b4d2 d1d2 e5d4 e1h1 e8h8 b5c6 b7c6,-140
r3kb1r/pp1bpppp/1qnp4/1B4B1/3NP1n1/2N5/PPP2PPP/R2QK2R w KQkq -,g5e3 g4e3 f2e3 g7g6 e1h1 f8g7 c3d5 b6d8 d1d2 e8h8,-178
rnbq1rk1/ppppnpb1/7p/4N1p1/2BPPp2/8/PPP3PP/RNBQ1RK1 w - -,b1c3 b8c6 e5f7 f8f7 c4f7 g8f7 d1h5 f7g8 h2h4 g7d4,-215
8/2kr4/6Q1/3K4/8/8/8/8 w - -,c4f7 f8f7 e5f7 g8f7 d1h5 f7f8 c1f4 g5f4 f1f4 f8g8,Mate
rnbq1rk1/ppp2ppp/5n2/2bpN3/2B1P3/8/PPPPQPPP/RNB1K2R w KQ -,d2d3 d5c4 e5c4 b7b5 c4e3 b8c6 e1h1 f8e8 e2d1 a7a5,-569
r1bqkb1r/p2ppp1p/2p3p1/4P2n/3Q4/5N2/PPP2PPP/RNB1K2R w KQkq -,b1c3 h5g7 e1h1 c8b7 f1e1 g7e6 d4h4 c6c5 f3g5 f8g7,64
r1bqkb1r/pp2pppp/2np1n2/8/4P3/2pB1N2/PP3PPP/RNBQ1RK1 w kq -,e4e5 d6e5 b1c3 a7a6 c1g5 h7h6 g5h4 g7g5 h4g3 c8g4,-212
rnbqk2r/pp3ppp/3ppn2/3p4/3P4/P1NQ4/1PP1PPPP/R3KBNR w KQkq -,d3g3 e8h8 e2e3 b8c6 f1d3 e6e5 f2f3 b7b5 g3h4 c6e7,-8
r2qkb1r/ppp1pppp/2n2n2/3p1bB1/3P4/2P1P3/PP3PPP/RN1QKBNR w KQkq -,b1d2 e7e5 f1b5 h7h6 g5h4 e5d4 c3d4 g7g5 h4g3 h6h5,51
rn1qk1nr/ppp1bppp/8/3p3b/3P4/3B1N1P/PPP2PP1/RNBQK2R w KQkq -,c2c4 g8f6 b1c3 b8c6 c4d5 f6d5 d3e4 d5b6 e1h1 e8h8,36
r2qkb1r/ppp1ppp1/2n2n1p/3p1bB1/3P4/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,e3e4 d5e4 g5f6 e7f6 f3d2 f8d6 d2c4 e8h8 b1d2 f5d7,-196
r1bqkb1r/ppp2ppp/2n5/3np3/2B5/5N1P/PPPP1PP1/RNBQK2R w KQkq -,e1h1 f8c5 c4b5 e8h8 b5c6 b7c6 f3e5 f8e8 d2d4 c5d6,62
rnbqkb1r/1pp2ppp/p3pn2/8/2pP4/P1N2N2/1P2PPPP/R1BQKB1R w KQkq -,d1c2 b7b5 a3a4 b5b4 c3b1 c8b7 e2e3 c7c5 d4c5 f6d7,-143
r2qkb1r/ppp2pp1/2n1pn1p/3p1b2/3P3B/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,f1b5 f8d6 f3e5 e8h8 e5c6 b7c6 b5c6 a8b8 b2b4 g7g5,40
