8/8/8/2Q5/4k3/6K1/4n3/8 w - -,d3c2 f6g4 d1e2 f7f5 e1h1 d8a5 f3e5 g4e5 f4e5 c8d7,Mate
r1bq1bnr/pp1npkp1/2p4p/8/8/5N2/PPPP1PPP/R1BQKB1R w KQ -,d2d3 e7e6 d3d4 f8d6 f1d3 g8e7 e1h1 h8f8 c2c3 d7f6,-211
r1bq1rk1/pppn1pbp/3p1np1/4p3/2BP1P2/2P1PN2/PP4PP/RNBQ1RK1 w - -,,0
r2qkb1r/ppp2ppp/2n1bn2/4p3/3p4/1N1PP1N1/PPP2PPP/R1BQKB1R w KQkq -,e3d4 e5d4 f1e2 a7a5 c1g5 h7h6 g5f6 d8f6 e1h1 a5a4,-47
r3k2r/pppqnppp/8/3P4/1b6/2N5/PP3PPP/R1BQ1RK1 w kq -,d1d3 e8h8 f1d1 a8d8 d3f3 b4d6 c1g5 f7f6 g5e3 f8e8,-29
r1bqkb1r/pp3ppp/2np1n2/2p5/2P5/5N2/PP1P1PPP/RNBQKB1R w KQkq -,d2d4 c5d4 f3d4 d6d5 d4c6 b7c6 f1e2 f8c5 c4d5 f6d5,-34
8/3k4/1K6/Q7/8/8/8/7b w - -,d2d4 c5d4 f3d4 d6d5 d4c6 b7c6 f1e2 f8c5 c4d5 f6d5,Mate
r1bqkbnr/ppp1n1pp/3p1p2/3Pp1B1/2B1P3/8/PPP2PPP/RN1QK1NR w KQkq -,h2h4 f6g5 h4g5 e7g6 d1h5 d8e7 b1c3 a7a6 g2g3 e8d8,-469
1r3k2/1pR2ppp/p3p3/P2p4/1P1P4/4P1P1/5PKP/8 w - -,h2h4 h7h5 g2f3 g7g6 f3f4 f8g7 f2f3 b7b6 c7c6 b6a5,134
r2qkb1r/ppp2ppp/2n1pn2/3p4/3PbB2/2P1PN2/PP2BPPP/RN1QK2R w KQkq -,b1d2 f8d6 f4g5 e4g6 f3h4 d8d7 g2g3 c6e7 h4g6 h7g6,81
r2qkb1r/pp1n1ppp/2p1pn2/8/2BP2b1/4PN2/PP1N1PPP/R1BQK2R w KQkq -,e1h1 f8e7 b2b3 e8h8 c1b2 g4h5 a1c1 a8c8 h2h3 c6c5,27
r1b1k2r/p1p2ppp/2p2n2/2p5/4P3/2N5/PPP2PPP/2KR1B1R w - -,c3a4 f6d7 d1d3 a8b8 d3c3 b8b4 a4c5 d7c5 c3c5 b4e4,441
2rr2k1/1p2bppp/pqb1pn2/3p4/3P1B2/2NB3P/PPP2PP1/1R1QR1K1 w - -,f4g5 h7h6 g5h4 g8f8 c3e2 b6a5 c2c3 a5a2 e2f4 g7g5,-14
