r1bq1rk1/1pp2ppp/1pnp1n2/1B2p3/4P3/3P1N2/PPP2PPP/R1BQ1RK1 w - -,c1g5 c8g4 c2c3 h7h6 g5h4 g7g5 h4g3 c6e7 h2h3 g4h5,17
k7/P3R3/2K2ppp/8/5PPP/3r4/8/8 w - -,e7h7 d3c3 c6d5 c3g3 h4h5 g3g4 h5g6 g4g6 f4f5 g6g1,467
rnbqk2r/pppp1ppp/8/2b1B3/6n1/1P2P3/P1PP1PPP/RN1QKBNR w KQkq -,d1g4 h8g8 g4d1 b8c6 e5g3 h7h5 d1h5 d7d5 b1c3 g7g5,610
4Rnk1/6rp/1p6/pPqp4/P1np2Q1/3B4/2P3PP/R5K1 w - -,d1g4 h8g8 g4d1 b8c6 e5g3 h7h5 d1h5 d7d5 b1c3 g7g5,Mate
rn1qkb1r/1bpp1ppp/4pn2/1p6/3PP3/3B4/PP2QPPP/RNB1K1NR w KQkq -,g1f3 c7c5 d4c5 b8a6 b1d2 a6c5 d3b5 f8e7 e1h1 e8h8,28
r2k1b1r/ppp2ppp/2n1bn2/3Np3/4P3/5N2/PPP2PPP/R1B1KB1R w KQ -,c1g5 e6d5 e4d5 c6d4 f3d4 e5d4 e1a1 f8c5 d1d3 h8e8,95
r2qkb1r/ppp2ppp/2np1n2/4p3/P1B1P3/3P1b1P/1PP2PP1/RNBQK2R w KQkq -,b1c3 f3d1 e1d1 c6a5 c4a2 g7g6 b2b4 a5c6 b4b5 c6a5,-679
rn2kb1r/pp2pppp/1qp2n2/3p4/2PP1B2/4PQ2/PP3PPP/RN2KB1R w KQkq -,f3d1 e7e5 d4e5 b6b2 d1d4 b2c1 e1e2 f6e4 c4d5 c1c2,-110
8/5K2/8/P7/2Nkp3/8/4pP2/8 w - -,c4b6 e2e1q b6a8 e1f2 f7e7 e4e3 a5a6 f2a2 a8c7 e3e2,-3582
8/8/7P/1p6/1k1K4/8/8/8 w - -,c4b6 e2e1q b6a8 e1f2 f7e7 e4e3 a5a6 f2a2 a8c7 e3e2,Mate
r4rk1/pp1b2pp/2pqp3/3p1p1n/2PP4/1P4P1/P1Q1PPBP/RN3RK1 w - -,b1d2 h5f6 d2f3 d7e8 e2e3 a7a5 f3e5 d6e7 a2a4 g7g5,67
8/1p3p1k/p2Q4/3P4/8/1P1bP3/1r5r/3K2R1 w - -,d6h2 b2h2 g1g5 d3e4 g5e5 e4f3 d1c1 h2h5 e5e7 f3d5,Mate
r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/2P2N2/PP1P1PPP/RNBQR1K1 w kq -,c4b3 c8g4 d2d3 g4h5 b1d2 f6d7 d2f1 e8h8 b3c2 a7a5,58
8/8/8/3N4/4B3/8/5K2/2k5 w - -,f2e3 c1b2 e3d3 b2b3 d5f6 b3b4 e4d5 b4c5 d3c3 c5d6,9605
r1br2k1/ppp2pbp/2n2np1/4p3/2P1P3/2N1BN1P/PP3PP1/R3KB1R w KQ -,f3d2 c6d4 e1a1 c7c6 d2b3 f6e8 c3e2 d4b3 a2b3 d8d1,-31
rnbqk2r/pp3ppp/2p2n2/3pp3/1b2P3/1B1P4/PPP1QPPP/RNB1K1NR w KQkq -,e1d1 d5e4 c1g5 a7a5 a2a3 e4d3 e2d3 d8d3 c2d3 b4c5,-190
rnbqk2r/pp3ppp/2pb1n2/3pp3/4P3/1BPP4/PP2QPPP/RNB1K1NR w KQkq -,b1d2 e8h8 g1f3 f8e8 e1h1 b8d7 f1e1 d7f8 d2f1 h7h6,-53
8/8/p7/K7/1P6/1k6/8/8 w - -,,0
r1bqnrk1/p4pbp/2pp2p1/4p1P1/4P3/2N1BP2/PPPQ3P/R3KB1R w KQ -,e1a1 c8e6 h2h4 f7f5 g5f6 g7f6 h4h5 g6g5 h5h6 g8h8,147
rn1qkbnr/pp3pp1/4p3/3pPb1B/3p3P/6P1/PPP2P2/RNBQK1NR w KQkq -,h5e2 b8c6 g1f3 f8c5 e1h1 f7f6 e5f6 g7f6 c2c3 d4c3,-83
8/3R4/2P1k3/8/r7/2K5/8/8 w - -,,0
rnbqkb1r/pp3p2/2p1pn1p/3p2p1/3P1B2/2NBPN2/PPP2PPP/R2QK2R w KQkq -,f4g3 b8d7 f3d2 a7a6 h2h4 h8g8 h4g5 h6g5 e3e4 d8b6,97
r1bqk2r/ppp2ppp/2n2n2/2b1p3/4P3/2P2N2/PPQP2PP/RNB1KB1R w KQkq -,b2b4 c5b6 a2a4 a7a6 b1a3 c8g4 f1e2 b6a7 a3c4 e8h8,-7
6k1/p4p1p/1p1rp1p1/4r3/2P4Q/3B1K2/P1R2P1P/q7 w - -,c2d2 d6d4 h4d4 a1d4 c4c5 d4d5 f3f4 e5f5 d3f5 d5d2,Mate
1k6/4Rp2/P5pp/1K6/5P1P/3r2P1/8/8 w - -,g3g4 f7f5 g4f5 g6f5 e7b7 b8a8 b7f7 d3b3 b5c6 b3c3,489
1k6/4Rp2/P5pp/1K6/5PPP/1r6/8/8 w - -,b5c6 g6g5 h4g5 h6g5 e7f7 b3c3 c6d6 g5f4 f7f4 b8a7,600
1k6/4Rp2/P5pp/3K4/5PPP/7r/8/8 w - -,e7f7 h3h4 f4f5 g6f5 g4f5 h4a4 a6a7 b8a8 f7e7 a4a6,546
rnbqk2r/pp2ppb1/2p3pn/3pP2p/2PP4/5N1P/PP3PP1/RNBQKB1R w KQkq -,b1c3 c8e6 f3g5 h6f5 g5e6 f7e6 c4d5 c6d5 f1d3 b8c6,110
r2qkb1r/pppb1ppp/2n2n2/3pp3/Q7/2PPPN2/PP3PPP/RNB1KB1R w KQkq -,b1d2 c6d4 a4d1 d4f3 d1f3 d7g4 f3g3 f8d6 h2h3 g4h5,-69
1k6/5R2/P5pp/3K4/5PPr/8/8/8 w - -,f4f5 g6f5 g4f5 h4a4 a6a7 b8a8 f7e7 a4a6 d5e5 a6a5,549
8/8/4B3/4K3/8/2N5/1k6/8 w - -,f4f5 g6f5 g4f5 h4a4 a6a7 b8a8 f7e7 a4a6 d5e5 a6a5,Mate
r4rk1/1bqn2pp/p2bpn2/1p6/2p1P3/2N2N1P/PPB1QPP1/R1BR2K1 w - -,a1b1 a8c8 c1g5 b5b4 c3a4 h7h6 g5d2 a6a5 b1c1 d7e5,-30
3k4/2q4n/3p2BB/1p6/8/1P4NP/6PK/5R2 w - -,f1f7 c7f7 g6f7 d8c7 g3e4 c7c6 f7e8 c6c7 h6f4 c7d8,818
2r5/1R6/2P5/2K2k2/8/8/8/8 w - -,c6c7 f5e5 c5c6 e5d4 b7b8 c8c7 c6c7 d4d3 b8d8 d3e2,691
r1b1k1nr/pp1pppbp/2n3p1/2q5/2P1P3/5N2/PP2BPPP/RNBQK2R w KQkq -,e1h1 d7d6 h2h3 c8e6 c1e3 c5b4 b1d2 g8f6 a1b1 e8h8,86
rnbqkb1r/pp3ppp/2p2n2/3pp3/2P5/1QNP4/PP2PPPP/R1B1KBNR w KQkq -,c1g5 d5d4 c3e4 b8d7 e4f6 d7f6 g2g3 a7a5 g1f3 h7h6,-80
rnb1k1nr/pp1p1pbp/4p1p1/2qN4/3pP3/5N2/PP3PPP/R1BQKB1R w KQkq -,b2b4 c5d6 c1f4 e6e5 a1c1 b8c6 f4g5 h7h6 g5h4 g8f6,-114
r1bqkb1r/2p3pp/p1pp1pn1/4p3/3PP3/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,d1e2 c8g4 h2h3 g4e6 d4e5 f6e5 f3g5 e6g8 e2h5 f8e7,3
8/5p2/7k/3K1Q2/8/8/8/8 w - -,c3e2 d6d5 e2c3 d5e4 c3e4 f6f5 e4g5 e5e4 f3e5 g6e5,Mate
r3r1k1/1qp2pb1/p1b1n1pp/R1BNp1n1/1P2P3/1B2QNP1/2P2PK1/7R w - -,f3g5 e6g5 b3c4 c6b5 c4b5 a6b5 c5e7 a8a5 b4a5 c7c6,90
r3r1k1/1qp2pb1/p1b3pp/R1BNp1n1/1P2P3/1B2Q1P1/2P2PK1/7R w - -,b3c4 c6b5 c4b5 a6b5 c5e7 g5h7 h1a1 a8a5 b4a5 e8a8,122
r2qkb1r/pp2pppp/2n2n2/2pp1b2/8/2P1PN2/PP1PBPPP/RNBQ1RK1 w kq -,e2b5 d8b6 d1a4 f5d7 d2d4 e7e6 b1d2 f8e7 b5e2 e8h8,-40
r4rk1/1q3p2/4bnpp/p3p3/2p1P3/2N1BP2/1PP3PP/1KR1Q2R w - -,c3d1 a5a4 e3c5 a4a3 e1b4 f8b8 b4b7 b8b7 c2c3 f6h5,-147
r2qkb1r/pp1n1ppp/4pn2/2pp1b2/Q1PP1B2/4PN2/PP3PPP/RN2KB1R w KQkq -,f1e2 f8e7 e1h1 e8h8 c4d5 f6d5 f4g3 c5d4 f3d4 f5g6,-40
r3k2r/ppp1qppp/2p1bn2/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQ1RK1 w kq -,f3e5 e8a8 d1e2 f6d7 e5f3 e6g4 c2c3 c5d6 d3d4 d8e8,103
