r2qk1nr/pppb1ppp/2n5/1B2p3/1b2P3/2N2N2/PPPP2PP/R1BQK2R w KQkq -,e1h1 g8f6 d2d3 e8h8 c3e2 b4c5 g1h1 f6g4 d1e1 c6b4,56
r1bqrn1k/pp5p/3p3Q/2p5/2PPP3/P1PB4/6PP/5RK1 w - -,d2d3 a7a6 b5c4 b4c5 d1e2 g8f6 c1e3 c5e3 e2e3 e8h8,Mate
r1bqk2r/pp1n1ppp/2pb1n2/3pp3/2P5/1PN2NP1/PB1PPPBP/R2QK2R w KQkq -,d2d4 e5e4 f3d2 h7h5 e2e3 h5h4 g3h4 h8h4 f2f3 d6h2,-56
r3kbnr/5ppp/p1qpb3/1p2p3/2P1P3/1P1Q1N2/P4PPP/RNB2RK1 w kq -,c4b5 a6b5 b1c3 b5b4 c3b5 e6d7 a2a4 b4a3 b5c3 a3a2,24
1r3r1k/1p1b2bp/p5p1/3Bpp2/P1P4q/1P2RP2/3PNP1P/1R2Q1K1 w - -,e3d3 d7c6 d5c6 b7c6 b1d1 c6c5 e1f1 a6a5 d1b1 e5e4,-50
8/8/3K4/8/1k6/8/b7/2Q5 w - -,e3d3 d7c6 d5c6 b7c6 b1d1 c6c5 e1f1 a6a5 d1b1 e5e4,Mate
rnb1k2r/pp2ppbp/1qpp1np1/8/3PP3/2N2N2/PPP1BPPP/R1BQ1RK1 w kq -,a2a4 b6c7 c1e3 a7a5 d1d2 e8h8 a1d1 b8d7 h2h3 b7b6,89
r1r3k1/p2qpp1p/1pnp1bp1/1B6/1P1P4/P3PN2/3NQPPP/5RK1 w - -,d4d5 d7b7 d5c6 c8c6 b5c6 b7c6 f3d4 c6a4 e2f3 a8f8,584
8/8/5p2/p2K1P2/8/1k6/8/8 w - -,d5e6 a5a4 e6f6 a4a3 f6e7 a3a2 f5f6 a2a1q f6f7 a1a3,Mate
r2q1rk1/5ppp/b4b2/p2pp3/2P5/1B6/PP2QPPP/RN3RK1 w - -,f1d1 a5a4 b3a4 a6c4 e2c2 e5e4 b1c3 c4d3 d1d3 e4d3,-289
r1b1kb1r/pppq1ppp/3p1n2/n3p1N1/2B1P3/1QP5/PP1P1PPP/RNB1K2R w KQkq -,b3b4 a5c4 b4c4 d7g4 d2d4 h7h6 c4f7 e8d8 d4e5 d6e5,-457
8/8/8/3k4/1K6/8/5Q2/8 w - -,b3b5 a5c4 b5c4 d7g4 d2d3 h7h6 g5f7 c8e6 c4c7 g4g2,Mate
r1bqkb1r/1p1npppp/p1n5/1BppP3/8/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,b5d3 d7e5 f3e5 c6e5 d3c2 c8g4 f2f3 g4h5 d2d4 c5d4,-177
r1bqkb1r/3npppp/p1p5/2ppP3/8/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,d2d3 e7e6 e1h1 f8e7 c3c4 e8h8 d1e2 a6a5 b1c3 a5a4,31
8/1R3p2/8/4P3/8/4N3/k7/6K1 w - -,h2h3 d8c7 d2d4 e7e6 e1h1 a6a5 f1e1 f8e7 b2b3 c8a6,Mate
r1bqkb1r/pp2nppp/2np4/8/5B2/5N2/PPP1PPPP/RN1QKB1R w KQkq -,b1c3 e7g6 f4g3 c8e6 e2e4 f8e7 d1d2 e8h8 e1a1 g6e5,338
