rn1qkb1r/pp1bp2p/5pp1/2pn4/8/1P6/PBPP1PPP/RN1QKBNR w KQkq -,g1f3 e7e5 b1c3 d5c7 f1c4 b8c6 d1e2 d8e7 c3d5 c7d5,-81
rnbqk2r/p2pb1pp/4pn2/1pp5/2P5/1P6/PB2PPPP/RN1QKBNR w KQkq -,g2g3 b5c4 f1g2 d7d5 b3c4 d8b6 d1c1 b8c6 b1d2 d5d4,-24
r1bqkbnr/pppp1ppp/8/4p3/3nP3/P1N5/1PPP1PPP/R1BQKBNR w KQkq -,f1c4 c7c6 g1f3 f8c5 e1h1 d7d6 c3a4 c8g4 c4e2 g4f3,46
rnbq1rk1/pp2bppp/3p1n2/2p1p1B1/4P3/3P1N2/PPP1BPPP/RN1Q1RK1 w - -,c2c4 b8c6 b1c3 a7a6 a2a4 h7h6 g5d2 c8e6 c3d5 f6d7,-13
rn1qkbnr/1pp1pppp/p3b3/3p4/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq -,c4d5 e6d5 b1c3 g8f6 c3d5 d8d5 f1e2 b8d7 e2f3 d5a5,95
rn1qkbnr/p1p2ppp/bp2p3/3pP3/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -,f1a6 b8a6 c3e2 c7c5 c2c3 d8d7 h2h4 a6b8 g1f3 b8c6,111
r1bqk2r/ppp2ppp/2np1n2/2b1p3/4P3/5N2/PPPPBPPP/RNBQ1RK1 w kq -,d1e1 e8h8 d2d3 d6d5 e4d5 f6d5 b1c3 h7h6 c3d5 d8d5,-57
rn1qkbnr/pp3ppp/2p3b1/3p4/3P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,d1e2 d8e7 c1e3 g6d3 e2d3 e7c7 e1a1 f8d6 h2h4 b8d7,88
r1bqkb1r/ppp1pppp/2n2n2/3p2B1/3P4/P7/1PP1PPPP/RN1QKBNR w KQkq -,b1c3 c8f5 e2e3 e7e6 f1d3 h7h6 g5h4 c6e7 g1f3 c7c6,9
rnbqk1nr/pp3ppp/4p3/2bp4/4PP2/8/PPP3PP/RNBQKBNR w KQkq -,g1h3 g8h6 b1c3 e8h8 c1d2 e6e5 d1e2 c8g4 e2b5 b8d7,-132
r2qkb1r/pp1bp2p/2n2pp1/2pn4/8/1P3N2/PBPP1PPP/RN1QKB1R w KQkq -,g2g3 e7e5 b1c3 d7g4 h2h3 d5c3 b2c3 g4e6 f1g2 d8d7,-140
r1b1kbnr/2qp1ppp/p1n1p3/1pp5/2B1P3/P1N2N2/1PPP1PPP/R1BQ1RK1 w kq -,c4d5 e6d5 c3d5 c7b7 d2d4 c6d4 f3d4 c5d4 d1d4 d7d6,-148
rnbqk2r/pppp1ppp/4pn2/8/1b2P3/1PN5/P1PP1PPP/R1BQKBNR w KQkq -,e4e5 f6d5 c3d5 e6d5 d1g4 b4f8 c1b2 d7d6 g4g3 d8e7,85
rnbqkb1r/pp1ppp1p/2n3p1/2p1P3/2P5/PP6/1B1P1PPP/RN1QKBNR w KQkq -,a1a2 f8g7 g1f3 e8h8 f1e2 d7d6 e5d6 e7e5 b1c3 d8d6,-129
8/8/8/4k3/2B5/5K1N/8/8 w - -,f3e3 e5f6 e3e4 f6g6 e4e5 g6g7 e5f5 g7h7 f5f6 h7h8,4951
r1bqk2r/pp1pppbp/2n2np1/2p5/2B1P3/P2P1N2/1PP2PPP/RNBQK2R w KQkq -,c4d5 f6d5 e4d5 c6d4 f3d4 c5d4 e1h1 e8h8 c2c3 d7d6,-61
rnbqk2r/2p1ppb1/p2p1np1/1p5p/3PPB2/2N2P2/PPPQ2PP/2KR1BNR w kq -,e4e5 b5b4 c3a4 f6d5 f4g5 c8e6 f1c4 d8d7 c4b3 b8c6,89
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PP4/4PN1P/PP2BPP1/RNBQ1RK1 w - -,d1c2 f8e8 b1c3 c7c6 b2b3 d6d5 c4d5 f6d5 c3d5 c6d5,64
r1bqk2r/pp1p1pbp/2n1pnp1/2p5/2B1P3/P2P1N2/1PP2PPP/RNBQ1RK1 w kq -,c4b5 c6e7 e4e5 f6g4 d3d4 a7a6 h2h3 a6b5 h3g4 c5d4,50
rnbqkb1r/pp1p1ppp/4pn2/6B1/3p4/2P1P3/PP3PPP/RN1QKBNR w KQkq -,g1f3 d4e3 g5e3 b7b6 f1d3 c8b7 e1h1 f8e7 c3c4 b8a6,-214
8/8/k7/P7/1K6/8/8/8 w - -,,0
2brr3/p7/p7/Q1b5/1p1kpPp1/1P1pN1P1/3K4/8 w - -,b4b3 a6a5 b3c4 a5b6 c4d4 b6c6 d4c3 c6d5 c3c2 d5c4,Mate
3rrb2/p7/p7/Q4b2/1p1kpPp1/1P1pN1P1/3K4/8 w - -,b4b3 a6a5 b3c4 a5b6 c4d4 b6c6 d4c3 c6d5 c3c2 d5c4,Mate
2k5/8/8/1K6/P7/8/8/8 w - -,,0
r1bqkb1r/ppp2ppp/2n1p3/3p3n/2PP1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,f4c1 h5f6 a2a3 f8e7 e2e3 e8h8 d1c2 c6a5 c4d5 e6d5,92
rnbqk2r/pp2npbp/2p1p1p1/3p4/2BPPP2/2N2N2/PPP3PP/R1BQK2R w KQkq -,e4d5 e6d5 c4d3 c8g4 c1e3 c6c5 d4c5 d5d4 d3b5 b8c6,-109
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4PP2/2PP1N2/PP4PP/RNBQKB1R w KQkq -,f3e5 d5e4 e5c6 b7c6 b1d2 e4d3 d1f3 f8e7 f1d3 e8h8,-55
r1bqkbnr/ppp2pp1/2np3p/4p3/4P3/2P2N1P/PP1P1PP1/RNBQKB1R w KQkq -,d2d4 g8f6 f1d3 g7g6 d4d5 c6e7 a2a4 f6h5 a4a5 f8g7,97
r1b1kb1r/ppp1qppp/2np1n2/4p1B1/2B1P3/3P1N2/PPP2PPP/RN1QK2R w KQkq -,b1c3 e7d8 g5f6 g7f6 e1h1 h8g8 c3d5 c6a5 f3h4 a5c4,92
rn1qk1nr/ppp1ppbp/3p2p1/8/3P2b1/3BPN2/PPP2PPP/RNBQK2R w KQkq -,b1d2 b8d7 h2h3 g4f3 d2f3 g8f6 c2c3 e7e5 e3e4 e8h8,60
