rnb1kb1r/pp3pp1/2p2q1p/3p4/3P4/4PN2/PP3PPP/RN1QKB1R w KQkq -,d1c2 c8e6 c2b3 f6e7 b1c3 e7c7 f1d3 f8d6 h2h3 b8d7,-24
r1b1k1nr/pp3ppp/1qn1p3/2bpP3/8/2P2N2/PP2BPPP/RNBQK2R w KQkq -,a2a4 c5f2 e1f1 f2c5 a4a5 b6d8 b2b4 c5e7 c1f4 g8h6,-200
8/1Q6/8/8/2k1N3/4K3/8/8 w - -,a2a4 c5f2 e1f1 f2c5 a4a5 b6d8 b2b4 c5e7 c1f4 g8h6,Mate
8/8/2Q5/8/4N3/1k2K3/8/8 w - -,a2a4 c5f2 e1f1 f2c5 a4a5 b6d8 b2b4 c5e7 c1f4 g8h6,Mate
rnbqk1nr/ppp3bp/3p2p1/4pp2/2P5/2NP1NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2 g8e7 a1b1 h7h6 d1c2 a7a5 a2a3 c7c6 b2b4 a5b4,38
r2qk2r/pppb1ppp/2nbpn2/3p4/3P4/2N1PNP1/PPP2PBP/R1BQK2R w KQkq -,e1h1 e8h8 b2b3 a8c8 c1b2 c6e7 a2a4 a7a6 c3e2 c7c5,28
r1bqk2r/ppp2pbp/2n1pnp1/3p4/3P4/5NP1/PPPNPPBP/R1BQ1RK1 w kq -,c2c3 e8h8 b2b4 f8e8 a2a4 a7a6 c1b2 e6e5 f3e5 c6e5,80
rnbqk2r/pp2bppp/5n2/3p4/3P4/1p3N2/P1P1BPPP/RNBQ1RK1 w kq -,f3e5 b3a2 a1a2 e8h8 c2c4 d5c4 e2c4 b8c6 b1c3 a7a5,-109
8/8/1N4k1/3BK3/8/8/8/8 w - -,b6a4 g6g7 e5e4 g7h6 d5b7 h6h5 e4f5 h5h4 b7f3 h4g3,15265
rnbqk2r/pppp1ppp/8/2n5/8/2PB1N2/PPP2PPP/R1BQK2R w KQkq -,e1h1 c5d3 d1d3 e8h8 f3g5 g7g6 d3h3 h7h5 f2f4 f7f6,226
r1bq1rk1/ppp2ppp/2n2n2/3pp3/1b2P3/1PNP1N2/PBP2PPP/R2QKB1R w KQ -,e4d5 f6d5 d1d2 f8e8 f1e2 d5f4 e1a1 c6d4 d1e1 f4e2,-249
r2qkb1r/pp2pppp/2np1n2/2p4b/2B1P3/3PBN1P/PPP2PP1/RN1QK2R w KQkq -,g2g4 h5g6 g4g5 f6d7 f3h4 d7e5 b1c3 e5c4 d3c4 d8d7,73
r1bqk2r/ppp1bppp/2n5/3np3/8/2NPBN2/PPP2PPP/R2QKB1R w KQkq -,f1e2 d5e3 f2e3 c8e6 e1h1 d8d7 d3d4 e5d4 f3d4 e8h8,-121
