r4rk1/pbp3pp/1pq1pb2/8/2P1R3/4P1P1/PPQ2PBP/R1B3K1 w - -,c1d2 a8d8 d2c3 f6c3 c2c3 a7a5 a1f1 d8d6 b2b3 f8d8,75
r1bk3r/ppp2pp1/2p2b1p/8/2B1P3/8/PPP2PPP/RN2K2R w KQ -,b1c3 d8e7 e1a1 g7g5 c3e2 h6h5 e2d4 h5h4 d4f5 c8f5,-17
r2q1rk1/ppp2ppp/2nbpn2/3p1b2/2PP4/1P2PN2/PB1N1PPP/R2QKB1R w KQ -,a2a3 a7a5 f1e2 h7h6 e1h1 d6e7 h2h3 f6e4 d2e4 f5e4,32
r1bqkb1r/pp2pppp/2n5/2p1P3/3p2n1/1P1P1N2/PBP2PPP/RN1QKB1R w KQkq -,b1d2 g7g6 g2g3 f8g7 f1g2 g4e5 f3e5 c6e5 e1h1 e8h8,-123
r1bqkb1r/p1pn1ppp/5n2/1p1Pp1B1/2p1P3/2N5/PP3PPP/R2QKBNR w KQkq -,a2a4 b5b4 c3b1 d7c5 g5f6 d8f6 b1d2 c4c3 b2c3 b4c3,-129
r1b4r/ppp1kpp1/2p2b1p/8/2B1P3/2P5/PP3PPP/RN2K2R w KQ -,,0
r1b1kb1r/pp2pppp/2n5/2pqP3/3p2n1/1P1P1N2/PBP1QPPP/RN2KB1R w KQkq -,e2e4 d5e4 d3e4 g4e5 f3e5 c6e5 f2f4 e5c6 c2c3 g7g6,-134
r2qk2r/pp2nppp/2nbp3/3p2Bb/3P4/2N2N1P/PPP1BPP1/R2Q1RK1 w kq -,d1d2 e8h8 f3h4 h5e2 c3e2 f7f6 g5e3 d8d7 a1d1 a8e8,-61
r6r/ppp1kpp1/2p2b1p/8/2B1P1b1/2P5/PP3PPP/RN3RK1 w - -,f2f4 b7b5 c4b3 g7g6 e4e5 f6g7 b1d2 h8d8 f1f2 a7a5,43
r4rk1/1bp3pp/1pq1pb2/p7/2P1R3/4P1P1/PPQB1PBP/R5K1 w - -,d2e1 a8d8 a2a4 c6d7 e4f4 b7g2 g1g2 d7d3 a1c1 d3c2,75
1qr5/1b2kpp1/p3p3/P7/1pN1P3/3B1P2/1P3KPr/4R3 w - -,c4e3 b8f4 e3f1 h2h1 b2b3 c8c3 d3e2 f4e5 e1d1 c3b3,-1046
r1b2rk1/1p3ppp/p1np4/3Bp3/8/B1n2N2/P1P2PPP/R4RK1 w - -,d5c4 f8d8 f1e1 c8e6 c4d3 f7f6 f3d2 b7b5 f2f4 a8c8,-379
r1bqk2r/pp2npbp/2n1p1p1/1B1pP1B1/3P4/5N2/PP3PPP/RN1QK2R w KQkq -,b5c6 b7c6 e1h1 h7h6 g5d2 c6c5 d4c5 e8h8 b2b4 e7c6,88
3r3r/ppp1kpp1/2p2b1p/8/2B1P1b1/N1P5/PP3PPP/R4RK1 w - -,f2f4 g7g6 e4e5 f6g7 f1f2 f7f6 h2h3 d8d1 a1d1 g4d1,12
3K4/3R4/8/k7/8/8/8/1r6 w - -,,0
rn1q1rk1/1bpp1ppp/1p2pn2/p7/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,c1d2 d7d5 c4d5 e6d5 a1c1 b8d7 a2a3 b4e7 f3e5 f6e4,37
rn2k1nr/1pp1qppp/1p6/4p3/4P1b1/3B1N2/PPP2PPP/R1BQK2R w KQkq -,a2a4 g8f6 h2h3 g4h5 e1h1 b8c6 c2c3 e7e6 d1e2 e8h8,39
r1bqk2r/p3npbp/2p1p1p1/3pP1B1/3P4/5N2/PP3PPP/RN1QK2R w KQkq -,e1h1 h7h6 g5e7 d8e7 d1c2 e8h8 b1d2 c8a6 f1e1 a6b5,89
rn2kbnr/pp3ppp/2p1p3/q2p4/3P1Bb1/2PBPN2/PP3PPP/RN1QK2R w KQkq -,b1d2 f8e7 h2h3 g4h5 a2a4 g8f6 e1h1 h5g6 d3g6 h7g6,93
rn1qkb1r/1b3ppp/p2ppn2/2p5/1p1PP3/2N3P1/PPP1NPBP/R1BQR1K1 w kq -,d4d5 b4c3 d5e6 f7e6 e4e5 b7g2 e5f6 g2f3 d1d3 f3e2,-106
3r3r/ppp1kpp1/2p2b1p/7b/2B1P3/N1P2P2/PP4PP/R4RK1 w - -,a1e1 g7g5 c4b3 h8e8 e4e5 f6g7 a3c4 e7f8 g2g3 b7b5,20
rnbqkb1r/ppp2pp1/4p2p/3p4/3Pn3/2N5/PPPB1PPP/R2QKBNR w KQkq -,f2f4 e4d2 d1d2 c7c5 g1f3 c5d4 c3b5 b8c6 b5d4 f8e7,-167
rnbqk2r/pp3ppp/3bp3/3p4/2pPn3/2P3B1/PP1N1PPP/R2QKBNR w KQkq -,d1c2 e4g3 h2g3 g7g6 b2b3 c4b3 a2b3 c8d7 d2f3 b8c6,-124
r1bq1rk1/pp1pnpbp/4p1p1/2p5/2PnP3/2NPB1P1/PP2NPBP/R2QK2R w KQ -,a2a3 d7d6 a1b1 b7b6 b2b4 c8b7 h2h4 h7h6 e1h1 d8d7,-12
rnb1kb1r/pp1p1ppp/2pP1n2/2q5/2P1p3/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,c1f4 f6h5 f4e3 c5d6 d1d6 f8d6 e1a1 d6e5 c3e4 h5f6,77
1r4k1/6bp/3p2p1/Rp1P1p2/1Pp4P/6P1/2nB1KB1/8 w - -,d2f4 g7d4 f2e2 b8e8 e2d1 c2e3 f4e3 e8e3 a5b5 e3g3,-441
r1b1kbnr/ppq2ppp/2n1p3/2p1P3/3pN3/5N2/PPPPBPPP/R1BQK2R w KQkq -,e1h1 c8d7 b2b4 c6e5 e4c5 f8c5 b4c5 e5f3 e2f3 g8e7,-23
r2qk2r/ppp2pp1/2np1n1p/4p3/1bB1P1b1/2NPB3/PPP1NPPP/R2Q1RK1 w kq -,h2h3 g4e6 c4b5 e8h8 f2f4 e5f4 e2f4 b4c3 b2c3 d8e7,67
2k5/1R6/K1P5/8/8/8/8/r7 w - -,,0
2q2rk1/p2nQpp1/3Rp3/1Pp1N3/P1b5/7P/5PP1/6K1 w - -,e5d7 f8e8 e7g5 g8h7 d7e5 h7g8 e5c4 c8c7 d6d1 e8f8,542
r1b1kbnr/ppppq1pp/2n5/3Qp3/5P2/5N2/PPP1P1PP/RNB1KB1R w KQkq -,f4e5 d7d6 c1g5 e7e6 b1c3 d6e5 e2e4 g8f6 g5f6 g7f6,93
r1bqkbnr/2p4p/p1pp1p2/4p1p1/3PP2B/5N2/PPP2PPP/RN1QK2R w KQkq -,,0
3r3r/p1p1kpp1/2p2b1p/1p5b/2B1P3/N1P2P2/PP4PP/R2R2K1 w - -,c4e2 b5b4 a3c4 b4c3 e4e5 d8d1 a1d1 f6g5 b2c3 h8d8,22
