rnbq1rk1/ppp2pb1/3p1npp/4p1B1/2B1P3/2PP1N2/PP3PPP/RN1Q1RK1 w - -,,0
rnb1k1nr/pp3ppp/2pp1q2/8/2NbPN2/8/PPP2PPP/R1BQKB1R w KQkq -,f1e2 d6d5 c4d6 f6d6 d1d4 g8f6 e4e5 c6c5 d4e3 d5d4,287
r1bqkb1r/ppp2ppp/1n1p1n2/4p3/4P3/1B3N2/PPPP1PPP/RNBQ1RK1 w kq -,d2d4 f8e7 d4e5 f6e4 d1e2 d6d5 f1d1 c7c6 c2c4 e8h8,84
r7/8/6pk/2R2p1p/5P1P/6PK/8/8 w - -,,0
rn1qk2r/1p2ppbp/p4np1/2pp4/3P1BbP/2NBPN2/PPP2PP1/R2QK2R w KQkq -,a2a3 c5d4 e3d4 b8c6 d3e2 f6e4 f3d2 e4c3 b2c3 g4e2,-62
rnb1k2r/ppp1q1bp/3ppnp1/5p2/2BP1B2/2P1PN1P/PP3PP1/RN1QK2R w KQkq -,b1d2 e8h8 e1h1 g8h8 f4g5 h7h6 g5f6 e7f6 e3e4 e6e5,11
2rr2k1/pbq1bppp/1p2p3/n1p5/3PP3/P1PB1N2/1B2QPPP/3RR1K1 w - -,f3e5 c5d4 c3d4 e7f6 f2f4 h7h6 e2f2 f6e5 f4e5 c7e7,33
r2qkb1r/pp3ppp/2n1bn2/2ppp3/4P3/2PP1Q1P/PP2BPP1/RNB1K1NR w KQkq -,e2d1 d8c7 b1d2 e8a8 d1c2 f8e7 f3e2 c5c4 g1f3 f6h5,-132
8/2K5/8/4BB2/k7/8/8/8 w - -,e2d1 d8c7 b1d2 e8a8 d1c2 f8e7 f3e2 c5c4 g1f3 f6h5,Mate
8/8/2K5/4BB2/8/k7/8/8 w - -,e2d1 d8c7 b1d2 e8a8 d1c2 f8e7 f3e2 c5c4 g1f3 f6h5,Mate
8/8/8/2K1BB2/8/1k6/8/8 w - -,e2d1 d8c7 b1d2 e8a8 d1c2 f8e7 f3e2 c5c4 g1f3 f6h5,Mate
8/7p/8/pPk5/P7/2K5/8/8 w - -,c3d3 c5b6 d3e4 b6a7 e4f5 a7b6 f5g5 b6b7 g5h6 b7c7,1267
r4rk1/pp2ppbp/1n4p1/8/3q4/1BN2Q1P/PP3PP1/R4RK1 w - -,a1e1 d4d7 e1c1 e7e6 f1d1 d7e7 c3b5 f8c8 c1c8 b6c8,-65
8/6K1/3k4/4rQ2/8/8/8/8 w - -,f5d3 e5d5 d3e3 d5f5 g7g6 f5e5 e3d4 d6e6 d4c4 e5d5,101
r1b1kb1r/pp1p1ppp/1q2pn2/8/3Q4/6P1/PPP1PPBP/RNB2RK1 w kq -,c1e3 b6d4 e3d4 d7d5 c2c4 f8e7 c4d5 e6d5 b1c3 e8h8,125
r1bqk2r/ppnpppbp/2n3p1/1B2P3/3P4/5N2/PP3PPP/RNBQ1RK1 w kq -,b1c3 c7b5 c3b5 a7a6 b5c3 d7d6 e5d6 d8d6 d4d5 c6b4,42
rn2k2r/1bqp1ppp/p2bpn2/1p6/3NP3/P1NBB3/1PP2PPP/R2Q1RK1 w kq -,f2f4 d6c5 e4e5 f6d5 c3d5 b7d5 d1e1 b8c6 d4f5 c5e3,60
r1b1kbnr/ppp1qppp/2n5/4P3/4p3/2P5/PP1NQPPP/R1B1KBNR w KQkq -,d2e4 c6e5 c1g5 f7f6 g5f4 c8d7 e1a1 e8a8 g1f3 e7e6,39
1rbqr1k1/1pn2pbp/p2p1np1/2pP4/P3P3/2N5/1P1NBPPP/R1BQR1K1 w - -,f2f3 f6h5 g2g3 b7b5 d2b3 c8d7 e2f1 f7f5 a4b5 a6b5,-56
r2q1rk1/p1pp1ppp/bpn2n2/8/2PPp3/P1P1P3/2B1NPPP/R1BQ1RK1 w - -,a3a4 a6c4 f2f3 d7d5 f1f2 f8e8 e2g3 c6a5 f3e4 d5e4,-104
