r4r1k/pp2bpp1/1q2p2p/2p1n2P/4N3/2B5/PPP1QP2/1K1R2R1 b - -,b6c6 c3e5 f7f6 e5d6 e7d6 e4d6 c6c7 e2e3 a8d8 e3e6,410
8/8/6p1/8/6P1/4Nk2/3K4/8 b - -,f3f2 e3d5 f2g3 d5f6 g3h4 d2d3 h4g5 f6d5 g5g4 d3e3,Mate
r4r1k/pp2b1p1/1q2pp1p/2p1n2P/4NP2/2B5/PPP1Q3/1K1R2R1 b - -,b6c7 f4e5 f6f5 e2g2 f8g8 e4d6 e7g5 d6b7 g5e3 g1e1,420
4r1k1/5ppp/2pb4/1p1n4/3PN1b1/1BPQ2Pq/1P3P1P/R1B3K1 b - -,d6c7 f2f3 g4c8 c1d2 h3h5 a1e1 g8f8 c3c4 b5c4 b3c4,126
8/8/6p1/8/6P1/3KN3/5k2/8 b - -,f2f3 d3d2 f3f4 d2e2 f4g3 g4g5 g3f4 e2f2 f4g5 f2g3,Mate
8/8/5k2/8/2B3K1/8/3N4/8 b - -,f6e5 d2b3 e5e4 g4g3 e4e3 c4b5 e3e4 g3f2 e4f4 b3c5,162
rnbqk2r/p1ppbppp/1p2pn2/8/3PP3/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,d7d6 c2c4 c8b7 b1c3 e8h8 d4d5 f8e8 f3d4 c7c5 d4e2,91
1r2Q3/R2K1k2/8/8/8/8/8/8 b - -,,0
r1bqkbnr/ppp2ppp/2n5/1B6/Q2pP3/5N2/PP1P1PPP/RNB1K2R b KQkq -,d8f6 f3d4 f8c5 d4f3 c8g4 b5c6 b7c6 d2d4 g4f3 d4c5,113
r2q1rk1/pQp2bpp/3b4/3B1p2/3p4/3PP1P1/PP3P1P/R1B2RK1 b - -,d8d7 b7c6 d7c6 d5c6 a8b8 b2b3 d6c5 c1d2 f8d8 a1c1,230
r1b1kb1r/ppqnpppp/2p2n2/3p4/3P4/1P2PN2/PBPN1PPP/R2QKB1R b KQkq -,b7b6 f1d3 e7e6 e1h1 f8d6 d1e2 c8b7 c2c4 e8h8 e3e4,81
rnbqk2r/pp3ppp/4pn2/2Pp4/4P3/P1B5/1PP2PPP/R2QKBNR b KQkq -,d5e4 d1d8 e8d8 e1a1 c8d7 g1e2 d8e7 c3e5 f6g4 e5g3,120
rnbq1rk1/1pp1ppbp/p2p1np1/8/2BPP3/1PN2N2/PBP2PPP/R2QK2R b KQ -,b7b5 c4d3 c8b7 e4e5 f6h5 d3e4 d6d5 e4d3 c7c5 c3e2,-55
1r4k1/5pB1/p5p1/2pPQ3/2B1p1R1/1P6/P4q2/3K4 b - -,b8d8 g4e4 f2g1 d1c2 g1f2 e4e2 f2f5 e5f5 g6f5 g7f6,940
