8/2P1k3/2K5/R7/8/8/8/1r6 b - -,b1c1 c6b7 e7d7 a5d5 d7e6 d5d2 c1b1 b7c8 b1h1 d2b2,9605
r3r1k1/pp3ppp/2pb4/5p2/3P3n/2P1B2Q/PP3PBq/R3RK2 b - -,h4g2 h3g2 h2h5 e3g5 f5f4 f2f3 h7h6 g5f6 g7g5 a1d1,-468
8/2P1k3/1K6/R7/8/8/8/2r5 b - -,,0
8/6RK/5k1P/8/8/8/8/r7 b - -,,0
r1bqr1k1/pp3p1p/2np1npb/4p3/4PP2/1PNB2P1/PBPQ3P/2KR2NR b - -,c6d4 c1b1 c8g4 d1f1 d6d5 h2h3 d5e4 h3g4 e4d3 d2d3,-43
r3r1k1/pp3ppp/2pb4/5p2/3P4/2P1B3/PP3PQq/R3RK2 b - -,h2h5 e3g5 f5f4 f2f3 h7h6 g5f6 g7g5 a1d1 h5g6 f6e5,-456
2rq1rk1/pp3ppp/4bb2/3p4/3P1B2/1Q5P/PP3PP1/3RRBK1 b - -,d8d7 f4e5 f6h4 f1d3 a7a6 d3b1 c8c6 a2a3 f8c8 b3f3,28
r2q1rk1/1b2bppp/p1np1n2/1pp1p3/4P3/2PP1NN1/PPB2PPP/R1BQR1K1 b - -,b7c8 h2h3 c8e6 d3d4 e5d4 c3d4 c5d4 f3d4 c6d4 d1d4,48
r1b1k1nr/pp2ppbp/n5p1/1N1q4/3N4/2P5/PP3PPP/R1BQKB1R b KQkq -,c8d7 f1e2 g8f6 e1h1 e8h8 e2f3 f6e4 d1e2 f7f5 f1d1,60
8/1KP1k3/8/R7/8/8/8/2r5 b - -,e7d7 a5d5 d7e6 d5d2 c1c3 c7c8q c3c8 b7c8 e6e5 c8d8,467
8/8/8/1N6/3K4/8/1k6/5B2 b - -,b2c2 f1c4 c2d2 c4d3 d2d1 b5c3 d1c1 c3e2 c1b2 d4c4,196
r3kbnr/pp2pppp/1qB5/2ppP3/3P2b1/5N2/PPP2PPP/RNBQ1RK1 b kq -,b7c6 d4c5 b6c5 c1e3 c5a5 c2c4 e7e6 c4d5 g4f3 d1f3,87
8/1Q3pkp/6p1/6q1/3P4/P4P1P/1P4PK/8 b - -,g5c1 b7b8 g6g5 b2b4 h7h5 b4b5 g5g4 f3g4 h5g4 b8g3,582
r1b1k2r/1pqnpp2/p2p4/4n1B1/4P3/1NP5/P1PQB1PP/R4RK1 b kq -,b7b6 d2e3 c8b7 b3d2 a8c8 c3c4 a6a5 a1b1 b7a6 b1b3,19
rnbqkbnr/pp3ppp/4p3/2ppP3/5P2/1P3N2/PBPP2PP/RN1QKB1R b KQkq -,a7a6 c2c3 b8c6 b1a3 d8b6 a3c2 c8d7 c2e3 h7h5 f1e2,15
rnbqkb1r/pp2pppp/8/2p5/2BPP3/2P5/P4PPP/R1BQK1NR b KQkq -,g7g6 d1b3 e7e6 g1f3 f8g7 c1a3 b8d7 e1h1 e8h8 d4c5,97
r1bqkbnr/pp1n1pp1/2pp3p/4p3/3PP3/2N1BN2/PPP1BPPP/R2QK2R b KQkq -,f8e7 a2a4 g8f6 a4a5 e8h8 e1h1 f8e8 f1e1 e5d4 e3d4,48
r1bqkb1r/pp1n1pp1/2pp1n1p/4p3/3PP3/2N1BN1P/PPP1BPP1/R2QK2R b KQkq -,f8e7 a2a4 e8h8 a4a5 d6d5 f3e5 f6e4 c3e4 d5e4 a5a6,32
r1bq1rk1/ppb2ppp/2n1p3/3n4/8/1N2N1P1/PP2PPBP/R1BQ1RK1 b - -,c7e5 e3d5 e6d5 d1d5 d8d5 g2d5 f8e8 f1d1 e5f6 d5f3,41
1rb2r2/1p1n1pk1/2p1n3/p2BP2p/3P3R/2N4P/PP1Q4/5K2 b - -,d7c5 h4h5 f7f6 d2h6 g7f7 e5f6 f7e8 h6g6 e8d8 d4c5,707
rnbq1rk1/pp3ppp/2pb1p2/3p4/2PP4/4P1P1/PP3PBP/RN1QK1NR b KQ -,d5c4 g1e2 b8d7 b1c3 d7b6 e1h1 g7g6 c3e4 c8f5 e4d6,-78
8/5r2/8/4K1k1/8/8/1Q6/8 b - -,f7f5 e5e4 f5f4 e4e3 f4f5 b2d2 f5f4 d2g2 f4g4 g2h2,255
8/p7/8/8/1P5k/5K2/8/8 b - -,f7f5 e5e4 f5f4 e4e3 f4f5 b2d2 f5f4 d2g2 f4g4 g2h2,Mate
r2qkb1r/ppp1pppp/2n2nb1/3pN3/3P2PP/2N5/PPP1PP2/R1BQKB1R b KQkq -,c6e5 d4e5 f6g4 d1d4 h7h5 f2f3 g4h6 d4d5 c7c6 d5d8,98
r1b2rnk/ppp2ppp/1bnp1q2/8/NPB1P3/P4N1P/5PP1/1RBQ1RK1 b - -,f6g6 b4b5 c8h3 f3g5 c6e5 c4e2 h3g4 e2g4 e5g4 d1g4,-12
r2qkbnr/ppp1pppp/1n6/3p1b2/P2P4/2N2NP1/1PP1PP1P/R1BQKB1R b KQkq -,c7c6 a4a5 b6d7 f1g2 e7e6 e1h1 g8f6 f3h4 f8b4 h4f5,69
8/5pkp/6p1/3R3P/3P2P1/5P2/r7/4K3 b - -,h7h6 d5e5 g7f6 h5g6 f7g6 e5e3 f6f7 e3e2 a2a4 d4d5,6
r1bqkbnr/ppp2ppp/2np4/3Np3/2B1P3/5Q2/PPPP1PPP/R1B1K1NR b KQkq -,c6d4 f3d1 c7c6 d5e3 b7b5 c4d3 g7g6 c2c3 d4e6 g1f3,-30
8/6k1/6pp/3R2P1/3P4/5P2/r7/4K3 b - -,a2a1 e1e2 a1a2 e2e3 h6g5 d5g5 g7f6 g5e5 a2a3 e3e4,12
8/5k2/6p1/3PR1Pp/8/5P2/3K4/r7 b - -,h5h4 d5d6 a1a7 d2e3 h4h3 e3f2 a7a2 f2g3 h3h2 e5e7,4
8/3K4/r3P1k1/8/8/8/8/5R2 b - -,,0
rnbqkb1r/ppp2ppp/4p3/3pPn2/3P1PP1/2N2N2/PPP4P/R1BQKB1R b KQkq -,f5h6 h2h3 c7c5 c1e3 c5c4 f1g2 f8b4 e1h1 b4c3 b2c3,141
r2qkbnr/pp3ppp/2n1p3/1BppP3/3P4/5Q1P/PPP2PP1/RNB2RK1 b kq -,c5d4 f1e1 a7a6 b5d3 c6b4 a2a3 b4d3 c2d3 g8e7 b1d2,-61
rnb1kb1r/ppp2ppp/5n2/3qp3/8/2PP4/PP2NPPP/RNBQKB1R b KQkq -,c8e6 b1d2 h7h5 e2g3 h5h4 g3e4 h4h3 g2h3 d5d7 e4g5,-89
r2q1rk1/1p1bppbp/3p1np1/8/p1PBP2P/2N2P2/PP1QB1P1/2KR3R b - -,f6h5 d4g7 g8g7 h1g1 h5g3 h4h5 g3e2 d2e2 a8c8 c1b1,70
rnbq1rk1/ppp1ppbp/5np1/3P2N1/2B5/2NP4/PPP2PPP/R1BQK2R b KQ -,a7a6 a2a4 c7c6 d5c6 b8c6 e1h1 b7b6 c3e4 f6e4 d3e4,48
rnbqkb1r/p4ppp/1p3n2/2ppN3/3PP3/2N5/PP3PPP/R1BQKB1R b KQkq -,f8d6 f1b5 e8f8 c1f4 a7a6 b5e2 a8a7 e4d5 a7e7 a1c1,232
r3r1k1/pp3ppp/1npqb1n1/3p4/P2P4/3BPN1P/1PQ1NPP1/1RR3K1 b - -,d6e7 e2f4 g6f4 e3f4 e7f6 f4f5 e6d7 f3e5 a8d8 c1e1,73
