6k1/p6p/6p1/4bp2/1P2p1bP/P3P3/5PP1/2r2NK1 b - -,g6g5 f8g8 g5h4 g8a8 b5b4 e4e5 f4f3 e5d5 h4g3 a8a3,Mate
8/4K3/7Q/8/8/8/6p1/1q5k b - -,,0
r1bR4/bp3k2/p3p2p/4R2P/3N3p/2P5/PP3PBK/3r4 b - -,a7b8 f2f4 b8e5 f4e5 d1e1 d4f3 e1e2 d8h8 f7g7 h8e8,-68
r1bq1rk1/pp2bppp/4pn2/6B1/1nBP4/2N2N2/PP2QPPP/R2R2K1 b - -,a7a6 a2a3 b4d5 f3e5 h7h6 g5h4 d5c3 b2c3 f6d5 h4e7,46
2r2rk1/1p1b2q1/3p1b2/pNnPp2p/P1P1Pp2/3B1P2/1PQ1K1PN/R5R1 b - -,d7b5 a4b5 f6d8 a1a3 d8b6 g1e1 g7g3 h2f1 g3g2 e2d1,-232
5b1k/5qpp/8/Q3B3/P4p2/1r1r1B1P/5PP1/4RK2 b - -,h8g8 a5a8 b3a3 f3e4 d3d7 a8c6 d7d8 f1g1 f4f3 e4f3,71
8/4R3/8/6P1/3BkPK1/4P2P/P7/5r2 b - -,e4d3 g5g6 f1f2 g6g7 f2a2 g4f5 a2a5 f5g6 a5a8 g6g5,1498
5k2/2R1b3/6p1/4P3/4KP2/6B1/7P/7r b - -,h1b1 f4f5 g6f5 e4f5 b1a1 c7c8 f8g7 g3f4 a1a2 c8c6,413
8/2p5/1p6/8/8/3K4/1q2NRpk/8 b - -,h1b1 f4f5 g6f5 e4f5 b1a1 c7c8 f8g7 g3f4 a1a2 c8c6,Mate
3R4/8/8/5p2/2k1p3/4K1P1/1r6/8 b - -,b2b3 e3f2 b3f3 f2g2 f3d3 d8f8 d3d2 g2f1 d2d5 f1e2,-20
r1bqkb1r/ppp2ppp/2n1p3/3n4/3P4/2N1P3/PP2NPPP/R1BQKB1R b KQkq -,b7b6 e3e4 d5c3 b2c3 c8b7 e2g3 h7h5 h2h4 d8d7 f1b5,17
r3r3/pppbqppk/3P3p/3Pp2n/1P2P3/B2Q1N2/P4PPP/R3R1K1 b - -,h5f4 d6e7 f4d3 e1e3 d7b5 g2g3 e8e7 a1d1 f7f5 e4f5,82
r3rb2/pp3kpp/1qb2n2/2p4P/2Pp2P1/P2B1P2/1PPB3Q/2KRR3 b - -,c6f3 g4g5 f3d1 e1d1 f7g8 g5f6 b6f6 d1f1 f6e6 h2g2,-28
3k4/3Pb3/8/6p1/1r6/5K2/1p1N4/1R6 b - -,d8d7 f3e3 e7f6 e3d3 d7e6 b1e1 e6f5 e1b1 b4f4 d2f1,-541
3R4/8/8/5p2/2k1p3/1r4P1/5K2/8 b - -,b3b5 f2e3 b5b3 e3f2 b3f3 f2g2 f3d3 d8f8 d3d5 g2f2,-19
r1bqkbnr/pp1p1ppp/2n1p3/8/3NPP2/2N5/PPP3PP/R1BQKB1R b KQkq -,g8f6 e4e5 f6d5 c3e4 c6d4 d1d4 b7b5 c1d2 a7a6 a2a4,53
1r6/5p2/5k2/p2p2p1/2pP1b1p/B1PbNP1P/P5P1/3KR3 b - -,b8b1 a3c1 f6g6 a2a3 b1a1 d1d2 f7f6 d2d1 g6f7 d1d2,-577
8/4R3/6P1/8/3B1PK1/3kP2P/P7/5r2 b - -,f1c1 e7e8 c1g1 g4f5 g1g2 g6g7 g2a2 f5g5 a2g2 g5f6,1620
rn2k2r/1b5p/pp1p2pq/2pP1p2/P7/2N3Q1/1P2PPBP/R3K2R b KQkq -,h6f8 f2f4 b8d7 e1a1 e8a8 e2e4 d8e8 g3h4 h8g8 h1e1,-88
r3rbk1/1b1n1p2/1q1pp3/6PQ/1pn1PP2/1N5R/1PP3BP/2B2R1K b - -,f8g7 f4f5 e6f5 g5g6 f7g6 h5h7 g8f7 h3g3 c4e5 f1f5,128
1r2rnk1/1pnqp1bp/p2p2p1/2pP2N1/P1P2P2/1PNQ2P1/3BR2P/4R1K1 b - -,b7b5 a4a5 g7d4 g1g2 b5c4 b3c4 e7e6 g5e4 b8b3 d3c2,89
r4rk1/2qnbpp1/p1p2np1/1p2p2P/4P1P1/2NBB3/PPP1QP2/1K1R3R b - -,g6h5 g4g5 g7g6 g5f6 d7f6 d1f1 a6a5 f2f4 a5a4 f4f5,337
3R4/8/8/5p2/2k1p3/5rP1/6K1/8 b - -,f3d3 d8f8 d3d5 g2f2 c4d4 f8c8 d5a5 c8d8 d4e5 d8g8,-16
r1bq1rk1/p2n2pp/1pn1p3/3pP1b1/3P4/7P/PPB2Pp1/R1BQRNK1 b - -,g2f1r e1f1 g5c1 a1c1 d8g5 g1h1 g5h4 d1g4 h4g4 h3g4,-826
7r/p3bkpp/4p3/5p2/B2B4/2N2P2/Pq3PKP/1R6 b - -,b2d2 d4e5 e7f6 b1b7 f7g6 b7d7 d2d7 a4d7 f6e5 c3b5,-532
4r2k/5bp1/2Q3p1/1p4p1/3PP3/P1P2nP1/5P2/1R5K b - -,f3d2 b1e1 e8d8 c6c5 d8e8 c5g5 d2c4 e4e5 h8h7 f2f3,527
4rrk1/pppq3p/4pp2/3p2p1/3P4/3RPNP1/PPPQ2P1/2K5 b - -,c7c6 d3a3 a7a6 c1b1 f8f7 a3b3 e6e5 d4e5 f6e5 a2a4,-385
8/5p2/5k2/p2p2p1/2pP1b1p/2PbNP1P/P5P1/1rBKR3 b - -,f6g6 d1d2 b1a1 d2d1 f7f6 a2a3 g6f7 d1d2 f4g3 e3d5,-617
5R2/8/8/5p2/2k1p3/3r2P1/6K1/8 b - -,d3d2 g2f1 d2d5 f1f2 c4d4 f8g8 d5c5 g8d8 d4e5 d8g8,-15
rn2kq1r/1b5p/pp1p2p1/2pP1p2/P4P2/2N3Q1/1P2P1BP/R3K2R b KQkq -,b8d7 e2e4 e8a8 e1a1 d8e8 e4f5 g6f5 g2h3 c8b8 h1e1,-79
2kr1b1r/1p1n2pp/p1q2p2/1PpNp3/2P5/3P4/P2BQ1PP/R4RK1 b - -,a6b5 d2a5 b7b6 e2e4 c6e6 a5c3 b5b4 c3e1 g7g6 e1h4,63
1n1R1rk1/6pp/B3pq2/4p3/8/1NQ2P2/PPP2B2/2K5 b - -,f8d8 a6b7 b8d7 c3e3 h7h5 b3d2 d7f8 d2e4 f6f7 b7a6,339
3rr1k1/pp3pb1/1np3pp/8/3P4/3R1P2/P3BP1P/2B2K1R b - -,b6d5 h1g1 h6h5 c1e3 g8h7 d3b3 d8d7 f3f4 g7h6 e2f3,-273
r3r3/pp1bqppk/3p3p/1P1Pp2n/4P3/B2Q1N2/P4PPP/R3R1K1 b - -,h5f4 d3b3 f7f5 e4f5 d7f5 a3c1 f4d3 e1d1 d3c5 b3e3,-86
r1b1kb1r/pp3ppp/2n1p3/3n4/8/4PNP1/PP3PBP/RNB1K2R b KQkq -,f8e7 e1h1 e8h8 c1d2 f8d8 b1c3 d5b6 f3d4 c6d4 e3d4,-17
r5kr/pp3ppp/3R1n2/8/2B5/5P2/PPP4P/R5K1 b - -,g8f8 a1e1 a8e8 e1e8 f8e8 d6d3 h8f8 d3a3 a7a6 a3b3,107
r1bqr1k1/pp3pp1/3bpn1p/4N3/2PQ1B2/8/PPB2PPP/R4RK1 b - -,d6b8 d4e3 b8e5 e3e5 c8d7 a2a4 a8c8 b2b3 a7a6 a1c1,97
8/5p2/6k1/p2p2p1/2pP1b1p/2PbNP1P/P2K2P1/1rB1R3 b - -,b1a1 d2d1 f7f6 a2a3 g6f7 d1d2 f4g3 e3d5 g3e1 d2e1,-700
2kr1b1r/ppqbn1pp/4p3/2ppP3/P4B2/2PB4/1P3PPP/RN1Q1RK1 b - -,c5c4 d3c2 e7c6 d1e2 f8e7 b1d2 g7g5 f4e3 c7e5 a4a5,-58
5qk1/1P4p1/4p1p1/4Q3/2P2P2/6KP/P2R2P1/2r5 b - -,f8a3 g3h2 c1b1 b7b8q b1b8 e5b8 a3f8 d2d8 f8d8 b8d8,Mate
7r/p3bkpp/4p3/4Bp2/B7/2N2P2/P2q1PKP/1R6 b - -,e7f6 b1b7 f7g6 b7d7 d2d7 a4d7 f6e5 c3b5 a7a6 f3f4,-537
8/4R1P1/8/8/3B1PK1/3kP2P/P7/2r5 b - -,c1c8 f4f5 c8c2 f5f6 c2g2 g4h5 g2g3 h3h4 g3f3 g7g8q,3051
8/8/8/8/5B2/5p1k/3r4/6K1 b - -,c1c8 f4f5 c8c2 f5f6 c2g2 g4h5 g2g3 h3h4 g3f3 g7g8q,Mate
r1q2rk1/1bp3bp/p2p2p1/1p1Pp3/4N3/1P1QB3/1PP2PPP/R2R2K1 b - -,g7f6 f2f3 f6e7 c2c4 c8d7 e3g5 e7g5 e4g5 f8f5 g5e4,124
r1bqk2r/1pp1b1pp/2n1pn2/pB1p4/P2P4/1N3N2/1PPB1PPP/R2QK2R b KQkq -,c8d7 b5c6 d7c6 b3a5 c6d7 a5b7 d8b8 b7c5 e7c5 d4c5,169
r1bqkb1r/pp1p1ppp/2n1pn2/4P3/3N1P2/2N5/PPP3PP/R1BQKB1R b KQkq -,f6d5 c3e4 d8a5 c1d2 a5a4 c2c4 a4d1 a1d1 c6d4 c4d5,62
r2qkbnr/1ppb1ppp/p1n5/3NP3/B2P4/5N2/PPP3PP/R1BQK2R b KQkq -,c6e7 a4b3 e7d5 b3d5 d7a4 d5b7 a8b8 b7e4 f8b4 c1d2,363
1k2r2r/1b1n3p/pp1p1qp1/2pP1P2/P4P2/2N3QB/1P5P/2KR1R2 b - -,g6f5 f1e1 h8g8 e1e8 g8e8 g3g5 e8f8 g5f6 d7f6 h3f5,-82
7r/pR3kpp/4pb2/4Bp2/B7/2N2P2/P2q1PKP/8 b - -,f7g6 b7d7 d2d7 a4d7 f6e5 c3b5 a7a6 f3f4 e5f4 b5d4,-537
r3r1k1/1b1n1pb1/1q1pp3/5PPQ/1pn1P3/1N5R/1PP3BP/2B2R1K b - -,e6f5 g5g6 f7g6 h5h7 g8f7 h3g3 c4e5 f1f5 d7f6 c1f4,125
3rr1k1/pp3pb1/2p3pp/3n4/3P1P2/3R4/P3BP1P/2B2K1R b - -,d5e7 h1g1 d8d4 d3d4 g7d4 h2h4 g8g7 a2a4 e7f5 h4h5,-294
r1bq1rk1/1pp1bppp/2n2n2/p3p3/4P3/2P2NP1/PP1N1PBP/R1BQ1RK1 b - -,e7c5 d1c2 d8e7 d2c4 f8d8 c1e3 c8e6 e3c5 e7c5 c4e3,-32
3r4/2p2kp1/1p5p/2p1Pp2/p3bP2/P1P1B1PP/2P4K/2R5 b - -,f7e6 h2g1 c5c4 g1f2 d8d5 c1b1 e4c2 b1b2 c2b3 b2d2,-139
r3r1k1/ppp2pp1/2p4p/2P3q1/1P4Q1/3RB3/P3KPPP/7R b - -,g5g4 e2d2 g4b4 d2e2 b4c4 h1c1 c4c1 e2f3 c1c2 d3d4,-1059
8/1Q4pk/3r2rp/3N4/1P1PP2b/P7/4R1PP/5BK1 b - -,h6h5 e4e5 d6c6 b7f7 g6e6 b4b5 c6c1 f7e6 h4g5 e2f2,1128
8/8/8/8/2KR1k2/7R/8/8 b - -,g6g5 e4e5 d6d8 b7f7 h7h8 d5f4 g5g4 f4e6 d8g8 d4d5,Mate
r3rbk1/pp3ppp/1qb2n2/2p3N1/2Pp1QPP/P2B1P2/1PPB4/2KRR3 b - -,e8e7 e1e7 f8e7 d3h7 g8f8 h7d3 c6d7 f4h2 e7d6 d2f4,271
1r2rnk1/2nqp1bp/p2p2p1/PppP2N1/2P2P2/1PNQ2P1/3BR2P/4R1K1 b - -,g7d4 g1f1 e7e6 g5f3 b5c4 b3c4 e6d5 f3d4 c5d4 c3d5,83
r1bqk2r/1p2bppp/2n5/2Ppp3/PP6/5NPP/3BPK2/RN1Q1B1R b kq -,h7h5 e2e3 h5h4 f1b5 e8h8 f2g2 e7f6 b5c6 b7c6 b1c3,254
r1b4r/p3k1bp/2p1pnB1/4p3/8/2N5/PPP2PPP/R1B1R1K1 b - -,h8d8 g6d3 a7a5 e1e5 a5a4 e5c5 c8a6 d3a6 a8a6 g1f1,314
rnbqk2r/ppp1npp1/3b3p/3p4/3P3B/2N2N2/PPP2PPP/R2QKB1R b KQkq -,,0
4r3/1p1k1N2/p5p1/2Qq2p1/PP6/5R1P/6K1/8 b - -,d5c6 f7e5 e8e5 c5e5 g5g4 h3g4 g6g5 g2g3 c6g6 e5d5,728
r4rk1/2qnb1p1/p4np1/2p1p3/2Q1P1P1/2N1B3/PPP2P2/1K1R3R b - -,f8f7 h1h8 g8h8 c4f7 d7f8 d1h1 f8h7 g4g5 a8f8 f7g6,Mate
7r/p2R2pp/4pbk1/4Bp2/B7/2N2P2/P2q1PKP/8 b - -,d2d7 a4d7 f6e5 c3b5 a7a6 f3f4 e5f4 b5d4 g6f6 d4e6,-537
8/2p5/1p6/8/8/4K3/4NRpk/1q6 b - -,d2b2 e5f6 g6f6 c3b5 b2a2 a4d1 a2a5 b5d6 h8d8 d6c4,Mate
8/Q6p/5ppk/4q3/p1p4P/5BP1/1P1n1PK1/8 b - -,d2f3 g2f3 e5d5 f3e2 d5d3 e2e1 d3b1 e1e2 b1b2 e2f3,-273
2kr3r/ppqbb3/2n1p3/2ppP1pp/P7/N1PB2BP/1P3PP1/R2QR1K1 b - -,a7a6 a3c2 c5c4 d3e2 h5h4 g3h2 c7b6 e2g4 h8f8 d1d2,-100
5k2/2R1b3/6p1/3KP3/5P2/6B1/7P/r7 b - -,a1a8 c7c6 f8f7 g3f2 a8d8 d5e4 d8e8 f2d4 e7h4 c6c7,372
r4rk1/ppp1bppp/8/n2nNq2/8/3P4/PPP1QPPP/RNB2RK1 b - -,f8e8 e5f3 e7g5 f3d4 f5d7 e2f3 g5f6 d4f5 a5c6 f5e3,20
r4R2/6P1/8/8/3B1PK1/3kP2P/P7/8 b - -,a8a2 g7g8q a2g2 g4h5 g2c2 g8b3 d3d2 f4f5 c2c7 h5g5,9605
3q1rk1/Q2nbppp/2p1pn2/3p1bB1/3P4/P1P1PN1P/1r1N1PP1/R3KB1R b KQ -,h7h6 g5f4 c6c5 a3a4 c5c4 a4a5 d8a8 a7a8 f8a8 g2g4,-144
2k1r2r/pppq1ppp/5n2/2bP3b/2Bn4/P2P1PQ1/1PPK3P/RNB3NR b - -,b7b5 c4a2 d4f5 g3g2 c5e3 d2d1 e3c1 d1c1 e8e1 c1d2,-572
r5kR/2qnbrp1/p4np1/2p1p3/2Q1P1P1/2N1B3/PPP2P2/1K1R4 b - -,g8h8 c4f7 d7f8 d1h1 f8h7 g4g5 a8f8 f7g6 h8g8 g5f6,364
7r/p2R2pp/4pBk1/5p2/B7/2N2P2/P4PKP/4q3 b - -,g7f6 d7c7 g6h6 f3f4 h8g8 g2f3 e1d2 c3d1 d2a5 c7c3,-652
r2qkbnr/2pb1ppp/p1n5/1p1NP3/3P4/1B3N2/PPP3PP/R1BQK2R b KQkq -,g8e7 e1h1 d7g4 d5e3 g4h5 a2a4 c6a5 b3a2 b5b4 c2c3,413
r1bq1rk1/p2n2pp/1pn1p3/3pP3/1P1P3b/7P/P1B2Pp1/R1BQRNK1 b - -,g2f1q e1f1 c6b4 c2a4 c8a6 f2f4 a6f1 g1f1 a8c8 d1g4,-793
r1bqr1k1/pp1n1pbp/2pp1np1/4p3/1PPP4/2NBPN1P/P1Q2PP1/R1B2RK1 b - -,d8e7 f3d2 d6d5 b4b5 e5d4 e3d4 d5c4 d2c4 d7b6 c1a3,12
8/5pk1/p1R1p1p1/1p6/7p/r1P1K3/6PP/8 b - -,b5b4 e3e4 b4c3 c6c5 g7f6 e4f4 a6a5 f4f3 c3c2 f3e2,-851
rn2kb1r/pp2pppp/2p2n2/q4b2/8/2NP4/PPPBQPPP/2KR1BNR b kq -,b8d7 g1f3 e8a8 f3d4 e7e6 c1b1 f5g6 d1e1 a5a6 f2f4,44
1r2rnk1/2nqp1bp/p2p2p1/P1pP2N1/2P2P2/2NQ2P1/3BR2P/4R1K1 b - -,g7f6 c3e4 f6d4 g1g2 b8b2 d2c3 d4c3 d3c3 b2e2 e1e2,134
r4n1k/2q1bQp1/p4np1/2p1p3/4P1P1/2N1B3/PPP2P2/1K5R b - -,f6h5 g4h5 e7h4 f7c7 g6g5 h5h6 g7h6 c7e5 h8h7 h1h4,955
r2qkbnr/2pb1ppp/p7/np1NP3/3P4/1B3N2/PPP3PP/R1BQ1RK1 b kq -,d7e6 d5f4 a5b3 a2b3 h7h6 f3e1 g8e7 c1e3 e6d5 e1d3,403
6R1/8/8/5K2/3B1P2/3kP2P/8/8 b - -,f8e7 f3g5 g8h6 d5e7 a5b3 a2b3 d8e7 e5e6 f7e6 d1f3,Mate
rnbqkbnr/1p3ppp/p7/3p4/3PpB2/2N1P1P1/PP3P1P/R2QKBNR b KQkq -,c8e6 d1b3 b7b5 g1h3 g8f6 h3g5 e6g4 f1h3 g4h3 g5h3,20
5k2/2RKb3/r5p1/4P3/5P2/6B1/7P/8 b - -,e7b4 c7c6 a6a7 d7e6 f8g7 g3h4 b4f8 h4g5 g7h7 f4f5,424
8/5p2/6k1/p2p2p1/2pP1b1p/P1PbNP1P/3K2P1/r1B1R3 b - -,f7f6 d2d1 g6f7 d1d2 f4g3 e3d5 g3e1 d2e1 a1c1 e1f2,-669
7r/p6p/4ppk1/5p2/B7/2NR1P2/P4PKP/4q3 b - -,g6h5 f3f4 h8g8 g2f3 e6e5 d3e3 e5e4 c3e4 f5e4 e3e4,-803
rn1qk2r/1p2b1pn/p1ppp2p/8/4PP2/2N1B3/PPPQB1PP/2KR3R b kq -,e8h8 h2h4 e6e5 f4e5 b8d7 e5d6 e7h4 e4e5 d7e5 c3e4,282
r2qkbnr/2pb1ppp/p7/1p1NP3/3P4/1P3N2/1PP3PP/R1BQ1RK1 b kq -,d7c6 d5f4 c6b7 c2c4 g8e7 e5e6 f7f6 d4d5 g7g6 g1h1,404
r1bq1rk1/p2n2pp/1pn1p3/3pP3/1P1P3b/7P/P1B2P1K/R1BQRq2 b - -,d7c6 d5f4 c6b7 c2c4 g8e7 e5e6 f7f6 d4d5 g7g6 g1h1,Mate
3N4/1pk5/p1P3p1/P5p1/r7/2R3KP/8/8 b - -,b7b5 a5b6 c7b6 c6c7 a4a3 c7c8q a3c3 c8c3 b6b5 c3c6,1334
r3rb2/pp3kp1/1qb2n1p/2p3P1/2Pp1Q1P/P2B1P2/1PPB4/2KRR3 b - -,b6d8 f4f5 c6d7 f5g6 f7g8 g5f6 d8f6 g6h7 g8f7 e1g1,302
r1b1k2r/4qpp1/3Bpn2/7p/4P2P/2N3Q1/PPP2PP1/2K4R b kq -,e7a7 g3g7 h8g8 g7f6 c8a6 h1d1 a7d7 e4e5 a6c4 b2b3,578
r1bqkb1r/pp1p1ppp/2n5/3pP3/3N1P2/4B3/PPP3PP/R2QKB1R b KQkq -,d8b6 c2c3 f8c5 b2b4 c5d4 e3d4 c6d4 d1d4 d7d6 d4d5,46
2kr1b1r/1p1n2pp/2q2p2/1ppNp3/2P5/3P4/P2BQ1PP/RR4K1 b - -,d7b6 d5b6 c6b6 b1b5 b6d6 e2d1 d6d3 a1b1 d3d2 d1a4,43
5b2/1p5p/p4kp1/8/5B2/P1P4P/1P3KP1/8 b - -,h7h5 a3a4 f6f5 f2e3 b7b5 a4b5 f8c5 e3f3 a6b5 f4c7,160
5b1k/5qpp/8/Q3B3/P4p2/1r3P1P/5P2/4RK2 b - -,f7b7 a5d8 h8g8 f1g1 b7f7 g1g2 h7h6 d8c8 b3b6 g2h2,171
6r1/p6p/4ppk1/5p2/B4P2/2NR4/P4PKP/4q3 b - -,g6h6 g2f3 e6e5 d3e3 e5e4 c3e4 f5e4 e3e4 e1h1 f3e3,-778
3r4/2p3p1/1p2k2p/2p1Pp2/p3bP2/P1P1B1PP/2P5/2R3K1 b - -,c5c4 g1f2 d8d5 c1b1 e4c2 b1b2 c2b3 e3d4 c7c5 d4e3,-149
r2qkbnr/3b1ppp/p1p5/1p2P3/3P1N2/1P3N2/1PP3PP/R1BQ1RK1 b kq -,g8e7 e5e6 d7e6 f4e6 f7e6 d1e2 d8d5 c2c4 d5d7 f3g5,424
r1b1k2r/3q1pp1/3Bpn2/7p/4P2P/2N3Q1/PPP2PP1/2KR4 b kq -,d7d8 d6c5 c8d7 c3b5 d7b5 d1d8 e8d8 g3g7 h8g8 g7f6,493
r2q1rk1/5pp1/1ppbp2p/p2nBb2/3Pn3/2P2N2/PP2BPPP/R1NQ1RK1 b - -,c6c5 f1e1 d6e5 f3e5 c5d4 d1d4 d8c7 e2f1 d5f6 c1d3,-36
8/5pk1/pR2p1p1/1p6/r6p/2P1K3/6PP/8 b - -,g7f6 b6c6 g6g5 c6c7 f6g6 h2h3 f7f5 c7c6 g6f6 e3f2,-843
6r1/p6p/4pp2/5p1k/B4P2/2NR1K2/P4P1P/4q3 b - -,e6e5 d3e3 e5e4 c3e4 f5e4 e3e4 e1h1 f3e3 h1f1 a4b3,-800
r1bqk2r/1p2bppp/2n5/2Pp4/PP2p3/N4NPP/3BPK2/R2Q1B1R b kq -,e7f6 a3b5 e8h8 f3e1 d5d4 d2f4 c6b4 f1g2 d4d3 a1b1,119
6k1/1P4p1/4p1p1/4Q3/2P2P2/1q5P/6PK/8 b - -,b3b7 e5e6 g8h7 e6e5 b7c6 c4c5 c6a4 h3h4 a4c4 h4h5,Mate
r1b1r3/p1p4p/1p4p1/3P2k1/7P/5n2/PPP2PP1/RN3K1R b - -,f3h4 b2b3 h7h5 f2f3 h4f5 f1f2 f5d6 c2c4 a7a5 b1c3,-358
rnbqkbnr/ppp2ppp/4p3/8/2B1P3/8/PPP2PPP/RNBQK1NR b KQkq -,d8d1 e1d1 b8c6 c1e3 g8f6 f2f3 b7b6 b1d2 c8b7 c2c3,-10
r2qkbnr/5ppp/p1p5/1p2Pb2/2PP1N2/1P3N2/1P4PP/R1BQ1RK1 b kq -,d8b6 g1h1 g8h6 c1d2 f8e7 f4h5 e8h8 d2h6 g7h6 d1d2,427
8/8/5pk1/p2p2p1/2pP1b1p/P1PbNP1P/6P1/r1BKR3 b - -,g6f7 d1d2 f4g3 e3d5 g3e1 d2e1 a1c1 e1d2 c1c2 d2e1,-731
r2qr1k1/ppp1ppbp/2np1np1/5b2/2PPP3/2N2NP1/PP3PBP/R1BQR1K1 b - -,f6e4 c3e4 f5e4 e1e4 e7e5 d4d5 c6b8 e4e1 b8d7 c1g5,375
r1bqk2r/1p2bppp/2n5/2Pp4/PP6/N4PPP/3B1K2/R2Q1B1R b kq -,c8e6 a3b5 e8h8 a4a5 h7h6 h3h4 d8d7 d2c3 d5d4 b5d4,136
r3r1k1/ppp1bppp/8/n2n1q2/6N1/3P4/PPP1QPPP/RNB2RK1 b - -,e7g5 g4e3 f5e5 b1c3 d5c3 b2c3 e5c3 a1b1 b7b6 e2g4,23
5b1k/6pp/8/Q3B3/P1q2p2/1r3P1P/5PK1/4R3 b - -,h7h6 e1e4 c4c5 a5d2 h8g8 d2d1 b3b6 e5f4 b6c6 f4g3,325
2kr1b1r/1p1n2pp/2q2p2/2pNp3/1pP5/P2P4/3BQ1PP/RR4K1 b - -,d7b6 d5b6 c6b6 d2e3 b6c6 a3b4 c5b4 c4c5 c8d7 e2g4,116
rn1qkbnr/pp3ppp/8/3p4/3Pp3/2N3PB/PP2PP1P/R1BQK2R b KQkq -,d8a5 a2a3 b8c6 d1b3 a8d8 b3b7 c6d4 e1h1 a5b6 b7b6,187
rnb1kbnr/pp1p1ppp/1q2p3/2P5/8/2N2N2/PPP1PPPP/R1BQKB1R b KQkq -,f8c5 e2e3 d7d5 f1d3 g8f6 e1h1 c8d7 e3e4 d5e4 c3e4,14
8/8/8/8/5B2/5p1k/6r1/5K2 b - -,f8c5 e2e3 d7d5 f1d3 g8f6 e1h1 c8d7 e3e4 d5e4 c3e4,Mate
rn1qkb1r/ppp1pppp/5n2/3p4/3P2N1/2N5/PPP1PP1P/R1BQKB1R b KQkq -,f6g4 e2e4 g4f6 e4e5 f6g8 e5e6 f7e6 h2h4 b8c6 c1f4,63
rnb1kb1r/ppp2ppp/3q1n2/3P4/3Np3/2N5/PPP2PPP/R1BQKB1R b KQkq -,a7a6 c1g5 d6e5 d1d2 f8b4 g5f4 e5d5 e1a1 e8h8 a2a3,60
r2q1rk1/pp2ppb1/2n3p1/1B1Q1b1p/5B1P/2N2P2/PPP3P1/2KRR3 b - -,d8b6 f4e3 b6c7 b5c6 b7c6 d5c4 f8b8 e3f4 e7e5 f4g5,-47
8/5pk1/pR2p1p1/1p6/2r4p/2PK4/6PP/8 b - -,c4a4 b6c6 g7f6 d3e3 g6g5 c3c4 b5c4 c6c5 a4a3 e3e4,-831
2r2k1r/5pP1/1n4p1/7p/3q1p2/PP3Q1P/2P2PP1/R3R1K1 b - -,f8g7 a1d1 d4f6 c2c4 h8d8 d1d8 c8d8 c4c5 b6a8 c5c6,-159
3qr1k1/p3ppbp/6p1/r2b2B1/3PN3/2P5/P4PPP/1Q1RR1K1 b - -,d5e4 e1e4 a5g5 c3c4 g7f6 d4d5 d8d6 b1c2 e8c8 h2h4,-384
6k1/5pb1/6pp/4p3/4R3/4P1P1/r5NP/5K2 b - -,a2a5 g2h4 g7f8 h4f3 f8d6 e4c4 g8f8 e3e4 f8e7 g3g4,-64
3r4/2p3p1/1p2k2p/4Pp2/p1p1bP2/P1P1B1PP/2P2K2/2R5 b - -,d8d5 c1b1 e4c2 b1b2 c2b3 e3d4 c7c5 d4e3 d5d3 b2d2,-150
rnbqkb1r/pp3ppp/2p1pn2/8/2B1P3/5P2/PPPN2PP/R1BQK1NR b KQkq -,b7b5 c4e2 e6e5 d2b3 d8b6 d1d3 b8a6 c1d2 a6c5 d3c3,-39
r1bq1rk1/p1npppbp/2p3p1/4P3/2B2P2/2N5/PPP3PP/R1BQ1R1K b - -,c7b5 c3b5 c6b5 c4d5 a8b8 c1e3 d8c7 d1d4 d7d6 d4a7,43
r3r1k1/ppp2ppp/8/n2n1qb1/8/3PN3/PPP1QPPP/RNB2RK1 b - -,f5e5 b1d2 d5e3 d2f3 e5c5 c1e3 g5e3 f2e3 c5e3 e2e3,16
8/5k2/5p2/p2p2p1/2pP1b1p/P1PbNP1P/3K2P1/r1B1R3 b - -,a1a2 d2d1 a2a1 e1e2 d3e2 d1e2 f4e3 c1e3 a1a3 e2d2,-739
r1nqkb1r/3b1p2/ppn1p2p/3pP3/N2N2p1/P2BB3/1P3PPP/2RQR1K1 b kq -,c6a5 f2f4 g4f3 b2b4 b6b5 b4a5 f3f2 e3f2 b5a4 e1f1,245
6k1/1q4p1/4Q1p1/8/2P2P2/7P/6PK/8 b - -,b7f7 e6f7 g8f7 h2g3 g6g5 f4g5 f7g6 g3g4 g6f7 h3h4,857
r1b1r1k1/pp1nqpbp/2pp1np1/4p3/1PPP4/2NBP2P/P1QN1PP1/R1B2RK1 b - -,e7d8 f1d1 d6d5 b4b5 e5d4 e3d4 d5c4 d2c4 d7b6 b5c6,16
5b1k/6pp/2q5/Q3B3/P3Rp2/1r3P1P/5PK1/8 b - -,h7h6 e4f4 c6g6 g2h2 g6e8 a5d5 b3b6 f4e4 e8c8 h2g2,389
r3r3/pppbqppk/5n1p/2PPp3/4P3/B2Q1N2/P4PPP/R3R1K1 b - -,e7d8 a3b2 d7f5 f3e5 f6e4 d3f3 d8f6 e1e4 f5e4 f3e4,311
r1bqr1k1/pp3pp1/3bpn1p/4N3/2Pp1B2/3Q4/PPB2PPP/3R1RK1 b - -,a7a5 d3d4 d6c7 d4e3 d8e7 f1e1 a5a4 e3g3 f6h5 g3d3,147
