rn1qkbnr/pp3ppp/2p1b3/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR b KQkq -,f8d6 c4c5 d6c7 f2f3 g8f6 f3e4 d5e4 c3e4 f6e4 g2e4,-119
r1bqkbnr/pp3ppp/2n5/2PpP3/8/4B3/PP3PPP/RN1QKBNR b KQkq -,d5d4 e3f4 f8c5 g1f3 g8e7 b1d2 e8h8 f1d3 e7g6 f4g3,-97
r1b1kbnr/pp2pppp/2n5/2p1P3/3Q4/2N5/PP3PPP/R1B1KBNR b KQkq -,f7f6 d4c5 e7e6 c5b5 a7a6 b5b3 f6e5 g1f3 g8e7 f1d3,1169
r1bqkb1r/pp2pp1p/2n2np1/3p4/2pP1B2/2P1PN2/PPB2PPP/RN1QK2R b KQkq -,a7a6 b1d2 b7b5 h2h3 f8g7 e1h1 e8h8 e3e4 d5e4 d2e4,73
r1bqk2r/ppp2ppp/2n2n2/2bpP3/3p4/2P2N2/PP3PPP/RNBQKB1R b KQkq -,f6e4 c3d4 c5b4 c1d2 e4d2 b1d2 c8g4 f1b5 e8h8 b5c6,-59
r1bqk2r/ppp2ppp/2B5/2bpP3/3pn3/2P2N2/PP3PPP/RNBQK2R b KQkq -,d8d7 c6d7 c8d7 c3d4 c5b6 e1h1 e8h8 a2a4 a7a5 b1a3,1138
rn1qkbnr/pppb1ppp/4p3/3p4/3P4/1QP5/PP2PPPP/RNB1KBNR b KQkq -,c7c5 c1f4 g7g5 f4e5 f7f6 e5g3 b8c6 e2e3 h7h5 h2h4,-53
rn1qkb1r/pp2pppp/2p2n2/8/4P3/5N2/PPP1QPPP/R1B1KB1R b KQkq -,d8c8 c1f4 c8d8 g2g3 e7e6 f1g2 f8e7 e1h1 e8h8 c2c4,181
r1b1kb1r/pp3ppp/2nqpn2/2p5/2B5/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,f8e7 f1e1 e8h8 c4b5 c6a5 a2a4 b7b6 c1g5 a7a6 b5c4,-64
r1bqkbnr/pp2pppp/2n5/2pp4/8/3PPN2/PPP1BPPP/RNBQK2R b KQkq -,e7e5 e3e4 d5d4 a2a4 f8d6 b1a3 g8f6 e1h1 e8h8 c2c3,-79
r1bqkbnr/pppp1ppp/6n1/8/2BPP3/8/PPP3PP/RNBQK1NR b KQkq -,d8h4 e1f1 h4e4 b1c3 e4f5 g1f3 c7c6 c4d3 f5h5 d1e2,-58
r1bqkb1r/ppp2pp1/2np1n1p/8/2B1P3/2Q2N2/PPP2PPP/RNB2RK1 b kq -,d8d7 f1e1 f6g4 h2h3 g4e5 f3e5 c6e5 c1f4 e5c4 c3c4,94
rn1qkb1r/p1pp1ppp/1p2pn2/6B1/2PP4/2N2P2/PP3PPP/R2QKB1R b KQkq -,c7c6 f1d3 f8e7 g5e3 e8h8 a1c1 d7d5 c4d5 c6d5 c3e2,80
r1b1kbnr/pp3ppp/1qn1p3/1Npp4/3P1B2/4PN2/PPP2PPP/R2QKB1R b KQkq -,f7f6 f4c7 b6a6 b5d6 f8d6 f1a6 d6c7 a6e2 g8e7 e1h1,595
r1b1kb1r/ppp1qppp/2np4/8/3Pn3/2N2N2/PPP1QPPP/R1B1KB1R b KQkq -,c6b4 c3e4 d6d5 e4c3 b4c2 e1d1 c2a1 e2e7 f8e7 f1d3,221
rnbqk2r/pp3ppp/3bpn2/3p4/3P4/1P3N2/PBPN1PPP/R2QKB1R b KQkq -,b8c6 f1d3 c6b4 d3e2 b4c6 a2a3 b7b6 e1h1 c8b7 e2d3,39
