rnb1kb1r/pp2qp1p/2pp1np1/4p1B1/2BPP3/2N2N2/PPP2PPP/R2Q1RK1 b kq -,h7h6 g5h4 f8g7 a2a4 b8d7 a4a5 e8h8 f1e1 g6g5 h4g3,44
r1bqk2r/pp1p1ppp/2n2n2/2b1p3/4P3/P1NQ1N2/1PP2PPP/R1B1KB1R b KQkq -,d7d6 c1g5 h7h6 g5f6 d8f6 b2b4 c5b6 c3d5 f6d8 d5b6,11
rn1q1rk1/ppp1ppbp/5Bp1/3p1b2/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQ -,d5c4 f6g7 g8g7 f1c4 c7c5 d4d5 e7e6 d5e6 d8b6 e6e7,531
r1bqk2r/pp1pbppp/2n1pn2/2p5/P1B1P3/5N2/1PPP1PPP/RNBQR1K1 b kq -,f6e4 e1e4 d7d5 c4d5 e6d5 e4e1 c8g4 h2h3 g4h5 d2d4,-93
r1bqk1nr/pp1p1ppp/2n5/2b1p3/4P3/P2Q1N2/1PP2PPP/RNB1KB1R b KQkq -,g8f6 b1c3 d7d6 c1g5 h7h6 g5f6 d8f6 c3d5 f6d8 b2b4,16
r1bqrbk1/1ppp1ppp/4pn2/p1nP4/2P5/P1N1P1P1/1P2NPBP/R1BQ1RK1 b - -,e6e5 b2b3 d7d6 d1c2 c8d7 a1b1 g7g6 b3b4 a5b4 a3b4,33
2R3k1/3b2pp/1p2r3/p2p1p2/Pq3P2/1P1QP1P1/7P/2R3K1 b - -,b4f8 c8f8 g8f8 d3f5 f8e7 f5d5 e6c6 d5c6 d7c6 c1c6,Mate
2R3k1/6pp/1p2r3/p2p1p2/Pq3P2/1P1QP1P1/7P/6K1 b - -,g8f7 d3f5 e6f6 f5h5 f6g6 h5d5 g6e6 c8c7 b4e7 c7e7,Mate
r1bqk2r/p4ppp/1p1ppn2/n1p5/2PPP3/P1PB4/4NPPP/R1BQ1RK1 b kq -,c8a6 c1g5 h7h6 g5f6 d8f6 d1a4 e8d8 e4e5 f6e7 e5d6,26
r2q1rk1/2p3p1/p3p2p/1pB1Pn2/8/8/PPQ2PPP/R4RK1 b - -,f8f7 c2e4 d8e8 a1d1 a8d8 d1d8 e8d8 g2g3 d8e8 f1d1,26
2R5/5kpp/1p2r3/p2p1Q2/Pq3P2/1P2P1P1/7P/6K1 b - -,e6f6 f5h5 f6g6 h5d5 g6e6 c8c7 b4e7 c7e7 f7e7 g1f2,Mate
r3r1k1/pR3pb1/5qpp/2pQ4/2P5/3pP1P1/P2N1P1P/4R1K1 b - -,a8b8 b7d7 b8b2 d5d3 e8b8 d2e4 f6f5 d3d5 f5d5 c4d5,67
rnbqk2r/ppppbppp/4pn2/8/1PP5/P3P3/3P1PPP/RNBQKBNR b KQkq -,e8h8 g1f3 c7c6 d2d4 a7a5 b4b5 d7d5 b1c3 c8d7 c1d2,2
2R5/5kpp/1p3r2/p2Q4/Pq3P2/1P2P1P1/7P/6K1 b - -,f7g6 d5g5 g6f7 g5h5 f6g6 h5d5 g6e6 c8c7 b4e7 c7e7,Mate
r1bq1rk1/p4pp1/1p1ppn1p/n1p5/2PPP2B/P1PB4/4NPPP/R2Q1RK1 b - -,d6d5 c4d5 g7g5 h4g3 e6d5 e4e5 f6h5 d3c2 c8a6 f2f4,150
2R5/5kpp/1p3r2/p6Q/Pq3P2/1P2P1P1/7P/6K1 b - -,f6g6 h5d5 g6e6 c8c7 b4e7 c7e7 f7e7 d5g5 e7d7 g5g7,Mate
r4rk1/ppqn1pbp/1np1p1p1/4P1B1/3PN3/5B1P/PP3PP1/R2Q1RK1 b - -,a8e8 f1e1 h7h6 g5d2 b6d5 e4d6 e8e7 f3d5 e6d5 d2b4,158
6K1/6P1/4k3/8/8/8/7r/4R3 b - -,e6d5 e1f1 h2g2 g8f7 d5c4 f1f6 c4b3 f6b6 b3c3 b6g6,1091
4r1k1/1pQ2p1p/p6B/8/P3q3/6P1/1P2bP1P/R5K1 b - -,e2c4 c7f4 e4f4 h6f4 c4d5 g1f1 d5c6 a4a5 c6b5 f1g2,4
rnbqkbnr/1ppppppp/8/8/1p6/5N2/PBPPPPPP/RN1QKB1R b KQkq -,g8f6 g2g3 e7e6 f1g2 f8e7 a2a3 d7d5 a3b4 a8a1 b2a1,-90
rnbqkb1r/1ppp1ppp/4pn2/8/1p6/4PN2/PBPPBPPP/RN1QK2R b KQkq -,c7c6 e1h1 d7d5 a2a3 b7b5 a3b4 a8a1 b2a1 f8b4 d2d3,-97
r3r1k1/p4pp1/2p2q1p/2bb4/4P3/3B4/PPQ2PPP/R4RK1 b - -,c5d4 e4d5 c6d5 a1e1 g7g6 e1e8 a8e8 g2g3 h6h5 h2h4,-34
r3r1k1/p4pp1/2p2q1p/3P4/3b4/3B4/PPQ2PPP/R4RK1 b - -,c6d5 a1e1 g7g6 e1e8 a8e8 g2g3 h6h5 h2h4 d4b2 f1d1,-42
8/8/8/N7/3Q4/4K3/1k6/8 b - -,a8c8 d3a6 c8c7 a1d1 e8d8 b2b3 d8d5 a6c4 d5d6 g2g3,Mate
4r2r/1p1n1p1p/p3bkp1/1B1p1q2/3Q4/5N2/PP3PPP/4RK1R b - -,f5e5 f3e5 d7e5 d4e5 f6e7 e5c7 e7f6 c7c3 f6e7 b5e8,891
2r1r1k1/1b3ppp/pq2n3/1pnp1NP1/3N4/3BP2P/PP1Q1P2/1KR3R1 b - -,,0
rn2kb1r/p3qppp/2p2n2/1p1Bp1B1/4P3/1QN5/PPP2PPP/R3K2R b KQkq -,a7a6 a2a4 b5b4 e1a1 h7h6 b3c4 e7c7 g5f6 g7f6 d5f7,149
r4rk1/1bqnbppp/pppp1n2/4p3/P2PP2N/2N1B2P/BPP2PP1/R2QR1K1 b - -,a8d8 h4f5 f8e8 d1f3 e7f8 a1d1 g8h8 d4d5 c6d5 c3d5,110
rqbR2nr/p4pkp/4p1p1/1NQ5/1P6/8/P1P2PPP/4R1K1 b - -,b8b7 c5f8 g7f6 b5d6 b7e7 d6e4 f6f5 f8e7 g8e7 d8h8,576
