r1bq1rk1/p3b3/1p2p1Q1/3pP3/4nB2/P3P3/1PBN1P1P/R3K2R b KQ -,g8g7 b4c3 f7f6 e8b8 c6b8 c3c7 f6f7 c7b8 f7e7 b8b7,Mate
2r3kb/3qr2p/2p3p1/p1Pp1pPn/1p1N2nP/1P2P2R/PBQPB1R1/1K6 b - -,e7e4 e2f3 g4e5 f3h5 g6h5 h3h1 f5f4 h1f1 e5g6 g2f2,-38
8/4P3/2k2K2/p4p1p/4r2P/3R4/8/8 b - -,f5f4 f6f7 a5a4 e7e8q e4e8 f7e8 a4a3 d3a3 c6d5 e8f7,1093
r2qr1k1/pppnbppp/3p1n2/7b/3P4/2P1BN1P/PP2BPP1/RN1QR1K1 b - -,a8b8 e2d3 d6d5 b1d2 e7d6 d1c2 h5g6 d3g6 h7g6 e3g5,18
r2r2k1/1p2bppb/1qp1p2p/p1npPP2/3N4/PP1P2P1/1B1NQ1BP/1R2R1K1 b - -,d8e8 g2h3 e7f8 g1h1 b6a6 b3b4 a5b4 a3b4 c5a4 b2a1,240
r1bqk2r/pppn1ppp/5n2/4p1B1/1bB1P3/2N5/PPP2PPP/R2QK1NR b KQkq -,b4c3 b2c3 d8e7 f2f3 e7c5 d1d3 d7b6 c4b3 c8e6 b3e6,-77
2b5/1p6/p3k1B1/2P4p/1P1K2pP/6P1/8/8 b - -,e6f6 g6h5 f6e7 d4e4 b7b5 c5b6 c8b7 e4e5 e7d7 h5g6,827
rn1qk2r/pp1bbppp/3p1n2/1BpP4/P7/2N5/1PP1NPPP/R1BQK2R b KQkq -,h7h6 b5c4 e8h8 e1h1 d7f5 e2g3 f5g6 f2f4 f8e8 b2b3,83
r2q1rk1/pbpnnppp/1p6/4p3/3pPP2/P2P2P1/1PPBN1BP/R2Q1RK1 b - -,h7h6 f4f5 e7c8 g3g4 d8h4 h2h3 c7c5 b2b3 d7f6 d2e1,71
rnbqkb1r/pp3ppp/2p2n2/3pp3/4P3/2PP1P2/PP2N1PP/RNBQKB1R b KQkq -,f8e7 g2g3 h7h5 h2h4 e8h8 f1g2 d8b6 a2a4 a7a5 b1a3,-95
r4rk1/pp4bp/4pq2/5p1Q/4pB2/2P1R3/PP3PPP/R5K1 b - -,f6f7 h5h4 a8d8 f4g5 d8d7 e3h3 g7e5 f2f3 f5f4 g5h6,10
r1bqk2r/1p3ppp/p1n1p3/3pP3/3P2P1/1B3Q2/PP1B1P1P/R3K2R b KQkq -,c6d4 f3f4 d4b3 a2b3 d8h4 f4g3 h4e7 h2h4 c8d7 h4h5,-56
7k/4R3/8/3r2Pp/7K/6P1/7P/8 b - -,h8g8 h4h5 g8f8 e7a7 f8g8 h2h4 g8f8 h5h6 d5d8 g5g6,1120
8/3k4/3P4/3K3p/3NPP2/3q2P1/8/8 b - -,d3g3 e4e5 h5h4 e5e6 d7c8 d6d7 c8c7 d4b5 c7d8 b5d6,-377
r2q1rk1/1p2bppp/p1N1pn2/8/Pn1P4/1BN2Q2/1P1B1PPP/R2R2K1 b - -,b4c6 c3e2 a8c8 h2h3 d8b6 a4a5 b6b5 b3a4 b5d5 f3d5,-24
8/5p2/3k1b1p/p7/1p6/3K1PP1/P7/8 b - -,a5a4 d3c2 d6e5 c2d1 e5d4 d1d2 f6g5 f3f4 g5f6 d2c1,-989
1r2r1k1/pqp2ppp/3p4/1PnPp3/2PP4/4B1P1/4NPKP/R2Q1R2 b - -,c5d7 d1c2 b8a8 f1b1 b7c8 d4e5 d7e5 h2h3 h7h5 e2d4,462
3q4/2R3k1/1p1npr1p/pP1p2p1/3P4/P2N4/5PPP/2Q4K b - -,f6f7 c7c6 d6b5 c1b2 b5d6 d3e5 f7f5 b2e2 d6f7 e5d3,26
r4rk1/pp3Qbp/4p3/5p2/4pB2/2P1R3/PP3PPP/R5K1 b - -,g8f7 f4g5 h7h6 g5h4 g7f6 h4f6 f7f6 a1e1 f8e8 e3h3,-30
8/p5p1/1p3k1p/4p2P/8/PK3P2/8/8 b - -,f6f5 b3c4 f5f4 c4b5 f4f3 a3a4 e5e4 b5c4 e4e3 c4d5,-1395
r2qk2r/ppp2pp1/2Nbpn1p/3p4/3P4/1QNPP3/PP3PPP/R1B1K2R b KQkq -,a7a5 c6d8 e8d8 a2a3 h6h5 b3d1 h5h4 e3e4 f6d7 e4e5,734
6k1/6pp/8/8/1P6/8/2r3PP/5R1K b - -,,0
r5k1/pp3q1p/1b2p1p1/3p4/1P1P2P1/P2BP1QP/8/5RK1 b - -,f7e8 g3e5 a8c8 d3b5 e8e7 f1f6 b6c7 f6e6 e7f8 e5f6,36
rnbqk2r/pp3ppp/5P2/3p4/1b1p4/1P6/P1PN1PPP/R2QKBNR b KQkq -,e8h8 f1e2 d8f6 g1f3 b4c3 a1b1 a7a5 e1h1 b8a6 a2a3,-259
r2qkb1r/ppp3pp/2n1bp2/3p1p2/3P4/2PBP3/PP1N1PPP/R2QK1NR b KQkq -,h7h5 d1b3 c6a5 b3c2 d8d7 g1e2 g7g6 e1h1 f8d6 b2b3,54
r1bq1rk1/p3b2p/1p2p1pQ/3pPP2/4nB2/P3P3/1PBN1P1P/R3K2R b KQ -,e7g5 f4g5 d8g5 h6g5 e4g5 h1g1 g5f7 f5g6 f7e5 g6h7,372
r2qk2r/1bpp1pp1/pbn2n1p/1p2p3/P3P3/1BPP1N2/1P3PPP/RNBQR1K1 b kq -,d7d6 b1d2 e8h8 d2f1 c6e7 f3h4 b7c8 h2h3 c8e6 a4a5,16
2kr3r/ppp3p1/2np4/2B2p1n/2B1PpNq/3P1N2/PPP3P1/R2Q1RK1 b - -,h4e7 e4f5 d6c5 f1e1 e7d6 e1e6 d6f8 e6c6 h5g3 c4e6,331
