r1bqk2r/pp1pnpb1/2n1p1pp/2p5/4P3/2NPB1P1/PPP1NPBP/R2QK2R b KQkq -,b7b6 e1h1 d7d6 d3d4 e8h8 a2a4 e6e5 d4d5 c6d4 c3b5,-7
4rr1k/1ppbq1pp/2nb4/p2npp2/8/PP1PPN2/1BQNBPPP/2R1R1K1 b - -,e5e4 f3d4 f5f4 d2e4 f4e3 e2f3 c6d4 b2d4 d6a3 d4c5,-168
rnbqk2r/pppnbppp/4p3/3pP3/3P4/2P2N2/PP3PPP/R1BQKBNR b KQkq -,a7a5 f1d3 c7c5 g1e2 b8c6 e1h1 a5a4 f1e1 a4a3 b2b3,90
r1bq1rk1/3np1bp/p2p1p2/1PpP2p1/4P2B/2N1Q3/PP1N2PP/R3KB1R b KQ -,g5h4 g2g4 h4g3 h2g3 d7e5 b5a6 d8b6 e1a1 c8a6 c1c2,-120
rn1qkb1r/pbpn1ppp/1p2p3/3pP3/3P4/2NB1N1P/PPP2PP1/R1BQK2R b KQkq -,c7c5 c1g5 d8c8 e1h1 b8c6 f1e1 c5d4 c3b5 f8c5 b5d6,50
7k/8/6KN/nP6/P3p3/4P3/1B5r/8 b - -,h2b2 g6f6 a5b7 h6f5 b7c5 f6e5 h8g8 f5d6 c5a4 e5e4,-269
r7/6k1/8/8/8/2B5/8/6K1 b - -,g7h7 g1f2 a8a3 c3d4 h7g6 f2e2 g6f5 e2d2 f5e4 d4h8,-9
r1b1k2r/pp1n1ppp/4pn2/2p2q2/3P2P1/P1Q2N2/1P2PP1P/R1B1KB1R b KQkq -,f6g4 h1g1 e8h8 h2h3 g4f6 c1h6 f6e8 d4c5 f7f6 b2b4,105
r2Bk2r/1pN2ppp/p1b1p3/8/3p4/5N2/PPP2PPP/2KR3R b kq -,e8f8 c7a8 h7h5 d1d4 c6f3 g2f3 h5h4 h1e1 f8g8 d8h4,892
r1bqk2r/1pppbppp/p1n2n2/5NB1/4P3/2N5/PPP2PPP/R2QKB1R b KQkq -,e8h8 d1f3 e7b4 e1a1 c6e5 f3g3 b4c3 b2c3 e5g6 f5g7,104
1r4k1/p2bqppp/3b4/3p4/P2NnP2/2P1P2P/4B1Pn/R1BQR1K1 b - -,d6f4 e3f4 e7h4 e2d3 d7g4 e1e2 e4f2 d1d2 g4e2 d2e2,405
r5k1/1b4pp/p4n2/1pr5/2p5/2N2P2/PPB3PP/3RR1K1 b - -,g8f8 e1e6 b7c6 d1d6 a8c8 c3e2 a6a5 e2d4 c6e8 c2f5,19
rnbqkbnr/pppp1p1p/4p1p1/4P3/8/3P4/PPP2PPP/RNBQKBNR b KQkq -,d7d6 f2f4 c7c5 b1d2 b8c6 g1f3 f8g7 d2c4 d6e5 f4e5,-17
r4rk1/p1q2pp1/3p1n2/3P4/1p4PQ/7R/PPP4P/5RK1 b - -,c7b6 g1g2 f6h5 h4h5 f7f6 g4g5 b6d4 h5h7 g8f7 f1f6,Mate
rn1qkb1r/pppbpp1p/5np1/1B2P3/8/2N5/PPP2PPP/R1BQK1NR b KQkq -,f6h5 d1e2 d8c8 g1f3 d7b5 e2b5 b8d7 e5e6 f7e6 c3e4,121
rnbqkb1r/pppnpppp/8/P2pP3/1P1P4/8/2P2PPP/RNBQKBNR b KQkq -,a7a6 f1d3 e7e6 c2c3 b7b6 a5b6 d7b6 g1h3 c8d7 d1f3,176
rn3bkr/pp1n2pp/1q2p3/3p2P1/3P3P/2N4Q/PPP2P2/R1B1R1K1 b - -,b6a6 e1e6 b8c6 c1f4 f8b4 c3d5 a6c4 d5b4 d7f8 e6c6,330
8/8/4N3/2K5/k7/8/4B3/8 b - -,a4b3 e6f8 b3b2 c5d6 b2c3 e2f3 c3c4 f8g6 c4c3 f3h1,223
8/8/4N3/8/3K4/1k6/4B3/8 b - -,b3c2 e6f8 c2b2 e2f3 b2b1 f3g2 b1b2 f8d7 b2b1 d7f6,217
