1r5k/6pp/2p5/P5Q1/1P2B3/2P5/5PPK/3RNRn1 b - -,c1c8 e1e2 c8c1 e2e1 c1c7 e1e2 c7d7 e3c3 d6d1 e2e1,Mate
r1b2k1r/pp1p1pbp/1qnP2p1/6B1/8/5N2/PP2QPPP/RN2R1K1 b - -,b6d8 g5d8 g7e5 d8e7 f8g7 f3e5 c6e7 d6e7 h8e8 e5c4,Mate
r3kb1r/pp1n2pp/2p2n2/7b/P1p5/5NP1/1P1NPP1P/R1BK1B1R b kq -,a8d8 f3g5 d7c5 d1e1 f6d5 f1h3 d5b4 e1f1 f8e7 g5e6,-182
r1bqr1k1/2pnnpb1/1p1pp1pp/p3P3/P2P1P2/1P4P1/1BPN2BP/R2QNRK1 b - -,e7d5 d1e2 c8a6 c2c4 d5b4 g2a8 d8a8 d2e4 f7f5 e4c3,168
rnb1kb1r/ppp1qppp/5n2/3p4/2P5/3P1N2/PP2PPPP/RNBQKB1R b KQkq -,d5c4 d3d4 c7c5 e2e3 c8e6 b1c3 b8c6 d4d5 e8a8 f1c4,52
r4rk1/5pb1/4p3/2q1P3/ppb2QBN/6P1/PP4P1/1K1RR3 b - -,a4a3 b2b3 c4b3 d1c1 b3a2 b1a1 c5a5 c1d1 b4b3 f4e3,-604
1rbq1rk1/1p2ppb1/p1np3p/2p5/P1B1N2Q/3P4/1PP3PP/R1B2RK1 b - -,d8d7 h2h3 d6d5 c1h6 d7e6 h6g7 g8g7 f1f3 c6e5 h4g3,309
4r1k1/1p3pb1/3q2p1/p1p2nBp/P2r4/R5NP/1P3P2/2Q2RK1 b - -,d6d5 c1b1 f5h4 g5h4 d4h4 f1e1 e8e1 b1e1 g7d4 e1d2,-525
4r1k1/p4pp1/2p5/q5p1/3R4/2P4P/1P1Q1PP1/5K2 b - -,a5a1 d2d1 a1b2 d4g4 b2b5 f1g1 a7a5 h3h4 g5h4 g4h4,-75
r2qk2r/pp3pp1/2np4/4PbPp/5B1P/2P2P2/PP1QN3/R3K2R b KQkq -,d6e5 d2d8 a8d8 f4e3 f7f6 e2g3 f5g6 a1d1 d8d1 e1d1,-26
8/pp4rk/2b3rp/4PQ2/5PP1/4pq2/PP5K/6R1 b - -,c6e5 f4e5 d6e5 e1a1 e8h8 d2d8 a8d8 d1d8 f8d8 e2g3,Mate
8/pp4rk/2b3rp/4PQ2/5PP1/4p2K/PP3q2/6R1 b - -,c6e5 f4e5 d6e5 e1a1 e8h8 d2d8 a8d8 d1d8 f8d8 e2g3,Mate
8/4p1kp/3pbpp1/1Pr2P2/4P3/2N1q2P/1Q4P1/2R4K b - -,g6f5 b5b6 e6c8 c3e2 e3e4 h1h2 c5c1 b2c1 c8b7 c1f1,-237
1r1R1k1r/6p1/2q2p2/4n3/4P2P/PP3p1R/1B1Q4/1K6 b - -,b8d8 d2d8 c6e8 d8d6 f8f7 b2e5 e8e5 d6e5 f6e5 h3f3,203
8/8/6p1/1p2k1Pp/P1P4P/3K4/8/8 b - -,b5a4 d3c3 e5e4 c3b4 e4d4 c4c5 a4a3 b4a3 d4c5 a3a4,Mate
8/8/k3K1p1/7p/p1P3rP/8/2R5/8 b - -,g4d4 e6e5 d4h4 e5d5 h4h3 c4c5 a6b7 c2e2 a4a3 e2e7,-372
4r1k1/1p3pb1/6p1/p1pq1NBp/P2r4/R6P/1P3P2/2Q2RK1 b - -,d5f5 g1g2 b7b6 g5h6 g7h6 c1h6 e8e6 g2g1 d4d3 a3d3,-521
rn2kb1r/ppp1qppp/5n2/3p4/2PN2b1/3P4/PP2PPPP/RNBQKB1R b KQkq -,d5c4 b1c3 c4d3 d1d3 b8d7 h2h3 d7e5 d3e3 g4d7 g2g4,-9
r7/1k1B1p1p/1p3Bp1/p1n2n2/8/1P3N2/P1P3PP/2KRR3 b - -,b7a7 g2g4 f5h6 d7b5 h6g8 f6d8 a8c8 f3e5 f7f5 g4g5,797
rnb1kb1r/pp2pppp/5n2/3p4/3P1B2/2PB4/Pq2NPPP/RN1QK2R b KQkq -,g7g6 d1b3 b2b3 a2b3 b8c6 b1d2 f8g7 b3b4 e8h8 e1h1,-57
rn1qkb1r/pp3ppp/4pnN1/3p4/3P4/P1N5/1PP2PPP/R1BQKB1R b KQkq -,f8b4 g6h8 b4c3 b2c3 d8c7 f1b5 b8c6 a3a4 a7a6 b5d3,619
r1b2rk1/5ppp/2p5/p1q2P2/5R2/2PB3P/P1P3P1/3RQ2K b - -,h7h6 e1g3 a5a4 d1e1 c5d6 g3h4 a8a5 f4a4 a5a4 h4a4,216
rnb1k2r/pp3ppp/8/2bN4/8/8/PP1KPqPP/R2Q1BNR b kq -,e8h8 a1c1 f8d8 c1c5 f2c5 e2e4 c8e6 f1d3 e6d5 e4d5,-652
8/8/6p1/1p2k1Pp/P1p4P/1PK5/8/8 b - -,f2d4 d2c2 c8f5 c2b3 d4e4 a1c1 f5e6 c1c5 b8a6 c5b5,Mate
rn1qkbnr/pp4pp/3pp3/2p5/3PPp2/2N2N2/PPP3PP/R1BQK2R b KQkq -,c5d4 d1d4 e6e5 d4d3 b8c6 g2g3 f4g3 h2g3 d8d7 c1e3,26
4r1k1/p4pp1/2p5/6p1/3R4/2P4P/1P3PP1/q2Q1K2 b - -,a1b2 d4g4 b2b5 f1g1 a7a5 h3h4 b5e5 h4g5 e5c3 d1d7,-75
3rk3/p2qnr1p/3p3B/1pp2b1Q/8/8/PPPN2PP/R4RK1 b - -,d7e6 a1e1 e6g6 h5e2 a7a6 h2h4 d8d7 h6f4 e8d8 e2f3,131
4r1k1/1p3pb1/6p1/p1p2qBp/P2r4/R6P/1P3PK1/2Q2R2 b - -,b7b6 g5e3 d4b4 c1d1 g7b2 a3d3 b2d4 e3d4 f5g5 d3g3,-532
8/1pp1nkpp/p4p2/8/4PP2/7P/PP3P2/3N2K1 b - -,f6f5 e4f5 e7f5 g1f1 f5d4 f1g2 f7f6 d1e3 c7c5 g2g3,-267
r2q1rk1/1b1n1ppp/5n2/p3p3/1pPP4/4PN2/3BBPPP/2RQ1RK1 b - -,d8e7 c4c5 b7d5 e2b5 e5e4 f3g5 f8b8 b5a4 d7f8 g5h3,-83
8/5pp1/4k3/3p3p/R7/4B1P1/Pbr2PKP/8 b - -,e6e5 g2f3 d5d4 a4a5 e5e6 e3f4 f7f6 h2h4 b2c3 a5h5,-12
4Q3/3k1Bpp/8/8/p3P1P1/3K4/7b/8 b - -,b2c3 g2f3 c2b2 h2h4 g7g6 f3f4 d5d4 e3d4 c3d4 a4d4,Mate
