rnbqkbnr/5ppp/p2p4/1pp1p3/4P3/1BPP1N2/PP3PPP/RNBQK2R b KQkq -,h7h6 b3d5 a8a7 a2a4 g8f6 a4b5 f6d5 e4d5 d8b6 e1h1,99
rnbqk1nr/pppp1pbp/6p1/4p3/2P5/1P4P1/PB1PPP1P/RN1QKBNR b KQkq -,d8e7 f1g2 d7d6 d2d4 e5e4 b1c3 g8f6 g1h3 e8h8 e1h1,27
8/3R4/8/8/2k1K3/8/8/8 b - -,d7d5 c4d5 g8e7 g1f3 d8d5 f1g2 e7c6 b1c3 d5d8 d2d3,Mate
rnb1k1nr/pppp1ppp/8/2b1p1q1/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,g5f6 c3d5 f6d8 f3e5 b8c6 d1h5 g7g6 e5c6 g6h5 c6d8,490
rnb1k2r/pp1p1ppp/4p3/q1p3B1/1bPPn3/P1N1P3/1P2NPPP/R2QKB1R b KQkq -,d7d5 a3b4 a5b4 g5f4 d5c4 d1c2 e4c3 b2c3 b4b5 e2g3,723
r2Qkbnr/pp3ppp/2n5/4pb2/4P3/8/PPP2PPP/RNB1KB1R b KQkq -,c6d8 e4f5 d8c6 b1c3 f8b4 c1d2 g8e7 f1d3 e8a8 e1a1,150
rnbqkbnr/p1p2ppp/1p2p3/8/3PB3/5N2/PPP2PPP/RNBQK2R b KQkq -,f8d6 e4a8 c8a6 a8e4 g8f6 e4d3 a6b7 e1h1 e8h8 f1e1,762
rnbq1rk1/ppp1ppbp/3p1np1/6B1/3P4/2P2N2/PPQNPPPP/R3KB1R b KQ -,a7a6 a2a4 h7h6 g5h4 b8d7 e2e4 f6h5 f1d3 h5f4 e1h1,27
rnbqkb1r/pp3p1p/4pnp1/3P4/2B5/1QN5/PP3PPP/R1B1K1NR b KQkq -,d8b6 c4b5 c8d7 c1e3 f8c5 d5e6 f7e6 e3c5 b6c5 b3e6,157
r2qkbnr/ppp1pppp/2n5/8/2pP2b1/4PN2/PP1N1PPP/R1BQKB1R b KQkq -,a8b8 f1c4 e7e6 a2a3 g8f6 b2b4 g4f5 e1h1 f8e7 f3h4,127
