8/1r6/4k3/K7/2P5/8/8/3R4 b - -,e6e7 a5a6 b7c7 d1d4 e7e6 a6b6 c7c8 c4c5 c8b8 b6c7,515
1r2r1k1/3q1pp1/1pp2n1p/p2p2n1/3P4/P3P1NP/1PQ1NPP1/2RR2K1 b - -,a5a4 c2c6 d7c6 c1c6 b6b5 h3h4 g5e6 d1c1 b5b4 c6a6,201
r2q1rk1/5p1p/2npbbp1/p2Np3/1pP1P2P/1P4PB/P1N2P2/R2QK2R b KQ -,c6d4 d1d3 e6d5 c4d5 d8b6 e1h1 b6b5 d3b5 d4b5 h3d7,-15
r2N2k1/5ppp/8/pnp5/4P3/1P2N1P1/R1P2P1P/b5K1 b - -,a8d8 a2a1 d8a8 e3c4 g8f8 a1a5 a8a5 c4a5 b5d4 a5b7,277
8/2r5/4k3/1K6/2P5/8/8/3R4 b - -,c7b7 b5c6 b7b2 c4c5 b2b4 c6c7 b4h4 c7b6 e6e7 c5c6,953
8/1r6/2K1k3/8/2P5/8/8/3R4 b - -,b7b8 c6c7 b8b4 c4c5 b4h4 c7b6 h4h2 b6b7 h2c2 c5c6,1144
r5k1/5ppp/2N5/pnp5/4P3/1P2P1P1/R1P4P/6K1 b - -,h7h5 a2a5 a8a5 c6a5 b5c3 e4e5 g8f8 a5b7 c3d1 e3e4,290
r2r1bk1/2n4p/2p2pp1/p3pb2/2P5/1P2NN2/PB3PPP/3RR1K1 b - -,f8b4 d1d8 a8d8 e1d1 d8d1 e3d1 c7e6 d1e3 f5e4 a2a3,-175
r1bqkb1r/ppp2ppp/2n5/4p3/7P/2P3P1/P2PPPB1/R1BQK1NR b KQkq -,d8f6 g1f3 f8c5 d2d3 e8h8 a1b1 h7h6 d1a4 f8e8 e1h1,14
2kr4/pp3pNb/4p3/1Nb5/1P1p2nP/8/P1P2P2/2KR3R b - -,a7a6 b4c5 a6b5 h1g1 g4f6 g1g3 f6e4 g3f3 h7g8 h4h5,216
2rq1knr/pp3ppp/2n5/4p3/4P3/4N3/PPP2PPP/R2QKB1R b KQ -,d8d1 a1d1 g8f6 f2f3 g7g6 c2c3 f8e7 f1c4 c6a5 c4e2,208
