4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
2k1r3/ppb4p/2p4P/5p2/3Pn1p1/2PKN1P1/PP1B1P2/5R2 b - -,e8f8 d2c1 c8d7 e3g4 e4c3 g4e5 c7e5 b2c3 e5c7 f1h1,170
8/R4np1/4k1P1/7P/p6K/8/8/r7 b - -,f7h6 h4g3 a4a3 g3h2 a3a2 a7a6 e6f5 a6a5 f5g4 h2g2,-504
2b2Bk1/8/2p4b/Q3p3/2P1N1p1/3Pq3/P3P1K1/5B2 b - -,e3h3 g2f2 h3h4 e4g3 h6f4 f2e1 f4g3 e1d1 h4h1 f8b4,-492
8/1p6/4k2p/P6P/3KP3/8/P7/8 b - -,e6f6 e4e5 f6f5 d4d5 f5f4 e5e6 f4g5 d5e5 g5g4 e6e7,806
r2q1rk1/4ppbp/2np1np1/p4P2/1pb1P1PQ/5N1P/PPP3B1/RNB1R1K1 b - -,d6d5 c1e3 d5e4 f3g5 h7h6 g5e4 f6e4 g2e4 g6g5 h4f2,-100
2kr2nr/2p2ppp/pp1bb3/2p5/P3P3/1NN1B3/1PP2PPP/R3K2R b - -,g8e7 f2f4 e7c6 b3d2 d6e7 f4f5 c6b4 a1c1 e6d7 e1f2,-128
q5k1/p4p2/3r1n1p/Q1p1n1p1/2P3b1/2N1B1P1/PPK1NP1P/R5R1 b - -,g4f5 c2c1 e5d3 c1c2 a8b7 b2b4 d3b4 c2b3 a7a6 a1b1,-330
rr4k1/2q2ppp/p3b3/R1ppP3/8/1PQ5/1P1N1PPP/3R2K1 b - -,b8c8 d1a1 c7b6 h2h3 h7h6 g1h2 e6d7 f2f4 d7b5 f4f5,-29
r1b2r1k/pp4Q1/4p2p/2ppP3/8/2P1P2P/PP3PP1/R3K2R b KQ -,h8g7 f2f4 c8d7 e1f2 d7c6 h1d1 h6h5 g2g4 f8h8 d1g1,-249
r1b1k2r/ppppbppp/2n5/4P3/5Bn1/1B1Q4/PPP3PP/RN2N2K b kq -,d7d5 d3e2 c6d4 e2d2 d4b3 a2b3 c8f5 b1c3 h7h5 h2h3,402
r2q1rk1/1b3ppp/p2bpn2/3pN3/3P3B/8/PP1N1PPP/R2Q1RK1 b - -,d8e8 d2b3 f6d7 b3a5 d7e5 d4e5 d6e7 h4e7 e8e7 d1d4,25
rnb1k1nr/1pqp1pp1/p3p3/8/3NP2p/P1PQ2P1/2P2PBP/R1B1K2R b KQkq -,h4h3 g2f1 d7d6 d4b3 g8f6 c3c4 b7b5 c4b5 a6b5 c1b2,-39
r1bqk2r/pppnbpp1/4pN1p/6B1/3P4/3B1N2/PPP2PPP/R2QK2R b KQkq -,d7f6 g5e3 c7c5 d1e2 c8d7 f3e5 c5d4 e3d4 d8a5 c2c3,47
3r2k1/1pp2pp1/3p1q1p/p1bP2r1/P3P1BB/1P1R1P2/4NP1P/6RK b - -,f6b2 e2c3 g5g4 f3g4 b2c2 g1d1 d8e8 f2f3 c2b3 h1g2,-351
8/6k1/4p1pp/4P3/5P2/pK4PP/8/8 b - -,g7f7 b3a3 f7e7 a3b4 e7d7 b4b5 d7c7 b5c5 c7d7 c5b6,866
r5k1/r3Qp1p/P4PpP/8/2B5/8/5PK1/8 b - -,g7f7 b3a3 f7e7 a3b4 e7d7 b4b5 d7c7 b5c5 c7d7 c5b6,Mate
r1b1k1nr/2b1qppp/p1p1p3/2ppP3/N1P5/3P1N2/PP1B1PPP/R2QK2R b KQkq -,f7f6 d2e3 d5d4 e3f4 f6e5 f4e5 c7a5 f3d2 g8f6 e1h1,136
Q7/2N1Nppk/7p/3P4/P7/4n2r/8/6K1 b - -,h6h5 d5d6 h3g3 g1f2 g3h3 a8g8 h7h6 g8h8 h6g5 h8g7,1486
r2q1rk1/1b2bppp/p3pn2/3pN3/3P3B/8/PP1N1PPP/2RQ1RK1 b - -,a6a5 h2h3 f6e4 h4e7 d8e7 d2e4 d5e4 c1c5 a5a4 d1c2,2
1rb1qrk1/1p3p2/p2Pnb1p/2pNpp2/P7/7P/1PB1N1P1/R2Q1RK1 b - -,f6d8 f1f5 e6g5 d5e7 d8e7 f5e5 c8e6 d1d3 f7f5 d6e7,302
1R6/5pkp/1p2p1p1/p3P3/4BP2/6P1/r6P/7K b - -,h7h5 b8b6 h5h4 b6b7 h4h3 h1g1 a2a1 b7b1 a1a2 b1b5,179
