4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
r1r3k1/p2nbppp/1qp1p2n/P2pP3/3P4/2P2NPP/2Q2PB1/R1B1R1K1 b - -,b6c7 c1h6 g7h6 c3c4 a8b8 c4c5 b8b5 a5a6 c8b8 c2c1,170
1r3r2/k1q4p/1p1p2p1/p2P4/P2PBP2/1Q4P1/7P/1R4K1 b - -,c7g7 b3d3 g7d7 d3b3 f8e8 e4g2 b8b7 g2f1 d7f5 f1d3,-126
r3k2r/1p2nppp/pB2n3/4p3/4P3/2N5/PP3PPP/3R1RK1 b kq -,h7h5 h2h4 a8c8 d1d2 c8c6 b6e3 e7c8 f1d1 f7f6 d2d7,51
3rr1k1/p3qpb1/1p2p1p1/1Bp2n1p/3P4/2P2N2/PPQ2PPP/3RR1K1 b - -,e8f8 d4d5 f5d6 b5a6 e6e5 f3e5 g7e5 f2f4 e5d4 c3d4,60
r2q1rk1/ppp1bpp1/3p1n1p/1B6/3P2bB/8/PPPQ1PPP/RN2R1K1 b - -,g4f5 a2a4 a7a6 b5d3 f5d3 d2d3 d8d7 d3b3 c7c6 b1d2,7
3R4/k4pp1/pp2pn1p/7P/1r1B1PP1/1P6/PK6/8 b - -,a7b7 b2c3 b7c7 c3b4 c7d8 d4b6 d8d7 b4a5 f6g4 a5a6,176
1r5k/4KP2/8/8/8/8/8/6R1 b - -,b8b7 e7f6 b7b6 f6f5 b6b5 f5e6 b5b6,Mate
rr4k1/2q2pp1/p1n1p1bp/n1PpP2B/P2P4/2N1B2P/6P1/2RQ1RK1 b - -,c7e7 e3h6 a5b3 d1g4 b3d4 h5g6 f7g6 g4g6 b8f8 h6e3,-24
r1bqk2r/pp3ppp/2nbpn2/2pp4/5P2/1P1P1NP1/PBPNP2P/R2QKB1R b KQkq -,f6g4 f1h3 g4e3 d1c1 e8h8 d2c4 e3c4 d3c4 f8e8 e1h1,-68
rnbqkbnr/ppp2p2/3p2p1/4p2p/2BPP2P/7N/PPP2PP1/RNBQK2R b KQkq -,f8e7 h3g5 g8h6 d4d5 c7c6 b1c3 a7a5 a2a3 b8a6 c4a2,92
6k1/6p1/5p1p/1bB5/pP6/6PP/P2K2P1/8 b - -,b5c4 a2a3 g8f7 d2e3 c4f1 e3f2 f1b5 g3g4 f7e8 f2e3,11
8/8/6pk/4Pp2/4r2P/6K1/8/3R4 b - -,e4e5 d1g1 e5d5 g3h2 d5d7 g1g3 d7e7 g3g1 e7h7 h2h3,-9
8/5ppp/1n2k3/4Pp1P/P2N1P2/1P6/5KP1/8 b - -,e6d5 a4a5 b6a8 f2e3 a8c7 d4f5 g7g6 f5h6 d5e6 e3d4,831
rnb1k2r/pp2ppbp/1n4p1/2P5/8/5NP1/PP2PPBP/RNBK3R b kq -,b6a4 b1c3 c8d7 f3d2 a4c3 b2c3 d7a4 d1e1 b8c6 a1b1,-35
8/1b2k3/p1n3pp/1p6/4P3/1P3PKP/P5P1/3R4 b - -,e7e6 h3h4 b7c8 g3f4 c8d7 f4e3 e6e7 h4h5 g6g5 g2g3,215
r1r3k1/p1qnbppp/2p1p2B/P2pP3/3P4/2P2NPP/2Q2PB1/R3R1K1 b - -,a8b8 h6g5 e7g5 f3g5 d7f8 c3c4 b8b4 g2f1 c7d8 h3h4,410
8/p1kb4/3Q4/8/2p5/2P2PK1/6P1/8 b - -,c7d6 g3f4 a7a5 f4e3 a5a4 e3d2 a4a3 d2c2 d7f5 c2c1,-1692
1r2r3/k1q4p/1p1p2p1/p2P4/P2P1P2/1Q1B2P1/7P/1R4K1 b - -,c7b7 g1f2 e8e7 f2f3 b8e8 f3f2 g6g5 f4g5 e8g8 b1c1,-67
3R4/k4pp1/pp2p2p/7P/Pr1B1Pn1/1P6/1K6/8 b - -,a6a5 b2c3 g4f6 d4f6 g7f6 d8d7 a7a6 d7f7 b4f4 f7h7,-3
rnb1k2r/pp2ppbp/6p1/2P5/n7/2N2NP1/PP2PPBP/R1BK3R b kq -,c8d7 f3d2 a4c3 b2c3 d7a4 d2b3 b8a6 c1e3 g7c3 a1c1,-46
r3qrk1/4b1p1/pp1n2Qp/3pN1p1/2pP2P1/4PP1P/PP5B/2RR2K1 b - -,,0
8/8/6pk/4rp2/7P/6K1/8/6R1 b - -,e5e3 g3h2 e3e6 h2h3 e6b6 h3h2 h6h5 h2h3 b6b3 h3h2,-10
5k2/p4np1/1p5p/1bp2N2/5P2/2Pr3P/PPR3PK/8 b - -,f7d6 f5h4 b5e8 f4f5 d6c4 g2g4 d3d2 c2d2 c4d2 h2g3,-438
rn1q1rk1/2pbbpp1/1p2pn1p/2Pp4/1P1P3B/2NBPN2/5PPP/R2QK2R b KQ -,a8a1 d1a1 b8c6 a1b1 b6c5 b4c5 d8a8 e1h1 f8b8 b1a1,18
r1bqk2r/p1p1npbp/2p3p1/3p4/4P3/2N1B3/PPPQ1PPP/2KR1B1R b kq -,c8g4 f2f3 g4e6 e3d4 e8h8 d4g7 g8g7 h2h4 h7h5 c3a4,156
6k1/n1p1n1p1/1p2p2p/p1p1p2q/P3P3/N1PPR2R/1P4N1/6K1 b - -,h5d1 e3e1 d1a4 h3g3 g8h7 g2h4 g7g5 e1f1 a4e8 g3f3,-273
8/8/1P6/5K1k/2n4P/8/5B2/8 b - -,c4b6 f2b6 h5h4 b6f2 h4h3 f5f4 h3g2 f2e1 g2g1 f4f5,Mate
r1bqk2r/pppnppbp/3p1np1/1B6/3P1P2/4PN2/PPP3PP/RNBQ1RK1 b kq -,a7a6 b5d3 e8h8 e3e4 e7e5 c2c3 c7c5 d4e5 d6e5 f4e5,-26
r1bq1rk1/1pnnppbp/p1p3p1/2P5/3PBB2/2N2N1P/PP3PP1/R2Q1RK1 b - -,e7e5 f3e5 c7e6 e5d7 c8d7 f4e5 g7e5 d4e5 e6c5 d1d6,88
3r2k1/pp1b1p1p/5np1/3p4/3N1b2/5P2/PPR3P1/3KRB2 b - -,a7a6 f1d3 h7h5 d4e2 f4d6 e1h1 g8g7 d1e1 d8e8 e1f2,-164
8/6k1/8/4K1Pp/8/8/8/8 b - -,,0
2kq3r/pp1n4/2p5/6p1/PP1P2p1/1QN1P1Pr/5P2/R1B2KR1 b - -,c8b8 b3e6 d7b6 a4a5 b6d5 c3d5 c6d5 a5a6 b7a6 c1d2,310
1r6/k1q4p/1p1p2p1/p2P4/P2P1P2/1Q1Br1P1/5K1P/1R6 b - -,b8e8 b3b5 e3d3 b5d3 e8e7 f2g2 c7c8 b1b2 e7c7 d3b3,32
r1r2bk1/p1qn1p1p/4p2p/P2pP3/3P4/6PP/3Q1PBN/R1R3K1 b - -,c7b8 c1b1 b8c7 h2g4 a8b8 h3h4 f8g7 b1c1 c7b7 h4h5,242
1k1r4/NP3p2/8/3P1qpp/8/2P2b2/PP3PpK/R7 b - -,c7b8 c1b1 b8c7 h2g4 a8b8 h3h4 f8g7 b1c1 c7b7 h4h5,Mate
rnbqkb1r/ppp1pp1p/6p1/6Bn/3PN3/8/PPP2PPP/R2QKBNR b KQkq -,b8d7 g1f3 f8g7 f1d3 e8h8 e1h1 h7h6 g5e3 e7e5 f3e5,61
8/8/6pk/4r3/5K1P/8/8/6R1 b - -,,0
5k2/p4np1/1p5p/1bp5/4NP2/2Pr3P/PPR3PK/8 b - -,b5d7 c2f2 f7d6 e4d6 d3d6 f4f5 f8f7 g2g4 d6d3 h3h4,-440
6k1/1p1q3p/p1n1bpp1/4p3/4P3/1N1B4/PP1Q1PPP/5K2 b - -,e6b3 a2b3 c6d4 d2c3 b7b5 d3e2 g8f8 e2d1 d7c6 b3b4,-53
rn1qkb1r/pp3ppp/2p1pn2/8/2B3b1/P1N2N2/1PPP1PPP/R1BQK2R b KQkq -,d8c7 h2h3 g4h5 d2d4 b8d7 e1h1 f8d6 f1e1 e8h8 g2g4,-28
3r1rk1/p3qpb1/1p2p1p1/1Bp1Nn1p/3P4/2P5/PPQ2PPP/3RR1K1 b - -,e7c7 e5c6 d8d6 d4d5 e6d5 c6e5 g7f6 b5d3 f5e7 c2c1,-189
8/8/4n2p/1p1k2p1/pP1p2PP/P2K1NP1/8/8 b - -,h6h5 g4h5 g5h4 f3h4 e6g5 h5h6 d5e6 d3d4 e6f6 d4c5,517
8/8/3k4/p4b2/2p2K2/2P5/6P1/8 b - -,h6h5 g4h5 g5h4 f3h4 e6g5 h5h6 d5e6 d3d4 e6f6 d4c5,Mate
1r6/k3q2p/1p1p2p1/pQ1P4/P2P1P2/3Br1P1/5K1P/1R6 b - -,e3f3 f2f3 e7b7 b5c6 b7e7 c6c4 b6b5 b1b5 b8b5 c4b5,602
r2q1rk1/ppp1Bpp1/3p3p/1B1n4/3P2b1/8/PPPQ1PPP/RN2R1K1 b - -,d5e7 a2a4 c7c6 b5d3 a7a5 b1c3 g4e6 h2h3 f8e8 b2b3,33
5rk1/2q2pp1/B4n1p/p1b5/1p2p3/4BN1P/1PP2PP1/RN1R2K1 b - -,c5e3 f2e3 e4f3 b1d2 c7b6 d2f3 b6a6 f3d4 f8a8 d4f5,-507
5k2/p5p1/1p1N3p/1bp5/5P2/2Pr3P/PPR3PK/8 b - -,d3d6 f4f5 d6d3 c2f2 f8f7 g2g4 h6h5 g4g5 h5h4 f2f4,-465
2kr2r1/pb1qnp1p/1p3P2/2p4Q/3p1B2/3P2N1/P1P3BP/4R2K b - -,b7g2 h1g2 d7d5 h5f3 e7g6 f4g5 d5f3 g2f3 d8d5 h2h4,-448
3r1rk1/1p2q1p1/p4pQ1/2n1p3/1BP4R/P3R2P/5PP1/6K1 b - -,e7c7 g6h7 g8f7 h4g4 f7e6 g4g7 f8f7 g7f7 c7f7 h7f7,488
2kq3r/pp1n4/2p5/6p1/PP1P2p1/1QN1P1P1/5P2/R1B2K1R b - -,c8c7 h1h8 d8h8 b3e6 h8h1 f1e2 h1f3 e2d3 d7f6 c1d2,664
2kr3r/1p2qpp1/2p1p2p/p1nn1P2/3Q4/3P1N1B/1PP2P1P/2KRR3 b - -,h8g8 f5e6 f7e6 d4e5 g8f8 f3d2 e7c7 d3d4 c7e5 e1e5,-45
1rbq1rk1/p2n1pbp/1p2pnp1/2p1N3/2PP4/4P1P1/PB2QPBP/RN3RK1 b - -,c5d4 e5c6 d4d3 e2d3 d8c7 b1c3 d7e5 c6e5 c7e5 b2a3,202
r2q1rk1/pppb1pp1/3npn2/3pN1B1/3P4/P1P5/2Q1PP1P/R3KB1R b KQ -,f8e8 h1g1 g8f8 h2h4 c7c5 h4h5 d6e4 g5h4 d8c7 f2f3,146
3q1rk1/2pbbpp1/2n1pn1p/2Pp4/3P3B/2NBPN2/5PPP/Q4RK1 b - -,g7g5 h4g3 f6h5 c3e2 h5g3 e2g3 d8a8 a1c3 f8b8 f1a1,70
rn1q1rk1/pp2ppbp/2p3p1/3pB2n/2PP2b1/2N1PN2/PP2BPPP/R2Q1RK1 b - -,e7e6 e5g7 h5g7 f3e5 g4e2 d1e2 b8d7 e5f3 g7f5 a1d1,32
1r6/k3q2p/1p1p2p1/p2P4/P2P1P2/3Q2P1/5K1P/1R6 b - -,e7b7 d3c4 b7f7 h2h4 b8b7 b1c1 h7h5 f2g2 f7d7 c4c6,23
8/5ppk/p2r1n1p/1p2pQ2/1P1pPq2/P2P3P/2R2PP1/2R3K1 b - -,g7g6 f5f4 e5f4 e4e5 d6e6 e5f6 g6g5 c2c6 e6e2 c6a6,Mate
r3Q1k1/4b1p1/pp1n1r1p/3pN1p1/2pP2P1/4PP1P/PP5B/2RR2K1 b - -,,0
r1b1k2r/pp1p1ppp/8/2bPq3/2B1n3/4BP2/PP4PP/R2QR1K1 b kq -,e5c7 d5d6 c7d6 d1d6 c5d6 e3f2 e8h8 e1e4 b7b6 a1d1,51
2kr2r1/3q1p2/pP1p1p1p/2bB3b/3PP2B/5P1P/5P1K/1R1Q1R2 b - -,d7e8 h4g3 g8g3 f2g3 h5g6 d1e2 c8d7 e2a6 d7e7 d4c5,830
rnbqkbnr/pp3ppp/2p5/3pp3/4P3/3P3P/PPP1BPP1/RNBQK1NR b KQkq -,g8f6 g1f3 f8d6 b1d2 b8d7 e1h1 e8h8 f1e1 f8e8 a2a4,-45
2rr2k1/5ppp/pp2p3/8/1q6/1PN2PP1/P3Q1KP/RN6 b - -,a6a5 e2c2 b4c5 a2a4 c5e3 a1a2 d8d3 c2e2 c8c3 b1c3,-200
5r2/7p/6pk/5q2/P2QB3/6P1/5PKP/8 b - -,f8d8 d4e3 f5g5 e3a3 g5e5 e4f3 e5d6 a3a2 d6d2 a2f7,63
rn2k2r/pp1bppbp/6p1/2P5/N7/5NP1/PP2PPBP/R1BK3R b kq -,d7a4 d1e1 b8c6 c1f4 a8d8 a1b1 a4c2 b1c1 c2e4 f3h4,-48
1k1r4/1P3p2/2N5/3P1qp1/7p/2P2b2/PP3PpK/R7 b - -,d7a4 d1e1 b8c6 c1f4 a8d8 a1b1 a4c2 b1c1 c2e4 f3h4,Mate
2Q5/3R4/8/1r1k3P/1p4P1/7K/8/q7 b - -,d7a4 d1e1 b8c6 c1f4 a8d8 a1b1 a4c2 b1c1 c2e4 f3h4,Mate
2kq4/pp1n4/2p5/6p1/PP1P2p1/1QN1P1P1/4KP2/R1B4r b - -,a7a5 c1b2 h1a1 b2a1 d8f8 b4b5 f8f3 e2d2 f3f2 c3e2,405
rn2r3/pp3pbk/3p4/2pPp3/6RP/8/PPP1KP2/6R1 b - -,g7h6 g1g3 b8d7 g3f3 h6f4 e2d1 e8g8 f3f4 e5f4 g4f4,-668
3r2k1/5pp1/4b3/4p3/Pr6/4N3/P4PPP/R4RK1 b - -,d8d2 a2a3 b4a4 f1d1 d2b2 d1d3 a4d4 d3c3 d4d2 a1f1,9
3q1rk1/2pbbp2/2n1pn1p/2Pp2p1/3P4/2NBPNB1/5PPP/Q4RK1 b - -,f6h5 c3e2 h5g3 e2g3 d8a8 a1d1 f7f5 d3b5 e7f6 g3h5,55
3r2k1/5pp1/4b3/p3p3/1r6/1P2N3/P4PPP/R4RK1 b - -,d8b8 e3c2 b4b7 f1c1 b8a8 c2e1 a5a4 b3a4 a8a4 e1d3,9
rnb1kb1r/ppp1pp1p/6p1/3q2Bn/3PN3/8/PPP1QPPP/R3KBNR b KQkq -,d5a5 g5d2 a5b6 e4c3 b8c6 g1f3 c8g4 c3d5 b6b2 d2c3,65
8/5ppk/p2r1n1p/1p2pP2/1P1p4/P2P3P/2R2PP1/2R3K1 b - -,h6h5 c2c6 d6d8 c6c8 d8d6 c1c6 d6d7 c6c7 d7d6 c7f7,409
4q1k1/n1p1n1p1/1p2p2p/p1p1p3/P3P3/N1PP2RR/1P4N1/6K1 b - -,e7g6 g3g4 a7c6 h3g3 c6e7 b2b3 e8f7 a3b5 h6h5 g4g5,-252
r2q1rk1/pppb1pp1/4pn2/3pN3/3Pn2B/P1P5/2Q1PP1P/R3KB1R b KQ -,c7c5 f2f3 e4d6 h1g1 d6e8 c2d2 d8c7 h4f6 e8f6 g1g7,130
rn2k2r/pp2ppbp/6p1/2P5/b7/5NP1/PP2PPBP/R1B1K2R b kq -,b8c6 c1f4 a8d8 a1b1 a4c2 b1c1 c2e4 f3h4 e4g2 h4g2,-42
8/8/4r1k1/5pp1/1R6/5K2/8/8 b - -,e6a6 f3e3 f5f4 e3f3 a6a3 f3e4 a3e3 e4d4 e3e6 b4b1,-1132
r1b1k2r/ppqp1ppp/3P4/2b5/2B1n3/4BP2/PP4PP/R2QR1K1 b kq -,c7d6 d1d6 c5d6 e3f2 e8h8 e1e4 b7b6 a1d1 d6c7 b2b4,57
rnbqk1nr/pp2bpp1/2p1p2p/3p4/3PP3/2NBBN2/PPP2PPP/R2QK2R b KQkq -,g8f6 e4e5 f6d7 c3e2 c6c5 c2c3 b8c6 e1h1 b7b6 e2f4,117
r2qk1nr/pQ2ppbp/2n1b1p1/3pP3/3P4/2N2N2/PP3PPP/R1B1KB1R b KQkq -,c6d4 f3d4 g7e5 f1b5 e8f8 d4c6 e5c3 b2c3 d8c8 b7c8,474
8/5p2/p4PN1/1p6/kp6/1p6/1P6/1K6 b - -,a4a5 g6h8 a5b6 h8f7 b6c6 f7e5 c6d6 b1c1 d6e6 f6f7,Mate
rnbqkbnr/pp3ppp/2p5/4p3/4P3/7P/PPP1BPP1/RNBQK1NR b KQkq -,d8d1 e2d1 a7a5 a2a4 b8a6 g1f3 f7f6 d1e2 a6c5 b1c3,-13
r5k1/1p2ppBp/3p2p1/q2P4/p3n3/5P2/PP2B1PP/2Q2RK1 b - -,a5a7 g1h1 e4f2 f1f2 a7f2 g7c3 f2e2 a2a3 f7f6 h1g1,-429
3N4/1Pk2p2/8/3P1qp1/7p/2P2b2/PP3PpK/R7 b - -,a5b6 g1h1 e4f2 f1f2 b6f2 g7c3 f2e2 a2a3 f7f6 h1g1,Mate
rn1r3k/p1q4p/1pp1b1N1/3p4/3P2P1/Q1N2R2/PP5P/4R1K1 b - -,h7g6 e1e6 c7g7 c3e2 b8d7 e6e7 d8e8 e7g7 h8g7 a3d6,670
3q1rk1/2pbbp2/2n1p2p/2Pp2pn/3P4/2NBPNB1/5PPP/3Q1RK1 b - -,h5g3 h2g3 d8a8 d3b5 e7f6 d1d2 f8b8 f1b1 d7e8 d2d1,35
8/8/6pk/8/7P/5K2/4r3/6R1 b - -,,0
5rk1/p3qpb1/1p2p1p1/2prNn1p/2BP4/2P5/PPQ2PPP/3RR1K1 b - -,d5d6 c4d3 g7e5 d4e5 d6d7 d3f5 e6f5 d1d7 e7d7 e1d1,-21
r2q1rk1/ppp1npp1/3p3p/1B6/P2P2b1/8/1PPQ1PPP/RN2R1K1 b - -,e7g6 a4a5 c7c6 b5f1 d6d5 a1a3 g4f5 a3f3 d8d7 b1c3,25
rn1q1rk1/pb1nB1pp/1p2p3/2ppNp2/3P4/2NBP2Q/PPP2PPP/R4RK1 b - -,c5d4 e7d8 d7e5 e3d4 e5d3 h3d3 f8d8 d3e3 b8c6 e3e6,593
r1bqkb1r/pp3ppp/2n2n2/2p1p3/3pP3/3P1NP1/PPP2PBP/RNBQ1RK1 b kq -,h7h6 a2a4 c8g4 b1a3 a7a6 c1d2 f8e7 a4a5 d8c7 a3c4,-49
r1b1k2r/ppqp1Bpp/3b4/8/4n3/4BP2/PP4PP/R2QR1K1 b kq -,e8f7 d1d5 f7f8 f3e4 d6h2 g1h1 f8e8 e1f1 c7d6 d5f7,209
r1bq1rk1/1pn1ppbp/p1p2np1/2P5/3P1B2/2N2N1P/PPB2PP1/R2Q1RK1 b - -,f6d5 f4g3 b7b6 c5b6 d5b6 c2e4 c7d5 c3a4 b6a4 d1a4,89
2k3Q1/pp1n4/2p2q2/6p1/PP1P2p1/2N1P1P1/4KP2/R1B4r b - -,f6d8 g8d8 c8d8 c1b2 h1a1 b2a1 d7b6 e3e4 a7a6 d4d5,532
1r1q1rk1/p2b1pp1/8/3Qp3/1BN5/8/PP3PPP/R3K2R b KQ -,d7b5 d5d8 f8d8 c4e3 d8d4 b4c3 b8c8 f2f3 b5a6 h2h4,526
3r1rk1/2q2pp1/b4n1p/p1b1p3/1p2B3/4BN1P/1PPN1PP1/R2QR1K1 b - -,c5d6 e4d3 a6b7 d3c4 f6d5 c4d5 b7d5 d1e2 e5e4 f3d4,228
4r3/k6p/1p1p2p1/pQ1P4/P2P1P2/4q1P1/6KP/1R6 b - -,e3d4 b5d7 a7a6 d7e8 d4d5 g2f2 d5c5 f2f1 a6a7 e8d7,611
r5k1/pp3rpp/2p5/2Pp2qn/PQ1Pp2P/2P3P1/5PB1/R4RK1 b - -,g5d2 a1d1 d2h6 d1e1 a8e8 e1e2 e4e3 b4b2 f7f8 c3c4,-85
1Q1k4/5p2/8/3P1qp1/7p/2P2b2/PP3PpK/R7 b - -,d8d7 b8b7 d7d8 h2g1 f5h3 b7b6 d8c8 b6c5 c8b7 c5e7,357
r2qkb1r/pp3ppp/2n2n2/2p1p3/3pP1b1/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq -,f6d7 a2a4 f8e7 d2c4 g7g5 c2c3 g4e6 a4a5 h7h5 c3d4,-69
r1b4r/ppqp1kpp/3b4/3Q4/4n3/4BP2/PP4PP/R3R1K1 b - -,f7f8 f3e4 f8e8 e1f1 d6h2 g1h1 d7d6 a1c1 c7e7 e3g5,296
1R6/8/4r3/5ppk/8/5K2/8/8 b - -,e6a6 b8h8 h5g6 h8g8 g6h6 f3e3 h6h5 g8c8 h5g4 c8e8,-1125
rnbq1rk1/1p2bppp/2p1p3/p2pP3/3PnN1P/2PB1N2/PP3PP1/R1BQK2R b KQ -,c6c5 f3g5 c5d4 c3d4 b8c6 c1e3 a5a4 g5e4 d5e4 d3e4,104
4r1k1/4b1p1/pp1n1r1p/3pN1p1/2pP2P1/4PP1P/PP4KB/2RR4 b - -,,0
3q1rk1/2pbbp2/2n1p2p/2Pp2p1/3P4/2NBPNP1/5PP1/3Q1RK1 b - -,e7f6 d1d2 d8a8 f1b1 f8b8 d3b5 d7e8 d2c1 b8b7 g3g4,29
3r1rk1/1p2q1p1/p5Q1/2B1pp2/2P4R/P3R2P/5PP1/6K1 b - -,e7c5 g6h7 g8f7 h7f5 f7g8 f5h7 g8f7 h4g4 f7e8 g4g7,628
8/5ppk/p2r3p/1p1npP2/1P1p2P1/P2P3P/2R2P2/2R3K1 b - -,d5f4 c2c6 d6d5 c1c5 d5d8 g1f1 h6h5 c6c8 d8c8 c5c8,286
r2qkb1r/1b3ppp/p4n2/1p6/4P3/2Np1N2/PP3PPP/R1BQR1K1 b kq -,f8c5 c1e3 c5e7 f3d4 f6e4 c3e4 b7e4 d1g4 d8d5 e3g5,65
rnb1kbnr/pp3ppp/2p5/4p3/4P3/7P/PPP2PP1/RNBBK1NR b KQkq -,b8d7 b1d2 d7c5 a2a4 g8f6 g1f3 c5e4 f3e5 f8d6 d2e4,-8
4q3/n1p1n1pk/1p2p2p/p1p1p3/P1N1P3/2PP2RR/1P4N1/6K1 b - -,e8a4 g2h4 a7c6 g3g2 g7g5 h3f3 h7g7 g1h2 c6d8 c4e5,-218
r1b2k1r/ppqp2pp/3b4/3Q4/4P3/4B3/PP4PP/R3R1K1 b - -,d6h2 g1h1 f8e8 e1f1 d7d6 a1c1 c7e7 e3g5 c8e6 c1c7,343
1rr3k1/1pq2ppp/8/p2Bp3/P7/1N1Q1P2/1PP3PP/1Kb4R b - -,c1h6 h2h4 b7b6 h1e1 c8d8 c2c4 c7d6 h4h5 g8h8 b3c1,-164
r2qk2r/pp2bppp/2n2n2/2p1p3/3pP1b1/3P1NP1/PPPN1PBP/R1BQR1K1 b kq -,f6d7 a2a4 g7g5 d2c4 h7h5 a4a5 g4e6 e1f1 h5h4 h2h3,-107
r1b2k1r/pp1n1Pp1/3q2B1/2pp1P2/4P2p/Q1N5/P1R3P1/1R4K1 b - -,d7e5 c3d5 c8d7 a3c5 d6c5 c2c5 h4h3 d5f4 h3h2 g1h1,366
3r1rk1/2q2pp1/b6p/p1B1p3/1p2n3/5N1P/1PPN1PP1/R2QR1K1 b - -,d8d2 f3d2 e4c5 d2b3 f8d8 d1h5 c5b3 c2b3 d8d5 a1c1,178
r2q1rk1/ppp2pp1/3p2np/PB6/3P2b1/8/1PPQ1PPP/RN2R1K1 b - -,c7c6 b5f1 d6d5 b1c3 d8f6 c3a4 a8b8 a4c5 b7b6 c5a6,30
r2q1rk1/pp1b1pp1/4pn2/2ppN3/3Pn2B/P1P2P2/2Q1P2P/R3KB1R b KQ -,e4d6 h1g1 d6e8 c2c1 d8c7 h4f6 e8f6 g1g7 g8g7 c1g5,180
r1bq1rk1/1p2ppbp/p1p2np1/2PnB3/3P4/2N2N1P/PPB2PP1/R2Q1RK1 b - -,d8a5 c3d5 f6d5 f1e1 c8e6 e5g7 g8g7 f3g5 e6c8 c2b3,102
2qk4/5p2/3Q4/3P2p1/7p/2P2b2/PP3PpK/R7 b - -,c8d7 d6f6 d8c8 f6f3 g5g4 f3f4 g4g3 f2g3 h4g3 h2g2,661
8/p1r1kpp1/4p2p/8/8/6P1/3N1P1P/R4K2 b - -,e7f8 h2h4 g7g6 d2e4 h6h5 f1e2 f8g7 a1a5 g7f8 e2f3,228
5k2/p5p1/1p1n3p/1bp5/5P2/2Pr3P/PPR2NPK/8 b - -,d3e3 f2g4 e3e2 c2e2 b5e2 g4e3 d6c4 e3c4 e2c4 b2b3,-481
6Q1/ppkn4/2p2q2/6p1/PP1P2p1/2N1P1P1/1B2KP2/R6r b - -,h1h2 a1f1 a7a6 e2e1 b7b5 g8e8 f6d6 b2a3 d6f6 e8e4,403
3q1rk1/2pb1p2/2n1pb1p/2Pp2p1/3P4/2N1PNP1/2B2PP1/3Q1RK1 b - -,c6b4 c2a4 d8e8 a4d7 e8d7 f3h2 f6g7 d1h5 d7e8 f1b1,36
rB1q1rk1/pp2p1bp/2p2pp1/3p3n/2PP2b1/2N1PN2/PP2BPPP/R2Q1RK1 b - -,a8b8 c4d5 f6f5 d5c6 g4f3 c6c7 d8c7 e2f3 h5f6 a1c1,231
3rr1k1/pppq1ppp/2np1n2/2b5/N3P1b1/P2P1N2/1PPBBPPP/R2QR1K1 b - -,a7a6 d2c3 c5a7 c3f6 g7f6 a4c3 c6e7 d1d2 g8g7 h2h3,168
r3k2r/1p1nqpp1/2p3p1/p1n1P3/P1B2P2/2N5/1P2Q1PP/R4RK1 b kq -,h8h4 a1d1 e8a8 c3e4 d7e5 d1d8 e7d8 f1d1 d8b6 e4f2,25
r3rnk1/ppqb1pp1/2pb1p2/8/3P3p/2PBB2P/PPQ1NPP1/3RR1K1 b - -,c7c8 e2f4 c8c7 c2d2 f8e6 f4e2 b7b5 b2b3 a7a5 c3c4,27
1r2kr2/p1p4p/3bp1p1/2pn4/1P6/P1P2PP1/3P3P/RNB2RK1 b - -,e8d7 g1g2 a7a5 b4b5 d5b6 a3a4 c5c4 c1a3 f8f5 a3d6,43
rnbq1rk1/1p2bppp/4p3/p1ppP1N1/3PnN1P/2PB4/PP3PP1/R1BQK2R b KQ -,c5d4 c3d4 b8c6 c1e3 d8b6 d1h5 h7h6 a1d1 b6b2 e1h1,127
r1bq1rk1/1p2ppb1/p1p2npp/2PnB3/3P4/1BN2N1P/PP3PP1/R2Q1RK1 b - -,d5c3 b2c3 b7b6 c5b6 d8b6 a1b1 b6a7 c3c4 c8f5 b3c2,124
5r2/7p/2B3pk/q7/P2Q4/6P1/5PKP/8 b - -,a5c7 c6f3 c7d8 d4c3 d8f6 c3e3 h6g7 a4a5 f8f7 e3a3,26
r2r2k1/pb1q1pP1/1p2p1n1/2ppB1PQ/8/3P2P1/PPn2PB1/R3R1K1 b - -,f7f6 e5f6 d7e8 g2h3 c2e1 a1e1 d8d6 h3f5 e6f5 h5h8,879
8/8/1n6/5K1k/7P/8/8/4B3 b - -,,0
5rk1/p3qpb1/1p1rp1p1/2pPNn1p/2B5/2P5/PPQ2PPP/3RR1K1 b - -,e7d8 c2e2 e6d5 e5f7 f8f7 c4d5 d6d5 e2e8 d8e8 e1e8,-45
3k4/3q1p2/5Q2/3P2p1/7p/2P2b2/PP3PpK/R7 b - -,d8c8 f6f3 g5g4 f3f4 g4g3 f2g3 h4g3 h2g2 d7d5 g2g3,604
1r6/k6p/1p1p2p1/pQ1P4/P2P1P2/1R2q1P1/6KP/8 b - -,,0
r2qk2r/pp2ppbp/2np1np1/8/4P3/4Q3/PPP1BPPP/RNBR2K1 b kq -,e8h8 c2c4 f6d7 b1c3 d8b6 e3h3 d7c5 a1b1 g7c3 h3c3,3
