r1bqk1nr/ppppbppp/2n5/8/2BpP3/1QP5/PP3PPP/RNB1K1NR b KQkq -,c6e5 c3d4 e5c4 b3c4 g8f6 d4d5 c7c6 g1e2 e8h8 e1h1,-31
8/8/2k5/8/1PP5/2K5/8/8 b - -,c6e5 c3d4 e5c4 b3c4 g8f6 d4d5 c7c6 g1e2 e8h8 e1h1,Mate
r2qk2r/p1p1bppp/2pp1n2/8/4PB2/8/PPP2PPP/RN1QR1K1 b kq -,e8h8 b1d2 f8e8 e4e5 f6d5 f4g3 d6e5 g3e5 e7f6 d2f3,34
r2q1rk1/p1p1bppp/2pp1n2/8/4PB2/8/PPPN1PPP/R2QR1K1 b - -,f8e8 e4e5 f6d5 f4g3 d6e5 g3e5 e7f6 d2c4 f6e5 c4e5,32
rn1qkbnr/pbpp1ppp/1p6/8/2BPP3/8/PP3PPP/RNBQK1NR b KQkq -,g8f6 c1g5 b7e4 g1f3 b8c6 b1d2 f8e7 e1h1 e4g6 d4d5,-38
8/8/8/5nQ1/4k3/8/4K3/8 b - -,f5d4 e2f2 e4d3 g5g4 d4c2 g4d1 d3c3 f2f3 c2d4 f3e4,9605
8/8/8/6Q1/3nk3/8/3K4/8 b - -,,0
7k/pp3pb1/2n1p2p/1q1rP1p1/8/P4NBP/1P2QPP1/4R1K1 b - -,b5e2 e1e2 h8h7 g1f1 d5d1 e2e1 d1e1 f1e1 h7g6 e1d2,-152
r3r1k1/ppn2p1p/2pb1qp1/8/2PP1Bb1/3B2P1/PPNQ1P1P/R4RK1 b - -,d6f4 d2f4 f6f4 g3f4 c7e6 f2f3 g4h3 f1e1 e8d8 a1d1,-57
r3r1k1/ppn2p1p/2p3p1/8/2PP1Pb1/3B4/PPN2P1P/R4RK1 b - -,c7e6 f2f3 g4h3 f1e1 e8d8 g1f2 e6f4 a1d1 d8d7 d3f1,-44
r3kb1r/pppq1ppp/3p1n2/8/3QP3/2N2P2/PPP3PP/R1B1K2R b KQkq -,b7b6 c1f4 e8a8 e1a1 c8b7 a2a4 a7a5 c3b5 d7e6 d4c3,125
rn1qkb1r/pp3ppp/2p1pn2/3pN3/3P1B2/4P2P/PPP1QPP1/RN2K2R b KQkq -,f8e7 e1h1 b8d7 c2c4 d7e5 f4e5 a7a5 f1c1 e7d6 e5d6,20
rnbqk2r/ppp1ppb1/3p1np1/7p/2BPP3/2N2N1P/PPP2PP1/R1BQK2R b KQkq -,e8h8 d1e2 c7c6 c4b3 b8a6 e4e5 d6e5 f3e5 e7e6 c1e3,106
rnb1kbnr/ppppqp1p/8/4p1pQ/2B1P3/3P4/PPP2PPP/RNB1K1NR b KQkq -,g8f6 h5d1 h7h6 g1e2 d7d6 b1c3 c8e6 c1e3 b8d7 c4b3,56
5rk1/4qpbp/1p1r2p1/p1p1n3/2Pp2P1/N2P3P/PP1BPRQ1/5RK1 b - -,g6g5 a3b5 d6e6 g2h2 h7h6 g1h1 a5a4 a2a3 g7f6 h2g3,-146
rn2kb1r/1pp1pppp/p2q1n2/8/2BP2b1/2N5/PPP1NPPP/R1BQ1RK1 b kq -,g4e2 d1e2 b8c6 d4d5 c6d4 e2d3 e7e5 c1e3 e8a8 a1d1,84
