r7/pprnkpp1/3pp2p/P2p1b2/3P4/3NP3/1PPKBPPP/R1R5 b - -,f5e4 g2g4 f7f5 c1g1 f5g4 g1g4 g7g5 f2f3 e4f5 g4g2,41
r2q1rk1/p3ppbp/2p3p1/8/3pP1N1/2P5/P1Q2PPP/R1B2RK1 b - -,c6c5 c1h6 a8c8 h6g7 g8g7 f2f3 d4d3 c2f2 h7h5 g4e3,302
r1q2rk1/1p2bpp1/p2p1n1p/4p3/P1P1P1b1/1PNQ1N1P/5PP1/R1BR2K1 b - -,d6d5 c3d5 f6d5 c4d5 g4f3 d3f3 e7d6 c1e3 c8d7 a1c1,209
r7/pprnkpp1/3pp2p/P2p4/3P4/3BP3/1PPK1PPP/R1R5 b - -,a8g8 g2g4 g7g5 c1g1 d7f6 f2f3 g8g7 h2h3 h6h5 a1a3,40
8/5b2/8/2Q5/8/1k1K4/8/8 b - -,a8g8 g2g4 g7g5 c1g1 d7f6 f2f3 g8g7 h2h3 h6h5 a1a3,Mate
rn2k2r/pp1qppbp/3p1np1/2p5/4P3/2P2N2/PP1PQPPP/RNB2RK1 b kq -,b8a6 d2d4 e8h8 a2a4 f8c8 f1d1 c5d4 c3d4 d7c6 b1c3,14
8/8/8/N7/8/8/k1KN4/8 b - -,,0
rnb1kb1r/ppNn2pp/4qp2/2p1P3/3P4/5Q2/PPP2PPP/R1B1KB1R b KQkq -,e8d8 c7e6 d8e7 e6c7 b8c6 c7a8 c5d4 e5f6 g7f6 a8c7,893
2kr1bnr/pppq1ppp/2n1p3/3pPb2/3P1P2/2PB1N2/PP4PP/RNBQK2R b KQ -,f5d3 d1d3 g8h6 e1h1 h6f5 a2a4 c6a5 b1d2 c7c5 d4c5,88
r1bq1bnr/2p3pp/p2pk3/np6/3PP3/3N4/PPP2PPP/RNBQK2R b KQ -,h7h5 b1c3 e6f7 e1h1 c8b7 a2a4 b5b4 d3b4 d8d7 d4d5,60
rn3rk1/pp1qppbp/3p1np1/2p5/3PP3/2P2N2/PP2QPPP/RNB2RK1 b - -,f8c8 h2h3 c5d4 c3d4 d6d5 e4e5 f6e4 c1e3 b8c6 f1c1,22
rn1qk1nr/pbp1ppbp/1p1p2p1/8/3PP3/2P2NP1/PP1N1P1P/R1BQKB1R b KQkq -,a7a5 f1b5 c7c6 b5e2 g8f6 e4e5 f6d5 h2h4 c6c5 h4h5,41
rn2kbnr/ppp2ppp/4p3/3p4/5P1q/4PQPP/PPPP4/RNB1KB1R b KQkq -,h4f6 c2c4 c7c6 d2d4 f6g6 c1d2 g8f6 b1c3 f8b4 e1a1,35
8/8/8/3Qk3/8/8/3K4/8 b - -,,0
r1bqkb1r/pp2pppp/2np1n2/8/3PP3/2PB1N2/5PPP/RNBQK2R b KQkq -,e7e6 e1h1 f8e7 h2h3 e8h8 d1c2 h7h6 c2e2 a7a5 e4e5,-31
8/k7/2K5/8/8/2B4B/8/8 b - -,c8d7 d1b3 e7e6 b3b7 a7a5 b7b2 f8e7 b2c2 a5a4 e1h1,Mate
rn3rk1/pp1qppbp/3p1np1/8/3PP3/5N2/PP2QPPP/RNB2RK1 b - -,d7a4 b1c3 a4a6 e2d1 b8c6 h2h3 a8c8 c1e3 c6a5 e3g5,21
r1bq1bnr/2p2kpp/p2p4/np6/3PP3/3N4/PPP2PPP/RNBQ1RK1 b - -,c8b7 b1c3 g8f6 a2a4 a5c6 d3f4 b5b4 c3d5 g7g6 d5f6,8
r3k2r/1ppb1p2/3p2qp/p7/P2QP3/3n4/3BN1PP/1R3R1K b kq -,e8h8 d4d3 d7c6 e2g3 f8e8 f1f4 e8e6 b1f1 a8e8 d2c3,494
r1b2r1k/3nb2p/pqn1BppP/1p1pP3/3N1P2/2P1B1P1/PP2N3/R2QK2R b KQ -,c6d8 e6d7 c8d7 d4f5 b6e6 e2d4 e6f7 f5e7 f7e7 d4f3,168
r1bqkb1r/ppp2ppp/2n2n2/1B1pP3/3Q4/2N5/PPP2PPP/R1B1K1NR b KQkq -,f6h5 d4d5 f8b4 b5c6 b7c6 d5c6 c8d7 c6f3 b4c3 b2c3,309
8/8/8/2nk4/8/K1Q5/8/8 b - -,c5e6 a3b2 e6d4 c3d3 d5c5 d3e3 c5d5 e3f4 d4b5 f4f5,571
r3r1k1/p1p3pp/2p2b2/8/P7/3P3P/1P1B1PP1/R2R2K1 b - -,e8d8 d2c3 f6c3 b2c3 a8b8 d3d4 b8b3 a1c1 d8e8 d4d5,87
8/8/4K1Pk/4p2P/p7/8/8/8 b - -,e5e4 e6f7 e4e3 g6g7 h6g5 g7g8q g5f5 h5h6 f5f4 g8g6,Mate
r2qk1nr/pbpn1pbp/1p1pp1p1/8/3PP3/2P2NP1/PP1N1PBP/R1BQ1RK1 b kq -,a7a6 d1e2 g8e7 f1d1 e8h8 a2a4 h7h6 e4e5 d6e5 d4e5,67
r3k2r/1ppb1p2/3p2qp/p3n3/P3P3/3P4/3BNQPP/1R3R1K b kq -,b7b6 e2f4 g6f6 f2e2 f6g7 f4d5 e8d8 d3d4 e5g6 d5f6,231
rn3rk1/pp1qppbp/5np1/3pP3/3P4/5N2/PP2QPPP/RNB2RK1 b - -,f6g4 h2h3 g4h6 b1c3 b8c6 f1d1 d7e6 f3g5 e6c8 c1f4,90
8/8/5KPk/4p2P/8/p7/8/8 b - -,e5e4 g6g7 a3a2 g7g8q a2a1q f6f5 a1a5 f5e4 a5e1 e4d5,Mate
8/6k1/4Q3/3R4/8/4K3/8/8 b - -,e5e4 g6g7 a3a2 g7g8q a2a1q f6f5 a1a5 f5e4 a5e1 e4d5,Mate
8/1K6/8/4Q3/8/8/3k4/8 b - -,e5e4 g6g7 a3a2 g7g8q a2a1q f6f5 a1a5 f5e4 a5e1 e4d5,Mate
