r3kbnr/ppq2ppp/2n5/8/3P2b1/5N2/PPP1P1PP/RNBQKB1R b KQkq -,a8d8 c2c3 g8f6 c1g5 f8e7 d1d3 c7b6 b1d2 b6b2 a1b1,111
rnbqkb1r/1p2pppp/p1p2n2/8/2B5/2N1PN1P/PP1P1PP1/R1BQK2R b KQkq -,e7e6 a2a4 c6c5 e1h1 b8c6 d2d4 c5d4 e3d4 f8e7 d4d5,40
rn2kb1r/pp3ppp/2p1pn2/3p1b2/1qP5/1Q1P1NP1/PP1BPPBP/RN2K2R b KQkq -,b4c5 b3b7 c5b6 b7a8 f8d6 b1c3 e8h8 d2e3 c6c5 c4d5,406
r1bqk1nr/pppp1pbp/2n5/6N1/3PPppP/2N5/PPP3P1/R1BQKB1R b KQkq -,g7d4 f1c4 f4f3 g2f3 d4c3 b2c3 c6e5 c4b3 d8e7 f3f4,67
rn2kb1r/pp3ppp/2p1pn2/3p1b2/2P5/1P1P1NP1/1P1BPPBP/RN2K2R b KQkq -,h7h5 d2c3 f8e7 b1d2 e8h8 e1h1 f8c8 b3b4 b8a6 c4c5,63
r1bq1rk1/ppp3bp/3p2nn/3Pp1p1/2P1P1P1/2N2P2/PP1NBB2/R2QK2R b KQ -,h6f7 d1c2 c7c5 d5c6 b7c6 e1a1 c8e6 d2f1 g6f4 f1g3,113
2kr3r/ppqbb1pp/4p3/2ppPn2/5B2/2P4P/PP2BPP1/RN1QR1K1 b - -,c8b8 f4h2 g7g5 b1d2 d7c6 a1c1 d5d4 e2c4 f5h4 d2e4,-109
r3k2r/1ppnqppp/1bp3b1/p3p3/1PN1P1P1/P2P1N1P/2P2P2/1RBQ1RK1 b kq -,h7h5 b4a5 h5g4 a5b6 g4f3 d1f3 d7b6 c4b6 c7b6 b1b6,83
rnbq1rk1/pp2bp1p/4p1pQ/3pN1B1/7P/2PB4/P1P2PP1/R3K2R b KQ -,e7f6 e5g4 f6c3 e1f1 c3g7 g5d8 g7h6 g4h6 g8g7 d8e7,245
r1bq1rk1/1p3pbp/p2p1np1/2p1n3/2P1P3/1PN3P1/P1Q1NPBP/R1B2RK1 b - -,c8g4 f2f3 g4e6 f3f4 e5c6 f4f5 c6d4 e2d4 c5d4 c3d1,83
r4rk1/pp2pp1p/2np2p1/q7/2P1PP2/bP2BQ2/P2R2PP/1B1R2K1 b - -,f7f6 h2h4 a3c5 g1h2 c5e3 f3e3 a5h5 e3h3 g6g5 d2d5,38
r3k2r/1ppnqppp/1bp3b1/4p3/1PN1P1P1/3P1N1P/2P2P2/1RBQ1RK1 b kq -,f7f6 c4b6 d7b6 f3h4 e8h8 f2f4 e5f4 c1f4 b6c8 d1d2,67
r1bq1rk1/pppnppbp/3p1np1/8/3PP3/2P2N2/PPQ1BPPP/RNB2RK1 b - -,f8e8 e4e5 f6d5 f1d1 c7c6 c3c4 d5b4 c2b3 a7a5 c1e3,48
r1b1k2r/1p1pnppp/p7/4p3/1nP1P3/N7/PP3PPP/R1B1KB1R b KQkq -,b7b6 f1e2 c8b7 c1d2 b4c6 a3c2 f7f5 e4f5 e7f5 e1h1,81
r1bqk1nr/pppp1ppp/8/2b1p3/2PBP3/3P4/PP3PPP/RN1QKBNR b KQkq -,c5d4 b1c3 d4b6 g1f3 d7d6 f1e2 c7c6 e1h1 g8f6 d3d4,-41
r1bqk2r/pppp1p2/2n1p1pp/2b1P3/2B5/2P2N1Q/PP3PPP/R1B2RK1 b kq -,,0
rnbqkb1r/ppp2ppp/4p3/3pN3/2PPn3/4P3/PP3PPP/RNBQKB1R b KQkq -,b8d7 e5d7 c8d7 b1d2 e4f6 f1e2 c7c5 c4d5 f6d5 d2c4,8
r1bq1rk1/pp1p1ppp/3P4/2p1P3/1b1nQ3/2NB4/PP3PPP/R1B1K2R b KQ -,f7f5 e4e3 d4e6 c1d2 b4c3 d2c3 b7b6 e3f3 a8b8 d3f5,123
r2qk2r/pp3pp1/3bpn1p/3p1b2/Q2P1B2/4P3/PP1NBPPP/R4RK1 b kq -,d8d7 e2b5 d6e7 f1c1 a7a6 b5d7 f6d7 f2f3 b7b5 a4d1,574
rnbqkb1r/pp3ppp/5n2/1N2p3/2p5/4P1P1/PP3PBP/RNBQK2R b KQkq -,d8b6 b5a3 c8e6 d1a4 b8c6 c1d2 a8c8 a3c4 b6c5 c4a3,-89
7R/1K1k4/1P6/8/8/8/8/r7 b - -,a1b1 h8h7 d7e6 h7h6 e6d7 b7b8 b1d1 h6h7 d7c6 b6b7,735
r1bq1rk1/pp2ppbp/n2p1np1/2p5/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 b - -,c8g4 b1c3 d8d7 e2e4 f8c8 f1e1 c5d4 d1d4 a6c5 d4d2,71
8/8/1N6/3k4/5K2/3B4/8/8 b - -,d5d4 d3e4 d4c3 f4e5 c3b2 e5d4 b2c1 e4f5 c1d2 b6d7,192
r1bq1rk1/p4pbp/1pnp1np1/2p5/3P4/2NBBN1P/PPP2PP1/R2QR1K1 b - -,a7a6 d1d2 c8b7 e3g5 c6d4 f3d4 c5d4 c3e2 b6b5 e2d4,31
rnb1kb1r/pp3ppp/5n2/1N2p3/2p5/4P1P1/PP3PBP/RNBK3R b kq -,b8a6 b1d2 c8g4 g2f3 h7h5 d1e2 a8d8 d2c4 g4e6 c4e5,-46
rn1qkbnr/pp3pp1/2p1p1bp/3pP3/3P1PP1/5N1P/PPP5/RNBQKB1R b KQkq -,h6h5 h1g1 c6c5 c1e3 h5g4 h3g4 b8c6 b1c3 c5d4 e3d4,-25
rnb1k2r/ppN2ppp/5n2/2b1p3/2p5/4P1P1/PP3PBP/RNBK3R b kq -,e8d8 c7a8 b8c6 b1c3 c8f5 e3e4 f5g6 c1g5 d8d7 g2h3,165
3N3k/r5R1/6pp/3p4/p2P4/P3P2P/qP3PPK/8 b - -,a7g7 d8e6 a2b2 e6g7 h8g7 e3e4 b2f2 e4d5 g7f6 h3h4,-838
1br1r1k1/pp3ppp/2pq1n2/3p1b2/1P1PnP2/P1NBP2P/1BQN2P1/4RRK1 b - -,e4d2 c2d2 f5g6 b2c1 e8e7 d2c2 g6d3 c2d3 c8e8 c1d2,-105
r2r2k1/ppp5/5p2/2P3pp/5p2/1Pp2P1P/P1P5/2R1R2K b - -,g8f7 e1e2 d8d2 e2d2 c3d2 c1d1 a8d8 h1g1 f6f5 g1f1,-444
r1b1kbnr/pppq1p1p/2np1Np1/4p3/2B1P3/5Q2/PPPP1PPP/R1B1K1NR b KQkq -,g8f6 f3f6 h8g8 c2c3 c6a5 c4d3 f8g7 f6h4 d7g4 h4g3,-16
r4rk1/pp3ppp/2nNbq2/3B2P1/8/4QP2/P6P/3RR1K1 b - -,,0
r1b1kb1r/pppq1p1p/2np1Qp1/4p3/2B1P3/8/PPPP1PPP/R1B1K1NR b KQkq -,h8g8 c2c3 f8g7 f6h4 d7d8 g1f3 d8h4 f3h4 c6d8 d2d3,-26
1r1r2k1/Rpqn1p2/2p1p1p1/2PpPnNp/1R1P3P/1PQ3P1/5PK1/5N2 b - -,c7c8 f1e3 d7f8 e3f5 e6f5 c3d2 d8d7 b4b6 b8a8 a7a8,136
8/4k3/6K1/3B1N2/8/8/8/8 b - -,c7c8 f1e3 d7f8 e3f5 e6f5 c3d2 d8d7 b4b6 b8a8 a7a8,Mate
Q3nrk1/pp3pp1/2n4p/3p4/1q1P4/3BP3/PP3PPP/R4KNR b - -,e8f6 a8f8 g8f8 a1d1 b4b2 g1e2 c6b4 d3b1 a7a5 f2f3,-232
r1b1k2r/ppp2qp1/2nb1n1p/1B2p3/4P3/2N1BN2/PP3PPP/R2QK2R b KQkq -,e8h8 e1h1 c8e6 d1e2 c6a5 b5d3 a5c4 c3b5 c4e3 f2e3,-23
7k/pp1b2p1/8/2p5/2P2r1P/PPK1R3/8/8 b - -,h8g8 e3e7 f4f7 e7e3 f7f5 e3e7 d7c6 b3b4 c5b4 a3b4,-510
r3k2r/ppp2qp1/2nbbn1p/1B2p3/4P3/2N1BN2/PP2QPPP/R3K2R b KQkq -,e8h8 a1c1 c6b4 f3d2 a7a6 b5c4 b7b5 c4e6 f7e6 a2a4,-27
6k1/pp1bR1p1/8/2p5/2P2r1P/PPK5/8/8 b - -,f4f7 e7e5 f7f5 e5e1 g8f7 b3b4 f5f4 e1e5 f4f3 c3b2,-517
r2q1r2/p2nppk1/2p1b1p1/3pP2p/6PP/2N2P2/PPPQ4/2KR1B1R b - -,h5g4 f3g4 d7e5 f1e2 d8d6 h4h5 f8h8 d2d4 a8b8 h5g6,-70
6k1/pp1b1rp1/8/2p5/2P4P/PPK5/8/4R3 b - -,f7f3 c3b2 f3f2 b2c3 g8f7 b3b4 f2f3 c3b2 a7a6 e1d1,-517
r1bqkb1r/1pp2ppp/2n5/p2np3/2B5/P2P1N1P/1PP2PP1/RNBQK2R b KQkq -,f7f6 e1h1 c8f5 b1c3 d5b6 c4b5 f8e7 d3d4 e8h8 c1e3,39
rn1qkb1r/pp1B1ppp/5n2/2p3B1/3Pp3/2N2N2/PP3PPP/R2QK2R b KQkq -,f6d7 g5d8 e4f3 e1h1 b8c6 d8h4 c5d4 f1e1 d7e5 e1e5,976
6k1/pp1b2p1/8/2p5/2P4P/PP3r2/1K6/4R3 b - -,g8f7 b3b4 a7a6 e1e4 f3f5 b2c3 d7c6 e4g4 f7g8 b4b5,-522
6rr/4k3/2p1pqn1/ppbpp1pp/3PP3/P1P2PPP/1P1QN1KN/R4R2 b - -,g6f4 g3f4 g5f4 g2h1 c5b6 d4e5 f6e5 d2f4 e5g7 f1g1,240
r1b2rk1/p3ppbp/1pBq1np1/3P4/2Pp4/7P/PP3PP1/RNBQR1K1 b - -,a8b8 d1d4 f6g4 d4f4 g4e5 b1c3 e5d3 f4d6 e7d6 e1e3,102
1rb2rk1/p3ppbp/1pBq1np1/3P4/2PQ4/7P/PP3PP1/RNB1R1K1 b - -,f6g4 d4f4 g4e5 b1c3 e5d3 f4d6 e7d6 e1e7 a7a6 a1b1,87
r1bqk2r/pppp1ppp/2n2n2/2bN2B1/Q7/8/PPP1PPPP/R3KBNR b KQkq -,h7h6 g5f6 g7f6 a4f4 c5d6 f4f6 d8f6 d5f6 e8f8 e1a1,129
r1b2rk1/pp1nppbp/2pp1np1/q7/2PP1B2/2N1PN1P/PP2BPP1/R2Q1RK1 b - -,a7a6 a2a3 c6c5 d1d2 a5c7 d4d5 b7b5 c4b5 a6b5 c3b5,100
8/p7/6k1/1p5p/8/1PKRr1PP/P7/8 b - -,e3e1 c3b4 e1e5 d3c3 e5e2 a2a3 a7a6 b4a5 e2e6 b3b4,387
r1b1kbnr/pp2pp1p/2n1q1p1/2p5/3P4/2P2N2/PP1NBPPP/R1BQK2R b KQkq -,c8d7 d4c5 g8f6 e1h1 f8g7 d2b3 e8h8 f1e1 a8d8 c1f4,109
rnbq1rk1/p2p1ppp/2p1p3/1P1n4/3P4/PQ3P2/1P2P1PP/R1B1KBNR b KQ -,d5b6 e2e4 d7d5 b3c2 c6b5 f1b5 d5e4 f3e4 c8b7 g1f3,65
8/p7/7k/6Rp/1K5P/1P4P1/P5r1/8 b - -,g2a2 g5a5 a2g2 a5a6 h6g7 a6a7 g7h6 a7a6 h6g7 a6a5,485
r1bqkb1r/pp3ppp/2n2n2/3pp3/3P4/1BP2P2/PP4PP/RNBQK1NR b KQkq -,f8d6 c1g5 e8h8 g1e2 c8f5 e1h1 h7h6 g5h4 a8c8 b1a3,-60
8/8/8/8/8/5N2/4KN2/6k1 b - -,,0
