rnbqk2r/pppp1ppp/5b2/8/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq -,f6c3 b2c3 b8c6 g1e2 e8h8 e2g3 d7d5 e4d5 c6e7 f1c4,479
r2q1rk1/pp2ppbp/n1p1bnp1/8/P1NP4/1P3NP1/4PPBP/R1BQ1RK1 b - -,a8c8 f3g5 e6c4 b3c4 h7h6 g5f3 c6c5 f3e5 c8c7 d4d5,76
rn1q1rk1/2b2ppp/1p6/1p1p4/3P2P1/2PB1N2/P1Q2PP1/2B2RK1 b - -,d8f6 d3h7 g8h8 h7d3 g7g6 c1h6 f8c8 d3b5 b8c6 c2d2,159
r3kb1r/ppq2ppp/2n1pB2/3p3b/3P4/2PB4/PP2NPPP/RN2QRK1 b kq -,c7b6 f6g5 b6b2 b1d2 h5e2 e1e2 b2c3 d2f3 f8d6 g5d2,391
q4rk1/4nppp/2b1pn2/2bpN3/1P3P2/1P1BP2N/4Q1PP/2B2R1K b - -,f8b8 b4c5 b8b3 h3g5 a8a4 c1b2 b3d3 e5d3 c6b5 b2f6,380
q4rk1/4nppp/2b1pn2/3pN3/1b3P2/1P1BP2N/1B2Q1PP/5R1K b - -,d5d4 b2d4 c6b7 f1a1 a8c8 e5g4 f6d7 a1a4 b4d6 a4c4,52
r1bq1b1r/ppp3pp/4k3/3Np3/2B5/5Q2/PPnP1PPP/R1BK3R b - -,c2d4 d5b6 e6e7 f3f7 e7d6 f7d5 d6e7 b6c8 d8c8 d5e5,613
r1b1k2r/pppqnpp1/2nb3p/1N6/7B/5N2/PPP1PPPP/R2QKB1R b KQkq -,e8h8 b5d6 c7d6 e2e3 b7b6 h4g3 e7f5 f1e2 c8b7 e1h1,158
r1bqkbnr/pp1n1ppp/3pp3/2p5/3PP3/5N2/PPP1BPPP/RNBQ1RK1 b kq -,c5d4 d1d4 g8f6 b1c3 a7a6 f1d1 f8e7 e4e5 d7e5 f3e5,49
rnb1kb1r/pp3ppp/4pn2/q1Pp4/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f6e4 d1c2 b8c6 a2a3 e4c3 c1d2 e6e5 d2c3 a5c7 f3e5,90
rnbqk2r/pppp1ppp/3b3n/4P3/3P1p2/5N2/PPP3PP/RNBQKB1R b KQkq -,d6e5 d4e5 d7d6 c1f4 e8h8 b1c3 c8g4 d1d2 d6e5 f4h6,428
r1b1k1nr/pppq1pp1/2nb3p/8/4P2B/5N2/PPP2PPP/RN1QKB1R b KQkq -,f7f5 e4f5 d7f5 b1c3 g8e7 h4g3 d6g3 h2g3 c8d7 f1d3,119
rnbqk2r/ppppbppp/7n/4P3/3P1B2/5N2/PPP3PP/RN1QKB1R b KQkq -,e8h8 f4h6 g7h6 b1c3 d7d6 f1d3 b8a6 d3a6 b7a6 e1h1,157
r1bqkb1r/ppp2ppp/2n2n2/3p4/1P2P3/P5P1/2P1PPBP/RNBQK1NR b KQkq -,,0
rnbqkbnr/pp1ppp1p/6p1/1Qp5/4P3/8/PPPP1PPP/RNB1KBNR b KQkq -,b7b6 g2g3 f8g7 b5e2 d7d5 f1g2 c8b7 e4e5 b8c6 g1f3,-65
r3kb1r/1bpq1ppp/p2p1n2/8/3NP3/2NP4/PPP2PPP/R1BQK2R b KQkq -,c7c5 d4b3 a6a5 a2a4 f8e7 c3b5 e8h8 e1h1 d6d5 e4e5,233
8/8/8/3k4/8/4R3/r7/5K2 b - -,,0
3q1rk1/4nppp/2b1pn2/3pN1N1/1b3P2/1P1BP3/1B2Q1PP/5R1K b - -,c6a8 e5g4 e7g6 b2f6 g7f6 g4h6 g8g7 h6f7 d8e7 e2h5,252
r1b1kbnr/3p1ppp/p3p3/q7/Pp1QP3/4B3/1PP1BPPP/RN2K2R b KQkq -,a5c7 b1d2 g8f6 d2c4 c8b7 d4b6 a8c8 f2f3 d7d5 c4a5,93
6k1/5pp1/8/1pb1P3/2p5/2P2R2/1P4K1/4q3 b - -,a5c7 b1d2 g8f6 d2c4 c8b7 d4b6 a8c8 f2f3 d7d5 c4a5,Mate
