8/8/2K5/8/2B3P1/8/4kp2/8 b - -,e2e3 c6d5 e3f4 c4e2 f4e3 e2f1 e3f4 f1c4 f4g4 d5e4,Mate
rnb1kb1r/p3pp1p/2pp1np1/8/1P1PPB2/8/1PPQ1PPP/qNKR1BNR b kq -,c8d7 g1f3 a7a5 b4a5 f6e4 d2e3 e4f6 d1d3 a8a5 d3b3,67
4k3/1R3pp1/8/1p2pr2/1P2n1np/5N2/1P4PP/7K b - -,e4d6 b7b6 e5e4 b6d6 e4f3 g2f3 f5f3 h1g2 f3b3 d6d4,-646
8/7p/8/1Pk5/P6K/5P1P/6P1/8 b - -,c5b4 b5b6 b4a4 b6b7 a4b3 f3f4 b3c4 f4f5 c4b5 b7b8q,9605
r1bq1rk1/ppp2ppp/n4n2/2b1N3/4p3/P1NPB3/1PP1BPPP/R2QK2R b KQ -,c5e3 f2e3 e4d3 c2d3 f6d5 c3d5 d8d5 e5f3 f8e8 e3e4,-48
r4rk1/2p1bppp/2b5/1p1q4/2PP4/4BP2/1R1NQ1PP/5RK1 b - -,b5c4 e2c4 d5d7 d2e4 c6d5 c4c2 f8e8 e3f2 e7f8 e4c3,-24
r1bq1rk1/ppp1bppp/8/2npP3/8/1NP5/PP2BPPP/R1BQ1RK1 b - -,c5b3 a2b3 a7a5 d1c2 c8e6 f2f4 e7c5 g1h1 f7f5 h2h3,28
2kr3r/pbpnqpb1/Bp3npp/4p3/4P3/2N1BP2/PPP1Q1PP/1K1R2NR b - -,d7b8 a6b7 c8b7 g1h3 b8c6 e2c4 c6a5 c4b5 a7a6 b5e2,15
Qq4k1/1Pb1pp1p/6p1/8/3BPP2/7P/p5K1/8 b - -,,0
r1b1r3/p4kbp/2pq1np1/3pp3/Q7/6B1/PPPNBPPP/R4RK1 b - -,f7g8 a1d1 c8d7 c2c4 a8b8 f1e1 c6c5 a4c2 d5d4 e2d3,-11
rn3rk1/ppq1ppbp/2p2np1/P7/3P4/2N2BPP/1PP2P2/R1BQ1RK1 b - -,f8e8 c1f4 c7d7 g3g4 b8a6 d4d5 c6d5 c3d5 a8d8 d5f6,137
r1bq1rk1/ppp4p/n4RpB/3NQ3/2p1P3/2PP4/P3N1PP/b5K1 b - -,f8f6 d5f6 g8f7 f6h7 c8e6 e5g7 f7e8 h7f6 d8f6 g7f6,Mate
1r3rk1/1bR3p1/4p2p/2N1Np2/1b1P4/3BP2P/6P1/5RK1 b - -,f8c8 c7b7 b8b7 c5b7 g7g5 f1b1 b4e7 b7a5 g5g4 a5c6,624
2k5/5p2/5rpp/P7/1K5P/R4PP1/8/8 b - -,c8c7 a3c3 c7b7 b4c5 f6c6 c5d4 c6d6 d4e5 d6a6 c3b3,311
