r5k1/p4pbp/2p3p1/2Pp3r/5P2/PR2P2q/5P1P/1NBQR1K1 b - -,h5h4 e3e4 h3h2 g1f1 h2h1 f1e2 h1e4 c1e3 d5d4 d1d3,-346
r6r/3b2k1/nppq1bp1/p2p1p2/P2P1N2/1Q1NP1P1/1P3P2/1BRR2K1 b - -,g6g5 f4e2 c6c5 d4c5 b6c5 b3a3 a8c8 f2f4 a6b4 d3f2,-187
r1bqk2r/pp3p2/1np4p/3p2p1/1b1P4/1QNBP1P1/PP1N1PP1/R3K2R b KQkq -,d8e7 a2a3 b4d6 a3a4 a8b8 e1h1 e8h8 a4a5 b6d7 e3e4,52
rn1qkb1r/ppp1pp2/5n1p/3p2p1/3P2b1/4PNBP/PPP2PP1/RN1QKB1R b KQkq -,g4f3 d1f3 e7e6 c2c4 f6e4 b1c3 f8b4 a1c1 e4g3 f3g3,80
2kr1b1r/p1p2p1p/1pn1b3/2p1Pp2/2P2P2/1PN1B3/P4KPP/R4B1R b - -,f8g7 c3d5 c6d4 f1d3 c7c6 e3d4 c6d5 c4d5 d8d5 d3a6,31
r1b1qrk1/ppp3pp/2np4/3Ppp2/8/3P1NP1/PP1QPPBP/R4RK1 b - -,e5e4 d3e4 f5e4 f3g5 c6e5 a1c1 e8e7 g5e4 c8f5 e4g5,239
r2qkb1r/ppp2ppp/2npbn2/5P2/4P3/2N5/PPP3PP/R1BQKBNR b KQkq -,e6d7 g1f3 d6d5 e4d5 d8e7 f1e2 e8a8 c1g5 c6e5 e1h1,32
2kr1b1r/p1p2p1p/1p2b3/2p1Pp2/1nP2P2/PPN1B3/5KPP/R4B1R b - -,b4d3 f2e2 f8g7 a1d1 d3b2 d1d2 f7f6 d2b2 f6e5 b2d2,213
8/2p5/P1k5/2P5/7p/5Kp1/8/8 b - -,b4d3 f2e2 f8g7 a1d1 d3b2 d1d2 f7f6 d2b2 f6e5 b2d2,Mate
8/2p5/P1k5/2P5/7p/8/6K1/8 b - -,b4d3 f2e2 f8g7 a1d1 d3b2 d1d2 f7f6 d2b2 f6e5 b2d2,Mate
8/P1p5/8/2k5/7p/8/6K1/8 b - -,b4d3 f2e2 f8g7 a1d1 d3b2 d1d2 f7f6 d2b2 f6e5 b2d2,Mate
8/1k3p2/4p3/6P1/8/p6K/8/8 b - -,b4d3 f2e2 f8g7 a1d1 d3b2 d1d2 f7f6 d2b2 f6e5 b2d2,Mate
r1bq1rk1/p2pppbp/2p2np1/2p1P3/8/2NP1N2/PPP2PPP/R1BQ1RK1 b - -,,0
8/8/1P6/2k3K1/8/8/8/8 b - -,,0
2kr1b1r/p1p2p1p/1p2b3/2p1Pp2/2P2P2/PPN1K3/6PP/2R2B1R b - -,f8g7 f1d3 c7c6 e3d2 f7f6 e5f6 g7f6 h1e1 e6d7 d3e2,-39
rnb1k2r/ppppq1pp/8/3QPp2/2B1n3/5N2/PPPN1bPP/R1BK3R b kq -,e7e6 d5d3 e6g6 h1f1 b8c6 d3e2 e4d2 c1d2 f2c5 f3h4,130
r6r/3b2k1/1ppq1bp1/p2p1p2/Pn1P1N2/1Q1NP1P1/1P3PK1/1BRR4 b - -,g6g5 d3b4 a5b4 f4e2 c6c5 d1h1 c5c4 b3c2 d6e6 c2d2,-89
8/8/4k3/6P1/5P1P/8/6K1/8 b - -,g6g5 d3b4 a5b4 f4e2 c6c5 d1h1 c5c4 b3c2 d6e6 c2d2,Mate
r1bq1rk1/1p1nbppp/2pp4/p7/P2NP3/1PN1BQ1P/1P3PP1/3RR1K1 b - -,e7f6 f3e2 g7g6 f2f4 d8e7 d4f3 d7c5 e3c5 d6c5 e4e5,81
rnbq1rk1/ppp1p1bp/5np1/3p1p2/3P4/1QP3PN/PP1NPPBP/R1B1K2R b KQ -,a7a5 a2a4 e7e6 h3f4 c7c5 h2h4 f8e8 d2f3 f6e4 c1e3,19
r3r1k1/p2b1pbp/2q2np1/1p1p4/3B1Q2/2N2P2/PPP1N1PP/2KRR3 b - -,b5b4 d4f6 g7f6 c3d5 f6e5 f4d2 a7a5 e2g3 a8c8 f3f4,22
4r3/p4pk1/1p1b2p1/1q3BB1/3pR2P/3P2P1/P2Q1P2/6K1 b - -,d6e5 f5h3 e5d6 e4e8 b5e8 h3g4 e8e5 g1g2 a7a5 g4f3,535
r1bq1rk1/p2pppbp/2p2np1/2p5/4P3/2NPBN2/PPP2PPP/R2Q1RK1 b - -,d7d6 h2h3 e7e5 a1b1 a7a5 f3d2 f6h5 c3e2 c8e6 a2a4,-36
r6r/3b2k1/1ppq1b2/p2p1pp1/Pn1P4/1Q1NP1P1/1P2NPK1/1BRR4 b - -,f5f4 d3f4 g5f4 e2f4 h8h6 d1h1 a8h8 h1h6 h8h6 b3d1,-199
r2q1rk1/p2bbppp/4pn2/1p6/1npPP3/P4NP1/1P2QPBP/RNB2RK1 b - -,b4c6 b1c3 a7a6 c1f4 f8e8 a1d1 h7h6 f3e1 d7c8 e1c2,85
4r3/p4pk1/1p1b1B2/1q3p2/3pR2P/3P2P1/P2Q1P2/6K1 b - -,b4c6 b1c3 a7a6 c1f4 f8e8 a1d1 h7h6 f3e1 d7c8 e1c2,Mate
r1b1kbnr/ppq1p1pp/2n2p2/2ppP3/5P2/5N2/PPPPB1PP/RNBQ1RK1 b kq -,c8f5 d2d4 e7e6 g1h1 g8h6 c2c3 f8e7 e5f6 g7f6 d4c5,18
r2q1rk1/p2bbppp/4pn2/1p2N3/2pPP3/P2n2P1/1P2QPBP/RNB2RK1 b - -,a7a5 e5d3 c4d3 e2d3 d7c6 b2b3 d8b6 c1b2 f8d8 b1d2,96
r1bqk2r/ppppbpp1/2n2n1p/7P/8/2N3Q1/PPP1PPP1/R1B1KBNR b KQkq -,d7d5 c1f4 d5d4 e1a1 c8g4 g1f3 d4c3 d1d8 a8d8 f4c7,-49
7k/1R5R/8/7P/6p1/P7/KP6/2r5 b - -,c6d4 c1f4 d4e6 e1a1 e6f4 g3f4 c7c6 e2e4 d7d6 e4e5,Mate
r2q1rk1/p2bbppp/4pn2/1p2N3/2pPP3/P5P1/1P2QPBP/RNR3K1 b - -,d8b6 e5d7 f6d7 b1c3 a8b8 c1d1 b6c7 e4e5 a7a5 a3a4,30
rr3qk1/2pb1pp1/n2b3p/1p1Pp3/p7/P1N1P1P1/1P1NBP1P/R1RQ2K1 b - -,a6c5 c3e4 f7f5 e4c5 d6c5 c1c2 c5d6 e3e4 b5b4 d2c4,-95
2kr3r/p1p2pbp/1p2b3/2pNPp2/2P2P2/PP2K3/6PP/2R2B1R b - -,c7c6 d5f6 g7f6 e5f6 h8e8 e3f3 d8d2 h2h3 e6d7 g2g4,-77
2kr3r/p4pbp/1pp1bN2/2p1Pp2/2P2P2/PP2K3/6PP/2R2B1R b - -,g7f6 e5f6 h8e8 e3f3 d8d2 h2h3 h7h5 c1c3 e8g8 g2g3,-57
r1bq4/ppp1nk2/1b3rpB/3P2N1/6P1/P1Q4P/1P3P2/R4RK1 b - -,f7e8 c3f6 c8g4 h3g4 a7a5 a1e1 d8d6 f6f7 e8d8 g5e4,Mate
r3r1k1/p2b1pbp/2q2Bp1/3p4/1p3Q2/2N2P2/PPP1N1PP/2KRR3 b - -,b4c3 f6g7 g8g7 e2c3 d7e6 f4d4 g7g8 c3d5 e6d5 d4d5,300
2kr3r/p4p1p/1pp1bP2/2p2p2/2P2P2/PP2K3/6PP/2R2B1R b - -,h8e8 e3f3 d8d2 h2h3 c8c7 c1c3 e8g8 f1e2 b6b5 f3f2,-67
8/8/8/2N1k3/8/3K4/4B3/8 b - -,e5d5 c5b3 d5e5 d3e3 e5f5 b3d4 f5g5 e2d3 g5h5 e3f4,180
r3r1k1/pp1n1ppp/3B1n2/qBPp4/1b6/2N1PP2/PP3P1P/R2Q1RK1 b - -,b4c3 b5d7 f6d7 b2c3 d7c5 d1d5 b7b6 f1d1 a5c3 d6c5,8
